"Symbol","Neutrophils","Monocytes_CD14+CD16-","Macrophage","T_cells_(CD4+)","NK_cells"
"ABCA4",39,45.4375,38.27272727,40.90909091,31.75
"ABCA5",116.2,34.125,118.6363636,241.1363636,371.1666667
"ABCA6",14,14.6875,49.18181818,11.95454545,10.91666667
"ABCA7",381.2,181.25,97.63636364,235.5454545,376.4166667
"ABCA8",11.2,10.0625,8.545454545,9.045454545,10
"ABCA9",21.4,18.9375,21,17,11.91666667
"ABCB1",19.2,15.125,20.09090909,63.22727273,317.1666667
"ABCB10",47,175.1875,338.0909091,280.5454545,298.8333333
"ABCB11",14.8,12.5,13,10.63636364,10.33333333
"ABCB4",22.4,29.9375,87.27272727,22.45454545,16.83333333
"ABCB5",44.8,53.375,42.36363636,41.68181818,43.66666667
"ABCB6",58.4,60.3125,83.36363636,72.18181818,50.66666667
"ABCB7",55.8,374.6875,304,256.9090909,298.3333333
"ABCB8",54.8,70.5625,67.63636364,58.13636364,54
"ABCB9",76.4,88.375,71.81818182,74.18181818,54.66666667
"ABCC1",88.2,123.375,293.5454545,172.5909091,72.33333333
"ABCC10",55.6,147.1875,465.1818182,445.1818182,329.0833333
"ABCC11",13.6,13.8125,12.36363636,13.18181818,9.166666667
"ABCC12",13.2,13.0625,11.18181818,11.5,12.83333333
"ABCC13",24.6,23.25,19.18181818,18.27272727,14.16666667
"ABCC2",43.4,26.4375,21.09090909,26.72727273,28.08333333
"ABCC3",65.6,160.375,726.4545455,64,58.41666667
"ABCC4",36,36.25,137.8181818,118.6818182,61.58333333
"ABCC5",25.4,24.4375,29.09090909,22.13636364,25.41666667
"ABCC6",46.2,133.5,74.81818182,30.77272727,34.5
"ABCC6P1",13.2,12.8125,11.18181818,11,11.41666667
"ABCC8",33.8,49.75,37,39.86363636,55.75
"ABCC9",28,25.25,20.54545455,22,22
"ABCD1",103.4,168.5625,310.3636364,107.0909091,67.91666667
"ABCD2",8.8,8.1875,8,29.86363636,7.416666667
"ABCD3",26.8,78.3125,117.9090909,84.18181818,512.75
"ABCD4",74.8,150.375,175,207.8181818,262
"ABCE1",40,273.75,684.7272727,557.6363636,135.75
"ABCF1",306,407.1875,562.9090909,662.1363636,910.75
"ABCF2",79.2,100.125,76.90909091,114.5909091,107.6666667
"ABCF3",144.6,147.9375,211.6363636,200.9090909,420.5
"ABCG1",488.2,35.8125,299.9090909,133.5909091,50.58333333
"ABCG2",20.8,23.6875,561.3636364,21.54545455,23.5
"ABCG4",96.8,103.3125,92.90909091,74.95454545,61
"ABCG5",23.6,22.75,18.18181818,19.86363636,17.91666667
"ABCG8",30.2,32.4375,27.36363636,27.90909091,31.16666667
"ABHD1",23.4,28.125,27.09090909,26.54545455,21.91666667
"ABHD10",85.4,307,515.6363636,315.6818182,230.75
"ABHD11",12.4,21.5,29.36363636,12.72727273,19.16666667
"ABHD12",29.4,31.375,334.7272727,40.59090909,90.66666667
"ABHD12B",13.8,12,9.545454545,10.5,9.833333333
"ABHD13",161.2,90.8125,49.54545455,67.40909091,565.3333333
"ABHD14A",57.4,103.9375,120.1818182,275.3181818,264.4166667
"ABHD14B",73.2,472.75,321.5454545,1348.545455,413.5833333
"ABHD15",31.2,75.9375,141,139.9090909,421.5
"ABHD2",1022,365.8125,879.5454545,274.4545455,540.0833333
"ABHD3",1127.8,416.25,682.9090909,848.7727273,423
"ABHD4",739.6,344.625,614,245.3636364,264.9166667
"ABHD5",936.8,110.5625,80.90909091,38.59090909,100.75
"ABHD6",18.2,49.875,146.7272727,20.13636364,18.25
"ABHD8",53.2,66.25,83.90909091,58.5,43.33333333
"ABI1",1123.8,612.375,802.4545455,961,1193.583333
"ABI2",114.2,113.875,191.2727273,136.2272727,96.58333333
"ABI3",120.4,324.1875,272.6363636,189.8636364,220.6666667
"ABI3BP",10.4,10.6875,11.09090909,9.181818182,10.33333333
"ABL1",67.8,141.8125,292.1818182,187.3636364,444.6666667
"ABL2",77,84.125,506,183.1818182,143.5833333
"ABLIM1",109,41.5,77.09090909,3520.636364,1300
"ABLIM2",128.2,96.0625,90.63636364,75.36363636,74.5
"ABLIM3",70.8,69.875,62.18181818,43.31818182,36.41666667
"ABO",46.6,28.9375,25,24.22727273,24.16666667
"ABP1",65.6,24.375,117.0909091,19.45454545,20
"ABR",733.8,524.875,1445.636364,414.6363636,626.9166667
"ABRA",13.4,13.375,13.27272727,12.81818182,11.08333333
"ABT1",326.8,318.8125,262.4545455,346.2272727,666.5
"ABTB1",2464,502,256.3636364,498.7272727,252.4166667
"ABTB2",185.2,86.75,78.27272727,54.86363636,73.75
"ACAA1",602.8,486.75,578.9090909,313.8636364,314.8333333
"ACAA2",137.4,109.125,93,62.59090909,73.58333333
"ACACA",56.4,124.625,244.7272727,141.4545455,154.3333333
"ACACB",97.2,96.875,80.36363636,125.8181818,88.83333333
"ACAD10",112.2,104,73.18181818,80.59090909,68.25
"ACAD11",47,66.0625,84.54545455,167.3181818,186.6666667
"ACAD8",105.6,139.0625,166.6363636,207.4090909,238.5833333
"ACAD9",50,183.625,362.5454545,158.4090909,92.83333333
"ACADL",15.4,15.1875,16.45454545,15.40909091,14
"ACADM",35.8,351.875,1314.727273,455,82.91666667
"ACADS",120.8,167.3125,208,140,126.75
"ACADSB",39.2,64.8125,87.27272727,220.8181818,140.5833333
"ACADVL",693,1094.8125,1138.727273,695.2727273,827.4166667
"ACAN",78.4,99.9375,68,56.18181818,62.75
"ACAP1",540.8,186.5,81.72727273,1794.136364,524.8333333
"ACAP2",1389,359.25,258.1818182,131.5909091,176.6666667
"ACAP3",117,177.4375,129,270.9090909,189.5833333
"ACAT1",10.8,11,9.636363636,10.54545455,11.08333333
"ACAT2",109,169.75,2358.545455,299.6818182,413
"ACBD3",357.8,446,754.6363636,399.3636364,1101.583333
"ACBD4",121.2,152.875,134.2727273,220.4545455,111.1666667
"ACBD5",237.6,428.625,748.1818182,303.4090909,1285.5
"ACBD6",80.8,168.375,207.0909091,200.5454545,319.0833333
"ACCN1",31.2,36.3125,31.72727273,26.77272727,26.08333333
"ACCN2",87.2,91.6875,61,81,59.41666667
"ACCN3",18.8,20.25,20,23.77272727,16.66666667
"ACCN4",65.6,49.9375,41,37.59090909,31.66666667
"ACCN5",12.8,15.375,11.54545455,12.40909091,12.08333333
"ACCS",149.6,234.9375,123.1818182,266.0909091,176.5
"ACD",225.4,160.6875,132.0909091,392.1363636,156.5833333
"ACE",56.8,51.8125,177.4545455,73.31818182,36.91666667
"ACE2",35.6,33.75,26.63636364,28.22727273,24.58333333
"ACER1",49,44.375,31.90909091,40.36363636,38.25
"ACER3",89,720.4375,928,138.2272727,275.8333333
"ACHE",61.8,52.6875,42.09090909,42.31818182,62.33333333
"ACIN1",243,166.75,200.3636364,310.1818182,294.4166667
"ACLY",975.4,1204.875,1690.454545,1391.636364,788.25
"ACMSD",13.4,14.375,11.36363636,12.31818182,14
"ACN9",35.8,66.8125,60.63636364,123.1363636,32.66666667
"ACO1",52.2,142.4375,1300,98.18181818,60.75
"ACO2",44.8,62.3125,75.45454545,59.5,38.83333333
"ACOT11",78.4,56.125,73.18181818,52.04545455,31.16666667
"ACOT12",9,9.8125,8.636363636,8.409090909,7.833333333
"ACOT13",134.4,191.375,1315.363636,111.6363636,53.83333333
"ACOT4",25.4,24.875,308.6363636,45.86363636,72.08333333
"ACOT6",12.6,13.125,13.27272727,11.72727273,15.33333333
"ACOT7",38.2,52.9375,830.8181818,87.95454545,296.75
"ACOT8",143.2,208.625,247.9090909,154.7272727,119.4166667
"ACOT9",760,833.4375,1002,306.0454545,256.5
"ACOX1",1272.4,223.1875,400.5454545,74.04545455,63.83333333
"ACOX2",22,35.6875,229.3636364,20.90909091,16.75
"ACOX3",47,106.75,143.2727273,88.54545455,45.33333333
"ACOXL",39.4,32.9375,25.90909091,23.63636364,32.66666667
"ACP1",99.8,693.3125,715.6363636,1037.136364,1162.666667
"ACP2",96.4,226.75,1626.909091,152.5,67.08333333
"ACP5",109.6,221.5625,7945.363636,221.5909091,114.3333333
"ACP6",128.8,100,131.2727273,250.5454545,82.08333333
"ACPL2",85.8,124.0625,70,339.4545455,360.8333333
"ACPP",334.2,137.6875,87.90909091,19.86363636,21.16666667
"ACPT",119.6,135.4375,98.63636364,91.77272727,158.5
"ACRBP",83,86.8125,53.09090909,42.18181818,36.75
"ACRC",89.6,54.4375,43.45454545,163.0454545,153.5833333
"ACRV1",61.2,76.625,50.18181818,59.86363636,41.08333333
"ACSBG1",30.8,29.5625,27.81818182,26.81818182,25.5
"ACSBG2",31,39.9375,29.36363636,34.63636364,22.75
"ACSF2",102.8,115,215.5454545,96.86363636,112.5833333
"ACSF3",58.4,57.625,47.45454545,52.45454545,61.66666667
"ACSL1",6771.4,706.1875,1103.636364,54.5,116.3333333
"ACSL3",239.4,174.3125,883.1818182,159.3636364,557.9166667
"ACSL4",459.8,210.125,386.4545455,60.13636364,58.83333333
"ACSL5",127.2,240.9375,263.9090909,419.7727273,168.8333333
"ACSL6",42.6,45.5625,33.90909091,37.5,40.5
"ACSM1",26.4,26.0625,23.36363636,23.86363636,23.83333333
"ACSM2A",9.4,9.5625,8.909090909,9.045454545,8.833333333
"ACSM3",29.8,26.4375,17.36363636,33.81818182,20
"ACSM5",21.4,22,32.45454545,16.27272727,14.16666667
"ACSS1",130.4,212.625,128.8181818,303.1363636,450.3333333
"ACSS2",440,370.75,636.0909091,172.5454545,77.91666667
"ACSS3",29.6,32.1875,29.18181818,28.77272727,25.66666667
"ACTA1",38,25.6875,22.27272727,18.09090909,16.08333333
"ACTA2",194.8,200.5,328.2727273,151.4090909,68.33333333
"ACTB",12845.4,15265,11356.45455,9402.590909,1615.333333
"ACTC1",111.8,157.0625,102.3636364,104.6818182,65.16666667
"ACTG1",8745.8,9664.5,9976.727273,9609.590909,9460.166667
"ACTG2",89.8,85.9375,70.81818182,69.18181818,43.58333333
"ACTL6A",28.6,168.8125,324.0909091,347.9545455,87.83333333
"ACTL6B",22.4,22.375,22.27272727,17.72727273,19.33333333
"ACTL7A",47.6,46.75,37.72727273,35.27272727,47.83333333
"ACTL7B",39.8,44,41.27272727,36.59090909,30.66666667
"ACTL8",146.4,140.9375,98.18181818,90.40909091,67.58333333
"ACTL9",19.6,24.6875,18.63636364,19.54545455,17.08333333
"ACTN1",3219.8,493.3125,1804.454545,512.9545455,55
"ACTN2",75.2,72.8125,78.36363636,55.27272727,30.75
"ACTN3",38.4,39.0625,34.72727273,31.27272727,36.91666667
"ACTN4",999.4,758.375,516.5454545,667.5,445.4166667
"ACTR10",1128.6,1140,1674.818182,1127.636364,1185.25
"ACTR1A",518.6,517.25,684.1818182,280.2272727,310.3333333
"ACTR1B",198.4,293.5,349.4545455,479.5909091,418.8333333
"ACTR2",6804.4,4954,4233.454545,3156.136364,2297.333333
"ACTR3",8918.6,5822.5,7879.272727,6153.454545,3049.916667
"ACTR3B",37.2,36.25,38.45454545,57.27272727,36.5
"ACTR3C",28.4,28.3125,26.18181818,22.68181818,34.5
"ACTR5",122.6,154.4375,131.9090909,284.5,613.1666667
"ACTR6",59.6,145.8125,242.7272727,336.4090909,285.3333333
"ACTR8",221.4,361.6875,347.2727273,246.5,244.9166667
"ACTRT2",36.8,31.875,33.81818182,28.59090909,32.75
"ACVR1",58.4,246.125,597.2727273,448.8181818,89.91666667
"ACVR1B",147.8,298.1875,301.6363636,138.8636364,62.41666667
"ACVR1C",29.4,27.75,17.81818182,114.0454545,17.33333333
"ACVR2A",79.2,193.1875,214,177.8181818,351.5
"ACVR2B",38.4,47.875,51.54545455,93.63636364,48.33333333
"ACVRL1",42.8,50.125,61.18181818,43.63636364,43.41666667
"ACY1",71.2,199.1875,424.4545455,122.5454545,113.6666667
"ACY3",26.2,32.8125,23.27272727,26.45454545,22.5
"ACYP1",40.2,84.6875,139.7272727,325.8636364,274.5833333
"ACYP2",41.2,197.0625,207,169.8181818,164
"ADA",55.8,179.375,644.2727273,553.4545455,739.5
"ADAD1",27.6,32.8125,23.90909091,32.54545455,18.25
"ADAD2",74,81.125,67.81818182,55.90909091,80
"ADAL",19.2,26.4375,24.72727273,31.5,40.66666667
"ADAM10",685,336.875,575.0909091,186.1818182,73.25
"ADAM11",84,64.625,48.45454545,44.09090909,57.33333333
"ADAM12",14.6,15.0625,30.63636364,14.81818182,13
"ADAM15",142.2,285.75,269,153.6818182,123.1666667
"ADAM17",489,289.5,340.1818182,229.5,267.9166667
"ADAM18",15.4,16,12.81818182,14.59090909,14.66666667
"ADAM19",1081.6,226.3125,52.18181818,277.5,33.83333333
"ADAM2",11.2,10.9375,8.909090909,9.227272727,9.083333333
"ADAM20",72,72.0625,56.09090909,61.81818182,50.33333333
"ADAM21",29.8,27,16.81818182,23.40909091,15.75
"ADAM22",76,70.0625,49.72727273,60.54545455,53.5
"ADAM23",67.8,103.5,57.18181818,90.36363636,60
"ADAM28",226.6,91.4375,370.7272727,22.09090909,143.75
"ADAM29",14.4,17.3125,14.09090909,16.22727273,11.58333333
"ADAM30",8.2,7.8125,6.909090909,7.545454545,7.583333333
"ADAM32",13.6,13.1875,12.18181818,13.18181818,10.66666667
"ADAM33",310.6,328.375,203.2727273,283.5454545,278.5833333
"ADAM3A",13.4,12.75,11.90909091,13.27272727,11.66666667
"ADAM5P",20.4,25.25,18.81818182,22.22727273,16.41666667
"ADAM6",38,40.375,27.72727273,32.63636364,27.33333333
"ADAM7",23.4,21.4375,18.09090909,21.09090909,19.25
"ADAM8",350,81.3125,56.81818182,108.1363636,51.08333333
"ADAM9",57.6,80.875,843.7272727,18.27272727,22
"ADAMDEC1",12.8,22.75,1069.727273,9.954545455,10.91666667
"ADAMTS1",42,36.25,28.18181818,26.86363636,197.1666667
"ADAMTS10",125.8,121.25,91.63636364,82.68181818,67.75
"ADAMTS12",52.4,51.9375,32.27272727,50.95454545,39.41666667
"ADAMTS13",168.8,121.0625,105.8181818,112.7272727,118
"ADAMTS14",89.6,78.6875,63.90909091,55.72727273,63.91666667
"ADAMTS15",44.6,35.9375,42.54545455,30.86363636,35.08333333
"ADAMTS16",75.4,60.125,44.63636364,39.04545455,44.83333333
"ADAMTS17",22.4,20.0625,18.45454545,26.86363636,22.91666667
"ADAMTS18",18.6,18.8125,15,18.27272727,13.83333333
"ADAMTS19",7.2,7,6.727272727,6.954545455,7.666666667
"ADAMTS2",51.2,51.0625,44.81818182,44.31818182,78.75
"ADAMTS20",11.8,11.25,9.818181818,11.59090909,11.58333333
"ADAMTS3",14.8,10.5,9.363636364,9.5,10.75
"ADAMTS4",80.8,76.3125,53.63636364,61.40909091,71.75
"ADAMTS5",7.4,8.4375,7.181818182,7.136363636,8.25
"ADAMTS6",12,12.0625,14,18.04545455,15.33333333
"ADAMTS7",34.6,34.3125,30.63636364,25.22727273,28
"ADAMTS8",46.6,52.5,50.09090909,40.77272727,44.5
"ADAMTS9",29,31.8125,23.18181818,27.13636364,21
"ADAMTSL1",44,35.625,36,32.72727273,34.83333333
"ADAMTSL2",45,38.6875,34.18181818,25.86363636,38.16666667
"ADAMTSL3",58,54.5,46.27272727,44.63636364,43.58333333
"ADAMTSL4",75.6,67.3125,53.18181818,43.95454545,28.75
"ADAMTSL5",78.2,68.4375,59.18181818,59.09090909,65.58333333
"ADAP1",533,973.6875,423.8181818,237.9090909,568.6666667
"ADAP2",99,598.3125,1070.454545,64.86363636,59.83333333
"ADAR",7176.6,2314.6875,2088.363636,3195.954545,1739.833333
"ADARB1",51.4,30,133,355.5454545,172.3333333
"ADARB2",80.8,60.625,58.18181818,53.90909091,55.5
"ADAT1",275.4,159.0625,142,214.4090909,204.4166667
"ADAT2",28,42.8125,37.54545455,145.2727273,167.0833333
"ADC",94.2,93.375,74.63636364,91.09090909,100.5833333
"ADCK1",91.4,137.1875,161.5454545,116.9545455,63.16666667
"ADCK2",81.6,97.5,262.2727273,99.59090909,121.5
"ADCK4",23.8,18.8125,16.72727273,19.40909091,13.91666667
"ADCK5",50.8,68.875,57.81818182,67.27272727,59.08333333
"ADCY1",64.6,51.5625,50.18181818,39.13636364,39.58333333
"ADCY10",20.4,19.5625,16,18.18181818,18.16666667
"ADCY2",40.6,45.75,35.27272727,35.36363636,38.16666667
"ADCY3",43.4,44.4375,671.1818182,143.9090909,53.25
"ADCY4",239.2,140.75,132.6363636,121.5909091,91.75
"ADCY5",66.8,57.0625,43.63636364,49.72727273,49.5
"ADCY6",69.4,68.125,61.09090909,53.13636364,55.5
"ADCY7",407.6,765.75,688.4545455,781,1371.083333
"ADCY8",43.2,36.6875,33,25.5,23.25
"ADCY9",30,130.5625,218.7272727,79,216.3333333
"ADCYAP1",26.6,25.5625,18.45454545,20.95454545,21.83333333
"ADCYAP1R1",41.6,41.625,34.45454545,34.27272727,30.25
"ADD1",966.4,454.875,476.9090909,835.9545455,979.9166667
"ADD2",36.8,46.9375,35.09090909,40.18181818,25
"ADD3",2425.4,1725.3125,693.5454545,5371.636364,2956.083333
"ADH1A",19.2,21.4375,18.36363636,15.13636364,14.33333333
"ADH1B",12.8,12.875,9.818181818,11.5,10.75
"ADH1C",17,13.8125,11.54545455,11.22727273,11.58333333
"ADH4",9.2,9.3125,9.545454545,8.636363636,9.166666667
"ADH5",123,489.5625,1150.727273,849.5454545,542.4166667
"ADH6",45.4,33.5625,22.45454545,28.45454545,16.33333333
"ADH7",20.8,20.5,21.27272727,18.40909091,15.83333333
"ADHFE1",114.4,222.4375,106.6363636,281.6818182,356.9166667
"ADI1",365.4,993.625,1295.272727,789.7272727,658.4166667
"ADIG",62.6,72.5,58.63636364,66.22727273,43.33333333
"ADIPOQ",10,10.9375,10.18181818,9.727272727,11
"ADIPOR1",2390.4,812.4375,883.9090909,440.9545455,645.4166667
"ADIPOR2",497.4,478.75,623.5454545,315.9545455,346.4166667
"ADK",175.2,622.3125,1396.272727,326.2727273,254.5833333
"ADM",3497,506.8125,681.9090909,30.59090909,66.58333333
"ADM2",151,132.25,111.6363636,104.4090909,101.3333333
"ADNP",215.4,268.625,180.4545455,423.1818182,315.5833333
"ADNP2",353.8,125.5625,219.5454545,291.4090909,1187.833333
"ADO",29.2,114.75,794.9090909,110.5454545,152.5
"ADORA1",139.6,100.125,78,75.22727273,88.58333333
"ADORA2B",85.4,140.5,331.1818182,45.95454545,27.66666667
"ADORA3",67.4,38.25,83.09090909,16.81818182,14.66666667
"ADPGK",1272.6,1369.5,1359.454545,808.4545455,734.5
"ADPRH",41,135.8125,193.9090909,28,35.58333333
"ADPRHL1",61,53,47.45454545,48.54545455,41.66666667
"ADPRHL2",384.2,351.75,490.6363636,347.0909091,373.9166667
"ADRA1A",18.2,14.5,14.09090909,12.54545455,13.58333333
"ADRA1B",16.6,15.6875,17.63636364,12.59090909,17.16666667
"ADRA1D",17.8,18.625,17.81818182,15,15.41666667
"ADRA2A",12.6,12.375,11.45454545,13.18181818,12.41666667
"ADRA2B",130.4,110.3125,132.1818182,75.77272727,85.08333333
"ADRA2C",113.2,80.1875,67.90909091,56.18181818,49.5
"ADRB1",18,16.4375,17.09090909,13.86363636,17.16666667
"ADRB2",241,256.625,112.1818182,111.5,630
"ADRB3",60,55.0625,53.90909091,43.77272727,43.08333333
"ADRBK1",196.6,194.875,153.6363636,169.0909091,189.5
"ADRBK2",94.2,250.625,390.4545455,40.95454545,59.33333333
"ADRM1",357.8,391.5625,580.0909091,337.2272727,720.25
"ADSL",134.8,805.3125,764.6363636,1122.636364,447
"ADSS",335.2,525.5,431.9090909,443.1818182,380.1666667
"ADSSL1",74.8,71.0625,55.27272727,61.22727273,53.25
"AEBP1",104.8,83.625,81,102.2727273,113.5
"AEBP2",83.4,177,205,418.3181818,647.6666667
"AEN",169.6,134.125,122,180.1363636,176.4166667
"AES",199,360.3125,541,1713.045455,1129.416667
"AFAP1",7.8,7.625,7,13.31818182,10.91666667
"AFAP1L1",15.4,17.25,476.0909091,14.36363636,11.91666667
"AFAP1L2",13.4,16.0625,15.63636364,18.36363636,12.91666667
"AFF1",1563,594.0625,1242.818182,1100.318182,1034.166667
"AFF2",29.8,26.4375,24,25.40909091,24.41666667
"AFF3",31.4,26,24.63636364,23.5,24
"AFF4",406,288.1875,696.7272727,562.3181818,1256.416667
"AFG3L1",56.4,71.375,64.36363636,56.27272727,61.58333333
"AFG3L2",116.4,202.5625,300.4545455,210.4545455,163.25
"AFM",9.4,13,10.45454545,11.45454545,13.91666667
"AFMID",48,54.25,35.63636364,29.95454545,34.58333333
"AFP",36,35.875,30.27272727,26.77272727,32.58333333
"AFTPH",1308.8,692.0625,986.0909091,718.3181818,539.0833333
"AGA",44.8,259.4375,403.8181818,181.9090909,185.5833333
"AGAP1",19.8,20.125,17.90909091,31.36363636,733
"AGAP11",18.6,17.5,27.90909091,16.86363636,20
"AGAP2",137.6,94.8125,71.18181818,100.5909091,97.25
"AGAP3",174.6,375.1875,529.0909091,191.5909091,281.5833333
"AGAP4",52.4,37,27,122.4545455,33.5
"AGBL1",27.6,30.875,19.63636364,21.09090909,17.75
"AGBL2",16.4,13.4375,12.36363636,30,23
"AGBL3",8.6,8.25,7.454545455,8.363636364,7.666666667
"AGBL4",12.6,12.1875,10.81818182,11.59090909,12.41666667
"AGBL5",16.6,16.5625,15.81818182,14.27272727,22.25
"AGER",132.6,66.25,51.72727273,58.09090909,62.16666667
"AGFG1",447.6,795.5625,529.6363636,378.0909091,701.4166667
"AGFG2",58,61.4375,83,206.9090909,46.58333333
"AGGF1",220.4,301.1875,330.9090909,362.8181818,331.5833333
"AGK",70.8,183.5625,233.5454545,333.2272727,444.5
"AGL",83.6,110.75,371.5454545,607.1818182,404.75
"AGMAT",23.6,24,16.54545455,20.31818182,26.5
"AGPAT1",516.2,278.8125,209.3636364,403.2272727,238.25
"AGPAT2",284.4,348.25,503.7272727,194.0454545,145
"AGPAT3",38.8,192.6875,220,166.5909091,85.91666667
"AGPAT4",46.2,77.5,101.9090909,50.5,172.75
"AGPAT5",48.4,181.8125,283.4545455,200.0454545,203.25
"AGPAT6",258,363.5,445.9090909,380.3636364,403.1666667
"AGPAT9",1136.4,435.1875,1594.272727,87.90909091,32.75
"AGPHD1",17.4,17.75,15.81818182,22.18181818,16.16666667
"AGPS",70.2,177.4375,550.5454545,97.31818182,110.0833333
"AGR2",24.4,23.5625,20.63636364,24.18181818,26.66666667
"AGR3",8.6,9.125,8.909090909,8.681818182,8.333333333
"AGRN",129,99.875,175.6363636,78.63636364,73
"AGRP",66.6,76.8125,76,65.04545455,81.33333333
"AGT",38.6,37.25,31.09090909,33.77272727,27.83333333
"AGTPBP1",272.6,160.75,42.90909091,97,101.8333333
"AGTR1",22,22.1875,18.90909091,20.04545455,27.75
"AGTR2",21.6,23.625,17.36363636,17.40909091,22.08333333
"AGTRAP",1304.6,2481.5625,510.2727273,320.0909091,604.9166667
"AGXT",26,27.0625,24.54545455,25.86363636,37.91666667
"AGXT2",30.6,29.5,21.27272727,24.13636364,19.33333333
"AGXT2L1",10.6,10.4375,9.272727273,9.636363636,9.5
"AGXT2L2",269.8,313.5625,201.2727273,545.9090909,315.4166667
"AHCTF1",818,68.6875,139.7272727,193.0454545,332.6666667
"AHCY",60.6,373.9375,546,197.6818182,202.1666667
"AHCYL1",1358.4,1256.125,3300.545455,992.9090909,316.4166667
"AHCYL2",83.8,171.8125,220.1818182,209.7727273,116.25
"AHDC1",29,41.5625,37.63636364,68.59090909,81.58333333
"AHI1",33.8,31.8125,97.27272727,65.54545455,69.25
"AHNAK",39.2,648.9375,98.18181818,129.4545455,39.66666667
"AHNAK2",43.4,41.75,44.54545455,37,26.25
"AHR",123.6,860.8125,732.2727273,286.1818182,605.8333333
"AHRR",30.8,26.875,297.9090909,26.31818182,26.5
"AHSA1",357.2,572.6875,659.5454545,724.6363636,569.3333333
"AHSA2",235.4,252.6875,273.7272727,804.2272727,970.5
"AHSG",39.8,35.4375,30.09090909,28.81818182,30.83333333
"AHSP",83.8,61.25,52.81818182,47.77272727,59.58333333
"AICDA",26.2,22.5,17.81818182,13.68181818,11
"AIDA",406,787,1314.818182,2060.909091,729.4166667
"AIF1",5012.4,7199.3125,2304.545455,477.7272727,286.6666667
"AIF1L",29.2,35.1875,21.27272727,30.18181818,24.33333333
"AIFM1",61.6,192.6875,510.2727273,216.5,104.1666667
"AIFM2",50,50.8125,562,50.18181818,54.83333333
"AIFM3",58.2,106.5625,76.09090909,56.54545455,70.16666667
"AIG1",47,40.375,79.18181818,56.90909091,77.25
"AIM1",657.8,746,1300.181818,910.9090909,441.9166667
"AIM1L",105.6,87.5625,83.18181818,77.18181818,99.41666667
"AIM2",402.2,210.875,53.36363636,71,31.58333333
"AIMP1",112.8,898.8125,890,1054.545455,733.9166667
"AIMP2",84.2,635.875,764.0909091,304.5454545,196
"AIP",395.4,701.4375,554.7272727,976.1363636,843.6666667
"AIPL1",63.8,65,53.45454545,38.54545455,53.83333333
"AIRE",63.4,68.5625,60.81818182,67.40909091,54.25
"AJAP1",29.2,26.125,22.18181818,21.04545455,19.16666667
"AK1",120.4,109.875,181.0909091,147.5454545,168.3333333
"AK2",119.6,382.1875,459.0909091,188.9545455,68.91666667
"AK3",158.4,338.6875,1252.181818,877,761.75
"AK3L1",40.6,48.3125,176.1818182,44.31818182,29
"AK5",48.4,50.1875,28.36363636,104.5909091,58.58333333
"AK7",64.6,80.1875,60.09090909,62.68181818,52.83333333
"AKAP1",61.4,164.625,291.5454545,401.1818182,206.8333333
