"AGENE","CD56NK","CD4MemoryT","CD19B","CD14"
"AC005789.11",0,0.0001166181,0.0001192464,0
"AC005789.9",0,0.0001166181,0,0
"AC005808.3",0.0002425713,0.0001166181,0.0001192464,0
"AC005943.5",0,0,0,0
"AC005944.2",0.00194057,0.0017492711,0.0003577391,0
"AC005954.4",0,0.0001166181,0,0
"AC006042.6",0.0001212856,0.0001166181,0,0
"AC006042.7",0.0001212856,0,0,0
"AC006115.3",0,0,0.0001192464,0
"AC006116.17",0.0002425713,0.0001166181,0.0003577391,0.0008179959
"AC006116.20",0.0070345664,0.0026822157,0,0.0016359918
"AC006116.21",0.0002425713,0.0001166181,0,0
"AC006126.3",0.0001212856,0,0,0
"AC006129.1",0.0002425713,0,0,0
"AC006129.2",0.0452395391,0.0264723032,0.0331504889,0
"AC006129.4",0.0003638569,0,0.0159790126,0.000408998
"AC006160.5",0.0007277138,0.0001166181,0.0005962318,0
"AC006277.2",0.0003638569,0.0004664723,0,0.000408998
"AC006369.2",0.0303214069,0.0436151603,0,0
"AC006372.4",0,0,0.0001192464,0
"AC006372.5",0,0,0,0
"AC006449.1",0.0008489994,0,0,0
"AC006460.2",0,0,0,0
"AC006486.1",0.0004851425,0.0004664723,0,0
"AC006547.13",0,0.0001166181,0,0
"AC006547.14",0,0,0,0
"AC006547.15",0.0001212856,0.0005830904,0.0001192464,0.000408998
"AC006547.8",0,0,0,0
"AC006942.4",0.0044875682,0.0041982507,0.0036966373,0.0040899796
"AC006946.16",0.0001212856,0.0005830904,0.0002384927,0.000408998
"AC006946.17",0,0,0.0001192464,0
"AC006994.2",0.0041237113,0.0008163265,0.0011924636,0.0032719836
"AC007036.6",0.0001212856,0,0.0005962318,0.000408998
"AC007038.7",0.0020618557,0.0002332362,0.0014309564,0
"AC007040.11",0.0001212856,0,0,0
"AC007040.6",0.0002425713,0,0,0.000408998
"AC007040.7",0,0,0,0
"AC007161.5",0,0,0.0001192464,0
"AC007163.3",0,0,0,0
"AC007163.6",0.000970285,0.0001166181,0,0
"AC007182.6",0,0,0,0.000408998
"AC007192.6",0,0.0001166181,0.0002384927,0
"AC007193.8",0,0,0,0
"AC007228.11",0.0031534263,0.0010495627,0.00393513,0
"AC007228.5",0,0,0.0007154782,0
"AC007228.9",0.000970285,0.0024489796,0.0016694491,0.0024539877
"AC007246.3",0.0041237113,0.0037317784,0.0032196518,0.000408998
"AC007251.2",0,0,0,0
"AC007285.6",0.0001212856,0,0,0
"AC007292.3",0.0001212856,0.0003498542,0.0001192464,0
"AC007292.4",0,0,0,0
"AC007292.6",0.0003638569,0.0001166181,0.0004769855,0
"AC007292.7",0,0.0001166181,0,0
"AC007308.6",0,0,0.0001192464,0
"AC007319.1",0.0001212856,0,0,0
