"AABleh","cytotoxic.CD56.dim.NK.cell","memory.CD4.pos.AB.T.cell","memory.B.cell","CD14.pos.CD16.neg.classical.monocyte"
"PPP1R12C",32.5821428571,38.2797857143,32.7937142857,45.012
"MAPK8",13.525,12.8755,13.8765714286,13.0769142857
"ERICH6-AS1",7.1935714286,1.8569285715,0.7214285714,0.2818857143
"SGPP2",0.0267142857,1.5339285714,0.7135714286,0.0973142857
"CUZD1",0.5569285715,0.3533571429,0.626,0.1376
"LINC01184",4.5440714286,7.694,12.3977142857,2.4123142857
"WTAP",57.8517857143,74.0171428572,71.4788571429,90.6348571429
"LYL1",0.3625,2.5657142857,29.4837142857,19.1797714286
"ATP8A1",58.6431428572,12.0615714286,20.9944285714,9.1171428571
"BCOR",8.7487142857,5.5600714286,10.6342857143,8.5324
"RAD54B",1.2012857143,3.5812142857,1.1895714286,0.1368285714
"SERINC2",0.0497142857,0,0.0568571429,0.8973428571
"THNSL2",0.1452857143,0.2071428572,0.3004285714,0.5453428571
"THNSL1",1.1601428572,0.9217142858,1.2522857143,0.0347714286
"BCAP31",68.8418571428,67.9105714286,49.2577142857,40.8909142857
"METTL9",39.5937142857,53.9017857143,27.7082857143,123.659314286
"VPS35",12.1255714285,16.9305714286,26.2348571429,31.3769714286
"ADTRP",0,12.1734285714,0.105,0.3260857143
"VPS36",16.8953571429,13.5907142857,18.5988571429,15.2788857143
"CCL18",0.1397857143,0,0,0.5151142857
"METTL1",1.24,3.131,1.9457142857,1.3265428571
"BLOC1S5-TXNDC5",5.5906428572,5.2032142858,18.055,5.4289142857
"METTL3",29.6704285714,28.9515714286,38.5214285714,13.7129428571
"METTL4",4.2182857143,7.0675714286,6.3535714286,1.7694571429
"METTL5",14.5057142857,18.9341428572,19.2437142857,8.0189142857
"METTL6",8.4035714286,6.065,4.7922857143,3.7602
"TAS2R43",0.7105714286,0.8005714286,0.0568571429,0.5125714285
"STAT5B",29.7306428572,74.035,20.3128571429,27.9976857143
"STAT5A",25.8498571428,51.1242857143,31.8837142857,41.6215428571
"FDX1L",2.1718571429,1.9565714286,2.3394285714,1.1544
"TAS2R46",1.1972142857,1.5062857143,2.6481428571,1.3314
"KCTD3",0.6564285715,0.3804285715,1.1622857143,3.7438285714
"KCTD2",5.8114285714,7.323,5.3702857143,4.7595714286
"KCTD1",1.0727142857,1.1272857143,0.8767142857,0.3776571428
"KCTD7",3.2169285715,4.0607142857,4.3302857143,1.4748571429
"KCTD6",2.6142857143,2.319,4.5537142857,3.3079428571
"KCTD5",8.616,4.0604285715,5.0205714286,7.7623428571
"PPCDC",4.388,2.5918571429,2.3028571429,12.0995142857
"C1orf109",4.8295,4.0397142857,4.0657142857,1.7985428572
"KCTD9",9.1926428572,7.2931428572,5.1594285714,4.4476
"UST",4.1307857143,2.8338571429,5.346,0.3808285714
"TOLLIP-AS1",0.8770714286,0.8634285715,0.5497142857,0.3164857143
"GLTSCR1L",8.9727142857,9.5617142858,5.856,5.4191428571
"SERPINA1",0.0892857143,0.0261428572,0,338.507485714
"MED9",5.2115,4.9352142857,6.7151428571,2.6682285714
"HCFC2",5.2571428572,4.0998571429,2.9351428571,3.4252
"HCFC1",9.737,8.4933571429,8.4511428571,11.0887714286
"EXOC6B",3.0325,3.5265,3.0457142857,2.1174
"NRAV",1.0378571429,0.1072142857,0.344,0.1345428571
"ZC3HC1",3.213,2.4847142858,2.8231428571,1.8498285714
"LINC-PINT",66.9645714286,94.9610000002,106.790571429,20.5667428571
"NRAS",18.7358571429,12.536,16.754,19.2898571428
"PDZD11",8.5697857143,5.6212857143,4.1737142857,3.1368571429
"PXK",12.4447142857,5.2464285715,41.1374285714,23.7562
"FOXRED2",0.5014285715,0.1451428572,0.4025714286,0.4568285714
"FOXRED1",5.4765714286,3.9372857143,5.2065714286,3.4183714286
"PXN",70.9824285715,25.1761428572,0.1791428571,34.3774571429
"LOC374443",82.4424285714,46.4322857143,48.8884285714,10.4741428571
"CABLES1",0.1662857143,0,0.0442857143,0.0778
"ZNF432",4.7917857143,4.5042142857,6.5297142857,2.8663142857
"CABLES2",1.2808571429,0.8149285715,1.0785714286,1.0175428571
"SLC25A48",0,0,0,0
"SNORA32",1015.74428571,782.531142857,1846.67285714,31.5491428571
"SNORA31",4214.254,4483.298,3502.12314286,4282.39131429
"ESF1",4.0722142857,5.1655714286,4.7582857143,3.0142
"SNORA37",3682.11342857,3058.61442857,3663.15971429,4128.40371429
"SNORA35",0,0,0,5.7950285714
"SNORA38",2591.88942857,1857.433,2177.216,2454.65914286
"LIX1L",13.1013571429,17.2684285715,5.4337142857,5.4232571429
"WBP11",9.7326428572,11.3842142857,13.5901428571,10.544
"LOC101927379",0,0,0.0442857143,0.0013714286
"PACS1",16.6743571428,21.7845714286,28.6095714286,8.6274
"PACS2",8.9195714286,9.684,7.1612857143,11.2037428572
"LOC105373378",2.0316428572,1.8227142857,2.0771428571,1.3709428571
"FAM63A",2.0157857143,9.1815714286,1.7668571429,7.1404
"SBNO2",11.9973571428,12.5387857143,8.9291428571,21.8834857143
"PCSK1N",0,1.2097142857,0,0.0024571429
