,"Neutrophils","T_cells_.gamma.delta.","Monocytes_CD14.CD16.","Macrophage","T_cells_.CD4..","Fibroblasts","Endothelial_cells","Keratinocytes","CD34.","Platelets"
"HUWE1",7069.9006800889,7928.2991195111,8652.7412972889,7406.6379882667,7612.0493339778,7472.6089950667,7305.7673460889,7545.6279136889,7612.0493339778,8520.7417237111
"HVCN1",876.8342309111,145.0326770211,799.1022428667,663.7261085578,220.4479862822,86.2876755156,93.0991271222,138.9790103567,198.7706625,243.45092356
"HYAL1",26.135911014,25.6605290691,28.3654309753,25.4684488376,26.4809508152,24.9495102084,33.1297730162,106.3199146067,27.0515062858,30.8644008838
"HYAL2",182.7793748622,94.2708340378,172.7636791711,174.4537829011,98.4576778244,157.4859219244,671.2044922844,180.0698225778,87.94059465,127.9794718956
"HYAL3",39.3658082284,85.1907088956,33.0197426588,47.4165952811,30.9128048712,40.3010942253,41.0229077872,45.348296966,52.3484835709,51.5454170713
"HYAL4",43.5880156628,36.2076837111,39.8205832564,34.3597012551,39.3976368586,32.1510403009,35.8295819889,369.9277053978,39.306849364,37.748368968
"HYALP1",9.642119621,11.3097456886,9.7991686114,10.2815070654,9.8531846281,10.3014066952,10.7519276616,10.5040309946,9.6822454878,10.5121826643
"HYDIN",40.2256980444,35.126666198,38.92145951,33.0053096323,36.7621696434,29.6130676271,32.9870231971,33.4072414938,39.6279490833,33.9124420192
"HYDIN2",36.3601505992,33.7554804616,41.2574627324,30.0741382798,37.9503825976,31.3806818788,32.1064435758,34.7967438819,38.1306425082,39.2796990362
"HYI",90.4969984756,72.6085204818,83.5727682522,74.1382829264,78.1057533142,120.6152249933,331.3496849356,51.3860323144,128.5031108222,91.4869891356
"HYLS1",46.2639114712,187.1130692733,104.2145024467,92.3191550433,107.6947983711,169.9678087911,198.2067662256,84.5009532467,89.5848893911,194.9223691711
"HYMAI",117.6708801811,16.6627297504,39.2218985922,31.3535210844,20.579199166,26.5683483711,22.7027995563,35.0420715689,158.8104779611,27.8018736349
"HYOU1",126.5329118044,490.4387671589,238.0776317011,368.5767579089,372.32575996,335.90883834,731.7174084711,416.7984034,118.9103823467,45.7107560951
"IAH1",157.3494005389,677.2813843689,561.3607751378,487.9959328911,404.3412166333,578.3047850978,415.0469006067,212.7117224756,352.3812613222,343.05479431
"IAPP",17.5099430913,18.4022153794,18.7199093311,15.6985724602,17.9240490526,16.1662060121,16.1998673676,19.079459388,18.4756976076,16.1519157371
"IARS",40.9878748002,1021.3920511222,231.8075442456,1369.5141814444,592.43478131,2318.9642880667,1224.5429254222,1414.8547224667,975.7698868889,467.0990462267
"IARS2",111.47312887,488.8481965489,413.3569945911,634.0447331111,556.2420937133,523.7918783133,623.9233313,620.1254157911,386.8628312356,331.0965841056
"IBSP",53.3208977186,34.7905244007,39.9161917507,40.5535875429,34.1696529551,32.5586457411,35.0986366727,41.6760536536,24.5067856248,53.9191352429
"IBTK",11.229015777,11.8321930587,14.2742880111,15.2225999153,16.5685061084,11.0677855682,11.1272472195,9.8377308666,10.2458649942,9.9741080742
"ICA1",40.0158234259,30.4474268502,40.0254015914,54.5526666173,49.6385430602,19.4426337473,76.5070319213,28.2932012393,80.5792101507,46.8349853664
"ICA1L",28.0894491431,58.9481467024,21.2118779413,29.94305595,25.6396493749,48.6982872311,31.6414392471,21.5010175471,77.6135240082,44.8176885649
"ICAM1",527.1485154644,105.5161342422,191.0703845356,302.4092290844,32.7848018274,104.8578851289,112.3290515889,23.6829797509,65.2686374244,31.3233391249
"ICAM2",111.47312887,153.8745607467,338.1642203756,76.5070319213,850.6017100667,36.0066185118,1881.6799099778,55.1154456691,178.4426863511,141.4162022622
"ICAM3",4600.7487857556,1449.1825591556,1302.4852835778,123.6700242878,1600.0313334889,97.00961228,102.6818826411,46.3563038067,938.7622486667,593.7575090689
"ICAM4",22.0821934624,17.5458886962,72.3907150662,29.0859334369,20.9944244242,17.999690602,23.4302447569,15.6690703947,135.0973769544,26.5205097959
"ICAM5",36.8422384854,28.6701895429,26.5291952007,34.3597012551,24.3903393247,27.2450692298,27.4862346384,24.1211080627,24.0611990884,41.6055417222
"ICK",22.9870031736,47.9382358531,25.4355520391,24.662085636,46.5773529166,50.6267208013,36.6222470902,33.6736064649,35.502467132,28.0450800427
"ICMT",32.1222939387,25.3013993844,24.4248127229,20.5499782327,21.4629710618,20.8822110407,20.9937403464,21.27152536,18.1951968022,23.1107032254
"ICOS",41.3776002567,262.6253469867,22.3726748798,29.3677701691,279.2145634644,20.5637381629,20.0191143889,25.9534742569,19.6657347136,84.5227739467
"ICOSLG",62.7984376529,50.1559162262,84.3719591933,65.5940929842,51.9980334846,42.5946194404,51.7771610673,62.2026349577,57.678322536,92.7759606244
"ICT1",29.2905406816,187.1130692733,173.6144467844,154.9831173022,152.5957323022,162.5698189,206.0932028022,170.8235794456,141.4822899,165.1024338511
"ID1",19.2279866813,23.7426968036,121.4596648111,73.7990917942,21.2452372413,1025.4477436667,891.6822716222,624.3075887311,167.7022792733,16.2845756896
"ID2",201.1714034,1222.8766514889,631.5069911578,614.5961657933,279.9492823778,624.3075887311,60.3374212729,260.9308157433,752.12592764,278.2101080489
"ID2B",14.6617169951,27.2088040067,18.6382972873,21.3543442056,16.5300100176,20.4696145016,15.0303522402,17.6036313882,19.5432072282,20.8564897402
"ID3",48.9574490771,68.2615749289,40.2284984298,192.0716047867,124.80479566,1891.0269047778,918.7022744444,405.4148309911,134.5503372667,69.8129513491
"ID4",7.9974747659,8.254612575,8.3791659232,7.847756653,8.0637258459,80.8044722367,9.0101113317,19.3545791351,8.6445697524,8.1622651351
"IDE",46.0347433604,162.88898554,157.26660378,228.1935655356,144.5024724111,259.2632459944,219.2930828833,1122.3780383444,274.6666029511,193.5495030156
"IDH1",18.1183021904,19.6700537802,15.5320109273,31.2480484321,18.491249889,12.331668102,13.8119406384,15.9118237453,29.611326116,15.8782535978
"IDH2",42.4996742319,96.7029588533,64.8770314883,83.7042147222,94.9041551333,61.8122579338,64.29504063,51.6136058053,107.7521302533,44.6410387842
"IDH3A",35.2438486562,125.6900519911,251.1949653889,137.8527123378,131.6545413289,90.3615220022,111.5559964133,151.1977742044,192.2171205833,94.1391234867
"IDH3B",234.7343387089,384.07722327,510.2940257244,381.8418329067,420.5091968356,352.8702620289,395.85784498,378.1307279511,537.5507636022,97.4068593444
"IDH3G",183.0192691622,142.1823756444,221.6751357556,161.6783803689,168.9235124578,91.3518635622,106.74829373,123.7642488522,97.0953587967,102.1646878111
"IDI1",1207.2447320222,773.0432347111,403.8837596533,700.9430890578,341.70908128,616.8593892422,432.8157820444,1099.6734275556,635.6763066978,578.16349964
"IDI2",66.6328214544,76.5081454384,75.9636222542,69.4439904692,76.9267994596,115.0963004311,102.7541775467,65.6106501682,163.6938410489,86.0836147844
"IDO1",265.8291695811,31.8912622222,59.2841378169,63.2116996064,41.617393574,27.9798936373,30.1690325433,33.1544568487,41.5575626153,53.0465086128
"IDO2",16.3211378887,13.9054137618,17.4624641449,14.5379198176,15.9673038361,13.0402162524,14.0417635209,16.1472819251,15.1882532422,13.9434230247
"IDS",1067.5756022333,316.9803541933,339.9991241111,229.6424002022,201.2435872867,168.1786381244,129.0968801422,181.55844654,154.7218800778,399.7851951867
"IDUA",35.7592588927,57.2832214176,79.1587092387,50.6478888173,161.6783803689,107.8752783444,57.9622865531,42.0550129192,41.6691524698,33.0695564164
"IER2",3205.6369217111,1505.1391103556,2937.9270045556,512.5776273178,2211.3676100444,722.8373147533,1022.0270159556,1376.3983504444,2627.1185525333,439.9126982511
"IER3",1487.6841953333,326.2045436878,846.6942725333,692.1230416133,131.43562906,1244.6388289778,1232.3134049111,425.8050847156,1824.9929265778,177.0186384133
"IER3IP1",52.4303028178,633.0281479889,499.6337748333,613.1066806822,473.8674834867,690.8755570378,790.5747668222,612.3817158756,879.6834371444,424.7493247089
"IER5",566.3572781933,1154.9350802,842.2606747778,344.6404746289,368.5767579089,324.09288036,397.6194481778,786.1767912,766.4191952222,316.2382384267
"IER5L",50.7710774104,49.1257172767,58.9675952644,78.8051729493,44.1515030947,162.7451516467,84.8686123211,51.3860323144,57.5462074078,62.9986974262
"IFFO1",188.5105275056,112.7877430889,304.1735583933,198.0072334578,268.3262867178,150.3179253167,118.0354151156,42.7087675146,136.75027284,273.7426386678
"IFFO2",32.5148978409,78.1878060836,57.4472008977,36.6670755627,167.6658727467,68.9205872931,107.4453972911,614.1280077022,62.8122214143,112.8994621289
"IFI16",2037.9096859556,2181.5376124444,1076.9018090222,1022.0270159556,1212.2928830667,812.7088917111,1362.0758214,390.6269180289,1174.9103739111,960.8260202222
"IFI27",29.6101439989,35.126666198,33.6950623862,46.3530154178,37.0362890097,420.5091968356,2205.2117506667,290.3382758878,46.4885779627,47.0000265687
"IFI27L1",161.4984465622,111.3129786556,133.5377605456,127.3503461244,103.2504922444,112.7766679544,108.2715310156,133.71138079,235.64808394,290.5564729822
"IFI27L2",192.3489522722,304.5878475356,315.2353486311,243.3339351533,147.9685601467,242.5043275311,190.2032592844,226.6675023467,148.9686993222,311.25762068
"IFI30",2491.5688750667,388.69473332,7545.6279136889,7928.2991195111,489.3075596844,212.2605183,96.2619768956,872.0952148667,686.8361550578,667.0188245633
"IFI35",318.0597735322,311.1987416456,468.5966367589,244.0283355011,185.1514904956,152.33080804,91.7505859856,57.5380116911,156.8215507756,47.6293507051
"IFI44",260.5735185089,213.5898236111,426.8022927489,202.9009993844,234.8997083478,55.099772738,111.4067499556,23.4404576236,222.4729711467,431.0059907344
"IFI44L",212.5386983256,24.5144359454,286.8804717556,69.9330277501,128.6304316444,29.0456869187,46.124211264,17.8466362629,69.8445551667,356.4015073933
"IFI6",373.10020202,146.2449168311,542.66869864,499.8404962233,155.0649541267,189.7029236111,107.9309387444,92.1088138367,101.5197069433,81.0031629633
"IFIH1",28.6816204847,32.9467508513,19.6184191358,21.6931543011,14.6090392442,13.0402162524,13.1750239453,12.2859068356,15.5559789831,19.3545791351
"IFIT1",1167.5706044667,25.6605290691,286.70558992,201.8584122867,69.4034801122,486.4904309667,58.9841774926,37.0913156451,41.6691524698,229.8180871089
"IFIT2",3779.6795380667,39.4161152651,517.0143410467,236.1445448244,126.9179738356,247.6742877133,46.6020293274,33.916195734,189.0048216,413.8490266278
"IFIT3",2375.7270152222,23.7426968036,486.6747165667,577.71520248,75.9028264782,419.9676601933,60.2512987282,14.8791788193,110.4110052578,260.7867929689
"IFIT5",603.8548388889,115.6540380967,228.2697702133,172.2718202356,154.5748876222,402.1009411067,101.2425834711,53.6576202513,94.1889827811,295.2488118733
"IFITM1",3399.3666228444,2171.5887260222,671.2044922844,76.1308273393,3625.3491648222,652.1737805689,312.2916020156,60.1058837306,142.4066735922,129.5626138322
"IFITM2",10015.6740766889,2007.3022032667,3364.1611770889,405.81647202,2964.2430125778,2827.9023871556,2465.6965258889,172.7051582667,869.3461191333,441.7475588244
"IFITM3",5188.7336794,1113.9067976222,2591.3918404889,537.9829486756,1720.136382,4137.7517066444,2964.2430125778,440.8200334033,827.1322689556,510.2940257244
"IFLTD1",46.4522712693,37.8687347364,56.1447914502,34.5892934159,51.2904616947,26.8113569344,31.6960703246,50.3870778732,50.7645272084,29.4761957462
"IFNA1",10.0394406425,10.1398290919,10.8456923803,11.961357559,10.3272256729,9.9347187544,10.9077254335,11.9998214791,10.3776167628,10.3351907119
"IFNA10",18.934791588,17.5458886962,20.5499782327,16.160693664,20.2050626042,16.8277134986,15.473302921,17.3292061747,19.6657347136,19.502262978
