,"Neutrophils","T_cells_Gamma_Delta","Monocytes","Macrophages","T_cells_CD4.","Fibroblasts","Vascular_Endothelial_Cells","Keratinocytes","Blood_CD34._cells","Platelets"
"MTHFD2L",13.6816584511,21.5659669653,23.4939704836,19.4640159022,17.5616973122,16.9130762718,21.1229511443,25.3069548224,32.356261499,57.4723616121
"MTHFR",68.7549896919,53.1548502091,80.0183095313,76.8488877078,60.9351790463,49.1020890949,68.5815194847,58.2851772002,64.0509189704,104.9792483167
"MTHFS",653.2494042,213.3758537044,333.1979438333,301.4165170978,219.7343290956,190.0224614967,150.1436601244,139.1502555089,195.0722636511,687.6613778578
"MTHFSD",21.9535288222,30.4849984269,23.5708935796,22.5111412147,25.0685193024,24.9810355353,24.2727053476,26.1619968167,24.5908098609,19.4187245478
"MTIF2",134.2510519433,510.1596142967,378.9691037189,591.0917890244,745.8391927889,400.6429897511,416.4302993856,695.6326378044,1066.1151988222,490.9421654022
"MTIF3",55.4851584642,64.3715360017,54.3713104748,57.4505331033,61.1321716062,62.441939271,65.2595475,62.6703271189,57.8008867459,48.9143312162
"MTL5",20.9636143619,15.8568815024,17.5453307851,15.4715825978,18.8783182587,15.0862041887,21.4637614173,17.7929656433,27.5518260011,16.4835937702
"MTM1",95.40435987,132.9276394589,65.3375928931,71.8593244422,94.1631528633,33.2283446864,68.0151699733,57.6417939858,82.6933565433,34.416354794
"MTMR1",150.1436601244,186.1119694756,77.9107365833,138.0630259067,190.6669214756,91.4487925689,94.8007601333,155.8333735711,102.0803272089,97.5114377422
"MTMR10",242.8875794467,70.6653962698,127.8112777733,115.0963004311,84.8049745956,68.0890882442,87.9250729767,71.1054282418,92.1811483622,153.6515138511
"MTMR11",59.8675603487,38.3912167496,378.4491417211,94.2466261067,48.774936919,129.06229318,64.0365937142,109.1960315,39.7787995009,88.3134428244
"MTMR12",160.3603704133,164.6637000378,154.2196274667,156.1072352833,175.1242272489,123.9706288378,189.9277219489,157.9307601311,203.9634742767,685.53268782
"MTMR14",342.16758548,129.3782730211,242.3004232389,200.24145878,153.6929910222,83.5082974156,104.3720344533,90.0324253956,125.1106443889,193.57854388
"MTMR15",48.9097500569,43.0303173211,45.5161884998,43.1439019376,53.8847585531,44.1318465304,39.3798442611,45.9242941523,52.8491829902,62.7146837784
"MTMR2",32.7974632069,210.04855744,67.2566433701,136.8982292922,92.0500816344,228.7961212022,399.3634628889,152.3224267889,160.7530643933,659.8209619733
"MTMR3",369.1475543467,70.1629335691,134.5503372667,97.2936387633,79.7253895869,62.9781872736,72.5526791366,86.3093217133,68.0151699733,74.0493709167
"MTMR4",405.4148309911,429.14039132,249.4494808178,397.4408181711,541.7292879656,241.6788637444,286.2458721733,308.5496342156,489.8732089078,115.5490126578
"MTMR6",234.1861139022,131.7531813356,163.9331576722,133.6795665367,157.8740794656,97.8874895522,103.9944646867,103.5652208233,141.8941439511,55.5895781641
"MTMR7",10.7180317947,10.8705477593,10.4486854238,10.2617235358,10.182480967,10.1582174244,10.1691784625,9.8942388913,10.1047451325,10.8478993419
