Gene	HD30PBMC0	HD30PBMC1	HD30PBMC3	HD30PBMC7	HD31PBMC0	HD31PBMC1	HD31PBMC3	HD31PBMC7
FCN1	2693.440836	3313.407179	2227.732485	2129.043812	2647.981172	2461.33333	2655.180156	2740.300408
RPL6	2464.530895	2115.40836	2580.419547	2448.819286	2630.226524	2756.928363	2731.720204	2653.698259
RPS21	2010.571002	2255.123188	2489.342492	2510.530952	2793.927167	2721.130229	2530.878854	2739.979158
HLA-A	2252.182188	2589.597084	2165.664116	2318.673637	2542.641599	2456.386036	2417.34521	2679.338975
RPL29	2213.81604	2166.361547	2422.286793	2493.922402	2528.891885	2508.410021	2441.021256	2646.058042
HBA2	1453.800736	2507.172811	1768.907032	2639.448674	2158.12221	1452.138444	3772.145406	3124.495121
RPL10A	2050.696165	1932.311269	2367.65949	2399.910189	2368.480123	2499.683962	2364.178809	2510.92581
HBA1	1139.893903	2415.32933	1580.369646	2669.151608	2112.81769	1463.435098	3770.978403	3261.671401
RPL36	1904.457641	1834.231159	2159.445057	2290.629156	2812.441027	2467.772866	2423.965534	2479.466626
FTH1	2228.023883	2709.869083	1802.359075	1807.779201	2673.971573	2539.374154	2032.400793	2209.529729
EEF1G	2079.9018	1951.548616	2187.341423	2431.456059	2231.898471	2264.381373	2288.086204	2324.568546
TXNIP	2719.836598	2087.311606	2234.242901	2795.737721	1795.61892	1880.736571	1936.003352	2113.089188
PSAP	2478.795789	2870.107232	2068.187072	1950.107038	2005.015659	1940.745925	2017.269125	1980.798852
S100A4	2197.712504	2285.601014	2033.2195	1902.736711	2412.010485	2062.459136	2159.876218	2185.745748
RPS20	1839.280262	1715.484018	2097.52544	2021.99281	2443.347297	2411.786631	2356.562435	2340.602337
RPS15	1894.699425	2050.752342	2101.364323	2042.459147	2287.961462	2227.757634	2238.015302	2356.865917
RPL5	2074.519832	1746.980816	2243.2387	2229.320541	2153.793529	2329.731094	2179.187846	2212.915458
RPL35	1914.74442	1782.106361	2155.677478	2007.167293	2332.326227	2222.423794	2312.287585	2439.201866
HLA-E	2256.401674	2281.786431	2232.958991	2214.935622	2030.822854	1977.896696	1840.302912	2044.957193
RACK1	1952.997693	2108.942564	2048.952806	2291.10319	1964.995296	2138.048084	2125.870621	2192.083838
RPL23A	1742.683037	1678.271834	1987.512086	2018.782128	2137.633386	2287.549469	2106.683591	2228.755055
RPS7	1811.994957	1582.969613	2019.941157	1907.078549	2169.131583	2225.844922	2110.403958	2159.086479
RPSA	1709.41849	1656.387446	1930.312911	2074.980155	1761.830469	1964.941616	1879.501783	1930.75918
RPLP0	1751.583451	1792.661171	1924.259943	2065.94796	1773.236543	1887.538989	1834.305621	1855.913522
HLA-DRA	1886.427471	2332.864218	1616.727342	1682.383986	1854.439108	1994.127763	1390.675442	1356.656361
CD52	1753.710572	1639.927472	1861.320444	1966.93487	1789.06088	1686.456718	1708.525967	1660.415412
RPL14	1650.419437	1431.076526	1786.692904	1767.685731	1870.422615	1846.574095	1832.559615	1753.261479
