"gene_symbol","B_cells","NK_cells","T_cells_CD4.","Monocytes"
"ATP8A2",20.277009,21.353641,25.421764,21.446161
"ATP8B1",44.876601,42.133081,40.7044,36.096064
"ATP8B2",47.141956,52.765696,66.504025,37.871716
"ATP8B3",17.2225,17.405584,17.181025,16.957924
"ATP8B4",12.752041,59.243809,18.800896,38.254225
"ATP8B5P",10.445824,10.188864,10.029889,10.510564
"ATP9A",25.684624,34.562641,27.258841,28.206721
"ATP9B",30.437289,28.890625,31.069476,31.102929
"ATPAF1",47.651409,51.165409,59.089969,42.211009
"ATPAF2",44.4889,35.545444,36.917776,40.780996
"ATPBD4",19.731364,23.357889,22.391824,19.722481
"ATPIF1",83.521321,88.830625,86.378436,67.387681
"ATR",53.919649,48.497296,48.052624,36.4816
"ATRIP",44.2225,40.8321,42.601729,33.790969
"ATRN",36.108081,38.3161,34.445161,46.908801
"ATRNL1",15.492096,15.984004,15.768841,15.792676
"ATRX",58.813561,61.340224,55.562116,48.330304
"ATXN1",30.316036,42.719296,42.458256,44.903401
"ATXN10",70.174129,68.856804,67.930564,67.108864
"ATXN1L",83.046769,80.532676,72.267001,75.411856
"ATXN2",66.9124,59.5984,64.834704,57.988225
"ATXN2L",40.985604,33.663204,34.187409,35.617024
"ATXN3",26.193924,27.008809,26.697889,27.164944
"ATXN3L",11.6964,11.861136,11.950849,12.1801
"ATXN7",57.684025,65.707236,64.416676,54.76
"ATXN7L1",25.140196,27.185796,28.9444,28.334329
"ATXN7L2",19.829209,18.722929,20.214016,19.2721
"ATXN7L3",64.432729,61.324561,61.811044,68.674369
"ATXN7L3B",64.545156,70.358544,64.432729,61.277584
"ATXN8OS",18.464209,19.954089,20.133169,20.034576
"AUH",56.265001,64.368529,61.669609,42.968025
"AUP1",89.661961,84.768849,78.127921,82.6281
"AURKA",28.494244,35.426304,30.813601,24.940036
"AURKAIP1",60.777616,56.655729,58.308496,58.644964
"AURKB",24.591681,30.195025,25.030009,20.484676
"AURKC",28.472896,27.102436,27.499536,26.718561
"AUTS2",40.921609,44.7561,34.128964,23.639044
"AVEN",49.252324,60.575089,49.773025,39.627025
"AVIL",36.2404,32.706961,35.952016,35.784324
"AVL9",29.844369,27.373824,28.569025,28.472896
"AVP",21.893041,17.926756,19.998784,21.123216
"AVPI1",34.857216,46.076944,41.075281,53.684929
"AVPR1A",19.377604,19.088161,19.236996,20.376196
"AVPR1B",37.197801,41.139396,40.208281,43.283241
"AVPR2",28.697449,26.234884,28.068804,29.257281
"AWAT1",25.240576,26.3169,26.409321,26.306641
"AXIN1",55.442916,63.473089,58.003456,56.927025
"AXIN2",28.281124,25.623844,32.615521,26.234884
"AXL",22.429696,25.210441,24.552025,29.257281
"AZGP1",21.464689,19.395216,20.124196,21.566736
"AZGP1P1",16.257024,15.832441,15.928081,16.459249
"AZI1",39.866596,32.001649,34.445161,28.879876
"AZI2",29.888089,39.3129,35.497764,42.915601
"AZIN1",89.851441,93.238336,89.756676,99.860049
"AZU1",20.575296,17.489124,20.7936,25.765776
"B2M",123.387664,143.784081,126.225225,132.365025
"B3GALNT1",18.5761,23.902321,13.439556,13.082689
"B3GALNT2",24.910081,25.452025,24.860196,24.532209
"B3GALT1",15.389929,15.904144,15.225604,16.104169
"B3GALT2",10.903204,11.135569,19.527561,10.903204
"B3GALT4",52.896529,53.919649,53.129521,54.346384
"B3GALT5",15.163236,15.634116,15.649936,16.112196
"B3GALT6",44.675856,46.895104,45.873529,45.212176
"B3GALTL",32.137561,34.515625,29.170801,23.213124
"B3GAT1",33.246756,50.851161,37.650496,33.860761
"B3GAT2",22.7529,19.873764,25.361296,20.304036
"B3GAT3",53.640976,47.637604,51.782416,46.131264
"B3GNT1",37.478884,34.739236,41.809156,32.890225
"B3GNT2",35.390601,45.306361,36.784225,39.614436
"B3GNT3",32.581264,29.343889,34.445161,36.650916
"B3GNT4",37.785609,40.985604,40.132225,43.573201
"B3GNT5",19.873764,23.872996,21.455424,43.8244
"B3GNT6",25.060036,24.413481,25.351225,26.071236
"B3GNT7",29.5936,42.536484,17.774656,20.052484
"B3GNT8",28.901376,25.431849,28.419561,37.258816
"B3GNT9",30.869136,26.081449,32.012964,29.365561
"B3GNTL1",31.505769,33.166081,37.884025,38.278969
"B4GALNT1",24.661156,27.5625,26.306641,27.478564
"B4GALNT2",19.412836,19.518724,19.669225,20.557156
"B4GALNT3",28.047616,28.697449,29.246464,30.902481
"B4GALNT4",19.900521,16.638241,18.671041,19.6249
"B4GALT1",42.941809,38.551681,35.259844,43.125489
"B4GALT2",44.555625,38.763076,40.360609,42.784681
"B4GALT3",39.325441,36.663025,40.170244,35.034561
"B4GALT4",46.635241,51.638596,45.670564,40.119556
"B4GALT5",59.644729,84.584809,58.018689,91.049764
"B4GALT6",18.173169,40.335201,17.884441,21.132409
"B4GALT7",49.547521,42.042256,46.212804,45.589504
"B9D1",27.175369,26.275876,25.735329,26.718561
"B9D2",44.876601,40.998409,45.185284,48.246916
"BAALC",18.096516,23.824161,17.816841,21.603904
"BAAT",25.140196,22.306729,24.730729,26.873856
"BACE1",26.677225,29.365561,30.228004,37.136836
"BACE2",58.644964,24.373969,24.860196,25.170289
"BACH1",36.409156,34.327881,31.002624,47.430769
"BACH2",88.679889,49.434961,65.044225,25.070049
"BAD",36.990724,37.356544,37.319881,37.491129
"BAG1",59.861169,64.032004,55.875625,63.218401
"BAG2",35.366809,35.928036,34.527376,18.412681
"BAG3",42.863209,46.826649,80.6404,57.517056
"BAG4",39.0625,45.198729,40.921609,44.4889
"BAG5",51.825601,57.229225,49.646116,46.895104
"BAGE",12.931216,13.169641,12.229009,12.680721
"BAHCC1",28.227969,28.740321,28.676025,30.492484
"BAHD1",54.287424,54.390625,51.4089,48.052624
"BAI1",35.628961,28.1961,32.433025,35.892081
"BAI2",26.501904,27.060804,26.286129,25.948836
"BAI3",11.607649,11.309769,11.229201,11.621281
"BAIAP2",27.920656,27.688644,29.746116,35.0464
"BAIAP2L1",29.789764,20.448484,25.220484,22.155849
"BAIAP2L2",25.280784,21.538881,23.464336,24.960016
"BAIAP3",46.895104,37.724164,40.0689,39.262756
"BAK1",56.942116,63.648484,56.715961,55.577025
"BAMBI",22.810176,23.001616,20.169081,23.541904
"BANF1",80.442961,69.772609,78.446449,82.283041
"BANF2",21.836929,22.829284,21.678336,23.155344
"BANK1",91.145209,24.039409,20.223009,31.832164
"BANP",86.881041,78.039556,85.9329,81.848209
"BAP1",54.302161,52.2729,52.5625,54.287424
"BARD1",48.0249,45.873529,41.589601,31.820881
"BARHL1",36.324729,32.982049,35.712576,37.625956
"BARX1",22.2784,18.028516,20.666116,22.250089
"BARX2",31.550689,31.764496,32.6041,33.212169
"BASE",20.466576,23.270976,23.541904,23.299929
"BASP1",123.232201,41.409225,52.012944,123.587689
"BAT2",62.062884,55.532304,56.520324,59.567524
"BAT2L1",54.774801,49.9849,51.5524,46.253601
"BAT2L2",78.996544,83.923921,76.527504,73.136704
"BAT3",74.3044,65.918161,67.207204,73.393489
"BAT4",57.168721,61.089856,59.582961,56.595529
"BAT5",48.804196,47.361924,46.840336,51.065316
"BATF",58.140625,62.2521,74.252689,61.261929
"BATF2",29.365561,27.019204,27.426169,34.550884
"BATF3",38.180041,52.186176,47.485881,52.070656
"BAX",45.630025,55.591936,40.7044,51.667344
"BAZ1A",78.801129,83.978896,77.580864,88.341201
"BAZ1B",49.674304,44.475561,45.927729,44.809636
"BAZ2A",48.038761,41.113744,43.112356,43.983424
"BAZ2B",26.604964,27.185796,23.707161,32.160241
"BBC3",49.028004,39.400729,45.6976,50.9796
"BBOX1",14.402025,14.160169,13.793796,14.584761
"BBS1",41.422096,38.800441,42.693156,39.476089
"BBS10",32.341969,30.569841,31.888609,25.755625
"BBS12",22.005481,24.275329,30.371121,23.107249
"BBS2",62.995969,50.239744,68.790436,47.997184
"BBS4",46.348864,52.316289,45.064369,34.363044
"BBS5",12.687844,13.039321,13.075456,12.453841
"BBS7",23.707161,30.969225,27.363361,19.927296
"BBS9",22.810176,24.01,24.275329,20.4304
"BBX",66.178225,64.689849,61.340224,50.665924
"BCAM",32.547025,31.866025,34.739236,37.258816
"BCAN",25.928464,25.684624,26.687556,27.489049
"BCAP29",33.547264,37.015056,32.319225,36.385024
"BCAP31",92.448225,92.198404,96.530625,102.2121
"BCAR1",30.747025,26.327161,28.912129,30.327049
"BCAR3",43.322724,24.01,23.270976,28.751044
"BCAR4",16.990884,17.732521,17.397241,18.054001
"BCAS1",18.429849,16.777216,16.949689,17.347225
"BCAS2",91.412721,103.489929,93.296281,75.377124
"BCAS3",39.1876,38.415204,43.007364,38.081241
"BCAS4",56.430144,37.601424,41.576704,33.304441
"BCAT1",36.869184,33.9889,29.192409,57.851236
"BCAT2",45.346756,41.525136,45.995524,41.667025
"BCCIP",58.599025,58.049161,56.655729,50.282281
"BCDIN3D",43.507216,42.758521,46.063369,38.725729
"BCHE",10.863616,11.648569,12.292036,11.2225
"BCKDHA",60.886809,64.979721,68.0625,68.657796
"BCKDHB",36.433296,36.978561,37.295449,25.492401
"BCKDK",49.716601,49.210225,49.674304,70.56
"BCL10",53.027524,54.982225,45.995524,51.710481
"BCL11A",89.8704,24.760576,25.411681,45.576001
"BCL11B",19.811401,47.320641,68.409441,22.781529
"BCL2",52.664049,41.229241,47.651409,34.6921
"BCL2A1",67.322025,57.988225,55.711296,107.889769
"BCL2L1",36.8449,39.388176,38.291344,39.790864
"BCL2L10",23.415921,19.722481,21.003889,22.165264
"BCL2L11",54.552996,46.090521,44.983849,45.171841
"BCL2L12",37.9456,41.177889,37.442161,33.686416
"BCL2L13",37.970244,36.650916,36.493681,42.1201
"BCL2L14",15.155449,15.484225,16.337764,16.273156
"BCL2L15",20.268004,21.6225,20.0704,18.4041
"BCL2L2",31.483321,34.539129,23.882769,38.477209
"BCL3",42.3801,43.007364,41.126569,55.160329
"BCL6",60.481729,52.794756,49.688401,75.829264
"BCL6B",34.093921,33.304441,34.234201,35.4025
"BCL7A",54.066609,23.396569,29.300569,28.037025
"BCL7B",60.497284,60.2176,61.544025,62.599744
"BCL7C",58.430736,66.373609,61.246276,59.691076
"BCL8",9.991921,9.628609,9.351364,9.765625
"BCL9",26.563716,27.5625,29.095236,24.9001
"BCL9L",44.930209,55.115776,59.382436,46.009089
"BCLAF1",67.108864,74.563225,63.234304,59.305401
"BCMO1",15.642025,16.793604,15.824484,16.248961
"BCO2",26.491609,26.574025,23.970816,23.261329
"BCOR",47.348161,42.198016,46.498761,35.772361
"BCORL1",29.3764,28.249225,29.430625,29.9209
"BCORP1",12.773476,13.184161,13.140625,12.327121
"BCR",43.983424,53.509225,51.451929,40.347904
"BCS1L",62.315236,56.490256,60.341824,45.400644
"BDH1",32.0356,33.942276,37.503376,27.279729
"BDH2",36.397089,38.750625,38.551681,27.321529
"BDKRB1",22.127616,22.5625,22.924944,23.203489
"BDKRB2",25.130169,22.591009,23.794884,25.441936
"BDNF",21.307456,21.104836,20.142144,20.385225
"BDNF-AS",10.220809,9.579025,9.909904,9.560464
"BDNFOS",9.517225,9.006001,9.078169,9.193024
"BDP1",49.238289,48.8601,44.970436,37.356544
"BEAN1",14.258176,15.124321,14.311089,15.6025
"BECN1",53.085796,52.548001,50.608996,51.955264
"BEGAIN",34.3396,28.217344,30.824704,32.228329
"BEND2",12.6025,12.3201,12.404484,17.530969
"BEND3",43.2964,37.417689,37.503376,37.417689
"BEND4",33.895684,17.0569,16.900321,18.011536
"BEND5",37.429924,21.743569,25.321024,21.818241
"BEND6",11.276164,11.262736,10.857025,11.0224
"BEND7",15.484225,15.768841,15.952036,16.297369
"BEST1",35.022724,32.171584,34.892649,52.157284
"BEST2",22.043025,23.551609,24.552025,27.751824
"BEST3",14.760964,14.676561,14.478025,15.015625
"BEST4",21.013056,18.966025,19.954089,17.023876
"BET1",58.920976,55.487601,60.310756,60.777616
"BET1L",45.670564,43.375396,48.776256,45.414121
"BET3L",11.930116,11.397376,11.861136,12.752041
"BEX1",32.913169,36.156169,36.457444,38.638656
"BEX2",83.631025,69.923044,90.687529,32.615521
"BEX4",64.096036,69.522244,62.2521,56.746089
"BEX5",27.415696,49.084036,61.763881,17.480761
"BFAR",67.207204,66.928761,69.7225,61.261929
"BFSP1",17.313921,23.04,19.571776,17.943696
"BFSP2",26.471025,17.665209,21.013056,18.974736
"BGN",28.718881,24.078649,26.842761,29.877156
"BHLHB9",14.100025,14.402025,14.265729,12.931216
"BHLHE22",17.214201,17.581249,17.015625,17.114769
"BHLHE23",15.241216,13.980121,15.007876,16.679056
"BHLHE40",45.1584,91.814724,61.999876,69.622336
"BHLHE41",24.6016,16.687225,16.867449,20.232004
"BHMT",23.639044,28.890625,27.4576,26.635921
"BHMT2",15.358561,15.4449,15.429184,15.555136
"BICC1",14.861025,16.859236,16.719921,16.168441
"BICD1",40.972801,31.798321,34.316164,27.973521
"BICD2",56.505289,52.099524,46.022656,56.806369
"BID",45.589504,62.932489,50.168889,94.361796
"BIK",44.930209,27.899524,36.869184,34.047225
"BIN1",79.334649,70.2244,82.011136,55.890576
"BIN2",66.699889,94.556176,81.974916,86.007076
"BIN3",57.062916,57.350329,57.942544,59.985025
"BIRC2",113.379904,122.677776,119.530489,112.678225
"BIRC3",95.961616,71.284249,91.699776,63.170704
"BIRC5",27.217089,36.990724,31.663129,24.651225
"BIRC6",85.5625,85.581001,83.320384,76.895361
"BIRC7",42.107121,38.3161,40.934404,39.702601
"BIVM",17.1396,26.152996,20.304036,15.085456
"BLCAP",105.288121,81.667369,87.684496,83.484769
"BLID",14.707225,15.808576,14.561856,15.335056
"BLK",58.430736,19.998784,23.824161,23.833924
"BLM",62.504836,61.842496,56.7009,41.886784
"BLMH",53.890281,62.504836,63.760225,53.246209
"BLNK",112.763161,18.267076,19.847025,35.4025
"BLOC1S1",72.131049,63.489024,61.999876,77.686596
"BLOC1S2",108.264025,104.591529,93.528241,104.693824
"BLOC1S3",41.835024,37.797904,40.551424,43.4281
"BLVRA",33.281361,43.283241,44.102881,57.426084
"BLVRB",50.794129,53.802225,54.479161,91.412721
"BLZF1",17.935225,23.483716,19.430464,19.1844
"BMF",64.705936,36.554116,41.409225,59.737441
"BMI1",100.781521,103.673124,105.124009,74.909025
"BMP1",27.720225,27.867841,29.235649,31.730689
"BMP10",17.114769,17.255716,18.326961,19.351201
"BMP15",19.7136,21.752896,21.169201,22.591009
"BMP2",15.062161,22.297284,16.556761,16.499844
"BMP2K",40.908816,23.512801,23.580736,37.234404
"BMP3",20.720704,19.053225,20.268004,21.743569
"BMP4",30.162064,30.946969,32.058244,32.285124
"BMP5",15.421329,17.247409,15.626209,16.516096
"BMP6",21.520321,20.385225,20.921476,25.6036
"BMP7",30.791401,28.869129,30.217009,31.348801
"BMP8A",23.503104,21.150801,23.590449,23.280625
"BMP8B",24.750625,23.2324,21.335161,22.705225
"BMPER",10.843849,10.817521,10.725625,10.745284
"BMPR1A",32.581264,34.445161,37.063744,16.638241
"BMPR1B",15.163236,16.410601,16,16.248961
"BMPR2",34.175716,37.625956,30.206016,36.711481
"BMS1",72.012196,70.56,75.968656,59.845696
"BMS1P5",46.730896,47.279376,49.308484,45.981961
"BMX",16.386304,18.130564,17.774656,19.140625
"BNC1",11.614464,11.553201,11.404129,11.512449
"BNC2",18.2329,34.503876,19.351201,19.642624
"BNIP1",39.237696,43.626025,38.3161,35.259844
"BNIP2",77.774761,81.577024,74.114881,80.604484
"BNIP3",45.819361,44.930209,66.031876,37.761025
"BNIP3L",82.065481,80.910025,81.162081,108.222409
"BNIPL",18.207289,16.426809,17.581249,17.288964
"BOC",31.775769,28.998225,30.3601,31.2481
"BOD1",64.657681,61.199329,65.189476,56.370064
"BOD1L",44.342281,42.706225,40.018276,43.349056
"BOD1P",17.380561,17.732521,17.682025,18.190225
"BOK",25.867396,30.338064,25.897921,27.688644
"BOLA1",36.542025,37.552384,42.419169,29.964676
"BOLA2",33.097009,25.431849,25.421764,26.925721
"BOLA3",65.853225,88.698724,92.448225,54.243225
"BOLL",21.187609,23.377225,20.802721,22.325625
"BOP1",46.416969,40.500496,43.4281,40.602384
"BPA-1",10.982596,10.465225,10.725625,10.660225
"BPESC1",10.093329,9.597604,9.715689,9.847044
"BPGM",43.744996,70.644025,53.231616,42.6409
"BPHL",38.105929,33.570436,35.295481,32.433025
"BPI",23.2324,23.726641,28.259856,42.25
"BPIL1",29.517489,31.416025,32.058244,33.814225
"BPIL2",19.000881,20.6116,20.421361,20.529961
"BPIL3",15.421329,15.634116,16.152361,16.064064
"BPNT1",32.319225,30.437289,29.149201,25.979409
"BPTF",60.497284,58.736896,55.0564,45.724644
"BPY2",15.634116,15.976009,16.826404,17.230801
"BRAF",39.162564,39.425841,34.035556,35.593156
"BRAP",52.171729,49.787136,48.108096,46.949904
"BRCA1",31.36,39.413284,31.427236,28.334329
"BRCA2",17.239104,18.896409,14.699556,14.569489
"BRCC3",47.914084,49.674304,45.333289,40.921609
"BRD1",72.335025,80.694289,77.246521,69.105969
"BRD2",94.497841,102.151449,85.636516,91.757241
"BRD3",48.413764,50.296464,50.808384,49.014001
"BRD4",59.799289,55.413136,54.715609,56.490256
"BRD7",56.325025,67.043344,57.881664,51.638596
"BRD7P3",16.638241,16.048036,16.801801,16.826404
"BRD8",38.477209,36.881329,38.837824,31.36
"BRD9",78.340201,71.048041,75.603025,68.89
"BRDT",12.397441,11.999296,12.334144,12.737761
"BRE",64.545156,63.282025,67.667076,64.593369
"BREA2",28.398241,27.363361,26.822041,26.306641
"BRF1",31.550689,31.036041,32.182929,30.603024
"BRF2",45.589504,49.463089,47.554816,46.703556
"BRI3",67.617729,67.765824,73.96,115.648516
"BRI3BP",70.006689,58.125376,51.912025,52.4176
"BRIP1",19.035769,24.980004,20.412324,13.830961
"BRIX1",51.394561,56.415121,54.745201,34.468641
"BRMS1",64.834704,60.310756,63.218401,63.760225
"BRMS1L",32.878756,33.535681,31.192225,25.210441
"BRP44",58.0644,63.329764,60.000516,47.7481
"BRP44L",46.498761,47.623801,44.435556,45.927729
"BRPF1",61.058596,72.029169,65.044225,63.2025
"BRPF3",28.462225,29.800681,27.751824,28.708164
"BRS3",14.6689,14.760964,14.969161,15.515721
"BRSK1",40.985604,32.046921,36.772096,51.710481
"BRSK2",20.875761,19.554084,20.748025,21.827584
"BRWD1",38.130625,35.319249,34.774609,29.560969
"BRWD3",31.775769,30.063289,27.164944,32.512804
"BSCL2",52.041796,45.711121,48.539089,51.883209
"BSDC1",55.071241,50.452609,52.461049,48.135844
"BSG",53.743561,55.294096,54.110736,64.770304
"BSN",20.061441,19.971961,21.132409,22.316176
"BSND",25.694761,25.371369,26.122321,30.813601
"BSPRY",29.203216,36.9664,28.462225,26.739241
"BST1",20.331081,18.913801,20.3401,68.310225
"BST2",68.3929,79.816356,66.634569,79.263409
"BTAF1",96.904336,80.766169,83.083225,76.108176
"BTBD1",110.502144,112.614544,105.637284,97.160449
"BTBD10",63.920025,72.9316,67.584841,69.939769
"BTBD11",15.358561,27.573001,40.525956,31.091776
"BTBD16",16.216729,16.128256,15.9201,17.205904
"BTBD17",18.105025,16.3216,17.073424,18.267076
"BTBD18",29.203216,25.553025,27.279729,20.4304
"BTBD19",31.114084,30.459361,36.772096,41.718681
"BTBD2",43.983424,35.593156,41.267776,41.925625
"BTBD3",24.690961,36.759969,24.820324,44.368921
"BTBD6",77.862976,84.4561,82.646281,67.980025
"BTBD7",41.886784,40.883236,38.254225,42.784681
"BTBD8",11.370384,11.115556,10.9561,10.949481
"BTBD9",27.175369,27.583504,27.646564,26.904969
"BTC",10.764961,10.896601,10.569001,10.909809
"BTD",30.769209,35.652841,35.724529,35.545444
"BTF3",76.282756,74.753316,76.702564,73.376356
"BTF3L4",57.638464,54.538225,59.105344,66.830625
"BTF3P11",12.215025,10.530025,11.377129,11.614464
"BTG1",108.326464,107.557641,99.221521,97.278769
"BTG2",78.552769,75.759616,67.864644,84.015556
"BTG3",36.385024,43.256929,36.228361,35.295481
"BTG4",13.242321,13.623481,13.660416,13.860729
"BTK",86.471401,29.278921,29.5936,78.818884
"BTLA",67.026969,17.489124,44.049769,20.994724
"BTN1A1",20.115225,18.800896,17.614809,18.258529
"BTN2A1",61.340224,61.889689,59.799289,57.365476
"BTN2A2",42.588676,33.790969,31.382404,32.364721
"BTN2A3",19.483396,20.629764,20.820969,22.033636
"BTN3A1",66.308449,76.073284,73.839649,57.775201
"BTN3A2",69.3889,91.278916,84.658401,62.173225
"BTN3A3",57.744801,74.046025,68.343289,49.970761
"BTNL2",25,25.959025,26.368225,27.405225
"BTNL3",40.5769,37.124649,40.985604,44.289025
"BTNL8",25.938649,27.321529,31.214569,31.550689
"BTNL9",34.680321,27.8784,27.531009,28.901376
"BTRC",27.583504,27.762361,28.143025,25.928464
"BUB1",19.5364,23.2324,20.079361,16.7281
"BUB1B",39.639616,40.653376,35.617024,19.035769
"BUB3",78.623689,84.235684,81.036004,62.236321
"BUD13",53.978409,57.866449,60.730849,54.007801
"BUD31",53.684929,56.355049,50.481025,53.919649
"BVES",14.945956,16.418704,16.144324,16.1604
"BYSL",39.125025,44.796249,38.638656,37.515625
"BZRAP1",39.337984,61.387225,42.042256,34.245904
"BZW1",91.833889,115.519504,95.746225,108.139201
"BZW2",84.015556,79.637776,85.0084,76.597504
"C10orf10",28.6225,27.237961,30.184036,31.013761
"C10orf103",26.759929,31.125241,30.085225,31.516996
"C10orf107",11.614464,11.282881,11.082241,11.417641
"C10orf108",16.353936,16.589329,16.410601,16.842816
"C10orf11",31.460881,33.028009,31.404816,55.517401
"C10orf110",22.477081,20.511841,17.732521,19.954089
"C10orf112",12.404484,12.909649,12.730624,12.945604
"C10orf113",19.545241,19.731364,21.307456,21.196816
"C10orf114",30.162064,30.6916,33.281361,34.492129
"C10orf116",21.939856,19.175641,20.475625,22.867524
"C10orf118",38.44,49.575681,40.0689,34.093921
"C10orf119",42.745444,47.623801,45.805824,46.539684
"C10orf12",30.625156,29.539225,25.532809,28.121809
"C10orf122",13.235044,13.205956,12.552849,12.880921
"C10orf125",41.886784,34.409956,37.466641,45.616516
"C10orf126",9.199089,8.838729,8.791225,8.964036
"C10orf128",29.495761,40.424164,37.112464,37.429924
"C10orf136",10.719076,10.942864,9.998244,10.374841
"C10orf137",33.918976,35.0464,32.444416,27.185796
"C10orf140",13.571856,13.571856,13.675204,13.667809
"C10orf18",42.484324,36.312676,36.445369,33.709636
"C10orf2",51.926436,42.732369,51.940849,36.8449
"C10orf25",26.030404,25.563136,26.6256,25.938649
"C10orf26",82.428241,85.0084,79.21,91.738084
"C10orf27",21.687649,22.3729,22.972849,23.386896
"C10orf28",37.687321,36.699364,34.586161,37.540129
"C10orf31",21.399876,23.794884,22.7529,23.406244
"C10orf32",71.876484,81.631225,73.222249,84.492864
"C10orf35",34.281025,33.4084,49.477156,33.051001
"C10orf40",11.323225,10.995856,10.857025,11.397376
"C10orf44",14.478025,14.145121,14.386849,14.6689
"C10orf46",34.187409,34.269316,31.674384,39.0625
"C10orf47",20.593444,23.824161,26.770276,31.348801
"C10orf53",23.483716,23.746129,24.790441,25.826724
"C10orf54",47.018449,53.348416,59.320804,84.879369
"C10orf55",12.201049,11.689561,11.532816,13.155129
"C10orf57",34.503876,32.764176,36.264484,36.132121
"C10orf58",41.190724,35.916049,43.046721,36.036009
"C10orf62",29.224836,29.311396,30.184036,32.273761
"C10orf67",36.312676,35.808256,37.197801,36.433296
"C10orf68",25.979409,28.419561,29.931841,28.259856
"C10orf71",19.105641,17.850625,19.660356,20.205025
"C10orf72",23.203489,22.800625,23.561316,24.690961
"C10orf76",49.575681,45.481536,44.715969,45.603009
"C10orf78",38.502025,43.983424,40.857664,47.403225
"C10orf79",12.787776,12.201049,12.096484,12.418576
"C10orf81",11.282881,10.381284,10.830681,10.407076
"C10orf82",24.690961,25.010001,26.275876,26.368225
"C10orf84",40.8321,43.771456,41.886784,42.367081
"C10orf85",24.611521,25.421764,25.644096,26.574025
"C10orf88",42.042256,42.354064,43.771456,35.4025
"C10orf90",17.255716,17.347225,17.901361,18.045504
"C10orf91",16.048036,15.233409,15.139881,15.673681
"C10orf92",16.305444,16.176484,15.976009,16.265089
"C10orf93",16.6464,15.912121,15.539364,15.928081
"C10orf95",34.292736,30.769209,35.856144,29.942784
"C10orf96",19.404025,21.548164,21.669025,22.591009
"C10orf99",16.104169,17.015625,17.539344,16.785409
"C11orf1",30.824704,28.206721,34.433424,25.270729
"C11orf10",96.020401,115.5625,117.744201,113.252164
"C11orf16",38.204761,38.601369,41.705764,42.549529
"C11orf17",42.693156,49.829481,54.745201,49.014001
"C11orf2",105.637284,95.824521,110.796676,87.385104
"C11orf20",32.638369,35.485849,37.515625,38.353249
"C11orf21",38.142976,52.504516,41.783296,47.1969
"C11orf24",60.078001,45.859984,42.302016,47.61
"C11orf30",32.878756,35.593156,32.787076,30.272004
"C11orf31",73.513476,68.541841,71.4025,63.250209
"C11orf35",36.048016,27.279729,32.307856,31.561924
"C11orf36",37.9456,40.081561,40.220964,40.627876
"C11orf40",12.446784,12.467961,12.334144,12.510369
"C11orf41",18.783556,19.219456,18.740241,19.201924
"C11orf42",21.381376,22.108804,23.299929,24.098281
"C11orf44",16.176484,18.037009,17.648401,17.589636
"C11orf45",14.9769,13.868176,15.147664,18.020025
"C11orf46",65.157184,61.905424,67.141636,52.577001
"C11orf48",81.812025,91.049764,85.266756,70.56
"C11orf49",42.224004,39.853969,43.283241,39.337984
"C11orf51",58.476609,55.681444,59.505796,61.984129
"C11orf52",20.939776,19.035769,19.509889,19.864849
"C11orf53",37.687321,38.390416,40.717161,41.550916
"C11orf54",43.533604,44.009956,42.3801,39.325441
"C11orf55",16.443025,17.131321,15.768841,16.176484
"C11orf57",32.729841,35.236096,33.235225,32.878756
"C11orf58",54.508689,51.940849,53.260804,51.437584
"C11orf59",76.108176,87.834384,79.887844,100.661089
"C11orf61",55.175184,54.893281,53.949025,39.715204
"C11orf63",20.295025,20.394256,22.212369,19.5364
"C11orf64",11.716929,11.621281,11.682724,11.9716
"C11orf65",11.404129,10.394176,10.857025,9.998244
"C11orf66",23.493409,20.205025,22.762441,23.396569
"C11orf67",31.382404,31.967716,33.016516,33.212169
"C11orf68",57.729604,54.671236,64.689849,60.855601
"C11orf70",13.520329,14.707225,13.682601,14.2129
"C11orf71",40.106889,38.266596,40.170244,44.169316
"C11orf72",38.5641,44.89,42.185025,44.595684
"C11orf73",69.288976,70.795396,69.288976,61.089856
"C11orf74",16.451136,23.794884,22.629049,32.809984
"C11orf75",36.3609,49.533444,60.606225,98.644624
"C11orf76",15.880225,14.814801,15.4449,15.792676
"C11orf80",49.463089,27.931225,30.591961,18.913801
"C11orf82",36.445369,36.554116,31.606884,34.492129
"C11orf83",50.282281,48.958009,48.776256,38.8129
"C11orf84",37.920964,41.036836,39.0625,36.348841
"C11orf85",29.4849,28.376929,29.3764,28.430224
"C11orf86",39.576681,33.396841,37.687321,42.458256
"C11orf87",10.342656,9.960336,9.721924,10.137856
"C11orf88",15.618304,15.139881,15.319396,16.096144
"C11orf9",23.059204,23.921881,23.348224,23.261329
"C11orf92",62.157456,55.308969,55.308969,59.197636
"C11orf93",23.203489,21.687649,21.511044,21.224449
"C11orf94",27.269284,26.584336,26.977636,28.879876
"C11orf95",34.351321,30.206016,28.665316,29.778849
"C11orf96",25.090081,28.922884,25,32.103556
"C12orf10",61.089856,53.758224,63.504961,57.729604
"C12orf11",71.149225,80.389156,82.065481,60.902416
"C12orf12",14.969161,14.653584,14.753281,15.046641
"C12orf23",70.425664,81.1801,80.2816,36.711481
"C12orf24",56.927025,49.547521,57.866449,39.538944
"C12orf26",58.033924,50.395801,53.597041,48.455521
