"gene_symbol","B_cells","NK_cells","T_cells_CD4.","Monocytes"
"NAV2",21.095649,19.971961,20.187049,20.223009
"NAV3",14.220441,14.160169,14.311089,14.584761
"NBAS",33.837489,29.474041,31.843449,28.366276
"NBEA",28.472896,17.015625,21.8089,17.355556
"NBEAL1",18.429849,21.659716,17.732521,18.533025
"NBEAL2",37.100281,42.328036,38.613796,42.928704
"NBL1",38.427601,51.136801,53.699584,42.471289
"NBLA00301",13.191424,13.601344,12.996025,13.155129
"NBN",52.519009,56.715961,47.914084,56.881764
"NBPF1",38.081241,31.990336,34.117281,30.4704
"NBPF10",88.529281,77.933584,88.36,85.026841
"NBPF3",25.270729,26.224641,25.959025,21.372129
"NBPF4",22.733824,25.080064,22.915369,23.2324
"NBPF5",14.7456,15.023376,14.394436,14.845609
"NBPF8",13.593969,11.888704,12.159169,11.950849
"NBR1",39.450961,42.432196,43.243776,41.512249
"NBR2",42.302016,34.058896,37.100281,34.6921
"NCALD",18.966025,36.493681,26.915344,18.740241
"NCAM1",21.022225,42.876304,21.949225,22.838841
"NCAM2",10.975969,11.566801,10.465225,10.843849
"NCAN",20.133169,21.641104,20.178064,20.748025
"NCAPD2",50.523664,55.308969,56.205009,40.947201
"NCAPD3",50.922496,61.638201,60.980481,44.916804
"NCAPG",28.206721,33.443089,26.327161,15.3664
"NCAPG2",45.684081,56.280004,51.065316,34.351321
"NCAPH",27.699169,38.502025,35.390601,23.707161
"NCAPH2",44.102881,41.938576,41.964484,39.589264
"NCBP1",26.925721,27.941796,26.071236,26.574025
"NCBP2",73.359225,67.141636,72.522256,66.373609
"NCDN",32.114889,31.967716,33.895684,31.114084
"NCEH1",20.457529,29.658916,17.205904,46.936201
"NCF1C",91.183401,35.331136,39.025009,88.811776
"NCF2",50.951044,31.192225,39.262756,138.039001
"NCF4",69.588964,34.880836,43.362225,71.825625
"NCK1",45.873529,55.875625,54.420129,52.012944
"NCK2",96.393124,76.352644,103.245921,74.080449
"NCKAP1",18.139081,25.897921,24.512401,18.992164
"NCKAP1L",70.879561,73.068304,61.105489,87.665769
"NCKAP5",9.572836,9.247681,8.791225,9.042049
"NCKAP5L",25.836889,25.887744,26.801329,32.535616
"NCKIPSD",30.327049,29.986576,32.936121,31.8096
"NCL",70.006689,70.492816,69.923044,63.266116
"NCLN",31.685641,27.783441,30.415225,29.626249
"NCOA1",52.2729,64.224196,53.217025,57.214096
"NCOA2",46.009089,44.6224,42.237001,42.614784
"NCOA3",71.267364,48.8601,50.680161,54.228496
"NCOA4",119.574225,126.180289,128.210329,154.132225
"NCOA5",46.158436,42.406144,43.850884,45.846441
"NCOA6",40.717161,43.970161,40.0689,39.891856
"NCOA7",30.074256,35.117476,33.884041,28.462225
"NCOR1",42.185025,44.609041,42.994249,42.614784
"NCOR2",41.203561,34.140649,37.994896,43.204329
"NCR1",24.433249,47.817225,26.3169,28.121809
"NCR2",32.661225,36.3609,34.3396,34.292736
"NCR3",50.324836,74.063236,42.745444,36.024004
"NCRNA00028",33.663204,29.789764,32.592681,34.680321
"NCRNA00029",19.838116,18.344089,19.4481,19.838116
"NCRNA00032",16.410601,17.015625,16.966161,16.621929
"NCRNA00051",14.5161,14.205361,14.394436,14.684224
"NCRNA00052",14.730244,15.1321,14.676561,15.808576
"NCRNA00081",54.037201,46.812964,53.202436,44.849809
"NCRNA00085",18.028516,17.935225,18.861649,22.09
"NCRNA00092",29.333056,33.4084,30.492484,30.724849
"NCRNA00094",47.183161,41.964484,49.871844,37.957921
"NCRNA00095",25.190361,25.877569,27.019204,26.749584
"NCRNA00102",8.690704,8.128201,8.231161,8.427409
"NCRNA00103",25.786084,27.793984,25.2004,23.931664
"NCRNA00107",39.8161,34.987225,37.540129,36.144144
"NCRNA00112",19.518724,20.3401,20.866624,21.538881
"NCRNA00113",14.653584,14.615329,14.402025,15.280281
"NCRNA00115",26.553409,24.492601,21.771556,22.410756
"NCRNA00116",47.900241,54.390625,58.5225,48.525156
"NCRNA00118",25.260676,24.413481,35.509681,25.745476
"NCRNA00119",17.247409,18.421264,17.648401,18.105025
"NCRNA00120",12.222016,12.369289,11.957764,12.047841
"NCRNA00152",19.386409,18.4041,18.215824,18.905104
"NCRNA00158",19.660356,13.808656,13.388281,15.468489
"NCRNA00161",14.784025,13.727025,14.205361,14.356521
"NCRNA00162",22.221796,21.362884,22.867524,23.164969
"NCRNA00163",25.847056,26.030404,25.918281,26.8324
"NCRNA00165",19.678096,20.775364,19.722481,21.196816
"NCRNA00167",16.703569,17.322244,16.516096,16.4025
"NCRNA00168",39.476089,45.805824,43.903876,48.344209
"NCRNA00171",27.489049,21.114025,23.203489,18.6624
"NCRNA00173",32.901696,22.7529,27.962944,30.481441
"NCRNA00174",32.626944,34.269316,34.363044,33.930625
"NCRNA00175",17.497489,16.2409,16.711744,16.426809
"NCRNA00176",21.855625,18.455616,24.830289,22.686169
"NCRNA00182",41.977441,38.875225,42.667024,38.254225
"NCRNA00183",24.552025,22.619536,22.515025,19.351201
"NCRNA00184",21.372129,19.6249,21.307456,20.711601
"NCRNA00185",17.606416,19.554084,17.825284,19.158129
"NCRNA00186",13.410244,14.622976,14.273284,14.653584
"NCRNA00188",38.8129,36.8449,39.790864,40.8321
"NCRNA00189",10.8241,10.080625,9.884736,13.439556
"NCRNA00201",73.530625,55.591936,65.076489,49.350625
"NCRNA00202",30.305025,24.364096,27.531009,27.709696
"NCRNA00204",28.249225,25.321024,28.7296,24.7009
"NCRNA00204B",32.558436,23.687689,33.281361,28.037025
"NCRNA00205",21.362884,22.363441,22.174681,22.610025
"NCRNA00208",21.040569,22.667121,22.108804,22.240656
"NCRNA00213",23.444964,24.462916,29.909961,26.977636
"NCRNA00219",107.9521,88.303609,100.240144,77.475204
"NCRNA00221",12.517444,12.306064,12.7449,12.752041
"NCRNA00226",12.489156,12.138256,12.194064,12.25
"NCRNA00230A",16.785409,16.152361,15.776784,16.224784
"NCRNA00238",9.529569,8.934121,8.874441,9.1204
"NCRNA00240",12.709225,13.184161,12.924025,12.809241
"NCRNA00241",30.614089,40.844881,34.175716,38.787984
"NCRNA00242",19.927296,19.412836,20.584369,20.277009
"NCRNA00244",21.594609,24.373969,21.977344,22.572001
"NCRNA00245",29.419776,27.196225,30.514576,32.798529
"NCRNA00246B",44.729344,24.157225,41.267776,14.607684
"NCRNA00247",13.965169,13.778944,14.122564,15.484225
"NCRNA00253",29.062881,25.644096,29.506624,31.787044
"NCRNA00255",13.875625,13.498276,13.608721,13.402921
"NCRNA00257",15.832441,15.335056,15.848361,17.065161
"NCRNA00258",21.2521,16.679056,20.259001,18.584721
"NCRNA00260",20.268004,29.116816,25.472209,20.493729
"NCRNA00261",19.474569,20.331081,20.1601,19.404025
"NCRNA00263",16.941456,15.936064,16.329681,14.638276
"NCRNA00265",24.068836,26.471025,25.120144,25.381444
"NCRNA00269",18.966025,18.3184,19.053225,19.474569
"NCRNA00271",12.229009,12.369289,12.25,12.285025
"NCRNA00275",108.722329,84.897796,95.199049,93.161104
"NCRNA00276",11.580409,11.3569,11.0224,11.189025
"NCRNA00277",23.580736,25.563136,24.3049,25.836889
"NCRNA00281",12.096484,12.089529,11.377129,11.909401
"NCRNA00282",17.943696,16.289296,27.321529,17.715681
"NCRNA00284",13.300609,13.003236,13.097161,13.697401
"NCRNA00285",16.900321,17.338896,17.372224,16.744464
"NCRNA00287",52.635025,31.147561,35.569296,32.1489
"NCRNA00288",19.298449,21.4369,20.857489,21.548164
"NCRNA00290",11.336689,11.002489,10.738729,11.168964
"NCRNA00291",10.962721,11.209104,10.7584,10.771524
"NCRNA00292",40.844881,43.507216,39.488656,36.1201
"NCRNA00293",22.8484,23.357889,22.486564,24.1081
"NCRNA00294",51.652969,57.441241,47.61,53.553124
"NCS1",29.398084,31.708161,31.606884,36.012001
"NCSTN",65.496649,68.079001,63.457156,80.1025
"ND2",154.480041,158.76,148.937616,167.495364
"ND6",82.156096,69.172489,78.588225,74.805201
"NDC80",38.303721,54.567769,46.812964,14.485636
"NDE1",45.050944,43.480836,43.4281,42.068196
"NDEL1",73.96,85.359121,83.028544,84.842521
"NDFIP1",54.937744,67.699984,81.956809,76.125625
"NDFIP2",26.245129,46.621584,40.844881,21.022225
"NDN",25.897921,31.595641,26.946481,29.539225
