CD56NK	CD4MemoryT	CD19B	CD14
V287	0.15655	0.84345	0	0
V288	0.07454	0.32182	0.48405	0.11958
V289	0.39971	0.20575	0.39454	0
V290	0.97427	0.02573	0	0
V291	0.61353	0	0.38647	0
V292	1	0	0	0
V293	0.39319	0	0.60681	0
V294	0.15017	0.43913	0	0.4107
V295	0.03499	0.19236	0.26288	0.50978
V296	0.27912	0.10765	0.61323	0
V297	0.04012	0	0.10904	0.85084
V298	0.40314	0.05438	0.54248	0
V299	0.11408	0.33399	0	0.55193
V300	0	0	0.3357	0.6643
V301	0.21996	0.10595	0.6741	0
V302	0.76144	0.23856	0	0
V303	0.04704	0.62642	0.32654	0
V304	0.15119	0.00594	0.80965	0.03322
V305	0.22342	0.15568	0.51252	0.10838
V306	1	0	0	0
V307	0.06091	0.93909	0	0
V308	0.35538	0.23288	0.31456	0.09719
V309	0.48558	0.33389	0	0.18054
V310	0.14749	0.37522	0.17301	0.30428
V311	0.60744	0.39256	0	0
V312	0.1696	0.74768	0.08272	0
V313	0	0.0671	0.04666	0.88624
V314	0.06665	0.58852	0.10933	0.2355
V315	0.21201	0.7137	0	0.07429
V316	0.44929	0.11248	0.406	0.03223
V317	0.17825	0.78522	0.01201	0.02452
V318	0.0842	0.67951	0	0.23629
V319	0.14025	0.04874	0.81102	0
V320	0.16038	0.14966	0.68515	0.00481
V321	0.74291	0.25709	0	0
V322	0.30811	0.36817	0.05491	0.26881
V323	0.02614	0	0.14375	0.83011
V324	0.80285	0.19715	0	0
V325	0.38463	0.61537	0	0
V326	0.04044	0.69709	0.07659	0.18589
V327	0.01956	0.14171	0.1687	0.67003
V328	0.13833	0.00576	0.8158	0.0401
V329	0.28467	0.07869	0.2129	0.42373
V330	0.53015	0	0.34936	0.1205
V331	0.53013	0.01856	0.02145	0.42986
V332	0	0	0.29397	0.70603
V333	0.5732	0.02564	0.39911	0.00205
V334	0.48811	0	0.38299	0.1289
V335	0.09113	0.37685	0.53116	0.00086
V336	0.26653	0.73347	0	0
V337	0.38151	0.3865	0.23199	0
V338	0.03517	0.96483	0	0
V339	0.20089	0	0.79911	0
V340	0.13499	0.24697	0.56748	0.05056
V341	0	0	0.10827	0.89173
V342	0.36369	0	0.63136	0.00495
V343	1	0	0	0
V344	0.82985	0.06585	0.1043	0
V345	0.07766	0.01746	0.90489	0
V346	0.36849	0.07313	0.32939	0.22899
V347	0.00901	0	0.20024	0.79075
V348	0.13582	0.7375	0.12114	0.00554
V349	0.47772	0.14145	0.38084	0
V350	0.08015	0.81812	0.10173	0
V351	0.02245	0	0.54064	0.4369
V352	0.13367	0.00589	0.86043	0
V353	1	0	0	0
V354	0.11535	0.7158	0.16885	0
V355	0.41066	0.04121	0.49653	0.0516
V356	0	0	0.16174	0.83826
V357	0.20243	0.37435	0.30063	0.12258
V358	0.76293	0.03342	0.017	0.18665
V359	0.78004	0	0	0.21996
V360	0.64016	0.35984	0	0
V361	0.03811	0.46899	0.49291	0
V362	0.03748	0.96252	0	0
V363	0.27944	0.10265	0.51982	0.09808
V364	0.26835	0.04017	0.69148	0
V365	0.35768	0	0	0.64232
V366	0.16457	0.76637	0.05351	0.01555
V367	0.7724	0.05992	0	0.16768
V368	0.17163	0.78434	0.04403	0
V369	0.06257	0.41162	0.52581	0
V370	0.39586	0.25039	0.35375	0
V371	0.27145	0.72855	0	0
V372	0.24914	0	0.16801	0.58286
V373	0.16158	0.13696	0.54605	0.1554
V374	0.90198	0	0.09802	0
V375	0.03793	0	0.2313	0.73077
V376	0	0	0.16743	0.83257
V377	0.93162	0	0	0.06838
V378	0.00681	0	0.55677	0.43641
V379	0.49878	0.17368	0	0.32754
V380	0.24779	0.01983	0.26418	0.4682
V381	0.91438	0	0.0218	0.06382
V382	0.15969	0.01426	0.82604	0
V383	0.98671	0	0	0.01329
V384	0.76098	0.00479	0.11373	0.12049
V385	1	0	0	0
V386	0.42608	0	0.14547	0.42845
V387	0.74456	0.09828	0.15715	0
V388	0.50904	0.34303	0.12088	0.02705
V389	0.51365	0.48635	0	0
V390	0.38518	0.22025	0.39457	0
V391	0.61292	0.03024	0	0.35684
V392	0.57464	0.20944	0.15232	0.0636
V393	0.40174	0.23143	0.34964	0.01719
V394	0.16391	0.25888	0.13109	0.44612
V395	0.33027	0.43243	0.18794	0.04936
V396	0.05071	0.94929	0	0
V397	0.96302	0	0.03698	0
V398	0.63685	0.08991	0.07973	0.19351
V399	0.28981	0.59463	0.11556	0
V400	0.03809	0.72559	0.03708	0.19924
V401	0.11349	0.15687	0.72964	0
V402	0.94592	0.05408	0	0
V403	0	0	0.11769	0.88231
V404	0.16865	0.20584	0.62551	0
V405	0.32753	0	0.20203	0.47043
V406	0.79706	0.20294	0	0
V407	0.03517	0.96483	0	0
V408	0.17961	0.26401	0.44196	0.11443
V409	0	0	0.01927	0.98073
V410	0.15129	0.84871	0	0
V411	0.5616	0	0	0.4384
V412	0.26757	0.0524	0.56309	0.11695
V413	0.13705	0.56125	0.18699	0.11471
V414	0.1074	0.56508	0.32752	0
V415	0.60601	0	0.23705	0.15694
V416	0.07529	0.06916	0.85555	0
V417	0.45167	0.54833	0	0
V418	0.11584	0.07119	0.21585	0.59712
V419	0	0	0.03198	0.96802
V420	0.0461	0.9539	0	0
V421	0.27302	0.01502	0.71196	0
V422	0.01977	0	0.04211	0.93812
V423	0.16454	0.00502	0.83044	0
V424	0.04852	0.02631	0.74726	0.17791
V425	0.13025	0.2601	0.60964	0
V426	0.18242	0.02875	0.78883	0
V427	0.13667	0.47076	0.2117	0.18087
V428	0.16855	0.82035	0.0111	0
V429	0	0	0.04965	0.95035
V430	0.91839	0.08161	0	0
V431	0.28744	0	0.52559	0.18697
V432	0.15733	0.05183	0.08247	0.70837
V433	0.12256	0.82326	0	0.05418
V434	0.51448	0	0.03668	0.44884
V435	0.6836	0	0.08879	0.22761
V436	0.53371	0	0.0933	0.37299
V437	0.35098	0.22925	0	0.41977
V438	0.7988	0.10783	0	0.09337
V439	0.00553	0.07014	0.03552	0.88881
V440	0.67064	0	0	0.32936
V441	0.1493	0.13277	0.6561	0.06184
V442	0.45222	0.3665	0.11657	0.06471
V443	0.91904	0	0.01749	0.06347
V444	0.07766	0.01746	0.90489	0
V445	0.72466	0	0.27534	0
V446	0.10413	0.88683	0.00904	0
V447	0.8067	0.03149	0.15426	0.00755
V448	0.02401	0.01386	0.30015	0.66198
V449	0.71448	0	0.28362	0.00191
V450	0.19624	0.80376	0	0
V451	1	0	0	0
V452	0	0	0.11582	0.88418
V453	1	0	0	0
V454	0.04629	0.95371	0	0
V455	0.73632	0	0.26368	0
V456	0.46307	0.09812	0.40615	0.03266
V457	0	0	0.01183	0.98817
V458	0.40278	0.2178	0	0.37942
V459	0.08119	0.86212	0.05669	0
V460	1	0	0	0
V461	0.01469	0	0.03066	0.95465
V462	0.50228	0.22744	0	0.27028
V463	0.36324	0.50766	0.12911	0
V464	0.72462	0.00137	0	0.27401
V465	0.52877	0.44405	0	0.02718
V466	0.76639	0.12682	0	0.10678
V467	0.40961	0.5751	0.01529	0
V468	0.61388	0.38612	0	0
V469	0.04607	0.19304	0.37977	0.38111
V470	0.71981	0.07281	0.16387	0.04351
V471	0.41686	0.05744	0.02102	0.50468
V472	0.46273	0.33719	0	0.20008
V473	0.16717	0.55614	0.27669	0
V474	0.13158	0	0.14346	0.72496
V475	0.29981	0.4602	0.05687	0.18312
V476	0.21399	0	0.06736	0.71865
V477	0.77118	0	0.17788	0.05095
V478	0.22419	0.66007	0	0.11574
V479	0.09334	0.08829	0.81837	0
V480	0.14245	0.3785	0.03443	0.44462
V481	0.22916	0	0.77084	0
V482	0.84339	0.10268	0.05393	0
V483	0.20399	0.07729	0.1075	0.61122
V484	0	0.01799	0.06856	0.91345
V485	0.2075	0.7925	0	0
V486	0.40949	0.28463	0.11971	0.18617
V487	0.09348	0	0.14722	0.7593
V488	0.07568	0.00499	0.91932	0
V489	0.30059	0.07255	0.62687	0
V490	0.4875	0.3413	0.0396	0.13159
V491	0.5469	0.4531	0	0
V492	0.08299	0.85108	0.06593	0
V493	0	0	0	1
V494	0.30254	0.15227	0.53784	0.00735
V495	0.30565	0.62092	0.07343	0
V496	0.34657	0.65343	0	0
V497	0.0787	0.01055	0.91074	0
V498	0.48651	0.05078	0.0386	0.42411
V499	0.74076	0.21224	0.047	0
V500	0.18619	0.11278	0.70103	0
V501	0	0	0.04174	0.95826
V502	0.66458	0.24291	0.09251	0
V503	0.31878	0.06131	0.24542	0.3745
V504	0.31101	0.68899	0	0
V505	0.31686	0.22381	0.28173	0.1776
V506	0.17957	0.2781	0.48115	0.06119
V507	0.80339	0.03993	0.09198	0.0647
V508	0.91187	0.08813	0	0
V509	0.35056	0.03287	0.55436	0.0622
V510	0.30849	0.50927	0.18224	0
V511	0.10047	0.53014	0.022	0.34739
V512	0.3638	0	0.09024	0.54597
V513	0.15395	0.68007	0.16598	0
V514	0	0	0.02723	0.97277
V515	0.96318	0	0	0.03682
V516	1	0	0	0
V517	0.04132	0	0.35864	0.60004
V518	1	0	0	0
V519	0.08029	0.91971	0	0
V520	0.06808	0	0.7387	0.19322
V521	0.68109	0	0.31891	0
V522	0.05436	0.13913	0.66756	0.13895
V523	0.50922	0.09656	0.27769	0.11654
V524	0.0597	0.80047	0.13983	0
V525	0.39704	0.21166	0	0.3913
V526	0.8492	0.01124	0.04035	0.09921
V527	0.31681	0	0.46491	0.21828
