Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V181	0.59484	0.18521	0.04055	0.09983	0	0.07958
V182	0	0.13729	0.86271	0	0	0
V183	0	0.02721	0	0.97279	0	0
V184	0.41318	0.4696	0	0.06774	0.04948	0
V185	0.03579	0.62513	0	0.05425	0.09682	0.188
V186	0	0.03009	0.66025	0.30967	0	0
V187	0.28401	0.57454	0	0.06209	0.07937	0
V188	0	0.68085	0	0.00846	0	0.31069
V189	0	0.11718	0.17061	0.10055	0.5439	0.06777
V190	0	0.22632	0	0.09083	0.57659	0.10626
V191	0	0.65138	0	0	0	0.34862
V192	0.59019	0.29333	0.0708	0.04568	0	0
V193	0	0.11586	0	0	0	0.88414
V194	0	0.04683	0	0.22661	0.72656	0
V195	0	0.04319	0.83271	0.12409	0	0
V196	0	0.01921	0	0.98079	0	0
V197	0.16954	0.08439	0	0.08832	0.65775	0
V198	0.069	0.48939	0.00532	0.2396	0.1967	0
V199	0	0.26776	0.06549	0.19124	0.47551	0
V200	0	0.08449	0.64484	0.20374	0	0.06693
V201	0	0.03048	0	0.96952	0	0
V202	0	0.11869	0.52242	0.06685	0.05341	0.23863
V203	0.55861	0.13038	0	0.31101	0	0
V204	0	0.08723	0.00033	0.19102	0	0.72141
V205	0	0.06138	0.93862	0	0	0
V206	0	0.0732	0.05636	0.87044	0	0
V207	0.43821	0.25935	0	0.27827	0	0.02417
V208	0.38664	0.16889	0.41302	0.03145	0	0
V209	0.24009	0.56173	0	0.01284	0	0.18535
V210	0.04855	0.09887	0.85258	0	0	0
V211	0.59159	0.10918	0.08562	0.03761	0.08593	0.09007
V212	0	0.31011	0.21505	0.47484	0	0
V213	0	0.12441	0.27787	0.09454	0.50318	0
V214	0.83232	0.11911	0	0.04857	0	0
V215	0	0.71766	0	0.0136	0	0.26875
V216	0.08602	0.57976	0.33422	0	0	0
V217	0.10918	0.06123	0.00409	0.1594	0.24204	0.42406
V218	0	0.37661	0	0.62339	0	0
V219	0.88403	0.08696	0	0	0	0.02901
V220	0	0.10368	0	0.89632	0	0
V221	0.04962	0.84016	0	0.11022	0	0
V222	0.02226	0.36343	0	0.25259	0.36172	0
V223	0	0.34916	0.29287	0	0	0.35797
V224	0	0.03493	0.44047	0.06128	0.46332	0
V225	0	0.04825	0	0.00547	0	0.94628
V226	0.27182	0.13356	0.21814	0.35526	0.02121	0
V227	0.69184	0.09023	0	0.20139	0	0.01654
V228	0.10573	0.30821	0.54725	0.02876	0	0.01004
V229	0.13843	0.09281	0.42163	0.31969	0.02745	0
V230	0	0.21426	0.78574	0	0	0
V231	0	0.07007	0	0.92993	0	0
V232	0.3331	0.08649	0	0.28163	0	0.29878
V233	0.84552	0.10986	0	0.04462	0	0
V234	0.46571	0.09509	0	0.06949	0.36971	0
V235	0	0.08279	0	0.91721	0	0
V236	0	0.05285	0.18569	0.08765	0.5022	0.17161
V237	0	0.04702	0.89727	0.05571	0	0
V238	0.66143	0.07913	0.00402	0.09435	0	0.16107
V239	0.57129	0.11864	0.09015	0.18096	0.03896	0
V240	0	0.25244	0	0.21208	0.53549	0
V241	0.56889	0.24004	0	0.19107	0	0
