Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V338	0.70605	0.20177	0.08239	0	0.0098
V339	0.06278	0.77163	0.10095	0	0.06464
V340	0	0.24965	0.11179	0.46091	0.17765
V341	0	0.5979	0.33979	0.028	0.03431
V342	0.14027	0.35091	0.41418	0.08057	0.01407
V343	0.67382	0.08714	0.23904	0	0
V344	0	0.90444	0	0	0.09556
V345	0.06983	0.16135	0	0.58961	0.1792
V346	0	0.40458	0.20633	0.35248	0.03661
V347	0	0.57765	0	0.33042	0.09193
V348	0	0.22421	0.35432	0.40114	0.02033
V349	0	0.43041	0.47418	0.07846	0.01695
V350	0	0.57124	0	0.32263	0.10614
V351	0.00368	0.21133	0.37324	0.40928	0.00246
V352	0	0.7208	0.26904	0	0.01016
V353	0.12928	0.51377	0	0.18245	0.1745
V354	0.51197	0.08972	0.39831	0	0
V355	0	0.13335	0.24263	0.60548	0.01854
V356	0	0.17586	0.7677	0.05644	0
V357	0	0.13727	0.50336	0.30618	0.05319
V358	0	0.02267	0	0.92783	0.0495
V359	0	0.09468	0	0.84225	0.06307
V360	0.67637	0.23486	0	0.04599	0.04278
V361	0.2223	0.71402	0	0	0.06368
V362	0.86313	0.13687	0	0	0
V363	0	0.09656	0.00787	0.66283	0.23274
V364	0	0.31577	0	0.57667	0.10756
V365	0	0	0	0.9477	0.0523
V366	0.05149	0.22565	0.58711	0.13554	0.00021
V367	0.07757	0.40387	0.14869	0.27692	0.09295
V368	0.75315	0.23276	0.01409	0	0
V369	0	0.79117	0.11099	0.03106	0.06678
V370	0	0.22592	0.06785	0.59645	0.10978
V371	0	0.98539	0	0	0.01461
V372	0.59922	0.27387	0.05899	0.01861	0.04931
V373	0	0.87999	0.00778	0.00845	0.10378
V374	0	0.18084	0.28436	0.52528	0.00952
V375	0.14962	0.20697	0.60549	0.03792	0
V376	0	0.06718	0.4203	0.40746	0.10506
V377	0	0.66249	0.09546	0.17986	0.06219
V378	0	0.77709	0.10007	0.00424	0.1186
V379	0	0.0691	0.13759	0.59923	0.19408
V380	0	0.11515	0.1038	0.70452	0.07653
V381	0.02201	0.19024	0.01209	0.52136	0.2543
V382	0.29044	0.08836	0	0.47656	0.14464
V383	0	0.07844	0.16418	0.74734	0.01003
V384	0.11918	0.22181	0.08546	0.51043	0.06312
V385	0	0.21556	0.01191	0.51598	0.25655
V386	0.60374	0.07651	0	0.25579	0.06396
V387	0.07245	0.09578	0	0.74352	0.08825
V388	0	0.92526	0	0	0.07474
V389	0	0.92337	0	0	0.07663
V390	0	0.06678	0	0.83975	0.09347
