CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V170	0.27962	0.06578	0.1436	0.26391	0.14895	0.09815
V171	0.16788	0.35712	0.09625	0.04294	0.09558	0.24022
V172	0.0986	0.07839	0.46164	0.16518	0.07824	0.11795
V173	0.06754	0.03367	0.6769	0.01564	0.06998	0.13628
V174	0.37113	0.12827	0.09612	0.04895	0.24592	0.10961
V175	0.10627	0.48251	0.1514	0.06319	0.13759	0.05904
V176	0.03703	0.01689	0.78791	0.02397	0.0684	0.0658
V177	0.1406	0.08868	0.30578	0.04818	0.22573	0.19103
V178	0.03877	0.05321	0.041	0.03078	0.77945	0.0568
V179	0.06357	0.02822	0.05631	0.5086	0.20903	0.13427
V180	0.19444	0.04222	0.20111	0.33568	0.08486	0.14169
V181	0.32526	0.13124	0.13972	0.09026	0.13546	0.17805
V182	0.05552	0.09076	0.64337	0.07482	0.06026	0.07527
V183	0.03973	0.03082	0.0136	0.73744	0.13529	0.04313
V184	0.24824	0.32381	0.08284	0.06786	0.18638	0.09087
V185	0.13085	0.39312	0.08339	0.0518	0.20166	0.13918
V186	0.03299	0.01967	0.51457	0.29308	0.08776	0.05192
V187	0.20193	0.38004	0.06906	0.06245	0.20948	0.07704
V188	0.14991	0.43429	0.08352	0.06737	0.08699	0.17792
V189	0.05898	0.07521	0.16616	0.04958	0.53283	0.11723
V190	0.07181	0.15827	0.03987	0.04846	0.55015	0.13143
V191	0.13189	0.43273	0.07701	0.0531	0.10023	0.20505
V192	0.32327	0.21182	0.15707	0.06395	0.12627	0.11762
V193	0.19856	0.12572	0.11303	0.0385	0.08075	0.44343
V194	0.03319	0.03882	0.03136	0.11914	0.72195	0.05554
V195	0.0403	0.01784	0.60771	0.09883	0.17491	0.06041
V196	0.031	0.02934	0.0262	0.69582	0.17161	0.04602
V197	0.14425	0.03192	0.05536	0.03896	0.65695	0.07256
V198	0.11161	0.31356	0.07526	0.15228	0.28117	0.06611
V199	0.05523	0.19285	0.10567	0.11376	0.48028	0.05221
V200	0.08762	0.02863	0.48518	0.2055	0.07946	0.1136
V201	0.04178	0.03031	0.00914	0.72405	0.13491	0.05981
V202	0.11054	0.07057	0.38075	0.05367	0.20007	0.1844
V203	0.34484	0.07402	0.08482	0.30147	0.08751	0.10734
V204	0.19104	0.07127	0.1237	0.15944	0.08639	0.36816
V205	0.04409	0.03342	0.77145	0.0323	0.05298	0.06576
V206	0.038	0.06471	0.10054	0.59953	0.15452	0.04271
V207	0.25159	0.17698	0.10402	0.22329	0.10879	0.13533
V208	0.25631	0.10083	0.36902	0.06899	0.11125	0.09359
V209	0.21268	0.37087	0.08248	0.07354	0.09112	0.16931
V210	0.1053	0.0382	0.71253	0.01806	0.05093	0.07498
V211	0.32534	0.07092	0.16927	0.04165	0.20676	0.18605
V212	0.05833	0.22588	0.18572	0.31915	0.15371	0.0572
V213	0.05753	0.0762	0.23215	0.05028	0.52972	0.05412
V214	0.4683	0.07712	0.13262	0.08726	0.09903	0.13567
V215	0.13027	0.46278	0.07415	0.07449	0.08932	0.16898
V216	0.12965	0.38464	0.27789	0.04893	0.09241	0.06647
V217	0.18736	0.03261	0.10313	0.09799	0.32004	0.25887
V218	0.07895	0.26547	0.03405	0.43763	0.13742	0.04647
V219	0.4785	0.06288	0.13857	0.04108	0.0711	0.20788
V220	0.08914	0.04038	0.03177	0.65367	0.12553	0.05951
V221	0.11951	0.51813	0.08732	0.10995	0.10355	0.06155
V222	0.08883	0.23122	0.06555	0.15117	0.39418	0.06905
V223	0.12611	0.2534	0.26699	0.0392	0.0926	0.2217
V224	0.03148	0.01952	0.34424	0.02305	0.53256	0.04914
