CD56NK	CD4MemoryT	CD19B	CD14
V397	0.86281	0.00861	0.12858	0
V398	0.67197	0.09151	0.23652	0
V399	0.28993	0.46455	0.24553	0
V400	0.20176	0.53993	0.25831	0
V401	0.10173	0.21505	0.68322	0
V402	0.88437	0.08101	0.03462	0
V403	0.01399	0	0.34791	0.6381
V404	0.13508	0.24457	0.62035	0
V405	0.40206	0	0.36763	0.23031
V406	0.7352	0.18369	0.08111	0
V407	0.1056	0.76152	0.13289	0
V408	0.22464	0.24523	0.53013	0
V409	0	0	0.23388	0.76612
V410	0.19131	0.66286	0.14583	0
V411	0.6938	0	0.01003	0.29617
V412	0.26465	0.13331	0.60204	0
V413	0.23281	0.42037	0.34682	0
V414	0.13564	0.45902	0.40534	0
V415	0.62426	0	0.37574	0
V416	0.04386	0.19274	0.7634	0
V417	0.45818	0.46624	0.07557	0
V418	0.20005	0.05441	0.42405	0.32148
V419	0	0	0.24174	0.75826
V420	0.11282	0.72343	0.16375	0
V421	0.2059	0.11909	0.67501	0
V422	0.07719	0	0.26368	0.65913
V423	0.10863	0.14091	0.75046	0
V424	0.0875	0.1473	0.76521	0
V425	0.11619	0.27999	0.60382	0
V426	0.12991	0.14553	0.72456	0
V427	0.24063	0.37129	0.38807	0
V428	0.21151	0.60605	0.18244	0
V429	0	0	0.26004	0.73996
V430	0.86951	0.0842	0.04629	0
V431	0.31646	0.06204	0.6215	0
V432	0.25873	0	0.30592	0.43535
V433	0.21663	0.61797	0.16539	0
V434	0.583	0	0.20344	0.21356
V435	0.73098	0	0.24073	0.02829
V436	0.6011	0	0.23896	0.15994
V437	0.47297	0.19038	0.16666	0.16999
V438	0.78992	0.08173	0.12835	0
V439	0.09682	0	0.29597	0.60721
V440	0.7503	0	0.11169	0.13801
V441	0.1399	0.19854	0.66156	0
V442	0.45183	0.28703	0.26114	0
V443	0.90085	0	0.09915	0
V444	0.03917	0.16449	0.79634	0
V445	0.63376	0.01392	0.35233	0
V446	0.15662	0.65834	0.18504	0
V447	0.70145	0.05479	0.24376	0
V448	0.11263	0.01923	0.50402	0.36411
V449	0.61027	0.03684	0.35288	0
V450	0.23916	0.64944	0.1114	0
V451	1	0	0	0
V452	0.02397	0	0.3363	0.63973
V453	0.92043	0	0.07957	0
V454	0.10926	0.72312	0.16762	0
V455	0.64284	0.0218	0.33536	0
V456	0.39865	0.13043	0.47092	0
V457	0	0	0.22916	0.77084
V458	0.52379	0.18696	0.15324	0.13601
V459	0.13867	0.636	0.22533	0
V460	1	0	0	0
V461	0.05958	0	0.24128	0.69914
V462	0.62167	0.2218	0.11728	0.03926
V463	0.35113	0.39562	0.25325	0
V464	0.80379	0.01322	0.10492	0.07808
V465	0.51409	0.3544	0.13151	0
V466	0.79672	0.10696	0.09632	0
V467	0.39178	0.45199	0.15623	0
V468	0.57186	0.32201	0.10613	0
V469	0.15827	0.19169	0.54603	0.10401
V470	0.64692	0.08277	0.2703	0
V471	0.50457	0.02754	0.21102	0.25686
V472	0.56884	0.29376	0.1374	0
V473	0.17721	0.46968	0.35311	0
V474	0.20865	0	0.31881	0.47253
V475	0.39554	0.3641	0.24036	0
V476	0.2951	0	0.24422	0.46068
V477	0.71891	0	0.28109	0
V478	0.32378	0.51211	0.16411	0
V479	0.06951	0.18771	0.74278	0
V480	0.28191	0.3008	0.25562	0.16168
V481	0.16264	0.12551	0.71185	0
V482	0.74042	0.1005	0.15908	0
V483	0.30351	0.03258	0.32664	0.33727
V484	0.05846	0	0.30693	0.63461
V485	0.25147	0.59843	0.1501	0
V486	0.46673	0.24028	0.29299	0
V487	0.17267	0	0.3448	0.48253
V488	0.0409	0.15044	0.80865	0
V489	0.2379	0.14876	0.61334	0
V490	0.51933	0.27485	0.20582	0
V491	0.52103	0.37802	0.10095	0
V492	0.13203	0.64239	0.22558	0
V493	0	0	0.1925	0.8075
V494	0.25373	0.18777	0.5585	0
V495	0.29471	0.49134	0.21395	0
V496	0.36686	0.53566	0.09748	0
V497	0.03718	0.16134	0.80148	0
V498	0.57525	0.02278	0.21816	0.18381
V499	0.64625	0.19352	0.16023	0
V500	0.14889	0.18948	0.66163	0
V501	0	0	0.24892	0.75108
V502	0.58849	0.21253	0.19898	0
V503	0.39072	0.07775	0.40617	0.12535
V504	0.33043	0.54819	0.12138	0
V505	0.36815	0.20885	0.423	0
V506	0.19281	0.27551	0.53167	0
V507	0.74464	0.04914	0.20621	0
V508	0.83822	0.09021	0.07157	0
V509	0.30208	0.10941	0.58852	0
V510	0.29676	0.42655	0.27669	0
V511	0.25847	0.43518	0.25115	0.0552
V512	0.4346	0	0.26478	0.30062
V513	0.18758	0.53016	0.28226	0
V514	0.01162	0	0.27525	0.71313
V515	0.9225	0	0.0775	0
V516	1	0	0	0
V517	0.13344	0	0.53864	0.32792
V518	1	0	0	0
V519	0.13974	0.70663	0.15363	0
V520	0.11385	0.1025	0.78364	0
V521	0.56919	0.05127	0.37954	0
V522	0.09216	0.21048	0.69736	0
V523	0.49557	0.10699	0.39744	0
V524	0.10867	0.60942	0.2819	0
V525	0.50366	0.16851	0.19402	0.13381
V526	0.81896	0.01203	0.16901	0
V527	0.35705	0.0611	0.57807	0.00377
V528	0.20719	0.66982	0.123	0
V529	0.18334	0.02268	0.50144	0.29255
V530	0.06148	0.26691	0.67162	0
V531	0.11586	0.67736	0.20678	0
V532	0.40254	0.32395	0.20444	0.06907
V533	0.42717	0.30168	0.27115	0
V534	0.09285	0.11679	0.79036	0
V535	0.84004	0	0.00874	0.15122
V536	0.34494	0.00347	0.57725	0.07433
V537	0.61845	0.19417	0.18739	0
V538	0.69665	0	0.22918	0.07418
V539	0.36923	0.36456	0.26621	0
V540	0.28463	0.54319	0.17218	0
V541	0.22493	0.50432	0.27075	0
V542	0.37312	0.13179	0.44949	0.0456
V543	1	0	0	0
V544	0.25438	0.05243	0.4267	0.26649
V545	0.61075	0.1089	0.22362	0.05673
V546	0.15406	0.67757	0.16838	0
V547	0.13077	0.5178	0.35143	0
V548	0.24873	0.57904	0.17223	0
V549	0.33734	0.06425	0.59841	0
V550	0.89372	0	0.01931	0.08697
V551	0.285	0.56618	0.14882	0
