Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V144	0	0.0767	0.01342	0.00824	0	0.44881	0.3898	0.03672	0.02629	0
V145	0.00971	0.0711	0.06842	0.57181	0.00528	0.01515	0.00115	0.25601	0	0.00137
V146	0	0	0.5627	0	0.04028	0.01062	0.02578	0.19255	0	0.16807
V147	0.03261	0.00932	0.04564	0.01302	0.17176	0	0.00819	0.03211	0.55887	0.12849
V148	0.04894	0.03536	0.02383	0.00718	0	0.04497	0.03429	0	0.80544	0
V149	0	0.02339	0.06239	0.63955	0	0	0.0024	0.13573	0.13177	0.00477
V150	0.08013	0	0.07549	0	0.26842	0	0.00583	0.00709	0.04048	0.52256
V151	0.01293	0	0.11635	0	0.15553	0.07197	0.00765	0	0.01053	0.62504
V152	0.00238	0	0.00325	0.01345	0.0171	0	0	0.89903	0	0.06479
V153	0.01581	0	0.03851	0	0.80447	0	0	0.14121	0	0
V154	0.03456	0.01027	0.6643	0.26586	0	0.01478	0.01023	0	0	0
V155	0.04598	0	2e-04	0.0081	0	0.06495	0	0.70172	0.17732	0.00173
V156	0.10545	0.01526	0.20133	0	0	0.474	0.04845	0.06325	0.09003	0.00223
V157	0.00812	0.33109	0.06128	0.04081	0.32083	0.21336	0.01625	0	0	0.00827
V158	0.28859	0.44394	0.04707	0	0.16473	0	0.00414	0.05112	0	0.00041
V159	0.0235	0.00555	0.30735	0.00992	0.40218	0.01433	0.00635	0.14043	0	0.09038
V160	0.03302	0.70552	0.06282	0	0.18824	0	0	0	0	0.0104
V161	0	0.02785	0.09075	0.84191	0	0.00725	0.00583	0	0.01739	0.00903
V162	0.00573	0	0.1189	0	0.1819	0	0.00243	0	0.02561	0.66544
V163	0.07362	0	0.86402	0	0.00187	0.01111	0.00902	0.03299	0	0.00737
V164	0	0	0.95877	0	0.00242	0.01599	0.01977	0	0	0.00305
V165	0	0	0.43404	0	0.12319	0	0.00249	0.01884	0.00822	0.41322
V166	0.02063	0.09072	0.07468	0.64102	0.00362	0.00434	0.01067	0.08928	0.03851	0.02654
V167	0.92383	0	0	0	0	0	0.00852	0	0.06766	0
V168	0.05588	0.00277	0.00214	0.00294	0	0.22906	0.01675	0.53064	0.15136	0.00847
V169	0	0.0015	0.08187	0.20582	0.09279	0.18198	0.01454	0.01903	0.00027	0.40221
V170	0.05184	0.01721	0.02703	0.00944	0	0.00094	0.01512	0	0.87841	0
V171	0.00255	0.00026	0.2773	0.05115	0.01493	0.40363	0.05481	0.07876	0.11326	0.00335
V172	0.0028	0.12505	0.03117	0	0	0.26168	0.48355	0.02347	0.07229	0
V173	0.01598	0.08543	0.04985	0	0.03019	0.08618	0.3833	0.00544	0.06964	0.27398
V174	0	0.05635	0.27401	0.42081	0.14878	0.01824	0.00859	0.0157	0	0.05752
V175	0.85054	0	0.12184	0	0	0	0.01922	0.0084	0	0
V176	0.18685	0	0	0	0	0.71173	0.05362	0	0.04436	0.00345
V177	0.73039	0	0.01946	0.10909	0.00908	0	0.00459	0.01924	0	0.10815
