CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V134	0.21433	0.3795	0.08721	0.04345	0.20778	0.06773
V135	0.12623	0.02232	0.58407	0.01456	0.16066	0.09217
V136	0.17901	0.41558	0.13012	0.04765	0.17298	0.05466
V137	0.10748	0.11827	0.44221	0.03628	0.25745	0.03832
V138	0.17581	0.01309	0.07389	0.32344	0.21899	0.19477
V139	0.13087	0.049	0.16824	0.04134	0.44632	0.16424
V140	0.39469	0.16431	0.12137	0.08626	0.1417	0.09166
V141	0.22464	0.17819	0.15266	0.21233	0.16494	0.06723
V142	0.19606	0.41212	0.09348	0.0775	0.14755	0.07328
V143	0.12254	0.0541	0.49484	0.0766	0.19762	0.0543
V144	0.2211	0.13005	0.09512	0.1235	0.15332	0.27692
V145	0.08568	0.00548	0.04952	0.64963	0.16654	0.04315
V146	0.1385	0.02242	0.10454	0.04816	0.60843	0.07795
V147	0.36089	0.07366	0.17163	0.06483	0.13491	0.19408
V148	0.1025	0.13124	0.58891	0.01412	0.11933	0.04389
V149	0.19826	0.3126	0.08471	0.05254	0.14785	0.20403
V150	0.08536	0.00548	0.03762	0.64614	0.19096	0.03444
V151	0.20979	0.26624	0.08618	0.03986	0.16544	0.2325
V152	0.13346	0.16288	0.35789	0.05117	0.22695	0.06765
V153	0.08135	0.03672	0.49136	0.2034	0.14916	0.03801
V154	0.34767	0.16113	0.10201	0.03179	0.14112	0.21626
V155	0.13072	0.23565	0.12082	0.03704	0.41199	0.06378
V156	0.11282	0.298	0.06728	0.04196	0.43932	0.04062
V157	0.1801	0.08769	0.10108	0.23098	0.16155	0.23859
V158	0.09578	0.05468	0.67536	0.0119	0.11704	0.04524
V159	0.17309	0.16215	0.28912	0.1488	0.16491	0.06195
V160	0.09612	0.0148	0.68248	0.01869	0.11733	0.07058
V161	0.12292	0.29804	0.05891	0.25797	0.22276	0.0394
V162	0.13465	0.32716	0.0645	0.12467	0.29613	0.05289
V163	0.08957	0.01521	0.72141	0.01141	0.11658	0.04582
V164	0.11339	0.22952	0.31068	0.10537	0.19677	0.04428
V165	0.09524	0.02614	0.07421	0.05749	0.66213	0.08478
V166	0.13527	0.02034	0.05637	0.14705	0.47093	0.17004
V167	0.0831	0.00871	0.33623	0.37503	0.15923	0.0377
V168	0.43413	0.03583	0.09035	0.20804	0.13632	0.09534
V169	0.09345	0.01775	0.54185	0.16744	0.1327	0.04681
V170	0.31137	0.0407	0.14032	0.24284	0.18982	0.07495
V171	0.22037	0.29734	0.09799	0.03295	0.15733	0.19401
V172	0.13648	0.06019	0.43391	0.14861	0.13486	0.08595
V173	0.10425	0.02866	0.62532	0.01245	0.13344	0.09587
V174	0.407	0.09408	0.09207	0.04297	0.27751	0.08637
V175	0.16574	0.39464	0.16198	0.04643	0.18272	0.04849
V176	0.07785	0.01448	0.71678	0.0194	0.13071	0.04078
V177	0.1761	0.07142	0.29486	0.04685	0.26227	0.1485
V178	0.07911	0.03825	0.07128	0.04574	0.716	0.04962
V179	0.10702	0.00875	0.07445	0.47135	0.23404	0.1044
V180	0.22928	0.02246	0.19426	0.30815	0.13884	0.10701
V181	0.36299	0.0987	0.1308	0.08072	0.18807	0.13871
V182	0.09708	0.07287	0.59531	0.06354	0.12063	0.05056
V183	0.09026	0.00554	0.04347	0.66003	0.16588	0.03483
V184	0.29704	0.25963	0.08877	0.05556	0.22584	0.07316
V185	0.18365	0.32575	0.09398	0.042	0.24121	0.11341
V186	0.07677	0.00993	0.47923	0.2612	0.1385	0.03436
V187	0.2558	0.30499	0.0805	0.05009	0.24516	0.06347
V188	0.20537	0.36001	0.09106	0.05335	0.14705	0.14316
V189	0.09788	0.05949	0.17789	0.05701	0.51371	0.09402
V190	0.11408	0.12865	0.06092	0.05479	0.53269	0.10887
V191	0.18746	0.35994	0.08473	0.04072	0.1588	0.16835
V192	0.36344	0.16449	0.15	0.05192	0.17772	0.09244
V193	0.24302	0.10248	0.10133	0.03927	0.15694	0.35696
V194	0.07468	0.02404	0.06248	0.1273	0.6633	0.0482
V195	0.08039	0.01255	0.56463	0.08999	0.21235	0.04008
V196	0.08145	0.00558	0.05509	0.62482	0.19603	0.03703
V197	0.18045	0.01806	0.07392	0.05011	0.61694	0.06052
V198	0.16273	0.25299	0.09163	0.13885	0.29863	0.05516
V199	0.10152	0.15531	0.12473	0.1116	0.46266	0.04419
V200	0.12483	0.01851	0.45361	0.18608	0.13519	0.08179
V201	0.09163	0.00564	0.0383	0.65134	0.16607	0.04702
V202	0.14672	0.05657	0.36403	0.05124	0.24023	0.14122
V203	0.37654	0.04375	0.0821	0.27495	0.13998	0.08268
V204	0.23186	0.05253	0.11426	0.15493	0.15359	0.29284
V205	0.08493	0.02757	0.7028	0.02608	0.11752	0.0411
V206	0.0866	0.03708	0.11924	0.54068	0.18233	0.03406
V207	0.29195	0.13478	0.10441	0.20364	0.15952	0.1057
V208	0.28799	0.07619	0.3454	0.05877	0.16281	0.06886
V209	0.2647	0.30236	0.08647	0.05933	0.15007	0.13708
V210	0.14066	0.03059	0.65174	0.01228	0.1158	0.04893
V211	0.36098	0.04833	0.15752	0.03881	0.24839	0.14597
V212	0.10844	0.17588	0.19333	0.28997	0.18755	0.04483
V213	0.09804	0.05901	0.24073	0.05541	0.50359	0.04322
V214	0.49854	0.04811	0.1166	0.07557	0.15797	0.10321
V215	0.18666	0.3859	0.08367	0.05962	0.14798	0.13616
V216	0.18265	0.31033	0.27486	0.03372	0.14703	0.05141
V217	0.22489	0.01879	0.10326	0.10092	0.34687	0.20526
V218	0.13239	0.20167	0.05709	0.39764	0.17218	0.03903
V219	0.51135	0.03679	0.11776	0.03336	0.13972	0.16101
V220	0.13374	0.01457	0.05417	0.59032	0.16027	0.04693
V221	0.18038	0.42363	0.10209	0.08865	0.15326	0.05199
V222	0.13581	0.18545	0.08495	0.14336	0.39228	0.05815
V223	0.17127	0.20996	0.25884	0.03124	0.15293	0.17576
V224	0.07125	0.01257	0.34304	0.0317	0.50384	0.0376
V225	0.2861	0.03106	0.11217	0.03982	0.14996	0.38089
V226	0.22393	0.05004	0.20602	0.22825	0.21693	0.07483
V227	0.40928	0.02793	0.08993	0.19689	0.14419	0.13178
V228	0.16841	0.16459	0.38249	0.06269	0.15247	0.06935
V229	0.1692	0.02113	0.31171	0.20541	0.22827	0.06428
V230	0.11947	0.11993	0.56711	0.02122	0.11941	0.05286
V231	0.1083	0.01903	0.04568	0.60825	0.18133	0.03741
V232	0.31211	0.02858	0.07699	0.24259	0.15102	0.1887
V233	0.50399	0.04111	0.11796	0.08213	0.14475	0.11007
V234	0.31728	0.02494	0.07119	0.05327	0.45375	0.07957
V235	0.12353	0.00813	0.05904	0.59055	0.17295	0.04581
V236	0.12128	0.01428	0.19201	0.04935	0.49943	0.12364
V237	0.08318	0.01274	0.63561	0.09365	0.13461	0.0402
V238	0.41261	0.02895	0.1245	0.09662	0.16193	0.1754
V239	0.35073	0.04511	0.15595	0.1308	0.22061	0.0968
V240	0.09113	0.16265	0.04919	0.12758	0.52906	0.04039
V241	0.36664	0.126	0.08713	0.16191	0.17098	0.08734
V242	0.26628	0.05409	0.10828	0.16237	0.20585	0.20313
V243	0.12248	0.25295	0.37227	0.05604	0.15385	0.04241
V244	0.17018	0.03027	0.06819	0.04009	0.5353	0.15598
V245	0.48063	0.0344	0.10969	0.03327	0.14879	0.19321
V246	0.08357	0.04121	0.20387	0.2958	0.33372	0.04183
V247	0.27674	0.074	0.08757	0.1692	0.15926	0.23323
V248	0.20965	0.03655	0.0563	0.19943	0.42328	0.0748
V249	0.2227	0.12422	0.3325	0.08479	0.12855	0.10725
V250	0.08853	0.01717	0.04395	0.64692	0.16598	0.03745
V251	0.13796	0.34579	0.16503	0.15462	0.15031	0.04628
V252	0.08276	0.01185	0.06811	0.60199	0.19502	0.04027
