CD56NK	CD4MemoryT	CD19B	CD14
V239	0.06015	0.33545	0.01435	0.59006
V240	0.50839	0.0146	0.42014	0.05687
V241	0.01446	0.00113	0.89908	0.08532
V242	0.13961	0.74928	0.09399	0.01712
V243	0.24941	0.01708	0.63987	0.09364
V244	0.20844	0	0.6883	0.10326
V245	0.63846	0.24606	0.04704	0.06844
V246	0.05517	0.10592	0.81043	0.02849
V247	0.17606	0.00728	0.81611	0.00055
V248	0.01702	0.0127	0.03642	0.93386
V249	1e-05	0.0182	0.89576	0.08603
V250	0.78167	0	0.21232	0.006
V251	0.96213	0.02536	0.00572	0.00679
V252	0.00906	0.83432	0.15653	9e-05
V253	0.35384	0.03576	0.15318	0.45722
V254	0.00859	0.93606	0.04729	0.00806
V255	0.0468	0.90236	0	0.05084
V256	0.18524	0.16053	0.5438	0.11043
V257	0.42878	0.05813	0.23072	0.28237
V258	0.18443	0.20969	0.44458	0.1613
V259	0.0319	0.25	0.66655	0.05156
V260	0.00034	0.25093	0.74107	0.00766
V261	0.62303	0.01084	0.19089	0.17524
V262	0.08223	0.02968	0.01092	0.87717
V263	0.01799	0.9524	0	0.02961
V264	0.15543	0.01294	0.4162	0.41543
V265	0.0233	0	0.11773	0.85897
V266	0.67653	0.3181	0.00537	0
V267	3e-05	0.1213	0.26768	0.61099
V268	0.36445	0.00551	0.131	0.49904
V269	0.00579	0.52333	0.40783	0.06305
V270	0.65757	0.00688	0.2388	0.09674
V271	0.81685	0.03724	0.02924	0.11667
V272	0.05484	0.80186	0.00972	0.13358
V273	0.0439	0.00625	0.0282	0.92166
V274	0.69956	0	0.17514	0.12529
V275	0.00061	0.01126	0.97829	0.00984
V276	0.5239	0.28486	0.00882	0.18241
V277	0.02955	0.14593	0.14719	0.67733
V278	0.02858	0.02605	0.2685	0.67686
V279	0.70149	0.029	0.10687	0.16263
V280	0.01242	0	0.01667	0.97091
V281	0.53465	0.00997	0.13217	0.32321
V282	0.05271	0.03627	0.83701	0.07401
V283	0.22135	0.53585	0.05874	0.18406
V284	0.02694	0.90966	0.05581	0.00759
V285	0.0746	0.00424	0.92039	0.00077
V286	0.26104	0.50745	0.11024	0.12127
V287	0.10298	0.85762	0.01118	0.02822
V288	0.01277	0.21754	0.43277	0.33692
V289	0.30023	0.16613	0.43695	0.09669
V290	0.85107	0.1366	0.01234	0
V291	0.51407	0.03758	0.43263	0.01572
V292	0.93783	0	0	0.06217
V293	0.30775	0.00182	0.64305	0.04738
V294	0.08016	0.30159	0	0.61826
V295	0.01303	0.11974	0.17617	0.69106
V296	0.18297	0.07682	0.63117	0.10904
V297	0.06118	0	0.05767	0.88114
V298	0.3193	0.06323	0.60104	0.01643
V299	0.05987	0.21316	0.00856	0.7184
V300	0.00044	0.01057	0.20774	0.78125
V301	0.11801	0.06858	0.66654	0.14687
V302	0.68219	0.30156	0	0.01625
V303	0.00037	0.56618	0.3933	0.04015
V304	0.04997	0.00713	0.74188	0.20102
V305	0.11633	0.10656	0.46535	0.31177
V306	0.83979	0.06011	0.04582	0.05428
V307	0.01757	0.95152	0.01217	0.01874
V308	0.22949	0.16842	0.30071	0.30137
V309	0.33083	0.25137	0.02139	0.39641
V310	0.07093	0.24701	0.14367	0.53839
V311	0.54816	0.44074	0.00476	0.00633
V312	0.10233	0.72372	0.14585	0.0281
V313	0.00268	0.07222	0.01236	0.91273
V314	0.01351	0.40716	0.10734	0.472
V315	0.12005	0.57675	0.03141	0.27179
V316	0.31504	0.08587	0.394	0.20508
V317	0.08746	0.66196	0.04022	0.21036
V318	0.03094	0.49019	0.00822	0.47065
V319	0.05433	0.03083	0.87453	0.04032
V320	0.07355	0.09387	0.67261	0.15997
V321	0.66597	0.32867	0.00536	0
V322	0.18584	0.25491	0.06444	0.49481
V323	0.04212	0.004	0.07497	0.87891
V324	0.70066	0.20798	0.06603	0.02532
V325	0.33136	0.61005	0.05232	0.00628
V326	0	0.4959	0.08669	0.41741
V327	0.01399	0.0953	0.09168	0.79903
V328	0.04013	0.00707	0.73959	0.21321
V329	0.15437	0.0642	0.15545	0.62598
V330	0.37384	0	0.32137	0.3048
V331	0.32004	0.04931	0.03603	0.59462
V332	0.00655	0.02207	0.1628	0.80858
V333	0.43351	0.03875	0.3896	0.13814
V334	0.33948	0	0.34179	0.31872
V335	0.02224	0.27987	0.53549	0.1624
V336	0.18422	0.66629	0.01703	0.13246
V337	0.30132	0.35812	0.30197	0.03859
V338	0.00154	0.98405	0.00561	0.0088
