B_cells	NK_cells	T_cells_CD4.	Monocytes
V210	0.12189	0.68667	0.1772	0.01424
V211	0.46188	0	0.07786	0.46026
V212	0.49835	0.02523	0.47543	0.00099
V213	0.64196	0	0.16988	0.18816
V214	0.35802	0.14295	0.22234	0.27668
V215	0.34583	0.08306	0.0439	0.52721
V216	0.12245	0	0.09998	0.77757
V217	0.06722	0.4634	0.30583	0.16355
V218	0.12376	0.42714	0.23332	0.21577
V219	0.14134	0.60862	0.06318	0.18687
V220	0.04183	0.77385	0.08202	0.10229
V221	0.7939	0	0.04854	0.15755
V222	0.33193	0.11703	0.41839	0.13266
V223	0.03232	0.14114	0.7854	0.04114
V224	0.88429	0	0.11571	0
V225	0.09356	0.75925	0.14719	0
V226	0.31387	0.07221	0.61392	0
V227	0.74624	0	0.24986	0.00389
V228	0.74929	0.04144	0.12599	0.08328
V229	0.06658	0.03609	0.88349	0.01385
V230	0.07131	0.03719	0.10458	0.78692
V231	0.03671	0.28115	0.17308	0.50906
V232	0.08396	0.65345	0.01358	0.24901
V233	0.56165	0.06488	0.25907	0.1144
V234	0.0794	0.79848	0.12212	0
V235	0.38244	0.05038	0.56564	0.00154
V236	0.08083	0.07593	0.80059	0.04264
V237	0.22166	0	0.08458	0.69376
V238	0.158	0.49989	0.33586	0.00624
V239	0.10287	0.39919	0.05931	0.43863
V240	0.48436	0.02237	0.47031	0.02296
V241	0.06191	0.0038	0.89493	0.03937
V242	0.15848	0.66872	0.1728	0
V243	0.26147	0.03519	0.65996	0.04338
V244	0.23126	0	0.71926	0.04948
V245	0.59659	0.26106	0.10603	0.03633
V246	0.08925	0.14632	0.76442	0
V247	0.18221	0.02407	0.79372	0
V248	0.07923	0.03112	0.13112	0.75853
V249	0.005	0.06163	0.89275	0.04062
V250	0.72606	0	0.27394	0
V251	0.8866	0.03625	0.06132	0.01584
V252	0.03806	0.72942	0.23252	0
V253	0.39637	0.04366	0.22374	0.33623
V254	0.04494	0.80517	0.14989	0
V255	0.0934	0.85819	0.02932	0.01909
V256	0.19975	0.19837	0.55532	0.04656
V257	0.43646	0.07911	0.29319	0.19124
V258	0.2001	0.24418	0.47321	0.08251
V259	0.06677	0.27418	0.65905	0
V260	0.00173	0.26516	0.73311	0
V261	0.61261	0	0.26131	0.12608
V262	0.16755	0.05837	0.04433	0.72975
V263	0.06838	0.88418	0.03654	0.0109
V264	0.19639	0.01846	0.49451	0.29064
V265	0.07976	0	0.21232	0.70793
V266	0.64022	0.29378	0.066	0
V267	0	0.17889	0.36412	0.45699
V268	0.41908	0	0.19944	0.38148
V269	0.03054	0.50731	0.45707	0.00508
V270	0.62884	0	0.30505	0.06611
V271	0.77945	0.04274	0.08469	0.09312
V272	0.09234	0.76538	0.07716	0.06513
V273	0.13033	0.00596	0.11292	0.75078
V274	0.67843	0	0.23342	0.08815
V275	0.01319	0.05596	0.92113	0.00971
V276	0.51973	0.30724	0.05039	0.12263
V277	0.06003	0.20475	0.23075	0.50447
V278	0.07231	0.04443	0.36791	0.51535
V279	0.67736	0.02969	0.17289	0.12006
V280	0.09017	0	0.1253	0.78453
V281	0.55903	0	0.19945	0.24152
V282	0.09284	0.0758	0.80203	0.02932
V283	0.23859	0.53687	0.11946	0.10508
V284	0.06556	0.78166	0.15278	0
V285	0.10618	0.00427	0.88955	0
V286	0.26879	0.49798	0.17447	0.05876
V287	0.13874	0.77867	0.08259	0
V288	0.0346	0.26741	0.48976	0.20823
V289	0.29468	0.20015	0.46585	0.03931
V290	0.80368	0.1216	0.07472	0
V291	0.47535	0.05136	0.4733	0
V292	0.91748	0	0.00825	0.07427
V293	0.31009	0.00944	0.66931	0.01116
V294	0.12794	0.37898	0	0.49308
V295	0.03884	0.17312	0.26516	0.52289
V296	0.2008	0.11357	0.63632	0.0493
V297	0.13946	0	0.14286	0.71767
V298	0.30415	0.08945	0.6064	0
V299	0.10804	0.27796	0.04109	0.57292
V300	0.00282	0.01986	0.32405	0.65327
V301	0.14992	0.10795	0.66832	0.07381
V302	0.66725	0.30629	0.0245	0.00196
V303	0.00766	0.54376	0.44858	0
V304	0.08951	0.02804	0.76854	0.1139
V305	0.14665	0.15071	0.51092	0.19171
V306	0.77289	0.07011	0.11056	0.04643
V307	0.06513	0.83127	0.1036	0
V308	0.2487	0.21145	0.35348	0.18637
V309	0.36254	0.29812	0.05898	0.28037
V310	0.10444	0.30666	0.21382	0.37508
V311	0.52039	0.41521	0.0644	0
V312	0.12931	0.6493	0.22139	0
V313	0	0.12538	0.07519	0.79943
