B_cells	NK_cells	T_cells_CD4.	Monocytes
V310	0.12349	0.34863	0.1614	0.36647
V311	0.52925	0.4576	0.01315	0
V312	0.13091	0.70618	0.1629	0
V313	0.0583	0.15748	0.02436	0.75987
V314	0.05128	0.50655	0.12559	0.31659
V315	0.16016	0.6247	0.05043	0.16471
V316	0.33332	0.16797	0.3765	0.1222
V317	0.12595	0.68908	0.06584	0.11914
V318	0.08264	0.57635	0.01898	0.32203
V319	0.08607	0.11573	0.78522	0.01298
V320	0.10641	0.19061	0.61513	0.08785
V321	0.64567	0.34546	0.00887	0
V322	0.24161	0.34719	0.07471	0.33649
V323	0.14339	0.04676	0.10417	0.70569
V324	0.66451	0.25888	0.07661	0
V325	0.32102	0.60747	0.07151	0
V326	0.02208	0.58935	0.11164	0.27694
V327	0.07926	0.18376	0.11379	0.62319
V328	0.07688	0.07649	0.71604	0.1306
V329	0.22921	0.14227	0.17496	0.45356
V330	0.42244	0.02906	0.33239	0.21611
V331	0.40394	0.10849	0.03951	0.44806
V332	0.07012	0.08488	0.19447	0.65053
V333	0.43911	0.10284	0.37887	0.07917
V334	0.38749	0.03119	0.35446	0.22685
V335	0.05148	0.3673	0.4963	0.08492
V336	0.21059	0.68395	0.0367	0.06877
V337	0.30093	0.40757	0.29149	0
V338	0.02567	0.9209	0.04591	0.00752
V339	0.1454	0.04509	0.80951	0
V340	0.08418	0.26774	0.50853	0.13956
V341	0.11223	0.06813	0.08059	0.73906
V342	0.27258	0.03549	0.5952	0.09673
V343	0.93518	0.03497	0.01066	0.01919
V344	0.66704	0.15607	0.17689	0
V345	0.04803	0.08858	0.8634	0
V346	0.27038	0.14543	0.2836	0.30059
V347	0.12732	0.03472	0.14181	0.69616
V348	0.08892	0.64596	0.1628	0.10232
V349	0.36134	0.19645	0.37351	0.0687
V350	0.05205	0.75868	0.18927	0
V351	0.06489	0.06964	0.40164	0.46382
V352	0.07428	0.07178	0.80194	0.052
V353	0.87168	0.02896	0.03778	0.06159
V354	0.0787	0.67416	0.24004	0.0071
V355	0.29961	0.111	0.4477	0.14169
V356	0.1201	0.04995	0.11417	0.71579
V357	0.14659	0.3592	0.28124	0.21297
V358	0.57274	0.11973	0.0463	0.26123
V359	0.60864	0.06784	0.02612	0.2974
V360	0.5559	0.41529	0.02881	0
V361	0.00835	0.46332	0.52834	0
V362	0.02286	0.91702	0.05642	0.0037
V363	0.20026	0.15748	0.45568	0.18658
V364	0.18341	0.10908	0.64607	0.06144
V365	0.34179	0.04099	0.00589	0.61133
V366	0.11364	0.67124	0.10524	0.10988
V367	0.60163	0.14895	0	0.24942
V368	0.12384	0.7087	0.10723	0.06023
V369	0.03655	0.41299	0.55046	0
V370	0.31088	0.29639	0.39273	0
V371	0.21908	0.69628	0.0486	0.03604
V372	0.23215	0.07911	0.12749	0.56125
V373	0.11359	0.18323	0.46154	0.24164
V374	0.77356	0.02239	0.20404	0
V375	0.11725	0.06976	0.15466	0.65834
V376	0.11743	0.06279	0.11141	0.70837
V377	0.81727	0	0.00187	0.18086
V378	0.05144	0.07124	0.41281	0.4645
V379	0.3873	0.22025	0	0.39245
V380	0.20863	0.10306	0.20579	0.48252
V381	0.74857	0.01684	0.09534	0.13925
V382	0.10457	0.08564	0.80979	0
V383	0.83831	0.0053	0.05295	0.10344
V384	0.57436	0.09293	0.134	0.19871
V385	0.84846	0.02044	0.08064	0.05046
V386	0.35808	0.02709	0.15381	0.46102
V387	0.58539	0.16675	0.19242	0.05544
V388	0.3898	0.3441	0.15272	0.11338
V389	0.43462	0.51055	0.01898	0.03585
V390	0.29797	0.27201	0.43002	0
V391	0.46784	0.12539	0.00595	0.40082
V392	0.4387	0.24304	0.16845	0.14981
V393	0.29884	0.25876	0.34045	0.10194
V394	0.14823	0.26059	0.11945	0.47173
V395	0.24716	0.40716	0.20853	0.13714
V396	0.05003	0.89929	0.03742	0.01326
V397	0.77074	0.09749	0.10739	0.02438
V398	0.47485	0.15728	0.0964	0.27147
V399	0.22028	0.54759	0.1659	0.06623
