Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V97	0	0.0458	0.05943	0	0.06341	0.04197	0.60492	0	0.10804	0.07643
V98	0	0.15051	0.02878	0.05964	0.2889	0.00067	0.0377	0.13669	0.23107	0.06604
V99	0.53725	0.00125	0	0	0.0079	0	0.08045	0	0.37252	0.00062
V100	0.15768	0.0075	0.01761	0.27342	0.03854	0.2792	0.03773	0	0.18081	0.0075
V101	0	0.01406	0.05509	0	0.14683	0.07733	0.13345	0.04887	0.04816	0.47622
V102	0.03516	0.13825	0.00641	0	0.16886	0.29902	0.11714	0.19149	0.03751	0.00616
V103	0.05689	0.01806	0.01547	0.02093	0	0	0.04042	0	0.84555	0.00268
V104	0	0.00688	0.92859	0	0.00817	0	0.01851	0	0.03785	0
V105	0.26106	0	0.06204	0.00275	0	0.09826	0.00858	0.56568	0.00162	0
V106	0	0.44776	0.33467	0	0.16365	0.01214	0.01119	0	0.03059	0
V107	0.24765	0.09747	0.00596	0	0.4025	0	0.01745	0.03466	0.19431	0
V108	0	0.00313	0.02961	0.20374	0.08616	0.3817	0.02498	0.01736	0.03319	0.22014
V109	0	0.03582	0.0063	0.01316	0.05665	0.78125	0.06195	0	0.04487	0
V110	0.03151	0.00014	0.00752	0	0.88446	0	6e-04	0.07199	0.00378	0
V111	0.00487	0.04082	0.05123	0.00564	0.17887	0.03973	0.58667	0	0.0868	0.00537
V112	0	0.04304	0.05668	0	0.07422	0.02994	0.4873	0	0.16554	0.14327
V113	0.00771	0.01049	0.02057	0.01096	0.01458	0.03118	0.04764	0.01406	0.75803	0.08477
V114	0.01411	0.01946	0.02962	0.01489	0	0	0.04233	0	0.87626	0.00332
V115	0	0.58304	0.09138	0	0.22634	0	0.02743	0	0.0718	0
V116	0.34394	0.03785	0	0	0.00292	0	0.01042	0.60487	0	0
V117	0.01457	0.05319	0.05908	0.00173	0.05101	0.04919	0.66591	0	0.10525	5e-05
V118	0.01328	0.01996	0.0033	0.00504	0.04283	0.81455	0.06434	0.00158	0.03512	0
V119	0	0.01293	0.04498	0.65117	0.01269	0.14411	0.03021	0	0.10391	0
V120	0.65181	0	0.24305	0	0.00845	0.07747	0.01923	0	0	0
V121	0.01779	0.07935	0.35587	0	0.05953	0.13414	0.26467	0.01192	0.05041	0.02632
V122	0	0.02491	0.13518	0	0.0057	0.04035	0.12022	0	0.67335	3e-04
V123	0.01462	0	0	0.00452	0.38342	0	0	0.56964	0.02779	0
V124	0.62776	0.01924	0	0	0.00189	0	0.01002	0.34109	0	0
V125	0	0.0771	0.07193	0.03203	0.0176	0.07661	0.01258	0.70215	0.01	0
V126	0.02915	0.02573	0.00936	0	0.84508	0	0.00203	0.04778	0.04086	0
V127	0	0.01498	0.66082	0	0	0.00097	0.17145	0	0.15178	0
V128	0	0.0803	0.48255	0	0.4	0.02895	0.0082	0	0	0
V129	0.005	0.03673	0.0611	0.24623	0.0979	0	0.02514	0	0.52093	0.00697
V130	0	0.00426	0.41009	0	0	0	0.00427	0.58138	0	0
V131	0.00129	0.24283	0.55107	0.04451	0.08331	0	0.01906	0	0.05794	0
V132	0.10263	0.03127	0.02896	0	0.11554	0.02821	0.47653	0.1496	0.06724	0
V133	0	0.01061	0	0.20625	0	0.06873	0.03572	0.67869	0	0
V134	0.00621	0.02022	0.27245	0.02571	0.37861	0	0.13237	0	0.0471	0.11734
V135	0	0.10511	0.18561	0	0.03461	0	0.0423	0	0.63237	0
V136	0	0.38421	0.08283	0.1933	0.18957	0	0.0073	0	0.04181	0.10098
V137	0	0.03447	0.03925	0.00891	0.06189	0.34438	0.37052	0	0.14058	0
V138	0.00477	0.05065	0.06762	0	0.10956	0.02421	0.43232	0	0.13598	0.17489
V139	0.5597	0	0	0	0.09027	0.05937	0.02332	0	0.26734	0
V140	0	0.00065	0.35031	0.55335	0.0464	0.03145	0.01356	0	0.00021	0.00408
V141	0	0.00457	0.07152	0.85679	0.02843	0.00775	0.00407	0	0.00576	0.0211
V142	0	0.03498	0.06998	0.29326	0.03117	0.02877	0.45945	0	0.0699	0.01249
V143	0	0.54561	0.08539	0.05188	0.22041	0	0.01078	0	0.08593	0
V144	0	0.03409	0.03167	0.01377	0.03502	0.36725	0.42753	0.02111	0.06957	0
V145	0.0077	0.04582	0.03113	0.61309	0.0181	0.00574	0.00233	0.26245	0.01363	0
V146	0	0	0.56027	0	0.04278	0.00112	0.0386	0.19082	0.01781	0.1486
V147	0.00452	0.00722	0.02527	0.01147	0.19067	0	0.02897	0.00891	0.6169	0.10608
V148	0.01151	0.02286	0.01767	0.01263	0	0.02382	0.06125	0	0.85026	0
V149	0	0.0081	0.02947	0.65727	0	0	0.00774	0.12418	0.17176	0.00148
V150	0.059	0.00079	0.06283	0	0.30944	0	0.01527	0	0.08195	0.47072
V151	0	0.00489	0.11457	0	0.19056	0.05803	0.01431	0	0.04201	0.57563
