Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V171	0.25239	0.13068	0.28695	0.26666	0.06332
V172	0.15951	0.26516	0.03638	0.15888	0.38006
V173	0.16995	0.14096	0.03769	0.46671	0.18469
V174	0.15987	0.04708	0.28714	0.33124	0.17467
V175	0.05123	0.17682	0.08993	0.31271	0.36931
V176	0.30264	0.01944	0	0.58854	0.08938
V177	0.1424	0.07449	0.4809	0.27954	0.02266
V178	0.22975	0.08823	0.38489	0.22364	0.07349
V179	0.07853	0.05122	0	0.23989	0.63037
V180	0	0.05288	0.31862	0.21239	0.41611
V181	0.04753	0.2945	0	0.19877	0.4592
V182	0.5457	0.22616	0	0.16547	0.06267
V183	0.0415	0.89904	0	0	0.05946
V184	0.25219	0.06317	0.21946	0.39993	0.06526
V185	0.08754	0.49023	0	0.19033	0.2319
V186	0.10705	0.20865	0	0.35596	0.32834
V187	0.05315	0.67326	0	0.18346	0.09012
V188	0.88206	0.04307	0	0.07487	0
V189	0.40882	0.26086	0	0.2666	0.06372
V190	0.38209	0.12453	0.16501	0.12358	0.20479
V191	0.1739	0.21597	0	0.44941	0.16072
V192	0.2694	0.23494	0.06281	0.28332	0.14953
V193	0.03202	0.2388	0.45125	0.15392	0.12402
V194	0.22751	0.10329	0.05012	0.25471	0.36437
V195	0.58978	0.21666	0.16361	0.02995	0
V196	0	0.02741	0.05525	0.28466	0.63268
V197	0.03922	0.8788	0	0	0.08198
V198	0.19371	0.25463	0	0.2903	0.26136
V199	0.8242	0.04336	0.13244	0	0
V200	0.81235	0.00917	0	0.06266	0.11582
V201	0	0.0133	0	0.75433	0.23237
V202	0.994	0.006	0	0	0
V203	0.52185	0.2734	0	0.08374	0.12101
V204	0.31357	0.13427	0	0.1469	0.40526
V205	0.09095	0.07516	0.09875	0.26313	0.47201
V206	0	0.09537	0	0.76116	0.14347
V207	0	0.00621	0	0.86203	0.13177
V208	0.11547	0.25414	0.40315	0.14174	0.0855
V209	0.13514	0.06779	0.07852	0.23229	0.48626
V210	0	0.02922	0.8345	0.13628	0
V211	0.12732	0.0699	0.17466	0.21704	0.41108
V212	0.03338	0.80105	0.01618	0.03212	0.11728
V213	0.07629	0.03292	0.04009	0.41538	0.43531
V214	0	0.57509	0.30784	0.05818	0.05889
V215	0.21382	0.26375	0.08543	0.18836	0.24864
V216	0.02647	0.07582	0.29341	0.22981	0.3745
V217	0	0	0	0.82977	0.17023
V218	0.03719	0.21328	0.21771	0.40705	0.12477
V219	0.08374	0.30255	0.29801	0.26526	0.05044
V220	0.16259	0.77114	0	0	0.06627
V221	0.0114	0.09615	0.44981	0.18172	0.26092
V222	0.00442	0.04138	0.00374	0.27053	0.67993
V223	0.50968	0.05587	0.24193	0.18011	0.01242
V224	0.02815	0.56755	0	0.13318	0.27112
V225	0.75358	0.21547	0.03095	0	0
V226	0.47153	0.52151	0	0	0.00695
V227	0.05344	0.25239	0	0.56652	0.12765
V228	0.58431	0.07117	0.19695	0.12661	0.02096
V229	0.22651	0.42852	0.18982	0.09169	0.06346
V230	0.0041	0.03085	0.00415	0.27411	0.68678
V231	0.04102	0.63791	0.00096	0.18282	0.1373
V232	0.85994	0.05082	0.08924	0	0
V233	0.03571	0.06316	0.13204	0.28739	0.48169
V234	0	0.38035	0.14779	0.37687	0.09499
V235	1	0	0	0	0
V236	0.03653	0.05176	0.54451	0.31483	0.05237
V237	0.08593	0.11319	0.20286	0.41445	0.18356
V238	0	0.02346	0	0.45279	0.52375
V239	0.05002	0.43018	0.00516	0.24396	0.27068
V240	0.04182	0.8461	0	0	0.11207
V241	0.02455	0.91584	0	0	0.05962
V242	0	0.33975	0.22257	0.33233	0.10535
V243	0.46151	0.05604	0.27038	0.11461	0.09747
V244	0.00762	0.43145	0.14263	0.17256	0.24573
V245	0.02	0.90872	0	0	0.07127
V246	0.6279	0.28286	0	0.01194	0.07729
V247	0.14567	0.13702	0.53785	0.15603	0.02343
V248	0.08196	0.62383	0	0.05081	0.2434
V249	0.21008	0.1166	0.15614	0.24058	0.27659
V250	0	0.06027	0.57617	0.19173	0.17182
V251	0.16228	0.06742	0.02858	0.61621	0.1255
V252	0	0.14628	0.46131	0.27429	0.11811
V253	0.26345	0.60717	0.00768	0.04909	0.0726
V254	0.51505	0.37677	0	0.06665	0.04153
V255	0.86164	0.07446	0	0.01882	0.04508
V256	0.02278	0.77858	0	0.01115	0.18749
V257	0.42127	0.34499	0.07176	0.07632	0.08566
V258	0.12397	0.33405	0	0.44351	0.09848
V259	0.54792	0.31617	0.09612	0.01953	0.02026
V260	0.22489	0.08464	0.07069	0.24433	0.37546
V261	0	0.04828	0.41834	0.40876	0.12462
V262	0.97535	0.02465	0	0	0
V263	0.82322	0.078	0	0.09878	0
V264	0.03776	0.88023	0	0	0.08201
V265	0.87334	0.12666	0	0	0
V266	0	0.03349	0.08115	0.27289	0.61247
V267	0.03419	0.03591	0	0.35498	0.57491
V268	0.16125	0.44956	0.07328	0.21245	0.10345
V269	0.04666	0.35078	0.27142	0.25745	0.07369
V270	0	0.02426	0	0.85003	0.12571
V271	0.19203	0.71367	0	0.00211	0.09219
V272	0.07781	0.82362	0	0	0.09857
V273	0.23169	0.06875	0.11352	0.41649	0.16955
V274	0.07204	0.08083	0.01575	0.36477	0.46661
V275	0.0144	0.73363	0.08186	0.0877	0.08241
V276	0	0.03372	0.58572	0.34807	0.03248
V277	0.33435	0.04342	0.52978	0.09245	0
V278	0	0.05201	0.26373	0.53427	0.14998
V279	0.09235	0.01601	0	0.74623	0.14541
V280	0.14139	0.05108	0	0.64603	0.1615
V281	0	0.23009	0	0.6527	0.1172
V282	0.03228	0.90751	0	0	0.06021
V283	0.32617	0.06844	0.07282	0.17337	0.35921
V284	0	0.15632	0.47265	0.15297	0.21807
V285	0.51945	0.45073	0	0	0.02982
V286	0.02108	0.07562	0.74333	0.15997	0
V287	0.19605	0.11213	0.11009	0.38637	0.19536
V288	0.15913	0.05253	0.55829	0.13976	0.0903
V289	0.11101	0.22545	0	0.55647	0.10708
