Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V90	0.03929	0.07121	0.32938	0.08811	0	0.02005	0.03461	0.00334	0	0.414
V91	0.09324	0.03374	0.66059	0.15942	0.01653	0	0.00025	1e-05	0.01205	0.02417
V92	0	0.0124	0.07764	0.04221	0.043	0.0553	0.69327	0.03468	0.04148	0
V93	0	0.09862	0.11222	0.03501	0.04311	0.01258	0.26585	0.03224	0.40037	0
V94	0.79458	0.0179	0.07583	0.02846	0	0.02951	0.02456	0.02915	0	0
V95	0	0.01559	0.05718	0.03558	0.04164	0.05113	0.52915	0.23992	0.0298	0
V96	0.0382	0.13046	0.33039	0.41565	0.00122	0.01281	0.0173	0.01242	0.04154	0
V97	0	0	0.0773	0.04142	0.03432	0.04743	0.68477	0.03531	0.00123	0.07823
V98	0	0.32122	0.0401	0.06861	0.12466	0.01694	0.09815	0.07651	0.1817	0.07211
V99	0.51312	0.04499	0.07805	0.02543	0.01789	0.00485	0.09724	0.01468	0.20375	0
V100	0.16207	0.04584	0.10397	0.22441	0.02811	0.26468	0.06655	0.00945	0.09493	0
V101	0	0	0.029	0.01978	0	0.09115	0.22037	0.05133	0	0.58837
V102	0.01645	0.24254	0.03985	0.03035	0.0625	0.27262	0.20665	0.09264	0.03639	0
V103	0.04502	0.10181	0.08522	0.02768	0.04491	0	0.06511	0.02288	0.60737	0
V104	0.09383	0.03284	0.66774	0.15415	0.0068	0	0	0	0.03002	0.01462
V105	0.31073	0.02468	0.11869	0.0485	0	0.14886	0.06576	0.26674	0.01604	0
V106	0.00596	0.64979	0.15796	0.0486	0	0.00519	0.05876	0	0.07374	0
V107	0.22598	0.26425	0.04436	0.02404	0.21078	0.01055	0.03878	0.0298	0.15146	0
V108	0	0.01125	0.06206	0.17509	0	0.36608	0.07636	0.0326	0	0.27656
V109	0	0.06819	0.02839	0.04888	0.00874	0.7199	0.1116	0.01431	0	0
V110	0	0.20433	0.00973	0.01244	0.61766	0.00232	0.01372	0.05968	0.07146	0.00866
V111	0	0.01626	0.07266	0.04764	0.11144	0.04547	0.66389	0.0325	0.01013	0
V112	0	0.01323	0.07219	0.03738	0.02044	0.03935	0.58774	0.03237	0.02996	0.16735
V113	0	0.08002	0.07508	0.02118	0.03105	0.05023	0.08966	0.03841	0.50743	0.10695
V114	0	0.10674	0.08698	0.02248	0.0478	0.00067	0.07012	0.02338	0.64183	0
V115	0	0.80198	0	0.00993	0	0	0.08503	0	0.10306	0
V116	0.40479	0.10654	0.05227	0.02402	0	0.02794	0.07164	0.29156	0.02125	0
V117	0	0	0.08534	0.04362	0.04474	0.05139	0.73339	0.0366	0.00493	0
V118	0	0.03824	0.03875	0.04258	0.00474	0.744	0.11041	0.02127	0	0
V119	0	0.04014	0.15233	0.49551	0.01616	0.15855	0.05643	0.00998	0.0709	0
V120	0.6232	0.01857	0.21313	0.05873	0	0.08038	0.00599	0	0	0
V121	0.037	0.11038	0.23691	0.07825	0.0262	0.11998	0.3274	0.02514	0.01339	0.02534
V122	0	0.08798	0.14969	0.0416	0.04377	0.05316	0.17834	0.01695	0.42851	0
V123	0	0.10706	0.02187	0.02185	0.32731	0.02483	0.06501	0.33899	0.09308	0
V124	0.65507	0.06367	0.04508	0.02279	0	0.01238	0.0368	0.16421	0	0
V125	0	0.18802	0.09669	0.05838	0.0028	0.13446	0.11095	0.35101	0.05769	0
V126	0	0.24506	0.01107	0.01272	0.56908	0.00031	0.01741	0.04532	0.09902	0
V127	0.04241	0.036	0.45921	0.11194	0.01987	0.01171	0.2194	0.00688	0.08533	0.00726
V128	0.03111	0.23965	0.32517	0.08063	0.22288	0.03965	0.01855	0	0.04235	0
V129	0.00144	0.1328	0.12648	0.21911	0.08863	0.00526	0.04468	0.011	0.3706	0
V130	0.0375	0.03308	0.38434	0.09527	0.00338	0.02523	0.05976	0.32534	0.03611	0
V131	0.04412	0.38562	0.32398	0.14097	0	0	0.0384	0	0.06691	0
V132	0.07231	0.011	0.08333	0.03979	0.0848	0.04102	0.57323	0.08917	0.00533	0
V133	0	0.04474	0.06651	0.19372	0.00931	0.13603	0.14711	0.36502	0.03755	0
V134	0.02209	0.09334	0.19853	0.09603	0.18009	0.00919	0.18793	0.01529	0.01939	0.17812
V135	0	0.24612	0.16982	0.04167	0.02638	0	0.06988	0.00725	0.43889	0
V136	0	0.59237	0.03562	0.16141	0	0	0.05745	0	0.06647	0.08668
V137	0	0.03082	0.06456	0.04878	0.04486	0.29519	0.44997	0.02534	0.04048	0
