CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V179	0.1095	0.02398	0.03299	0.45051	0.26773	0.11529
V180	0.22839	0.03104	0.14097	0.30889	0.17429	0.11642
V181	0.35837	0.11177	0.07096	0.10363	0.213	0.14228
V182	0.09295	0.05714	0.53465	0.08572	0.16214	0.0674
V183	0.09908	0.02406	0.00521	0.61982	0.20128	0.05056
V184	0.29261	0.28263	0.0335	0.0699	0.23974	0.08162
V185	0.17413	0.35257	0.04022	0.05373	0.25556	0.12379
V186	0.07863	0.00328	0.42647	0.25837	0.18129	0.05196
V187	0.24859	0.3334	0.02807	0.06129	0.25516	0.07349
V188	0.18925	0.38998	0.03221	0.0687	0.16413	0.15573
V189	0.10269	0.06256	0.1387	0.06815	0.52724	0.10066
V190	0.11636	0.13932	0.02615	0.06283	0.54259	0.11275
V191	0.17168	0.39149	0.02676	0.05872	0.17674	0.17461
V192	0.3598	0.17924	0.08965	0.07468	0.19974	0.09689
V193	0.2233	0.1229	0.03633	0.07788	0.19124	0.34836
V194	0.09178	0.0359	0.0382	0.12312	0.65511	0.05589
V195	0.08489	0.00186	0.50008	0.10713	0.24929	0.05676
V196	0.09017	0.02285	0.01792	0.5866	0.23022	0.05224
V197	0.19142	0.02962	0.04278	0.06081	0.61045	0.06492
V198	0.15887	0.27811	0.04475	0.13797	0.31521	0.06509
V199	0.10415	0.16439	0.08795	0.11101	0.47929	0.05321
V200	0.11959	0.01188	0.39993	0.19678	0.17606	0.09575
V201	0.09912	0.02425	0	0.6132	0.20105	0.06237
V202	0.13928	0.05231	0.30936	0.07666	0.27284	0.14956
V203	0.38106	0.05977	0.0257	0.27658	0.16887	0.08802
V204	0.21911	0.07124	0.05196	0.17539	0.18972	0.29258
V205	0.08811	0.00971	0.62066	0.05796	0.16324	0.06032
V206	0.09111	0.0488	0.07972	0.51555	0.21629	0.04854
V207	0.29145	0.15179	0.04796	0.21104	0.18538	0.11237
V208	0.28588	0.07456	0.28483	0.0837	0.19338	0.07765
V209	0.25463	0.33162	0.02789	0.07668	0.16859	0.14058
V210	0.14008	0.01472	0.57474	0.0463	0.15913	0.06503
V211	0.35709	0.05895	0.0989	0.06787	0.27109	0.1461
V212	0.1024	0.18856	0.15048	0.28512	0.21526	0.05818
V213	0.10665	0.05761	0.20196	0.06521	0.51616	0.05241
V214	0.48889	0.06429	0.05437	0.10298	0.18403	0.10544
V215	0.17195	0.41557	0.02631	0.07293	0.16369	0.14956
