mature.neutrophil	CD14.pos.CD16.neg.classical.monocyte	macrophage	memory.CD4.pos.AB.T.cell	cytotoxic.CD56.dim.NK.cell
V249	0.20359	0.18878	0.18029	0.15437	0.27297
V250	0.02343	0.24122	0.46972	0.08797	0.17765
V251	0.17834	0.11467	0.09048	0.54325	0.07327
V252	0.0258	0.27437	0.4128	0.17311	0.11392
V253	0.24194	0.51403	0.08977	0.11641	0.03785
V254	0.413	0.36709	0.02123	0.15801	0.04068
V255	0.61305	0.16458	0.0183	0.11494	0.08913
V256	0.03937	0.67946	0.04095	0.08944	0.15078
V257	0.34349	0.33449	0.1312	0.10813	0.08269
V258	0.13604	0.32253	0.06045	0.44055	0.04043
V259	0.40238	0.32028	0.15324	0.08258	0.04151
V260	0.21811	0.14612	0.10626	0.1528	0.37671
V261	0.02386	0.20085	0.38695	0.27653	0.1118
V262	0.66135	0.13738	0.05793	0.10742	0.03592
V263	0.59176	0.16357	0.0291	0.18406	0.03152
V264	0.06236	0.75501	0.03633	0.11778	0.02852
V265	0.60228	0.18076	0.07628	0.10652	0.03416
V266	0.02874	0.11678	0.09177	0.12613	0.63658
V267	0.05664	0.09943	0.02554	0.22789	0.5905
V268	0.16211	0.42056	0.1332	0.22051	0.06361
V269	0.07393	0.37403	0.28651	0.2154	0.05014
V270	0.05061	0.07389	0.04365	0.78623	0.04561
V271	0.19245	0.62129	0.03275	0.10253	0.05098
V272	0.09283	0.70759	0.04827	0.09362	0.0577
V273	0.2305	0.13752	0.15569	0.33082	0.14547
V274	0.08908	0.1322	0.05249	0.25116	0.47507
V275	0.04124	0.62516	0.14644	0.14868	0.03847
V276	0.01517	0.22701	0.48773	0.22605	0.04405
V277	0.26403	0.21346	0.41	0.06851	0.04401
V278	0.01179	0.17773	0.27377	0.41631	0.1204
V279	0.12795	0.07524	0.02861	0.68824	0.07996
V280	0.16402	0.09981	0.04871	0.57835	0.10912
V281	0.02978	0.24204	0.05339	0.62881	0.04598
V282	0.05692	0.79218	0.03079	0.08493	0.03518
V283	0.29366	0.12986	0.10999	0.10983	0.35666
V284	0.0271	0.28347	0.40312	0.06754	0.21877
V285	0.4078	0.42177	0.02269	0.11296	0.03479
V286	0.06474	0.26398	0.55654	0.08482	0.02993
V287	0.19763	0.17302	0.1511	0.30437	0.17388
V288	0.15302	0.22415	0.44344	0.06789	0.11151
V289	0.13402	0.24213	0.03817	0.54223	0.04345
V290	0.33496	0.43477	0.12552	0.07824	0.02651
V291	0.32543	0.23467	0.02442	0.37581	0.03966
V292	0.09891	0.20088	0.32047	0.09878	0.28095
V293	0.0105	0.30971	0.55108	0.09288	0.03583
V294	0.02524	0.11183	0.02863	0.12891	0.70539
V295	0.01887	0.16606	0.26445	0.4617	0.08893
V296	0.634	0.18424	0.01928	0.1104	0.05208
V297	0.02189	0.24379	0.53172	0.14997	0.05262
V298	0.24335	0.08253	0.02181	0.53219	0.12012
V299	0.22173	0.0728	0.02804	0.63636	0.04107
V300	0.70792	0.12172	0.02025	0.11476	0.03535
V301	0.69536	0.11379	0.02456	0.12745	0.03884
V302	0.0202	0.08766	0.02494	0.4358	0.43141
V303	0.09273	0.26097	0.18736	0.21321	0.24572
V304	0.13999	0.25571	0.50188	0.0634	0.03902
V305	0.1727	0.34363	0.09636	0.16593	0.22138
V306	0.27048	0.56585	0.02564	0.09826	0.03976
V307	0.18451	0.14398	0.21942	0.41895	0.03313
V308	0.17291	0.22629	0.45265	0.11812	0.03003
V309	0.49278	0.15841	0.05863	0.18178	0.1084
V310	0.04048	0.11711	0.02649	0.18544	0.63048
V311	0.02504	0.06843	0.05155	0.80221	0.05276
V312	0.07651	0.32436	0.21589	0.07879	0.30444
V313	0.05906	0.3114	0.03404	0.34472	0.25078
V314	0.07968	0.09402	0.02368	0.40441	0.39821
V315	0.69629	0.11624	0.0301	0.10408	0.05329
V316	0.09243	0.52585	0.21453	0.09496	0.07222
V317	0.2804	0.24877	0.36123	0.07034	0.03926
V318	0.67326	0.11183	0.02366	0.1024	0.08885
V319	0.08078	0.28088	0.54566	0.06786	0.02483
V320	0.07725	0.062	0.02261	0.78582	0.05232
V321	0.10894	0.37321	0.24911	0.22432	0.04442
V322	0.01504	0.36674	0.42585	0.09915	0.09321
V323	0.18986	0.3188	0.32824	0.08356	0.07955
V324	0.0424	0.10485	0.05093	0.75172	0.05009
V325	0.47351	0.19186	0.08483	0.17748	0.07233
V326	0.05351	0.1178	0.06786	0.20229	0.55855
V327	0.26384	0.45925	0.10895	0.096	0.07195
V328	0.04444	0.31657	0.14916	0.44411	0.04572
V329	0.01156	0.19069	0.30327	0.45474	0.03975
V330	0.06468	0.26597	0.55824	0.05595	0.05517
V331	0.12133	0.13418	0.09458	0.16093	0.48898
V332	0.33672	0.21965	0.32597	0.07307	0.0446
