CD56NK	CD4MemoryT	CD19B	CD14
V188	0.05765	0.17292	0	0.76942
V189	0.80879	0.02561	0.01217	0.15343
V190	0.69679	0.03091	0.2636	0.00869
V191	0.22434	0.18821	0.53396	0.05349
V192	0.33672	0.41276	0.03786	0.21266
V193	0.6387	0.03298	0.19115	0.13717
V194	0.04549	0.91805	0.00641	0.03005
V195	0.01281	0.05935	0.91462	0.01322
V196	0.01379	0.03721	0.00442	0.94458
V197	0.41098	0.02589	0.0158	0.54734
V198	0.07627	0.4993	0.34612	0.0783
V199	0.16518	0.0089	0.13525	0.69068
V200	0.14046	0.50856	0.01266	0.33832
V201	0.11224	0.52957	0.16784	0.19034
V202	0.01851	0.03515	0.72318	0.22315
V203	0.19621	0.41404	0.35999	0.02976
V204	0.01199	0.46886	0.00236	0.51679
V205	0.02171	0.07422	0.88135	0.02272
V206	0.05571	0.10203	0.8302	0.01205
V207	0.13295	0.13103	0.03614	0.69988
V208	0.2941	0.06926	0.61739	0.01925
V209	0.33962	0.41813	0.05305	0.1892
V210	0.10032	0.76144	0.07557	0.06267
V211	0.41413	0.00677	0.02138	0.55772
V212	0.56087	0.0458	0.36676	0.02657
V213	0.65284	0.02613	0.08177	0.23925
V214	0.35694	0.11221	0.13212	0.39872
V215	0.29063	0.05405	0.01052	0.6448
V216	0.0334	0	0.01164	0.95495
V217	0.05035	0.45548	0.2079	0.28627
V218	0.11013	0.39792	0.14398	0.34797
V219	0.11783	0.5869	0.00827	0.287
V220	0.01419	0.79492	0.00467	0.18622
V221	0.79068	0.01742	0.00364	0.18826
V222	0.35821	0.10112	0.32261	0.21806
V223	0.01132	0.1271	0.75619	0.10539
V224	0.94937	0.02884	0.01831	0.00348
V225	0.06741	0.87676	0.0456	0.01023
V226	0.35721	0.08073	0.54345	0.01861
V227	0.80613	0.02522	0.15278	0.01586
V228	0.79801	0.05558	0.04698	0.09943
V229	0.02127	0.05358	0.89109	0.03406
V230	0.01484	0.00857	0.01169	0.96491
V231	0.01883	0.21214	0.08457	0.68447
V232	0.04996	0.59692	0.00012	0.353
V233	0.61015	0.06692	0.15984	0.16309
V234	0.04524	0.91079	0.02409	0.01987
V235	0.42928	0.06173	0.47013	0.03886
V236	0.05106	0.07259	0.77261	0.10375
V237	0.15325	0	0.01866	0.82809
V238	0.15143	0.54644	0.23819	0.06394
V239	0.0683	0.33182	0.01137	0.58851
V240	0.53856	0.04324	0.36149	0.05671
V241	0.02026	0.04268	0.84602	0.09105
V242	0.15113	0.75319	0.077	0.01869
V243	0.27706	0.0486	0.5774	0.09694
V244	0.23352	0.03216	0.62715	0.10717
V245	0.64746	0.25065	0.03633	0.06556
V246	0.0659	0.14676	0.75526	0.03208
V247	0.1954	0.04998	0.74975	0.00487
V248	0.02107	0.00964	0.02836	0.94093
V249	0.00482	0.05899	0.84418	0.09201
V250	0.78861	0.02593	0.177	0.00846
V251	0.9318	0.05289	0.00634	0.00897
V252	0.01676	0.8425	0.13647	0.00427
V253	0.37803	0.04333	0.12577	0.45287
V254	0.01648	0.93379	0.03892	0.01082
V255	0.0547	0.89263	0.00236	0.0503
V256	0.20852	0.18864	0.48812	0.11472
V257	0.4579	0.07032	0.19348	0.27831
V258	0.20727	0.23331	0.39393	0.16549
V259	0.04053	0.28834	0.61511	0.05602
V260	0.00595	0.29486	0.68756	0.01163
V261	0.64603	0.03002	0.15571	0.16824
V262	0.09013	0.02525	0.00764	0.87698
V263	0.02547	0.9416	0.00237	0.03055
V264	0.1742	0.02783	0.36868	0.42929
V265	0.02772	0	0.10092	0.87137
V266	0.6676	0.3222	0.00662	0.00358
V267	0.0045	0.1263	0.23722	0.63198
V268	0.38838	0.01389	0.1063	0.49143
V269	0.01319	0.55914	0.3623	0.06537
V270	0.67837	0.03152	0.19697	0.09315
V271	0.81437	0.05457	0.0226	0.10846
V272	0.06341	0.79598	0.00982	0.13078
V273	0.04924	0.00291	0.02144	0.92641
V274	0.71788	0.01964	0.14254	0.11995
V275	0.00525	0.0604	0.92052	0.01383
V276	0.53745	0.28092	0.00807	0.17355
V277	0.03614	0.14545	0.12559	0.69281
V278	0.03473	0.03	0.23773	0.69754
V279	0.71738	0.04614	0.08241	0.15406
V280	0.01588	0	0.0125	0.97162
V281	0.55896	0.02314	0.10519	0.3127
V282	0.06293	0.07452	0.78291	0.07964
V283	0.23704	0.53583	0.04701	0.18012
V284	0.03465	0.90916	0.04573	0.01047
V285	0.08528	0.05216	0.85727	0.00529
V286	0.27884	0.51334	0.08827	0.11955
V287	0.11157	0.84839	0.01103	0.02901
V288	0.01951	0.23902	0.38887	0.3526
V289	0.32979	0.18976	0.38171	0.09873
V290	0.83034	0.15464	0.01155	0.00348
V291	0.54167	0.0672	0.37386	0.01727
V292	0.91571	0.02407	0.00171	0.05851
V293	0.33645	0.03639	0.57698	0.05019
V294	0.08928	0.29572	0	0.615
V295	0.01834	0.12022	0.15261	0.70883
V296	0.20657	0.10539	0.57438	0.11366
V297	0.06768	0	0.04623	0.8861
V298	0.34788	0.09465	0.53881	0.01866
V299	0.06747	0.20751	0.00641	0.71861
V300	0.00452	0.01203	0.18381	0.79964
V301	0.13581	0.09716	0.61272	0.15431
V302	0.67691	0.30406	0.00213	0.01689
V303	0.00739	0.60117	0.34878	0.04266
V304	0.05976	0.03799	0.69056	0.21169
V305	0.13317	0.12368	0.41804	0.3251
V306	0.83639	0.07662	0.03547	0.05152
V307	0.02528	0.94243	0.01192	0.02038
V308	0.25398	0.18025	0.26081	0.30496
V309	0.34941	0.24734	0.01696	0.38629
V310	0.08111	0.2503	0.1201	0.54848
V311	0.5484	0.43679	0.00595	0.00886
V312	0.11262	0.73655	0.12132	0.02952
V313	0.00644	0.06661	0.0091	0.91785
V314	0.01976	0.41366	0.08758	0.479
V315	0.13142	0.5766	0.02517	0.26681
V316	0.34673	0.10304	0.34287	0.20735
V317	0.09746	0.66344	0.03297	0.20612
V318	0.0377	0.48802	0.00709	0.46719
V319	0.06441	0.0727	0.81829	0.0446
V320	0.08696	0.12249	0.62218	0.16838
V321	0.65762	0.33211	0.00666	0.0036
V322	0.20252	0.25333	0.05129	0.49286
V323	0.04803	0.00177	0.06094	0.88926
V324	0.70535	0.2182	0.05101	0.02543
V325	0.341	0.60806	0.04165	0.00929
V326	0.00576	0.50351	0.06993	0.42081
V327	0.01897	0.09172	0.07528	0.81403
V328	0.04844	0.03748	0.68905	0.22502
V329	0.17065	0.06466	0.13119	0.6335
V330	0.40318	0.01623	0.27607	0.30452
V331	0.33974	0.04886	0.02725	0.58415
V332	0.01092	0.02125	0.14179	0.82604
V333	0.46614	0.06151	0.33478	0.13757
V334	0.36824	0.01615	0.2952	0.3204
V335	0.03024	0.31183	0.4879	0.17003
V336	0.19514	0.66155	0.0149	0.12841
V337	0.32569	0.37453	0.25988	0.0399
V338	0.00931	0.97238	0.00712	0.01119
V339	0.14167	0.04464	0.80195	0.01174
V340	0.06176	0.19371	0.49371	0.25083
V341	0.02071	0.00941	0.04107	0.92881
V342	0.26838	0.0266	0.54097	0.16404
V343	0.94992	0.03441	0.00653	0.00914
V344	0.71503	0.13234	0.1491	0.00353
V345	0.01503	0.06325	0.91608	0.00564
V346	0.24215	0.07464	0.2375	0.4457
V347	0.03724	0	0.09173	0.87103
V348	0.06319	0.62993	0.11933	0.18755
V349	0.38959	0.1342	0.34412	0.13209
V350	0.03539	0.807	0.15341	0.0042
V351	0.01769	0.01884	0.32912	0.63436
V352	0.05142	0.04361	0.80307	0.1019
V353	0.87844	0.03041	0.02293	0.06822
V354	0.05367	0.69428	0.19903	0.05302
V355	0.30119	0.06011	0.40771	0.23098
V356	0.02842	0.00194	0.0697	0.89994
V357	0.12194	0.27939	0.24652	0.35215
V358	0.54946	0.06718	0.03335	0.35001
V359	0.56331	0.03671	0.02085	0.37913
V360	0.58155	0.38673	0.01513	0.0166
V361	0.0066	0.46193	0.52018	0.01129
V362	0.00937	0.96642	0.0131	0.01112
V363	0.18491	0.0887	0.4203	0.30609
V364	0.17457	0.0618	0.6385	0.12514
V365	0.24911	0.00806	0.00628	0.73656
V366	0.08634	0.65224	0.06375	0.19767
V367	0.57278	0.0959	0.00272	0.32861
V368	0.09912	0.71496	0.06444	0.12148
V369	0.02193	0.40919	0.5576	0.01128
V370	0.33992	0.24974	0.37037	0.03997
V371	0.20771	0.68863	0.02117	0.08249
V372	0.15291	0.02421	0.08671	0.73617
V373	0.08301	0.1022	0.42494	0.38985
V374	0.79401	0.03027	0.17227	0.00345
V375	0.0359	0.01386	0.10667	0.84357
V376	0.02806	0.00858	0.0693	0.89406
V377	0.76151	0.01296	0.00753	0.218
V378	0.01	0.01917	0.33837	0.63246
V379	0.33453	0.13765	0.00594	0.52188
V380	0.14375	0.03962	0.15638	0.66025
V381	0.73457	0.0204	0.06622	0.17882
V382	0.09252	0.058	0.83748	0.01201
V383	0.8217	0.02032	0.03369	0.12429
V384	0.57154	0.05374	0.10046	0.27426
V385	0.85912	0.02772	0.0537	0.05946
V386	0.29054	0.00664	0.10643	0.59639
V387	0.63033	0.11549	0.15559	0.09858
V388	0.41109	0.27816	0.12035	0.19041
V389	0.44401	0.4684	0.00933	0.07826
V390	0.33778	0.23812	0.41455	0.00954
V391	0.41007	0.06323	0.01037	0.51633
V392	0.45855	0.17087	0.13415	0.23644
V393	0.31415	0.18819	0.31162	0.18604
V394	0.08946	0.16244	0.08389	0.66421
V395	0.2436	0.34472	0.17274	0.23895
V396	0.01628	0.94668	0.0068	0.03024
V397	0.80738	0.07226	0.07732	0.04304
V398	0.45943	0.0907	0.07061	0.37926
V399	0.21658	0.52196	0.12703	0.13443
V400	0.00581	0.52067	0.04628	0.42724
V401	0.04021	0.14423	0.70987	0.10569
V402	0.80877	0.16036	0.02742	0.00345
V403	0.02066	0.00405	0.049	0.92629
V404	0.10148	0.17492	0.59289	0.13071
V405	0.21193	0.01476	0.12648	0.64683
V406	0.66629	0.20518	0.01312	0.11541
V407	0.00931	0.97238	0.00712	0.01119
V408	0.09744	0.20155	0.35942	0.34159
V409	0.00842	0.00463	0.01294	0.97401
V410	0.09967	0.84783	0.02328	0.02923
V411	0.41471	0.00278	0	0.58251
V412	0.16745	0.05906	0.44601	0.32748
V413	0.06075	0.4357	0.15397	0.34958
V414	0.04067	0.4861	0.30542	0.16781
V415	0.45276	0.02435	0.1851	0.33779
V416	0.01404	0.09699	0.8836	0.00537
V417	0.40919	0.57567	0.00604	0.00911
V418	0.06667	0.05769	0.10562	0.77002
V419	0.01558	0	0.01797	0.96645
V420	0.00806	0.86471	0.01036	0.11687
V421	0.17194	0.04738	0.63185	0.14883
V422	0.04094	0.02839	0.00391	0.92677
V423	0.0899	0.04883	0.82908	0.03219
V424	0.00416	0.04397	0.55407	0.3978
V425	0.06352	0.21711	0.57412	0.14525
V426	0.09886	0.05705	0.75428	0.08982
V427	0.07202	0.33756	0.16127	0.42915
V428	0.09868	0.75171	0.04178	0.10783
V429	0.015	0	0.0246	0.9604
V430	0.77072	0.13461	0.01316	0.08151
V431	0.18622	0.02399	0.3872	0.4026
V432	0.099	0.04833	0.0304	0.82227
V433	0.06192	0.68119	0.00073	0.25616
V434	0.32703	0.04319	0.03436	0.59542
V435	0.50009	0.01305	0.08909	0.39777
V436	0.36878	0.00816	0.08309	0.53997
V437	0.22588	0.16583	0.00129	0.607
V438	0.6241	0.11678	0.02251	0.23661
V439	0.02952	0.05596	0.00326	0.91126
V440	0.46776	0.02219	0.02111	0.48894
V441	0.07329	0.10698	0.55796	0.26177
V442	0.34435	0.2879	0.1122	0.25555
V443	0.74025	0.01671	0.0658	0.17724
V444	0.01503	0.06325	0.91608	0.00564
V445	0.64827	0.03279	0.28348	0.03546
V446	0.04202	0.81743	0.04286	0.09769
V447	0.66359	0.07538	0.14342	0.1176
V448	0.01823	0.03305	0.1497	0.79901
V449	0.59422	0.04153	0.24544	0.1188
V450	0.16311	0.81963	0.01323	0.00402
V451	0.91945	0.05365	0.00205	0.02485
V452	0.03011	0	0.04859	0.9213
V453	0.82766	0.06315	0.04788	0.06131
V454	0.00893	0.93233	0.03856	0.02018
V455	0.63409	0.03839	0.25244	0.07508
V456	0.35926	0.09427	0.34036	0.2061
V457	0.00842	0.01033	0.00694	0.9743
V458	0.26271	0.1647	0.00142	0.57117
V459	0.02253	0.78088	0.07458	0.12201
V460	0.93574	0.02772	0.01997	0.01657
V461	0.05106	0.00932	0.00424	0.93537
V462	0.34485	0.18617	0	0.46898
V463	0.28323	0.43625	0.13392	0.1466
V464	0.49538	0.06554	0.00215	0.43693
V465	0.4298	0.36978	0.01905	0.18137
V466	0.59047	0.14057	0.00299	0.26596
V467	0.34997	0.53829	0.0626	0.04914
V468	0.53656	0.35822	0.0375	0.06772
V469	0.01858	0.12409	0.24028	0.61705
V470	0.58209	0.09332	0.14664	0.17795
V471	0.25863	0.06118	0.02189	0.6583
V472	0.32706	0.26551	0	0.40743
V473	0.11435	0.54636	0.3091	0.03018
V474	0.10774	0	0.07343	0.81883
V475	0.19354	0.33339	0.06002	0.41305
V476	0.15256	0.00149	0.03671	0.80923
V477	0.6177	0.03553	0.16509	0.18168
V478	0.13958	0.52521	0.00315	0.33207
V479	0.01974	0.08843	0.77558	0.11625
V480	0.07874	0.23913	0.02923	0.65289
V481	0.16659	0.04535	0.76721	0.02085
V482	0.73337	0.13429	0.08783	0.04451
V483	0.11997	0.06288	0.05056	0.7666
V484	0.02091	0.03359	0.01478	0.93072
V485	0.13069	0.69539	0.0093	0.16462
V486	0.28368	0.2083	0.10051	0.40751
V487	0.0661	0.01804	0.05983	0.85603
V488	0.00471	0.0407	0.81659	0.13801
V489	0.24576	0.10095	0.63362	0.01967
V490	0.35973	0.25427	0.05081	0.33519
V491	0.47593	0.41995	0.02557	0.07856
V492	0.03379	0.84066	0.11524	0.01031
V493	0.01813	0	0.00266	0.97921
V494	0.22009	0.1332	0.48224	0.16447
V495	0.25415	0.6001	0.11713	0.02861
V496	0.29849	0.64129	0.00196	0.05825
V497	0.01321	0.05434	0.91902	0.01342
V498	0.30752	0.06226	0.03396	0.59626
V499	0.65487	0.23713	0.09951	0.00849
V500	0.1138	0.1188	0.71222	0.05519
V501	0.00844	0	0.0262	0.96536
V502	0.59566	0.24224	0.12552	0.03658
V503	0.19711	0.06052	0.15796	0.58441
V504	0.25446	0.65433	0.00979	0.08143
V505	0.20989	0.16472	0.2173	0.40809
V506	0.09931	0.22053	0.41737	0.26279
V507	0.63612	0.07658	0.09277	0.19454
V508	0.77857	0.13874	0.02991	0.05279
V509	0.24836	0.05455	0.45127	0.24582
V510	0.25585	0.50494	0.22962	0.00959
V511	0.04693	0.34729	0.03014	0.57564
V512	0.23311	0.02389	0.05499	0.68801
V513	0.08829	0.63415	0.18896	0.08859
V514	0.01518	0.03228	0.00063	0.95191
V515	0.77378	0.05248	0.03366	0.14008
V516	0.90186	0.08684	0.00227	0.00903
V517	0.03462	0.01077	0.1992	0.75542
V518	0.9404	0.04768	0.00253	0.00939
V519	0.03221	0.83403	0.00501	0.12874
V520	0.02646	0.01816	0.54136	0.41402
V521	0.60546	0.04854	0.30978	0.03622
V522	0.00989	0.10203	0.52505	0.36303
V523	0.37618	0.0925	0.21804	0.31328
V524	0.01431	0.77392	0.16998	0.04179
V525	0.25308	0.14573	0.01576	0.58543
V526	0.65257	0.06058	0.0537	0.23314
V527	0.20979	0.0213	0.3342	0.4347
V528	0.10932	0.82785	0.00198	0.06085
V529	0.05509	0.03344	0.1751	0.73637
V530	0.0112	0.19272	0.6526	0.14348
V531	0.02615	0.86947	0.10009	0.00429
V532	0.17208	0.25859	0.01661	0.55272
V533	0.30458	0.29912	0.1127	0.28359
V534	0.01007	0.02933	0.64181	0.31879
V535	0.52108	0.00377	0.00631	0.46884
V536	0.19215	0.00842	0.30646	0.49297
V537	0.6339	0.22472	0.12487	0.01651
V538	0.44978	0.03511	0.0604	0.45471
V539	0.2963	0.38791	0.13278	0.183
V540	0.22462	0.66892	0.05599	0.05047
V541	0.01977	0.44087	0.04588	0.49348
V542	0.20219	0.0872	0.20984	0.50077
V543	0.85882	0.02029	0.00846	0.11244
V544	0.09845	0.05085	0.13099	0.71971
V545	0.36509	0.09583	0.04905	0.49003
V546	0.05667	0.87869	0.05435	0.0103
V547	0.04266	0.64828	0.28955	0.01951
V548	0.17642	0.74518	0.06858	0.00982
V549	0.36456	0.04808	0.56873	0.01863
V550	0.55975	0.02036	0	0.41989
V551	0.19658	0.70373	0.02762	0.07207
V552	0.00575	0.45622	0.00229	0.53573
V553	0.26172	0.13932	0.56881	0.03015
V554	0.04858	0.04532	0.0134	0.89271
V555	0.09555	0.18099	0.29154	0.43192
V556	0.00507	0.06009	0.8886	0.04624
V557	0.79926	0.02943	0.00775	0.16356
V558	0.07427	0.74973	0.02103	0.15497
V559	0.01629	0.80704	0.17237	0.00429
V560	0.69843	0.29052	0.00215	0.00891
V561	0.00525	0.0604	0.92052	0.01383
V562	0.78186	0.02225	0.08848	0.10741
V563	0.27491	0.03942	0.67501	0.01066
V564	0.06624	0.09171	0.82037	0.02169
V565	0.13457	0.22468	0.34064	0.30012
V566	0.69193	0.07192	0.00325	0.2329
V567	0.22863	0.37953	0.01799	0.37385
V568	0.22675	0	0.03514	0.7381
V569	0.65339	0.02266	0	0.32395
V570	0.03047	0.28447	0.59234	0.09272
V571	0.8228	0.10539	0.00168	0.07014
V572	0.47226	0.02706	0.37887	0.12181
V573	0.05803	0.11785	0.002	0.82212
V574	0.04397	0.78424	0.15248	0.01931
V575	0.01888	0.04567	0.09168	0.84378
V576	0.17445	0.77748	0.02931	0.01876
V577	0.03492	0.02056	0.16588	0.77864
V578	0.06019	0.06536	0.63135	0.24309
V579	0.01537	0.87666	0.07804	0.02993
V580	0.13987	0	0.07979	0.78034
V581	0.0594	0.03986	0	0.90074
V582	0.59005	0.10633	0.02212	0.2815
V583	0.00991	0.04219	0.52305	0.42485
V584	0.56886	0.1331	0.25063	0.04741
V585	0.00986	0.01136	0.37524	0.60354
V586	0.2596	0.03255	0.58875	0.1191
V587	0.29775	0.03877	0.62326	0.04022
V588	0.61326	0.03118	0.01587	0.33969
V589	0.06494	0.79908	0.05006	0.08591
V590	0.05631	0.76155	0.17177	0.01037
V591	0.00479	0.01649	0.15852	0.8202
V592	0.18377	0.06244	0.74892	0.00488
V593	0.58238	0.01299	0.14295	0.26167
V594	0.37974	0.26158	0.29756	0.06111
V595	0.02351	0.00544	0.01118	0.95987
V596	0.03585	0.2263	0.18686	0.55098
V597	0.00685	0.57064	0.30889	0.11363
V598	0.02141	0.12775	0.82872	0.02212
V599	0.65788	0.28165	0.02516	0.03531
V600	0.3881	0.42342	0.03796	0.15052
V601	0.16189	0.21286	0.05818	0.56706
V602	0.02396	0.00818	0.00549	0.96237
V603	0.01178	0.29602	0.00678	0.68542
V604	0.56428	0.10297	0.29566	0.03709
V605	0.07407	0.29556	0.367	0.26338
V606	0.73695	0.12249	0.00832	0.13224
V607	0.64385	0.01787	0.08071	0.25758
V608	0.23962	0.12847	0.34054	0.29137
V609	0.02669	0.18165	0.19523	0.59642
V610	0.76842	0.0263	0.06675	0.13852
