B_cells	NK_cells	T_cells_CD4.	Monocytes
V210	0.04516	0.81099	0.14385	0
V211	0.49254	0	0	0.50746
V212	0.51524	0.01401	0.47076	0
V213	0.71524	0.00172	0.10618	0.17686
V214	0.35725	0.16963	0.17983	0.29329
V215	0.33529	0.09048	0	0.57423
V216	0.05269	0	0	0.94731
V217	0.00194	0.54163	0.29474	0.16169
V218	0.07496	0.4951	0.21097	0.21897
V219	0.09383	0.70933	0.0189	0.17794
V220	0	0.90215	0.02703	0.07082
V221	0.88365	0	0	0.11635
V222	0.32035	0.13565	0.4162	0.1278
V223	0	0.14311	0.84412	0.01278
V224	1	0	0	0
V225	0	0.90247	0.09753	0
V226	0.27643	0.06786	0.65571	0
V227	0.83059	0	0.16941	0
V228	0.85887	0.04385	0.0537	0.04358
V229	0	0.01305	0.98695	0
V230	0.02529	0.03397	0	0.94074
V231	0	0.32548	0.11337	0.56115
V232	0.01299	0.74236	0	0.24465
V233	0.61215	0.07514	0.21873	0.09399
V234	0	0.93633	0.06367	0
V235	0.36608	0.04474	0.58917	0
V236	0	0.07213	0.89936	0.02851
V237	0.18655	0	0	0.81345
V238	0.09362	0.57941	0.32698	0
V239	0.05298	0.46733	0	0.47969
V240	0.50841	0.01863	0.47295	0
V241	0	0	0.98692	0.01308
V242	0.08286	0.78327	0.13387	0
V243	0.21936	0.03233	0.71789	0.03042
V244	0.17751	0	0.7833	0.03919
V245	0.65083	0.29916	0.05001	0
V246	0	0.15226	0.84774	0
V247	0.09786	0.00749	0.89465	0
V248	0.03242	0.03983	0.01877	0.90897
V249	0	0.04119	0.95355	0.00526
V250	0.80069	0	0.19931	0
V251	1	0	0	0
V252	0	0.81883	0.18117	0
V253	0.40478	0.06068	0.17038	0.36416
V254	0	0.92257	0.07743	0
V255	0	0.9862	0.0138	0
V256	0.14529	0.22789	0.59384	0.03297
V257	0.45452	0.09457	0.25945	0.19146
V258	0.15094	0.28497	0.49243	0.07166
V259	0	0.30048	0.69952	0
V260	0	0.26238	0.73762	0
V261	0.67602	0.00371	0.21392	0.10635
V262	0.10976	0.05374	0	0.8365
V263	0	0.99258	0.00742	0
V264	0.15276	0.02646	0.49425	0.32653
V265	0.0302	0	0.11991	0.84989
V266	0.682	0.318	0	0
V267	0	0.19853	0.31171	0.48976
V268	0.4372	0	0.14106	0.42174
V269	0	0.559	0.441	0
V270	0.69706	0	0.26699	0.03594
V271	0.89505	0.04377	0.00855	0.05262
V272	0.02011	0.90459	0.04423	0.03107
V273	0.07307	0.01872	0.00757	0.90064
V274	0.76664	0	0.17445	0.05891
V275	0	0.01874	0.98126	0
V276	0.55553	0.35225	0	0.09222
V277	0.01186	0.24293	0.17434	0.57088
V278	0.00992	0.06223	0.32973	0.59812
V279	0.76228	0.03429	0.10975	0.09368
V280	0.03507	0	0	0.96493
V281	0.60885	0.00382	0.14226	0.24507
V282	0	0.07396	0.91446	0.01158
V283	0.20776	0.62415	0.08759	0.0805
V284	0	0.90924	0.09076	0
V285	0	0	1	0
V286	0.24208	0.58241	0.14661	0.0289
V287	0.0512	0.90824	0.04056	0
V288	0	0.3014	0.48712	0.21148
V289	0.26727	0.23102	0.4813	0.02041
V290	0.88479	0.11521	0	0
V291	0.48411	0.04574	0.47014	0
V292	1	0	0	0
V293	0.27598	0	0.72402	0
V294	0.07751	0.40695	0	0.51554
V295	0	0.20457	0.20673	0.5887
V296	0.14234	0.12623	0.69346	0.03797
V297	0.09034	0	0.04065	0.86901
V298	0.26397	0.08892	0.6471	0
V299	0.06111	0.31099	0	0.6279
V300	0	0.02838	0.24073	0.73089
V301	0.07717	0.11942	0.73352	0.0699
V302	0.69052	0.30948	0	0
V303	0	0.58389	0.41611	0
V304	0	0.02181	0.85197	0.12622
V305	0.0901	0.17468	0.52827	0.20696
V306	0.89018	0.07471	0.03511	0
V307	0	0.96077	0.03923	0
V308	0.21844	0.24778	0.34223	0.19156
V309	0.36355	0.34605	0.00382	0.28658
V310	0.05745	0.35868	0.17159	0.41227
V311	0.53425	0.46575	0	0
V312	0.04687	0.76032	0.19281	0
V313	0	0.12029	0	0.87971
V314	0	0.53257	0.1309	0.33654
V315	0.10536	0.68422	0.05456	0.15586
V316	0.30516	0.1363	0.44115	0.11739
V317	0.06038	0.76276	0.07749	0.09937
V318	0.00411	0.63355	0.00638	0.35596
V319	0	0.0619	0.9381	0
V320	0.02468	0.15681	0.73921	0.07929
V321	0.67063	0.32937	0	0
V322	0.19782	0.36119	0.06755	0.37344
V323	0.06415	0.01326	0.06903	0.85356
V324	0.69668	0.24063	0.06269	0
V325	0.28363	0.64489	0.07148	0
V326	0	0.61476	0.1092	0.27604
V327	0	0.17364	0.09466	0.7317
V328	0	0.02161	0.84543	0.13296
V329	0.17638	0.12198	0.17798	0.52367
V330	0.40859	0	0.36577	0.22564
V331	0.3924	0.08712	0.00823	0.51225
V332	0	0.05334	0.18511	0.76155
V333	0.43246	0.06267	0.43924	0.06563
V334	0.36836	0	0.3934	0.23823
V335	0	0.3552	0.58377	0.06103
V336	0.16649	0.75666	0.04238	0.03447
V337	0.25388	0.4068	0.33931	0
V338	0	0.97388	0.02612	0
V339	0.05024	0	0.94976	0
V340	0.00414	0.24876	0.60771	0.13938
V341	0.02743	0.03777	0.03794	0.89686
V342	0.22318	0	0.68716	0.08967
V343	1	0	0	0
V344	0.69931	0.12045	0.18023	0
V345	0	0.01661	0.98339	0
V346	0.22878	0.1181	0.31886	0.33426
V347	0.04602	0	0.11457	0.83942
V348	0.01612	0.70575	0.19824	0.0799
V349	0.33875	0.16915	0.43957	0.05253
V350	0	0.79209	0.20791	0
V351	0	0.02738	0.44623	0.52639
V352	0	0.01325	0.95526	0.03149
V353	0.97452	0	0.00931	0.01617
V354	0	0.7157	0.2843	0
V355	0.26321	0.07	0.52455	0.14224
V356	0.0368	0.01586	0.08024	0.8671
V357	0.08417	0.36437	0.32805	0.22341
V358	0.60329	0.09735	0.02525	0.2741
V359	0.64612	0.03671	0	0.31718
V360	0.56874	0.42246	0.0088	0
V361	0	0.42278	0.57722	0
V362	0	0.96391	0.03609	0
V363	0.14347	0.12398	0.53549	0.19707
V364	0.11447	0.06134	0.77347	0.05072
V365	0.29732	0	0	0.70268
V366	0.04529	0.7394	0.12596	0.08935
V367	0.62967	0.11997	0	0.25036
V368	0.05585	0.78722	0.13266	0.02427
V369	0	0.37991	0.62009	0
V370	0.26436	0.27568	0.45996	0
V371	0.17437	0.76937	0.05626	0
V372	0.17563	0.05091	0.11136	0.6621
V373	0.03863	0.15433	0.54228	0.26476
V374	0.8092	0	0.1908	0
V375	0.03661	0.03918	0.13755	0.78666
V376	0.03465	0.03127	0.07875	0.85533
V377	0.85751	0	0	0.14249
V378	0	0.0273	0.45307	0.51962
V379	0.3669	0.20063	0	0.43248
V380	0.15031	0.07576	0.21301	0.56091
V381	0.80914	0	0.07097	0.1199
V382	0.00105	0.02638	0.97257	0
V383	0.91983	0	0.0127	0.06747
V384	0.60393	0.06283	0.13376	0.19948
