Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V126	0.03163	0.04428	0.05336	0	0.86131	0	0	0.00943	0	0
V127	0	0.02729	0.69029	0	0	0.04802	0.14971	0	0.08469	0
V128	0.01393	0.11663	0.53346	0	0.3146	0.02138	0	0	0	0
V129	0.02829	0.07938	0.08065	0.26858	0.05049	0.00037	0.01446	0	0.47778	0
V130	0.00028	0	0.48983	0	0	0	0	0.50989	0	0
V131	0.02327	0.35536	0.62121	0.00016	0	0	0	0	0	0
V132	0.09171	0.08126	0.03504	0	0.01024	0.17786	0.47251	0.10989	0.02149	0
V133	0	0	0	0.23027	0	0.10973	0.01724	0.64276	0	0
V134	0.00748	0.04908	0.33024	0.0096	0.30953	0.04637	0.11793	0	0	0.12978
V135	0.02861	0.17973	0.19937	0	0	0	0.0032	0	0.5891	0
V136	0.01394	0.5358	0.09609	0.16883	0.079	0	0	0	0	0.10634
V137	0	0.04554	0.01981	0	0	0.51567	0.35557	0	0.06342	0
V138	0	0.09587	0.0458	0	0.01918	0.15586	0.41957	0	0.07666	0.18705
V139	0.6422	0.01757	0.01034	0	0.01896	0.08383	0	0	0.2271	0
V140	0.00428	0	0.39013	0.55252	0	0.05307	0	0	0	0
V141	0	0	0.01981	0.95679	0	0.02013	0.00327	0	0	0
V142	0	0.0625	0.0322	0.26057	0	0.17898	0.46576	0	0	0
V143	0.02347	0.74742	0.10852	0.02116	0.09944	0	0	0	0	0
V144	0	0.03163	0	0	0	0.55798	0.41039	0	0	0
V145	0.01883	0.03923	0.04348	0.66656	0	0.01436	0	0.21754	0	0
V146	0	0	0.64225	0	0	0.00029	0.00312	0.15881	0	0.19554
V147	0.02915	0.01239	0.0226	0	0.18048	0	0	0.00047	0.6206	0.13429
V148	0.03833	0.02394	0	0	0	0.03613	0.03129	0	0.8703	0
V149	0	0.01078	0.02926	0.75864	0	0	0.02436	0.12549	0.05148	0
V150	0.07634	0	0.03154	0	0.26783	0	0	0	0	0.62429
V151	0.00686	0	0.0617	0	0.12892	0.04546	0	0	0	0.75706
V152	0	0	0	0	0	0	0	0.95876	0	0.04124
V153	0.03354	0	0.03769	0	0.86853	0	0	0.06024	0	0
V154	0.03655	0	0.71072	0.25272	0	0	0	0	0	0
V155	0.05348	0	0.00193	0	0	0.05945	0	0.74661	0.13853	0
V156	0.1039	0	0.2215	0	0	0.5548	0.03199	0.03105	0.05676	0
V157	0.01897	0.35478	0.08941	0.01251	0.27153	0.2528	0	0	0	0
V158	0.31595	0.5061	0.07375	0	0.1042	0	0	0	0	0
V159	0.02984	0.00953	0.37444	0	0.4014	0.01187	0	0.08787	0	0.08504
V160	0.05356	0.78676	0.06322	0	0.09647	0	0	0	0	0
V161	0	0	0.00758	0.98668	0	0.00021	0.00553	0	0	0
V162	0.0025	0	0.02122	0	0.14342	0	0	0	0	0.83286
V163	0.08131	0	0.91869	0	0	0	0	0	0	0
V164	0	0	1	0	0	0	0	0	0	0
V165	0	0	0.43252	0	0.07632	0	0	0	0	0.49117
V166	0.03014	0.08394	0.05584	0.72622	0	0.01243	0.02651	0.06492	0	0
V167	0.98592	0	0	0	0	0	0	0	0.01408	0
V168	0.06146	0	0.00934	0	0	0.29708	0.00717	0.50428	0.11462	0.00604
V169	0	0	0.06408	0.2018	0.04738	0.21826	0	0	0	0.46848
V170	0.04037	0	0	0	0	0	0	0	0.95963	0
V171	0	0	0.313	0.03333	0	0.48125	0.04512	0.04736	0.07994	0
V172	0	0.07763	0.01186	0	0	0.36327	0.49666	0	0.05057	0
V173	0	0.06325	0.03209	0	0.00796	0.16863	0.40501	0	0.06996	0.25311
V174	0	0.06607	0.31249	0.45561	0.09068	0.02811	0.00563	0	0	0.04141
V175	0.92486	0	0.07514	0	0	0	0	0	0	0
V176	0.17705	0	0	0	0	0.81549	0.00746	0	0	0
