CD56NK	CD4MemoryT	CD19B	CD14
V366	0.08383	0.64672	0.06751	0.20194
V367	0.57146	0.08827	0.00133	0.33893
V368	0.0973	0.71093	0.06852	0.12325
V369	0.01765	0.38351	0.5925	0.00634
V370	0.33927	0.22785	0.39562	0.03726
V371	0.20917	0.6878	0.02022	0.08281
V372	0.14797	0.02141	0.09092	0.73971
V373	0.07846	0.08718	0.44209	0.39227
V374	0.81424	0.00034	0.18517	0.00025
V375	0.03501	0.01247	0.11016	0.84236
V376	0.02778	0.00855	0.07169	0.89198
V377	0.76732	0	0.00687	0.2258
V378	0.0089	0.00779	0.34855	0.63476
V379	0.32786	0.13526	0.0053	0.53158
V380	0.13875	0.03523	0.16297	0.66305
V381	0.74212	0.00081	0.07181	0.18526
V382	0.08908	0.01358	0.88966	0.00767
V383	0.83551	0	0.03595	0.12854
V384	0.56931	0.03974	0.10828	0.28266
V385	0.87971	0.00162	0.05845	0.06022
V386	0.28285	2e-05	0.1125	0.60463
V387	0.63509	0.09671	0.16821	0.09998
V388	0.40872	0.26766	0.129	0.19463
V389	0.45269	0.46117	0.00708	0.07906
V390	0.33816	0.2132	0.44339	0.00525
V391	0.40335	0.05874	0.0105	0.52741
V392	0.45429	0.15975	0.144	0.24197
V393	0.3082	0.1725	0.33094	0.18836
V394	0.08617	0.15988	0.08792	0.66602
V395	0.23857	0.33508	0.18347	0.24287
V396	0.01395	0.95501	0.00342	0.02762
V397	0.82505	0.04883	0.08389	0.04223
V398	0.45305	0.08263	0.07609	0.38823
V399	0.21455	0.51311	0.13611	0.13623
V400	0.00452	0.51325	0.04807	0.43417
V401	0.03549	0.11298	0.74716	0.10437
V402	0.8352	0.13671	0.02807	2e-05
V403	0.02085	0.00444	0.05037	0.92433
V404	0.09642	0.14906	0.62428	0.13024
V405	0.20546	0.00965	0.13262	0.65227
V406	0.67794	0.19111	0.01217	0.11878
V407	0.00678	0.98215	0.00392	0.00715
V408	0.09249	0.18744	0.37624	0.34383
V409	0.00941	0.00476	0.01312	0.97271
V410	0.09967	0.8522	0.02197	0.02617
V411	0.40662	0	0	0.59338
V412	0.16151	0.03899	0.46774	0.33175
V413	0.05755	0.42722	0.16181	0.35341
V414	0.037	0.47126	0.32306	0.16869
V415	0.447	0.00931	0.19691	0.34677
V416	0.00939	0.05448	0.93559	0.00054
V417	0.42097	0.57051	0.00313	0.00539
V418	0.06432	0.05629	0.10985	0.76954
V419	0.01627	0	0.01858	0.96515
V420	0.00564	0.86714	0.00767	0.11955
V421	0.16701	0.01611	0.6668	0.15008
V422	0.04052	0.03021	0.00393	0.92533
V423	0.08627	0.00533	0.87937	0.02904
V424	0.00178	0.02201	0.57469	0.40152
V425	0.05871	0.19238	0.60409	0.14482
V426	0.09458	0.01904	0.7973	0.08909
V427	0.06855	0.3296	0.169	0.43285
V428	0.09723	0.75075	0.04293	0.10909
V429	0.0157	0	0.02537	0.95893
V430	0.78648	0.1182	0.01234	0.08297
V431	0.18017	0.00638	0.40536	0.40809
V432	0.09598	0.04942	0.03223	0.82237
V433	0.06011	0.67638	0	0.26351
V434	0.31955	0.03906	0.03658	0.6048
V435	0.49525	0.00018	0.09569	0.40887
V436	0.36133	5e-05	0.08857	0.55005
V437	0.22039	0.16476	0.00042	0.61442
V438	0.62629	0.10589	0.02331	0.24451
V439	0.02946	0.05856	0.00316	0.90882
V440	0.46216	0.01407	0.02229	0.50148
V441	0.06852	0.08469	0.58325	0.26354
V442	0.33988	0.27944	0.11964	0.26105
V443	0.74578	0	0.07116	0.18306
V444	0.01041	0.01635	0.97235	0.00089
V445	0.65796	0.00266	0.30536	0.03402
V446	0.03959	0.81834	0.04392	0.09815
V447	0.66917	0.05522	0.15519	0.12043
V448	0.01782	0.03097	0.15384	0.79737
V449	0.59671	0.01692	0.26492	0.12144
V450	0.16669	0.82273	0.01058	0
V451	0.9493	0.02723	0	0.02347
V452	0.02994	0	0.05003	0.92003
V453	0.84581	0.04076	0.05161	0.06182
V454	0.00613	0.93782	0.03949	0.01657
V455	0.63984	0.01188	0.2725	0.07578
V456	0.35313	0.07573	0.36167	0.20947
V457	0.00943	0.01085	0.0071	0.97262
V458	0.25669	0.16348	0.00044	0.57938
V459	0.01973	0.77785	0.07884	0.12358
V460	0.96526	0	0.02019	0.01455
V461	0.05032	0.01108	0.00437	0.93423
V462	0.33923	0.18152	0	0.47926
