Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V194	0	0	0	0.05061	0.0282	0.60275	0.2029	0.07894	0.02555	0.01105
V195	0.00758	0.0699	0.02507	0.01905	0.09986	0.1809	0.37727	0.18564	0.03474	0
V196	0.68651	0.01077	0.07219	0.15499	0.04723	0	0	0.01435	0	0.01397
V197	0	0	0	0.26821	0.05672	0	0	0.46844	0.20663	0
V198	0	0.03885	0.04269	0.0152	0.54167	0.24311	0.04963	0	0.06885	0
V199	0	0.07302	0.13829	0	0.35061	0.03049	0.10955	0.02268	0.03176	0.2436
V200	0	0.04173	0.00716	0.04492	0.39592	0.14677	0.16994	0.18735	0.00622	0
V201	0.10745	0.03833	0.05887	0	0.1115	0	0.07997	0	0.60389	0
V202	0	0.22025	0.54176	0	0.10969	0	0.05886	0.00171	0.06773	0
V203	0	0.05523	0.45397	0.08146	0.0798	0	0.07387	0	0.25567	0
V204	0	0.13495	0.30943	0.26048	0.08777	0.07187	0.01109	0.09648	0.02793	0
V205	0.02044	0.08492	0.02831	0.01732	0.04502	0.07423	0.38804	0.21327	0.12844	0
V206	0.20365	0	0.68793	0	0.05896	0	0	0	0.00494	0.04452
V207	0	0.14139	0.0959	0.05167	0.20512	0	0	0	0.27052	0.2354
V208	0	0	0	0.09975	0.04386	0.62569	0.10587	0.01637	0.09523	0.01323
V209	0.00873	0.06331	0.14405	0	0.76257	0.02134	0	0	0	0
V210	0.02142	0.04639	0.08918	0.039	0.57519	0.03137	0	0.17951	0.01795	0
V211	0	0.03381	0.73621	0	0.05605	0	0.04257	0.04051	0.08902	0.00182
V212	0	0.03518	0	0.11741	0.08045	0	0	0.41505	0.35192	0
V213	0.06325	0	0	0.05735	0.16966	0.55645	0.09313	0.03187	0.00768	0.02062
V214	0	0.07233	0.02895	0	0.27904	0.10032	0.35381	0.10452	0.0273	0.03373
V215	0	0.07129	0.01844	0	0.00889	0.08832	0.56898	0.19582	0.04826	0
V216	0.01194	0.52927	0.03716	0	0.41864	0	0.003	0	0	0
V217	0	0.14423	0.05957	0.11873	0.25199	0.23849	0.03502	0.07374	0.03231	0.04593
V218	0	0	0	0.04289	0.04601	0.55385	0.22561	0.06982	0.02479	0.03702
V219	0	0	0	0.21388	0.00826	0.00392	0	0.77394	0	0
V220	0	0.0091	0.06784	0.34357	0.0755	0	0.00082	0.01847	0.48471	0
V221	0.06725	0.06878	0.38398	0	0.10107	0	0.01056	0.11263	0.22053	0.03518
V222	0	0	0.8025	0	0.01135	0.13425	0.01772	0	0.01629	0.01791
V223	0	0	0.84402	0	0.01886	0.05136	0.05313	0	0.01896	0.01367
V224	0	0	0.7117	0	0.03438	0	0	0.07997	0.17395	0
V225	0	0	0.32844	0.33399	0.01813	0.00747	0	0.3109	0	0.00107
V226	0.00187	0.52093	0	0.06495	0.22375	0	0	0.1885	0	0
V227	0	0	0.739	0	0.24104	0	0	0	0.01996	0
V228	0.00844	0.42369	0.06209	0.06345	0.18946	0	0	0.19126	0.06161	0
V229	0.56637	0	0	0	0.03876	0.26381	0.04807	0.06859	0	0.01439
V230	0	0.04298	0.12639	0.34123	0.08079	0.01809	0.09414	0.02508	0.03974	0.23157
V231	0	0.16197	0.03273	0.02307	0.14958	0.04343	0.01653	0	0.57269	0
V232	0	0.2658	0.49418	0	0.13538	0	0	0.10419	0.00044	0
V233	0	0.0439	0.04967	0.01704	0.60731	0.00515	0	0	0.27693	0
V234	0	0.02158	0	0.11014	0.18036	0.0342	0.10497	0.54875	0	0
V235	0	0	0.31877	0.10127	0.02252	0	0	0.55016	0	0.00727
V236	0	0	0.25657	0.23222	0.04147	0.34776	0.06441	0.01536	0.04014	0.00207
V237	0	0.01631	0.51706	0.08255	0.28965	0.03318	0	0.05127	0.00999	0
V238	0	0.00432	0.22128	0.13012	0.05374	0	0	0.59053	0	0
V239	0	0.13375	0.14435	0.47068	0.12267	0.02699	0.03985	0.00067	0.01263	0.0484
V240	0.03103	0.03254	0.02964	0.0088	0.03474	0.29374	0.3843	0.12879	0.04025	0.01617
V241	0.04548	0.01007	0.21861	0.59869	0.04961	0.03085	0.01036	0.03632	0	0
V242	0	0	0.05108	0.02668	0.10459	0	0	0	0.81765	0
V243	0	0.00367	0.06009	0.11994	0.11185	0.02811	0.0479	0	0.62845	0
V244	0	0.02526	0.39455	0	0.01658	0.04054	0.31213	0.16209	0.04886	0
