Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V214	0.92971	0.07029	0	0	0	0
V215	0.0271	0.84872	0	0	0	0.12418
V216	0.10447	0.62779	0.26774	0	0	0
V217	0.32749	0.00455	0.02857	0.04753	0.28912	0.30274
V218	0	0.43169	0	0.56831	0	0
V219	0.94624	0.05376	0	0	0	0
V220	0	0.10365	0	0.89635	0	0
V221	0.00371	0.98276	0	0.01353	0	0
V222	0.07314	0.35749	0.00946	0.16993	0.38998	0
V223	0.09992	0.37684	0.25324	0	0	0.27
V224	0.01868	0	0.46286	0	0.51846	0
V225	0.12363	0.00088	0	0	0	0.87548
V226	0.36198	0.08617	0.21356	0.29605	0.04224	0
V227	0.81582	0.06656	0	0.11762	0	0
V228	0.21293	0.26666	0.52041	0	0	0
V229	0.25366	0.01266	0.40503	0.2733	0.05535	0
V230	0.10371	0.13509	0.7612	0	0	0
V231	0	0.06957	0	0.93043	0	0
V232	0.53527	0.07327	0	0.22287	0	0.1686
V233	0.93589	0.06411	0	0	0	0
V234	0.59455	0.02321	0	0	0.38224	0
V235	0	0.08018	0	0.91982	0	0
V236	0.20936	0	0.22463	0	0.54037	0.02564
V237	0.04607	0	0.92229	0.03164	0	0
V238	0.91682	0.04625	0.03693	0	0	0
V239	0.68356	0.06941	0.11613	0.07175	0.05915	0
V240	0	0.27014	0	0.14916	0.58071	0
V241	0.66057	0.23345	0	0.10598	0	0
V242	0.41725	0.084	0.03135	0.14332	0.0525	0.27158
V243	0.00699	0.47329	0.51972	0	0	0
V244	0.28366	0.01999	0	0	0.57951	0.11683
V245	0.93993	0.06007	0	0	0	0
V246	0	0.06353	0.22306	0.47862	0.23479	0
V247	0.35598	0.12518	0	0.12092	0	0.39793
V248	0.32422	0.0627	0	0.25702	0.35606	0
V249	0.39422	0.20263	0.40315	0	0	0
V250	0	0.03956	0	0.96044	0	0
V251	0	0.74793	0.09476	0.15732	0	0
V252	0	0.03021	0	0.96979	0	0
V253	0.05788	0.10848	0	0.49081	0.06615	0.27668
V254	0.04689	0.33728	0.05412	0.22541	0.3363	0
V255	0.51072	0.40047	0.0721	0	0.0167	0
V256	0	1	0	0	0	0
V257	0.04883	0.54471	0.00563	0	0.40082	0
V258	0	0.31938	0.0549	0.62572	0	0
V259	0	0.70742	0.29258	0	0	0
V260	0.24397	0.03733	0.00441	0.01242	0.70188	0
V261	0.75326	0.05296	0.04252	0	0.15125	0
V262	0.1299	0	0.8701	0	0	0
V263	0.06923	0.04275	0.70255	0.18546	0	0
V264	0.84968	0.05752	0.09279	0	0	0
V265	0.0295	0	0	0.05524	0.91525	0
V266	0.13087	0.03971	0	0	0	0.82941
V267	0.07359	0.92641	0	0	0	0
V268	0.93964	0.06036	0	0	0	0
V269	0	0.0923	0.02335	0.88436	0	0
V270	0.30029	0.64404	0	0	0.05567	0
V271	0.0802	0.1352	0.23462	0	0	0.54998
V272	0.06594	0	0	0.12945	0.8046	0
V273	0.10057	0	0.03588	0.11828	0.74527	0
V274	0.05849	0	0.15372	0	0	0.78779
V275	0.73754	0.26246	0	0	0	0
V276	0.16547	0.34558	0.07197	0.01293	0.03624	0.36781
V277	0.6779	0.04412	0.00329	0	0.04767	0.22703
V278	0.16219	0.16083	0.07733	0.29153	0.30813	0
V279	0.21743	0.04729	0.195	0	0	0.54027
V280	0.01835	0.09441	0	0.88724	0	0
V281	0	1	0	0	0	0
V282	0.0229	0.02635	0	0.10479	0.84595	0
V283	0	0.54492	0	0	0.45508	0
V284	0.12738	0.13951	0.34293	0.39018	0	0
V285	0	0.0392	0	0.9608	0	0
V286	0.79148	0.08906	0.03898	0.08048	0	0
V287	0.05526	0	0.01452	0.12939	0.80084	0
V288	0.12823	0.35746	0	0	0.07947	0.43484
V289	0.05757	0.05681	0.8358	0.04982	0	0
V290	0	0.02262	0.12905	0.84833	0	0
V291	0	0.06859	0	0.93141	0	0
V292	0.10875	0.16104	0	0.71656	0.01365	0
V293	0.00919	0.02765	0.02113	0.02859	0.91344	0
V294	0.71949	0.06153	0	0	0.21899	0
V295	0.13715	0	0	0	0	0.86285
V296	0.04912	0.5289	0.06807	0.32732	0.02659	0
V297	0	0.06155	0	0	0	0.93845
V298	0	0.95995	0.04005	0	0	0
V299	0.23158	0.04571	0.7227	0	0	0
V300	0.82932	0.17068	0	0	0	0
V301	0.48619	0.51381	0	0	0	0
V302	0	0.37335	0	0.62665	0	0
V303	0	0.89582	0.01337	0	0.0908	0
V304	0.02686	0	0.01045	0.01529	0.9474	0
V305	0.11109	0.04049	0.17515	0.54382	0.02449	0.10497
V306	0.41412	0.14916	0	0	0	0.43671
V307	0.28865	0.00417	0	0.00887	0.69831	0
V308	0	0.01887	0	0.98113	0	0
V309	0	0.68648	0	0.31352	0	0
V310	0.1392	0.4979	0.242	0	0	0.1209
V311	0.58171	0.03271	0	0	0	0.38558
V312	0.14072	0.04093	0	0.46044	0.35792	0
V313	0.27462	0.02329	0	0	0	0.70208
V314	0.1979	0.10244	0	0.69966	0	0
V315	0.08491	0.91509	0	0	0	0
V316	0.25373	0.00882	0	0	0	0.73745
V317	0.09242	0.07928	0	0.82277	0	0.00553
V318	0	0.03591	0	0.96409	0	0
V319	0.46451	0.23549	0.2423	0.05771	0	0
V320	0.37641	0.24129	0.35081	0.0315	0	0
V321	0	0.81466	0	0.18534	0	0
V322	0.1574	0	0.09955	0.02006	0.72299	0
V323	0	0.37521	0	0.47433	0.15046	0
V324	0.19075	0.06625	0.0258	0.27275	0.39142	0.05303
V325	0	1	0	0	0	0
V326	0.04707	0.95293	0	0	0	0
V327	0.13196	0	0.86804	0	0	0
V328	0.21448	0.24851	0.18715	0.13004	0.21982	0
V329	0.04659	0	0.64997	0	0.30345	0
V330	0.03628	0	0.96372	0	0	0
V331	0.85969	0.12135	0.01896	0	0	0
V332	0.16016	0.06633	0.16789	0	0.37522	0.2304
V333	0.05197	0.0152	0.51354	0.41928	0	0
V334	0	0.5136	0.4312	0.05521	0	0
V335	0.25389	0	0.74611	0	0	0
V336	0.25489	0.74511	0	0	0	0
V337	0.07739	0.20697	0.04383	0	0.67182	0
V338	0.89568	0.02945	0.05219	0	0.02267	0
V339	0.20255	0.11793	0.42351	0.25601	0	0
V340	0.65588	0.34412	0	0	0	0
V341	0.25468	0.11377	0	0.63155	0	0
V342	0.08615	0.08054	0	0.79704	0	0.03627
V343	0.16845	0.18686	0.08994	0	0	0.55475
V344	0.01321	0.84885	0	0	0.13793	0
V345	0	0	0	0.03476	0.96524	0
V346	0.17394	0.04946	0	0.53068	0.24592	0
V347	0.58456	0.18283	0.00774	0.02049	0.20438	0
V348	0.19223	0.11142	0.69636	0	0	0
V349	0.85562	0.12406	0.02032	0	0	0
V350	0.62474	0.09775	0.10331	0.1742	0	0
V351	0.24653	0.07606	0	0	0	0.67741
V352	0.08195	0.43012	0	0	0.26789	0.22004
V353	0.04426	0.1467	0.80905	0	0	0
V354	0.29983	0.04296	0.27261	0	0.25849	0.12611
V355	0.03582	0	0.96418	0	0	0
V356	0.63503	0.18783	0.001	0.17614	0	0
V357	0.43474	0	0.45569	0	0.10958	0
V358	0.03945	0	0.02993	0	0	0.93063
V359	0.10383	0.17425	0	0.72192	0	0
V360	0.62237	0.04535	0	0.18347	0.14882	0
V361	0	1	0	0	0	0
V362	0	0.6957	0	0.3043	0	0
V363	0.88124	0.09482	0.02394	0	0	0
V364	0.0986	0.23169	0	0	0.08727	0.58243
V365	0.4235	0.53874	0	0.03776	0	0
V366	0.14041	0.2865	0.53555	0.00755	0.03	0
V367	0	0.03287	0	0.7911	0.17603	0
V368	0.0794	0.16419	0.07449	0	0.12718	0.55473
V369	0.08734	0.02208	0	0.09809	0.79249	0
V370	0.11924	0.06277	0.72124	0.09675	0	0
V371	0.0562	0.40195	0	0.53961	0	0.00224
V372	0	0.8993	0	0	0.1007	0
V373	0.92919	0.07081	0	0	0	0
V374	0.21015	0.05109	0.19362	0.54515	0	0
V375	0.5529	0.02517	0.21747	0	0.20446	0
