CD56NK	CD4MemoryT	CD19B	CD14
V236	0.07829	0.04091	0.69224	0.18856
V237	0.12786	0.00046	0.01224	0.85944
V238	0.20291	0.47765	0.20665	0.11279
V239	0.06776	0.22364	0.00914	0.69946
V240	0.61182	0.01425	0.28144	0.0925
V241	0.02935	0.00033	0.7979	0.17242
V242	0.20342	0.68641	0.07636	0.03381
V243	0.3501	0.0171	0.47107	0.16173
V244	0.29909	0	0.52008	0.18084
V245	0.67473	0.19322	0.03368	0.09837
V246	0.103	0.12806	0.70647	0.06247
V247	0.27785	0.00555	0.7166	0
V248	0.01728	0.00861	0.01703	0.95708
V249	0.00017	0.01967	0.80507	0.17509
V250	0.8546	0	0.13413	0.01127
V251	0.96088	0.02314	0.00457	0.01142
V252	0.01889	0.84601	0.13511	0
V253	0.34746	0.02771	0.0847	0.54013
V254	0.0192	0.91981	0.04346	0.01754
V255	0.07723	0.83168	0	0.09108
V256	0.2606	0.16096	0.39171	0.18672
V257	0.45514	0.04707	0.13513	0.36265
V258	0.24754	0.19209	0.30752	0.25285
V259	0.064	0.27242	0.55717	0.10641
V260	0.00102	0.29528	0.68453	0.01917
V261	0.64773	0.01123	0.11374	0.2273
V262	0.07499	0.01979	0.00489	0.90034
V263	0.03441	0.91029	3e-05	0.05527
V264	0.18609	0.01266	0.2518	0.54945
V265	0.02535	0	0.05865	0.916
V266	0.74571	0.24943	0.00486	0
V267	0.00025	0.09264	0.15187	0.75523
V268	0.3503	0.00576	0.07028	0.57366
V269	0.01331	0.5258	0.3372	0.12369
V270	0.70678	0.00827	0.14818	0.13678
V271	0.79969	0.03155	0.02012	0.14864
V272	0.08393	0.69391	0.0093	0.21285
V273	0.0416	0.00448	0.01272	0.94121
V274	0.72641	0	0.10632	0.16727
V275	0.00045	0.00964	0.96768	0.02224
V276	0.54725	0.21096	0.00699	0.2348
V277	0.03502	0.10279	0.07937	0.78281
V278	0.03468	0.02041	0.1449	0.80001
V279	0.70144	0.02542	0.06551	0.20763
V280	0.0097	0	0.00569	0.98461
V281	0.52584	0.00958	0.07451	0.39007
V282	0.09749	0.0429	0.71184	0.14776
V283	0.27123	0.42278	0.0433	0.26268
V284	0.05035	0.88174	0.05077	0.01714
V285	0.12992	0.00225	0.86783	0
V286	0.32567	0.41274	0.07771	0.18388
V287	0.15548	0.78079	0.01107	0.05265
V288	0.02144	0.18799	0.29225	0.49832
V289	0.38612	0.15627	0.30106	0.15656
V290	0.88365	0.10736	0.009	0
V291	0.63434	0.03761	0.29956	0.02849
V292	0.91607	0.00084	0.00032	0.08277
V293	0.42527	0.00235	0.48533	0.08705
V294	0.08467	0.1975	0	0.71782
V295	0.01668	0.08614	0.09469	0.80249
V296	0.26328	0.08037	0.46658	0.18977
V297	0.05821	0	0.02817	0.91362
V298	0.44408	0.06853	0.45438	0.03301
V299	0.06254	0.13631	0.00482	0.79633
V300	0.00091	0.00869	0.10855	0.88185
V301	0.18161	0.07194	0.49481	0.25164
V302	0.73852	0.23546	0.00032	0.0257
V303	0.00187	0.58263	0.33388	0.08163
V304	0.08343	0.00724	0.56683	0.3425
V305	0.15347	0.09591	0.30248	0.44814
V306	0.841	0.05125	0.03161	0.07613
V307	0.03461	0.91687	0.01218	0.03634
V308	0.26964	0.13888	0.18278	0.4087
V309	0.33519	0.17574	0.01365	0.47543
V310	0.08179	0.17158	0.08072	0.66591
V311	0.62813	0.35437	0.00438	0.01313
V312	0.15883	0.67092	0.11601	0.05424
V313	0.00199	0.04831	0.00524	0.94447
V314	0.02043	0.2978	0.06567	0.6161
V315	0.15385	0.44467	0.02306	0.37842
V316	0.37723	0.07773	0.25157	0.29347
V317	0.12123	0.53861	0.03128	0.30888
V318	0.04181	0.35122	0.00615	0.60083
V319	0.10266	0.03681	0.77464	0.0859
V320	0.11852	0.10164	0.50423	0.27561
V321	0.73739	0.25774	0.00486	0
V322	0.19487	0.17479	0.03917	0.59117
V323	0.04169	0.00327	0.03672	0.91832
V324	0.74678	0.16802	0.04542	0.03978
V325	0.41818	0.52487	0.04269	0.01426
V326	0.00101	0.37401	0.05602	0.56895
V327	0.01604	0.06504	0.04714	0.87179
V328	0.06783	0.00721	0.56349	0.36147
V329	0.15536	0.04806	0.08233	0.71426
V330	0.41249	0	0.19014	0.39737
V331	0.29031	0.03416	0.0198	0.65573
V332	0.00813	0.01613	0.08381	0.89194
V333	0.5105	0.0364	0.25141	0.20169
V334	0.37391	0	0.20342	0.42267
V335	0.04098	0.27333	0.40488	0.28082
V336	0.23662	0.55	0.01396	0.19943
V337	0.39513	0.31766	0.21827	0.06894
V338	0.00508	0.97039	0.00649	0.01803
V339	0.21127	0.00076	0.77015	0.01782
V340	0.0807	0.15959	0.38048	0.37923
V341	0.01667	0.00871	0.02545	0.94917
