CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V158	0.14164	0	0.81613	0	0.04223	0
V159	0.23962	0.18324	0.28067	0.11961	0.16337	0.01348
V160	0.1287	0	0.82334	0	0.03776	0.01021
V161	0.12518	0.43287	0	0.31392	0.12802	0
V162	0.14929	0.48035	0	0.13556	0.2348	0
V163	0.10291	0	0.85133	0	0.04577	0
V164	0.1497	0.28092	0.30412	0.0657	0.19955	0
V165	0.12876	0	0.00025	0	0.82106	0.04993
V166	0.18889	0	0	0.0778	0.55291	0.18041
V167	0.09727	0	0.33897	0.3485	0.21526	0
V168	0.54918	0.01696	0.01167	0.21925	0.11225	0.09069
V169	0.12799	0	0.63602	0.06991	0.16607	0
V170	0.42197	0.00316	0.07941	0.24155	0.21026	0.04365
V171	0.27441	0.42647	0.00863	0.02938	0.02167	0.23944
V172	0.213	0.02099	0.49779	0.08116	0.14212	0.04494
V173	0.14818	0	0.74637	0	0.05629	0.04916
V174	0.49372	0.10439	0.02996	0.00646	0.28087	0.0846
V175	0.19623	0.57907	0.07124	0.05513	0.09787	0.00045
V176	0.08522	0	0.84299	0	0.07179	0
V177	0.2476	0.04878	0.3144	0	0.24225	0.14697
V178	0.10482	0	0	0	0.89518	0
V179	0.15487	0	0	0.54129	0.25871	0.04513
V180	0.31539	0	0.1553	0.30495	0.14725	0.07711
V181	0.45172	0.10676	0.07827	0.05518	0.154	0.15407
V182	0.15603	0.02566	0.7153	0	0.10301	0
V183	0.07139	0	0	0.82862	0.09999	0
V184	0.3608	0.35509	0	0.05082	0.1786	0.05469
V185	0.224	0.46644	0	0.03297	0.17099	0.10559
V186	0.0893	0	0.53514	0.18369	0.19188	0
V187	0.30219	0.43638	0	0.05176	0.17537	0.0343
V188	0.24808	0.53205	0	0.06857	0	0.15131
V189	0.14598	0.03149	0.15224	0	0.60382	0.06647
V190	0.14949	0.15325	0	0	0.6032	0.09405
V191	0.22428	0.53404	0	0.05024	0	0.19144
V192	0.44412	0.20213	0.09799	0.03128	0.13618	0.08829
