cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V400	0.00287	0.69781	0.10971	0.18961
V401	0.07229	0.12901	0.76438	0.03432
V402	0.82703	0.13547	0.03748	2e-05
V403	0.08184	0.04311	0.18461	0.69044
V404	0.15188	0.16263	0.64461	0.04088
V405	0.42466	0.0411	0.25807	0.27617
V406	0.72037	0.21452	0.02369	0.04142
V407	0.00318	0.97866	0.01382	0.00434
V408	0.17207	0.23451	0.47832	0.1151
V409	0.00757	0.0385	0.06738	0.88655
V410	0.16235	0.78469	0.04134	0.01162
V411	0.72563	0.01401	0.00293	0.25743
V412	0.26906	0.06688	0.55755	0.10652
V413	0.12805	0.49743	0.24862	0.12589
V414	0.07953	0.47179	0.39044	0.05825
V415	0.56782	0.03326	0.27941	0.11951
V416	0.0176	0.05417	0.92815	8e-05
V417	0.50555	0.48289	0.00836	0.0032
V418	0.19894	0.14807	0.26824	0.38475
V419	0.0486	0.01183	0.08709	0.85248
V420	0.00298	0.92468	0.02388	0.04847
V421	0.23599	0.03018	0.68618	0.04765
V422	0.15627	0.11859	0.03265	0.69248
V423	0.13143	0.00935	0.84881	0.01041
V424	0.00108	0.04657	0.80105	0.1513
V425	0.1082	0.2047	0.63948	0.04762
V426	0.1454	0.03146	0.79405	0.02909
V427	0.1517	0.42184	0.2694	0.15706
V428	0.17226	0.71255	0.07458	0.04061
V429	0.04719	0.01128	0.10751	0.83402
V430	0.80354	0.14501	0.02275	0.0287
V431	0.30833	0.02344	0.53145	0.13677
V432	0.29557	0.14195	0.10318	0.45931
V433	0.12812	0.76688	0.00242	0.10258
V434	0.57263	0.0919	0.0842	0.25126
V435	0.67934	0.01824	0.15768	0.14475
V436	0.60035	0.01962	0.16547	0.21455
V437	0.43598	0.27845	0.01335	0.27222
V438	0.71606	0.15674	0.04589	0.08131
V439	0.11716	0.18872	0.03099	0.66313
V440	0.70398	0.04694	0.05313	0.19595
V441	0.12941	0.11511	0.67291	0.08257
V442	0.43486	0.31327	0.16736	0.08451
V443	0.82552	0.01116	0.10296	0.06036
V444	0.01752	0.01313	0.96928	8e-05
V445	0.67602	0.01473	0.29788	0.01137
V446	0.08168	0.80218	0.07811	0.03803
V447	0.70814	0.07856	0.17427	0.03902
V448	0.06488	0.09984	0.38422	0.45106
V449	0.64836	0.03423	0.27869	0.03872
V450	0.23254	0.74654	0.02072	2e-04
V451	0.95669	0.03643	0	0.00688
V452	0.11683	0.02524	0.18105	0.67688
V453	0.834	0.06989	0.07409	0.02202
V454	0.00283	0.92048	0.06838	0.00831
V455	0.66311	0.02841	0.28388	0.0246
V456	0.41681	0.10704	0.41022	0.06593
V457	0.00769	0.05935	0.04319	0.88977
V458	0.48302	0.26556	0.01233	0.23909
V459	0.04225	0.78285	0.1272	0.04771
V460	0.96224	0.00928	0.02395	0.00454
V461	0.19421	0.06401	0.03376	0.70802
V462	0.5605	0.25986	0.00188	0.17776
V463	0.36123	0.40793	0.18061	0.05023
V464	0.70946	0.11301	0.00963	0.16791
V465	0.52043	0.38147	0.03639	0.06171
V466	0.70315	0.19185	0.00845	0.09655
V467	0.40508	0.48238	0.09443	0.0181
V468	0.58962	0.32709	0.05979	0.0235
V469	0.05299	0.22144	0.45731	0.26826
V470	0.63513	0.11169	0.19511	0.05807
V471	0.49827	0.13663	0.066	0.29911
V472	0.51675	0.33061	0.00159	0.15104
V473	0.16548	0.46327	0.36007	0.01118
V474	0.33277	0.00495	0.20542	0.45685
V475	0.33929	0.40296	0.11449	0.14327
V476	0.40804	0.02847	0.11642	0.44707
V477	0.69072	0.03721	0.21412	0.05795
V478	0.26623	0.59803	0.01094	0.12479
V479	0.03625	0.0684	0.85671	0.03864
V480	0.21365	0.40442	0.08819	0.29373
V481	0.19726	0.00958	0.78651	0.00666
