Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V134	0.02436	0.03072	0.28541	0.00212	0.3443	0.03004	0.13388	0.01319	0	0.136
V135	0.03629	0.13092	0.18676	0	0.0809	0	0.01314	0	0.55199	0
V136	0.00265	0.4507	0.06023	0.15294	0.23632	0	0	0	0	0.09716
V137	0	0.03794	0.03201	0	0.01138	0.43973	0.38336	0.01645	0.07538	0.00376
V138	0.0094	0.06445	0.04126	0	0.05675	0.11678	0.44903	0.02249	0.04525	0.19461
V139	0.61808	3e-04	0	0	0.08047	0.0842	0.00727	0	0.20968	0
V140	0.04653	0.01019	0.35174	0.48571	0.02662	0.05406	0.02357	0	0	0.00159
V141	0.01323	0.02369	0.06559	0.81996	0.00408	0.03062	0.02304	0	0.00258	0.01723
V142	0	0.04672	0.05253	0.22602	0	0.1289	0.48851	0.02665	0.01816	0.01252
V143	0.00773	0.61618	0.04783	0.04017	0.2832	0	0.00257	0.00233	0	0
V144	0	0.02825	0.01701	0	0	0.46289	0.42879	0.04345	0.01736	0.00225
V145	0.03855	0.07228	0.05356	0.54462	0.01564	0.01843	0.00424	0.25268	0	0
V146	0.04443	0	0.53261	0	0.03635	0.01043	0.02385	0.17284	0	0.17949
V147	0.0222	0	0.0502	0.00938	0.22432	0	0.00133	0.01749	0.55064	0.12444
V148	0.04025	0.01601	0.02642	0.01203	0.02458	0.04839	0.03397	0	0.79836	0
V149	0.01083	0.02124	0.05106	0.62641	0	0	0.01036	0.13894	0.14116	0
V150	0.07034	2e-05	0.06549	0	0.30191	0.00213	0.0038	0.00222	0	0.55408
V151	0.00641	0	0.09727	0	0.16964	0.07616	0.00107	0	0	0.64946
V152	0.02027	0	0.00658	0.0165	0.01263	0	0	0.87299	0	0.07103
V153	0.00653	0.00094	0.03597	0	0.83786	0	0	0.11869	0	0
V154	0.10341	0.00125	0.63562	0.2368	0	0.01439	0.00851	0	0	0
V155	0.05888	0	0.0131	0.01249	0	0.06804	0	0.66756	0.17822	0.00171
V156	0.11143	0.00915	0.19052	0	0.00077	0.48792	0.06261	0.05143	0.08362	0.00255
V157	0.00247	0.30104	0.0549	0.02903	0.3739	0.21731	0.02135	0	0	0
V158	0.27392	0.41202	0.02094	0	0.24176	0	0.00103	0.05034	0	0
V159	0.04001	0.01202	0.30036	0	0.42579	0.01379	0.00043	0.12015	0	0.08744
V160	0.02628	0.65044	0.03083	0	0.29245	0	0	0	0	0
V161	0.00521	0.0246	0.06379	0.84841	0	0.01352	0.02222	0	0.02225	0
V162	0	0	0.09075	0	0.20307	0	0	0	0	0.70618
V163	0.16154	0	0.80789	0	0	0.00584	0	0.02473	0	0
V164	0.08218	0	0.891	0	0	0.01039	0.0113	0	0.00512	0
V165	0.02709	0	0.39366	0	0.13089	0	0	0.0076	0	0.44076
V166	0.04761	0.08691	0.05765	0.6028	0.0255	0.0096	0.02307	0.09332	0.03701	0.01652
V167	0.92854	0	0	0	0	0.00017	0	0.00193	0.06936	0
V168	0.06261	0.00533	0.01697	0.00526	0.00223	0.25265	0.01364	0.48478	0.14594	0.01058
V169	0	0	0.07603	0.17822	0.09943	0.19614	0.02002	0.01265	0	0.4175
V170	0.04345	0.00165	0.02684	0.01641	0.02279	0	0.00711	0	0.88175	0
V171	0.0181	0	0.2662	0.03777	0.01734	0.41886	0.06941	0.06478	0.10582	0.00172
V172	0	0.06118	0.02369	0	0	0.29455	0.52231	0.03698	0.05822	0.00307
V173	0.00744	0.04067	0.03525	0	0.04008	0.13189	0.43423	0.02047	0.03361	0.25637
V174	0.01524	0.05623	0.26677	0.38411	0.17112	0.02245	0.01548	0.01729	0	0.05131
V175	0.88196	0	0.09196	0	0	0.00189	0.01214	0.01205	0	0
V176	0.16732	0	0.00514	0	0	0.71946	0.06795	0	0.03366	0.00647
V177	0.7555	0	0.00692	0.08785	0.01753	0	0	0.02221	0	0.10998
V178	0.18029	0	0.01892	0.01374	0.05658	0.63127	0.06242	0	0	0.03678
V179	0.15147	0	0.03741	0	0.81112	0	0	0	0	0
V180	0.46939	0.09984	0.03037	0.35191	0.02583	0.00888	0.01241	0.00138	0	0
V181	0.0607	0.11619	0.67462	0	0.07305	0.01403	0.06141	0	0	0
V182	0.01547	0	0.02875	0.02898	0.35286	0.00198	0	0.5669	0.00419	0.00086
V183	0.01269	0.14451	0.05665	0.60393	0.0321	0.03468	0.11003	0.00542	0	0
V184	0.17049	0	0.02108	0	0.01386	0.59505	0.05225	0.03675	0	0.11051
V185	0.63264	0	0.00372	0.19022	0	0	0	0.12752	0.0459	0
V186	0.88109	0.00304	0.0028	0.08214	0	0.00401	0.01104	0.01587	0	0
V187	0.803	0	0.09857	0	0	0	0.00389	0.01035	0.06301	0.02118
V188	0.07202	0.07699	0.05255	0.04695	0.73047	0	0.00708	0.01393	0	0
V189	0.91053	0	0.0042	0.0458	0	0.0173	0.00159	0.01493	0	0.00566
V190	0.02717	0.00367	0.02894	0.00962	0.10266	0.08656	0.01331	0	0.72807	0
V191	0.01617	0.00962	0.10937	0.359	0.43314	0.00586	0.03787	0.02897	0	0
V192	0	0	0.07951	0	0.41358	0	0	0.00773	0	0.49917
V193	0.09312	0.02194	0.22065	0.3004	0.12988	0.02398	0.1048	0.10064	0.0046	0
V194	0	0.00031	0.01454	0.00554	0	0.75833	0.19273	0.01478	0.01063	0.00312
V195	0.03014	0.06593	0.02541	0	0.08357	0.25321	0.43703	0.0835	0.01074	0.01047
V196	0.79388	0.00168	0.00481	0.19245	0	0.00168	0.00257	0.00292	0	0
V197	0.03045	0.01053	0.02768	0.20045	0.01143	0	0	0.5318	0.18765	0
V198	0.00259	0.00313	0.05333	0	0.63533	0.2391	0.03805	0	0.02847	0
V199	0.02103	0.01881	0.11637	0	0.41022	0.03054	0.1092	0	0	0.29382
V200	0.002	0.0069	0.0313	0	0.48655	0.1542	0.18108	0.13796	0	0
V201	0.23345	0.03388	0.02329	0	0.02947	0.01638	0.08183	0.00338	0.56148	0.01685
V202	0.05512	0.22488	0.51849	0	0.08647	0.00691	0.06249	0.01007	0.03556	0
V203	0.03693	0.05799	0.43425	0.11605	0.02883	0.02469	0.08434	0	0.21425	0.00267
V204	0.02171	0.14853	0.30655	0.27571	0.0576	0.08099	0.01253	0.09116	0.00522	0
V205	0.05875	0.08834	0.02435	0	0.00225	0.14019	0.46601	0.11309	0.10502	0.002
V206	0.34026	0	0.62168	0	0.01609	0	0.00123	0	0	0.02074
V207	0.01707	0.11257	0.0831	0.06352	0.19729	0	0.0058	0	0.19052	0.33013
V208	0	0	0.02976	0.05591	0.00295	0.75454	0.07642	0	0.07262	0.00779
V209	0.03992	0.00167	0.11805	0	0.84005	0.00032	0	0	0	0
V210	0.06011	0.00141	0.09071	0	0.68078	0	0	0.16624	0	0.00075
V211	0.06692	0.04064	0.69871	0	0.02013	0.01129	0.049	0.05129	0.06202	0
V212	0.10521	0.04718	0.01932	0.00573	0.02243	0	0	0.46949	0.33063	0
V213	0.10388	0	0.02235	2e-04	0.15949	0.631	0.06863	0.00461	0	0.00983
V214	0	0.04015	0.02378	0	0.32214	0.14123	0.39289	0.01965	0	0.06016
V215	0	0.06202	0.01	0	0	0.18346	0.67166	0.03307	0.03846	0.00133
V216	0.00653	0.48182	0.03873	0	0.45634	0	0	0.01658	0	0
V217	0.02074	0.13492	0.08122	0.07377	0.28557	0.25288	0.02364	0.06332	0	0.06394
V218	0.0229	0.00616	0.01772	0	0.00541	0.67904	0.22088	0.00547	0.00271	0.03971
V219	0.01961	0	0.00223	0.0791	0	0	0.00796	0.8911	0	0
