cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V204	0.00705	0.57232	0.00922	0.4114
V205	0.01931	0.07292	0.89397	0.0138
V206	0.04785	0.10436	0.84116	0.00664
V207	0.14155	0.19277	0.06153	0.60415
V208	0.25371	0.06961	0.66502	0.01165
V209	0.31503	0.47814	0.0675	0.13933
V210	0.08133	0.7945	0.0846	0.03958
V211	0.45536	0.01457	0.03878	0.4913
V212	0.52017	0.04248	0.4202	0.01715
V213	0.67372	0.02829	0.1078	0.19018
V214	0.35695	0.14804	0.1735	0.32152
V215	0.31632	0.09205	0.02427	0.56735
V216	0.05388	0.00431	0.04611	0.8957
V217	0.04157	0.51172	0.24074	0.20597
V218	0.09789	0.4642	0.17641	0.2615
V219	0.10545	0.67057	0.01215	0.21182
V220	0.00647	0.85892	0.0061	0.1285
V221	0.83453	0.01143	0.00471	0.14933
V222	0.33419	0.12163	0.38305	0.16113
V223	0.00699	0.13309	0.79315	0.06677
V224	0.95315	0.02071	0.02585	0.00029
V225	0.05346	0.88963	0.05199	0.00493
V226	0.31279	0.08319	0.59271	0.01131
V227	0.79455	0.01309	0.18196	0.01039
V228	0.8046	0.06043	0.06057	0.07439
V229	0.02007	0.05032	0.90862	0.02099
V230	0.0217	0.04306	0.04337	0.89187
V231	0.01536	0.28833	0.12265	0.57365
V232	0.04293	0.69012	0.00195	0.265
V233	0.60053	0.0778	0.19791	0.12377
V234	0.03377	0.9277	0.02743	0.01111
V235	0.38506	0.06063	0.52944	0.02487
V236	0.04296	0.07008	0.82056	0.0664
V237	0.17575	0.01173	0.04371	0.76882
V238	0.12906	0.56953	0.26052	0.04089
V239	0.06695	0.42653	0.02355	0.48297
V240	0.50384	0.03939	0.41785	0.03892
V241	0.01827	0.03681	0.88706	0.05786
V242	0.12513	0.77989	0.08436	0.01062
V243	0.24384	0.04497	0.64632	0.06488
V244	0.20597	0.0242	0.6976	0.07224
V245	0.6204	0.28803	0.04608	0.04549
V246	0.05437	0.14878	0.77758	0.01927
V247	0.1674	0.04981	0.78157	0.00122
V248	0.02782	0.04154	0.06646	0.86418
V249	0.00153	0.05858	0.88177	0.05812
V250	0.77022	0.0155	0.20943	0.00486
V251	0.93665	0.05314	0.00507	0.00513
V252	0.01037	0.8468	0.1426	0.00024
V253	0.39138	0.06043	0.17212	0.37607
V254	0.00843	0.94049	0.04584	0.00525
V255	0.04281	0.92501	0.00056	0.03162
V256	0.17933	0.20241	0.54154	0.07672
V257	0.45184	0.08794	0.24292	0.2173
V258	0.18211	0.25503	0.4475	0.11536
V259	0.03278	0.28787	0.64553	0.03382
V260	0.00151	0.29025	0.70196	0.00629
V261	0.64741	0.02987	0.19371	0.12902
V262	0.10485	0.06137	0.02699	0.80679
V263	0.01751	0.96369	6e-04	0.01819
V264	0.16855	0.03369	0.46296	0.3348
V265	0.03539	0.00737	0.16706	0.79019
V266	0.63781	0.35582	0.00628	9e-05
V267	0.00056	0.17143	0.31388	0.51413
V268	0.41112	0.02087	0.15027	0.41774
V269	0.00623	0.56688	0.38604	0.04084
V270	0.66717	0.02572	0.23865	0.06846
V271	0.82854	0.06032	0.02945	0.08169
V272	0.05073	0.85056	0.0115	0.08721
V273	0.0635	0.02824	0.05318	0.85508
V274	0.72529	0.00818	0.1759	0.09063
V275	0.00257	0.06449	0.92402	0.00891
V276	0.52655	0.33273	0.00982	0.1309
V277	0.03494	0.20566	0.17829	0.58112
V278	0.03542	0.05235	0.32673	0.5855
V279	0.7242	0.05148	0.10565	0.11867
V280	0.03117	0.0055	0.05649	0.90684
V281	0.57743	0.02733	0.1406	0.25465
V282	0.05333	0.07185	0.82497	0.04985
V283	0.21225	0.60011	0.05884	0.1288
V284	0.0253	0.91674	0.0529	0.00506
V285	0.07655	0.0489	0.87296	0.00159
V286	0.24897	0.56293	0.10498	0.08312
V287	0.09214	0.87869	0.01169	0.01749
V288	0.01388	0.26876	0.45818	0.25918
V289	0.29071	0.2085	0.43366	0.06713
V290	0.81464	0.17245	0.01278	0.00012
V291	0.49836	0.06812	0.4228	0.01072
V292	0.94014	0.0172	0	0.04266
V293	0.29574	0.02852	0.64323	0.03252
V294	0.09101	0.39035	0.0041	0.51454
V295	0.01573	0.17376	0.21314	0.59737
V296	0.17672	0.11277	0.63504	0.07546
V297	0.08245	0.00492	0.09261	0.82002
V298	0.30194	0.10019	0.58658	0.01129
V299	0.07017	0.2922	0.01872	0.61891
V300	0.00113	0.03695	0.26613	0.69579
V301	0.11808	0.1035	0.67571	0.10271
V302	0.64969	0.33969	0	0.01062
V303	0.00056	0.60636	0.36775	0.02533
V304	0.05227	0.03419	0.76839	0.14515
V305	0.12147	0.14611	0.49397	0.23844
V306	0.83101	0.08761	0.04484	0.03655
V307	0.0166	0.95831	0.01363	0.01146
V308	0.23801	0.21799	0.31452	0.22948
V309	0.3486	0.31428	0.02667	0.31045
V310	0.07732	0.31991	0.16097	0.44179
V311	0.51462	0.47597	0.00476	0.00465
V312	0.09299	0.75824	0.13132	0.01745
V313	0.00095	0.13089	0.03209	0.83607
V314	0.01419	0.49838	0.11527	0.37216
V315	0.11728	0.65321	0.03443	0.19507
V316	0.32019	0.12234	0.40554	0.15193
V317	0.08225	0.72993	0.04237	0.14545
V318	0.03322	0.58648	0.01457	0.36572
V319	0.05498	0.06955	0.84855	0.02692
V320	0.0735	0.13319	0.68048	0.11284
V321	0.62799	0.36567	0.00626	9e-05
V322	0.2001	0.32599	0.07495	0.39897
V323	0.05699	0.02366	0.11019	0.80916
V324	0.67385	0.24685	0.06289	0.01641
V325	0.30286	0.64308	0.04949	0.00457
V326	0.00034	0.5876	0.09239	0.31967
V327	0.01772	0.1462	0.12016	0.71592
V328	0.04257	0.03442	0.76915	0.15386
V329	0.17841	0.10228	0.18498	0.53433
V330	0.3994	0.01266	0.34782	0.24012
V331	0.36731	0.07942	0.0475	0.50576
V332	0.00923	0.04917	0.21324	0.72837
V333	0.43636	0.06671	0.39757	0.09936
V334	0.36232	0.01339	0.37283	0.25147
V335	0.02246	0.32928	0.53426	0.11401
V336	0.17021	0.72357	0.01739	0.08883
V337	0.2843	0.40121	0.2897	0.02479
V338	0.00099	0.98413	0.009	0.00588
V339	0.12225	0.03952	0.8313	0.00693
V340	0.05263	0.21382	0.55908	0.17447
V341	0.02605	0.03832	0.08555	0.85009
V342	0.24209	0.01997	0.62242	0.11552
V343	0.95853	0.03056	0.0056	0.00531
V344	0.67823	0.15032	0.17128	0.00017
V345	0.02065	0.07327	0.9044	0.00168
V346	0.23742	0.10054	0.30519	0.35686
V347	0.04498	0.01371	0.15275	0.78855
V348	0.05077	0.68264	0.13691	0.12968
V349	0.35617	0.15253	0.39771	0.09359
V350	0.02729	0.81141	0.16107	0.00022
V351	0.01617	0.03195	0.43503	0.51685
V352	0.04438	0.03701	0.85294	0.06568
V353	0.8948	0.0252	0.02991	0.05009
V354	0.04119	0.71367	0.21287	0.03227
V355	0.2786	0.06753	0.48482	0.16906
V356	0.03486	0.02556	0.12335	0.81623
V357	0.11087	0.32871	0.29515	0.26527
V358	0.5706	0.09423	0.04952	0.28566
V359	0.59851	0.04991	0.03357	0.31801
V360	0.54788	0.42491	0.01697	0.01023
V361	0.001	0.45579	0.53742	0.00579
V362	0.0011	0.97703	0.01615	0.00572
V363	0.16998	0.10508	0.50016	0.22477
V364	0.15154	0.06201	0.7033	0.08315
V365	0.2802	0.0259	0.02053	0.67337
V366	0.07162	0.71255	0.07793	0.1379
V367	0.59547	0.1311	0.00521	0.26823
V368	0.08176	0.76022	0.07644	0.08158
V369	0.01581	0.4036	0.57497	0.00562
V370	0.29796	0.26653	0.41041	0.0251
V371	0.1803	0.74001	0.02476	0.05493
V372	0.16684	0.04852	0.13464	0.65
V373	0.07489	0.12656	0.5078	0.29076
V374	0.77137	0.02598	0.20237	0.00027
V375	0.04133	0.039	0.16815	0.75152
V376	0.03394	0.03419	0.12123	0.81064
V377	0.8082	0.00587	0.01105	0.17488
V378	0.00761	0.03324	0.44519	0.51396
V379	0.35125	0.1918	0.0139	0.44306
V380	0.15203	0.06519	0.22003	0.56275
V381	0.75659	0.01568	0.08726	0.14047
V382	0.07937	0.05617	0.85751	0.00696
V383	0.84884	0.01117	0.04465	0.09534
V384	0.58339	0.0674	0.13099	0.21822
V385	0.87009	0.01915	0.06783	0.04294
V386	0.31212	0.01493	0.15649	0.51646
V387	0.60871	0.13429	0.18601	0.07099
V388	0.38589	0.32697	0.1461	0.14104
V389	0.41492	0.52102	0.00997	0.05409
V390	0.29246	0.25097	0.45158	0.00499
V391	0.43741	0.09754	0.02107	0.44399
V392	0.44298	0.2098	0.16723	0.17999
V393	0.28474	0.21696	0.36377	0.13453
V394	0.09117	0.2279	0.12153	0.5594
V395	0.22177	0.39704	0.20587	0.17532
V396	0.00839	0.96673	0.00681	0.01806
V397	0.79511	0.08069	0.09445	0.02975
V398	0.46746	0.12494	0.09759	0.31001
V399	0.18937	0.57113	0.14611	0.09339
V400	0.00042	0.60954	0.06392	0.32611
V401	0.03247	0.14964	0.75089	0.067
V402	0.78694	0.17908	0.03388	1e-04
V403	0.02657	0.02917	0.0972	0.84706
V404	0.08439	0.18427	0.646	0.08534
V405	0.22591	0.03029	0.18324	0.56055
V406	0.65727	0.24133	0.01583	0.08557
V407	0.00099	0.98413	0.009	0.00588
V408	0.08662	0.23386	0.42709	0.25243
V409	0.00157	0.04094	0.05651	0.90098
V410	0.08168	0.87472	0.0262	0.01739
V411	0.46306	0.01198	0.00422	0.52073
V412	0.15661	0.06943	0.53043	0.24354
V413	0.05225	0.50113	0.18726	0.25936
V414	0.03156	0.51806	0.33696	0.11343
V415	0.45887	0.0281	0.23985	0.27318
V416	0.01581	0.10584	0.87685	0.0015
V417	0.37425	0.61613	0.00488	0.00475
V418	0.07069	0.09753	0.16013	0.67164
V419	0.02778	0.00662	0.06515	0.90045
V420	0.00047	0.90963	0.01238	0.07752
V421	0.15112	0.04464	0.70388	0.10036
V422	0.0517	0.0733	0.02154	0.85346
V423	0.07677	0.04345	0.85977	0.02
V424	0.00091	0.05319	0.65439	0.29152
V425	0.05222	0.2271	0.62529	0.09538
V426	0.08469	0.05313	0.80454	0.05764
V427	0.06407	0.40432	0.2024	0.32922
V428	0.08153	0.79652	0.04969	0.07227
V429	0.02483	0.00688	0.0737	0.89459
V430	0.7655	0.15962	0.0155	0.05938
V431	0.17987	0.02676	0.48221	0.31116
V432	0.10991	0.09235	0.05847	0.73926
V433	0.05219	0.76086	0.00128	0.18567
V434	0.35466	0.07001	0.05682	0.51851
V435	0.52971	0.01365	0.12417	0.33247
V436	0.3983	0.01418	0.12145	0.46607
V437	0.23705	0.23263	0.00885	0.52147
V438	0.63408	0.14937	0.03154	0.18501
V439	0.03708	0.1128	0.01996	0.83016
V440	0.50615	0.03524	0.03636	0.42226
V441	0.06293	0.11955	0.63614	0.18138
V442	0.32462	0.34249	0.13933	0.19357
V443	0.76334	0.01027	0.08698	0.13941
V444	0.02065	0.07327	0.9044	0.00168
V445	0.61789	0.02545	0.33307	0.02359
V446	0.03087	0.85617	0.04974	0.06322
V447	0.6522	0.08653	0.17399	0.08729
V448	0.01765	0.06409	0.22009	0.69818
V449	0.57539	0.04027	0.29709	0.08726
V450	0.13869	0.84624	0.01505	2e-05
V451	0.92629	0.05674	0	0.01697
V452	0.03893	0.0167	0.09811	0.84625
V453	0.82523	0.07014	0.06072	0.0439
V454	0.00074	0.94306	0.04485	0.01135
V455	0.61114	0.03496	0.30061	0.05329
V456	0.33212	0.11249	0.40404	0.15135
V457	0.00135	0.0613	0.03828	0.89907
V458	0.274	0.23005	0.00836	0.4876
V459	0.01371	0.82037	0.0855	0.08043
V460	0.94581	0.01851	0.02507	0.01061
V461	0.06751	0.04236	0.02341	0.86672
V462	0.359	0.24681	0.00228	0.39191
V463	0.25384	0.48628	0.15655	0.10333
V464	0.52777	0.09612	0.00644	0.36967
V465	0.40861	0.43214	0.02432	0.13494
V466	0.60325	0.18042	0.00469	0.21164
V467	0.31291	0.58111	0.07445	0.03153
V468	0.50625	0.40077	0.04682	0.04616
V469	0.01486	0.17024	0.31456	0.50034
V470	0.57052	0.11459	0.17996	0.13492
V471	0.27823	0.10236	0.04157	0.57784
V472	0.3302	0.33615	0.00179	0.33186
V473	0.09501	0.55527	0.33188	0.01784
V474	0.12445	0.00493	0.12383	0.74678
V475	0.18517	0.41008	0.08259	0.32216
V476	0.17198	0.01903	0.06925	0.73974
V477	0.61754	0.03663	0.20612	0.13971
V478	0.12925	0.6128	0.00622	0.25173
V479	0.01494	0.08836	0.82156	0.07514
V480	0.07938	0.32299	0.0512	0.54643
V481	0.14098	0.04127	0.80504	0.01271
V482	0.71024	0.15424	0.10526	0.03027
V483	0.13095	0.10715	0.08409	0.67781
V484	0.02586	0.08197	0.04147	0.8507
V485	0.11394	0.76014	0.01118	0.11474
V486	0.2787	0.26211	0.13352	0.32567
V487	0.07577	0.04715	0.10313	0.77396
V488	0.00327	0.03774	0.86906	0.08992
V489	0.20967	0.10489	0.67377	0.01168
V490	0.35128	0.31515	0.07023	0.26334
V491	0.44524	0.46894	0.03136	0.05445
V492	0.02441	0.84807	0.12258	0.00494
V493	0.05464	0.00495	0.01476	0.92564
V494	0.19219	0.14779	0.5462	0.11382
V495	0.2186	0.63334	0.13083	0.01723
V496	0.26652	0.69496	0	0.03852
V497	0.01598	0.04782	0.92748	0.00872
