Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V99	0.57816	0.00212	0.07707	0.0065	0.03992	0	0.08747	0.00317	0.19139	0.01419
V100	0.20254	0.01545	0.09876	0.19832	0.05443	0.27114	0.04128	0.00014	0.09276	0.02518
V101	0	0	0.01721	0.00334	0	0.06064	0.15429	0.02225	0.00733	0.73494
V102	0.04559	0.2375	0.01893	0.01142	0.10242	0.28967	0.15928	0.08895	0.0143	0.03195
V103	0.09537	0.01719	0.07985	0.02058	0.06428	0.00305	0.02593	0.00296	0.66216	0.02862
V104	0.05242	0.01582	0.73976	0.07864	0.03666	0	0.01828	0	0.03865	0.01977
V105	0.3629	0	0.12228	0.02122	0.02855	0.1343	0.03822	0.27615	0.01636	0
V106	0.01544	0.65847	0.19398	0.02924	0.01767	0.02476	0.01529	0	0.01804	0.02711
V107	0.2743	0.23549	0.05072	0.01509	0.23482	0.01719	0.02768	0.02374	0.10956	0.0114
V108	4e-04	0	0.05246	0.13724	0.00984	0.33702	0.03528	0.01657	0.00927	0.40192
V109	0	0.02846	0.02988	0.03085	0.05233	0.78492	0.06274	0	0.01082	0
V110	0	0.18576	0.03066	0.0101	0.64912	0.00411	0.0265	0.04986	0.01039	0.03351
V111	0.00012	0.01521	0.04682	0.02559	0.15243	0	0.7132	0	0.01365	0.03297
V112	0.00039	0	0.0386	0.01298	0.05236	0	0.56827	0	0.05185	0.27553
V113	0.02117	0	0.05871	0.00903	0.04418	0.05392	0.04355	0.01696	0.52339	0.22909
V114	0.02648	0.01848	0.08879	0.0147	0.06925	0.00352	0.02691	0.00301	0.71825	0.03061
V115	0	0.8423	0.02084	0.01524	0.01883	0.00734	0.03472	0	0.03352	0.02721
V116	0.46336	0.08233	0.05114	0.00711	0.02349	0.0165	0.04559	0.29801	0.01247	0
V117	0.01386	0	0.05191	0.02088	0.08485	0	0.7932	0	0.01685	0.01845
V118	0.02143	0	0.03025	0.02326	0.04484	0.80533	0.06397	0.00692	0.004	0
V119	0.00975	0.02989	0.15972	0.48399	0.04833	0.15879	0.04217	0.00233	0.06372	0.0013
V120	0.6108	0.00337	0.2325	0.0215	0.02375	0.06992	0.02277	0	0.00478	0.0106
V121	0.04689	0.09893	0.24947	0.03808	0.05817	0.10159	0.30547	0.00648	0.01473	0.08019
V122	0.01278	0.02697	0.16588	0.02231	0.07015	0.0541	0.15573	0	0.46096	0.03113
V123	0.01818	0.08513	0.0197	0.0177	0.36809	0.01565	0.04465	0.37798	0.04622	0.0067
V124	0.68379	0.04225	0.05498	0.00453	0.01728	0.00545	0.03325	0.15136	0.00711	0
V125	0.01104	0.18095	0.10543	0.04169	0.04126	0.13538	0.06022	0.39707	0.02696	0
V126	0	0.22879	0.03243	0.01071	0.60676	0.00412	0.02507	0.03569	0.03662	0.01981
V127	0.0285	0.01627	0.52102	0.05583	0.04761	0	0.21151	0	0.0871	0.03216
V128	0.01648	0.21911	0.38304	0.04306	0.24332	0.04502	0.01834	0	0.01134	0.02029
