Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V195	0	0	0.85064	0.05735	0.09201	0
V196	0	0	0	0.99208	0.00792	0
V197	0.22029	0	0	0	0.77971	0
V198	0.0491	0.48808	0.00308	0.19371	0.26603	0
V199	0	0.23333	0.07934	0.09049	0.59684	0
V200	0.01462	0.01381	0.72747	0.21314	0	0.03096
V201	0	0	0	1	0	0
V202	0	0.07002	0.57899	0	0.11679	0.2342
V203	0.6374	0.02786	0	0.33475	0	0
V204	0	0.05083	0	0.16417	0	0.785
V205	0	0.00749	0.99251	0	0	0
V206	0	0.02539	0.10412	0.87049	0	0
V207	0.49195	0.20967	0	0.29274	0	0.00564
V208	0.46595	0.09103	0.44302	0	0	0
V209	0.23304	0.58772	0	0	0	0.17925
V210	0.07265	0.01374	0.91361	0	0	0
V211	0.6822	0.03877	0.06431	0	0.13547	0.07924
V212	0	0.27727	0.24373	0.479	0	0
V213	0	0.07189	0.29886	0	0.62925	0
V214	0.94482	0.02485	0	0.03033	0	0
V215	0	0.76234	0	0	0	0.23766
V216	0.04928	0.56773	0.38299	0	0	0
V217	0.14085	0.00445	0	0.07379	0.32937	0.45153
V218	0	0.32654	0	0.67346	0	0
V219	0.97946	0.00329	0	0	0	0.01726
V220	0.02372	0.01839	0	0.95789	0	0
V221	0	0.90628	0.00436	0.08936	0	0
V222	0.00294	0.33735	0	0.18387	0.47584	0
V223	0	0.32835	0.32432	0	0	0.34733
V224	0	0	0.44188	0	0.55812	0
V225	0	0.0102	0	0	0	0.9898
V226	0.31649	0.0625	0.22619	0.32267	0.07216	0
V227	0.77208	0.0029	0	0.22502	0	0
V228	0.09868	0.26988	0.62992	0.00152	0	0
V229	0.1707	0.01515	0.44578	0.26637	0.102	0
V230	0	0.14044	0.85956	0	0	0
V231	0	0.01628	0	0.98372	0	0
V232	0.38463	0.01176	0	0.30957	0	0.29404
V233	0.95028	0.01467	0	0.03505	0	0
V234	0.5324	0	0	0	0.4676	0
V235	0.01091	0.01026	0	0.97883	0	0
V236	0	0	0.1974	0	0.63228	0.17031
V237	0	0	0.94284	0.05716	0	0
V238	0.76393	0.00736	0	0.07071	0	0.158
V239	0.66688	0.03928	0.07434	0.13127	0.08824	0
V240	0	0.2167	0	0.10268	0.68062	0
V241	0.6503	0.16374	0	0.18597	0	0
V242	0.25249	0.07084	0	0.21338	0.02203	0.44125
V243	0	0.40147	0.59853	0	0	0
V244	0.05601	0.01561	0	0	0.67277	0.25562
V245	0.84964	0.00199	0	0	0	0.14837
V246	0	0.03133	0.25211	0.42268	0.29388	0
V247	0.17191	0.09788	0	0.19073	0	0.53949
V248	0.27145	0.03033	0	0.23974	0.45848	0
V249	0.25057	0.18592	0.48629	0.0268	0	0.05043
V250	0	0	0	1	0	0
V251	0	0.65136	0.15255	0.19609	0	0
V252	0	0	0.01561	0.98081	0.00358	0
V253	0	0.04274	0	0.52339	0.07979	0.35407
V254	0	0.30375	0.0515	0.24057	0.40418	0
V255	0.45535	0.37096	0.04451	0.06325	0	0.06593
V256	0	1	0	0	0	0
V257	0	0.51441	0	0	0.48369	0.0019
V258	0	0.22541	0.12854	0.64605	0	0
V259	0	0.59396	0.40604	0	0	0
V260	0.08115	0.03954	0	0	0.81	0.06931
V261	0.63125	0.02839	0	0.00535	0.22621	0.1088
V262	0.05655	0.01394	0.92342	0	0.00609	0
V263	0	0.04621	0.77588	0.17791	0	0
V264	0.75594	0.03456	0.07069	0.01021	0.01342	0.11518
V265	0.00019	0	0	0.00383	0.99598	0
V266	0	0.04309	0	0	0	0.95691
V267	0.09391	0.82595	0	0.08014	0	0
V268	0.99878	0.00122	0	0	0	0
V269	0	0.03306	0.11913	0.84781	0	0
V270	0.31407	0.59025	0	0.00083	0.09485	0
V271	0	0.11166	0.28381	0	0	0.60453
V272	0	0	0	0.06702	0.91864	0.01434
V273	0.03514	0.00023	0.0085	0.07505	0.88108	0
V274	0	0	0.1619	0	0	0.8381
V275	0.81215	0.18785	0	0	0	0
V276	0	0.33547	0.05813	0.06523	0	0.54117
V277	0.48955	0.02829	0	0	0.09319	0.38897
V278	0.11039	0.13949	0.07558	0.29031	0.38423	0
V279	0.00906	0.06898	0.23979	0	0	0.68217
V280	0.04219	0.00736	0	0.95045	0	0
V281	0	0.98558	0	0.01442	0	0
V282	0	0.02685	0	0.041	0.93216	0
V283	0	0.45401	0	0	0.54599	0
V284	0	0.10802	0.41446	0.41352	0	0.064
V285	0	0	0	1	0	0
V286	0.77165	0.03452	0.02	0.17383	0	0
V287	0	0.00444	0	0.07312	0.92244	0
V288	0	0.34092	0	0	0.05703	0.60205
V289	0	0.07126	0.87955	0.04919	0	0
V290	0	0	0.2373	0.7627	0	0
V291	0	0.0073	0	0.9927	0	0
V292	0.09224	0.10286	0	0.7144	0.09049	0
V293	0	0.02801	0	0	0.97199	0
V294	0.63543	0.03392	0	0	0.30611	0.02454
V295	0	0.00453	0	0	0	0.99547
V296	0	0.46613	0.07429	0.39584	0	0.06374
V297	0	0.02788	0	0	0	0.97212
V298	0	0.84445	0.15555	0	0	0
V299	0.11315	0.07309	0.81376	0	0	0
V300	0.8806	0.11258	0	0	0	0.00682
V301	0.56004	0.43996	0	0	0	0
V302	0	0.29392	0.03289	0.6732	0	0
V303	0	0.85592	0.04766	0	0.09642	0
V304	0	0	0	0	1	0
V305	0	0	0.20822	0.55377	0.0444	0.19362
V306	0.30884	0.1063	0	0	0	0.58486
V307	0.18534	0.00648	0	0	0.80501	0.00317
V308	0	0	0	1	0	0
V309	0	0.55781	0	0.44219	0	0
V310	0	0.44207	0.33001	0	0	0.22792
V311	0.45983	0	0	0	0	0.54017
V312	0.09645	0.01045	0	0.40967	0.48343	0
V313	0.13829	0.01838	0	0.00012	0	0.84322
V314	0.22717	0.01364	0	0.75919	0	0
V315	0.09704	0.90296	0	0	0	0
V316	0.05583	0.02016	0	0.04864	0	0.87537
V317	0	0	0	0.87915	0	0.12085
V318	0	0	0	1	0	0
V319	0.41415	0.19824	0.26872	0.11889	0	0
V320	0.26825	0.22275	0.41657	0.07894	0	0.01348
V321	0	0.68548	0	0.31452	0	0
V322	0	0	0.05503	0	0.84637	0.0986
V323	0	0.29261	0	0.47384	0.23355	0
V324	0	0.0454	0	0.26153	0.49459	0.19848
V325	0	1	0	0	0	0
V326	0.10532	0.89468	0	0	0	0
V327	0.0549	0	0.9451	0	0	0
V328	0.16322	0.23171	0.20189	0.14957	0.25362	0
V329	0	0	0.64675	0	0.35325	0
V330	0	0	1	0	0	0
V331	0.85646	0.08003	0	0.06351	0	0
V332	0	0.06421	0.14521	0	0.441	0.34958
V333	0	0.01002	0.572	0.38199	0.03599	0
V334	0	0.41986	0.51546	0.06467	0	0
V335	0.10039	0.01462	0.87047	0	0	0.01451
V336	0.34029	0.65971	0	0	0	0
V337	0.01673	0.19951	0.01139	0	0.77238	0
V338	0.86683	0.00701	0	0	0.12616	0
V339	0.0402	0.10988	0.51296	0.28296	0	0.054
V340	0.71738	0.26597	0	0.01665	0	0
V341	0.26063	0.05096	0.0018	0.68662	0	0
V342	0	0.00241	0	0.8518	0	0.14579
V343	0	0.18834	0.1071	0	0	0.70456
V344	0	0.78796	0	0.00518	0.1486	0.05825
V345	0	0	0	0	1	0
V346	0.13049	0.01356	0	0.50176	0.35418	0
V347	0.56614	0.13715	0	0.06696	0.22975	0
V348	0.07753	0.13774	0.78472	0	0	0
V349	0.85243	0.0729	0	0.07467	0	0
V350	0.4992	0.04973	0.10604	0.24941	0	0.09562
V351	0.05971	0.09301	0.00098	0	0	0.8463
V352	0	0.36919	0	0	0.30659	0.32422
V353	0	0.13396	0.86604	0	0	0
V354	0.07285	0.05748	0.26822	0	0.32717	0.27428
V355	0	0.01353	0.98647	0	0	0
V356	0.61595	0.13076	0	0.25328	0	0
V357	0.35459	0.01062	0.45089	0	0.1839	0
V358	0	0	0.02345	0	0	0.97655
V359	0.08973	0.10568	0	0.77921	0.02538	0
V360	0.58117	0.00421	0	0.21089	0.20373	0
V361	0	1	0	0	0	0
V362	0	0.58619	0	0.41381	0	0
V363	0.89247	0.06502	0	0	0.0425	0
V364	0	0.21902	0	0.00115	0.0407	0.73913
V365	0.4311	0.42824	0	0.14066	0	0
V366	0.03666	0.29304	0.63093	0.03177	0.00759	0
V367	0	0	0	0.69583	0.30417	0
V368	0	0.15362	0.05231	0	0.0941	0.69998
V369	0	0.02359	0	0.04183	0.91837	0.01622
V370	0	0.08069	0.81489	0.10442	0	0
V371	0	0.27538	0	0.64071	0	0.08392
V372	0	0.85823	0	0.016	0.12577	0
V373	0.93175	0.00933	0	0	0	0.05891
V374	0.17171	0.01497	0.26569	0.54764	0	0
V375	0.50811	0.01531	0.18803	0.0194	0.26915	0
V376	0	0.02915	0	0.12883	0	0.84202
V377	0.02455	0.00572	0.47052	0	0.4992	0
V378	0	0.06613	0.20465	0	0	0.72921
V379	0.4399	0.0095	0.09754	0	0	0.45306
V380	0	0.02143	0	0	0.97857	0
V381	0.37672	0.03213	0.32426	0.26689	0	0
V382	0	0.00867	0	0.20745	0.78388	0
V383	0.1899	0.044	0.46568	0.30042	0	0
V384	0.01263	0.02471	0.96266	0	0	0
V385	0	0	0	0	0	1
V386	0.72052	0.03316	0.24633	0	0	0
V387	0.21838	0.01572	0.01319	0.75272	0	0
V388	0.87336	0.03577	0.09087	0	0	0
V389	0.19096	0.08827	0	0	0	0.72076
V390	0	0.03471	0	0.9239	0	0.0414
V391	0	0.00322	0	0.71708	0.27969	0
V392	0	0.01776	0.60781	0.05046	0	0.32397
V393	0	0.17715	0.53495	0.02138	0.09031	0.1762
V394	0	0	0.00587	0.97352	0.02061	0
V395	0	0.02893	0.97107	0	0	0
V396	0.55667	0.06374	0	0.37959	0	0
V397	0	0.18429	0	0	0	0.81571
V398	0	0.81798	0	0.01405	0.16797	0
V399	0	0	1	0	0	0
V400	0	0	0	0.47506	0	0.52494
V401	0.1476	0.02176	0.78808	0	0.04256	0
V402	0	0.00891	0	0.99109	0	0
V403	0	0	0	0	0.40089	0.59911
V404	0	8e-05	0.99992	0	0	0
V405	0.42525	0.39914	0.06429	0.04318	0.06815	0
V406	0.01867	0.08362	0.21751	0.08132	0.1597	0.43918
V407	0	0.00694	0.87648	0	0	0.11658
