B_cells	NK_cells	T_cells_CD4.	Monocytes
V275	0.01445	0.07217	0.88949	0.02389
V276	0.53244	0.31296	0.03143	0.12316
V277	0.08208	0.22447	0.19674	0.49671
V278	0.0906	0.06988	0.33	0.50951
V279	0.68689	0.04708	0.14403	0.12201
V280	0.1148	0	0.09827	0.78693
V281	0.57228	0.02036	0.17108	0.23627
V282	0.09473	0.09691	0.76711	0.04125
V283	0.25424	0.5448	0.09413	0.10683
V284	0.07658	0.81178	0.11164	0
V285	0.10671	0.0324	0.86089	0
V286	0.28382	0.50754	0.14548	0.06316
V287	0.14895	0.79157	0.05396	0.00552
V288	0.04593	0.29002	0.45241	0.21164
V289	0.30812	0.21878	0.4259	0.04721
V290	0.81386	0.13152	0.05463	0
V291	0.49308	0.07343	0.43349	0
V292	0.90142	0.01012	0.00983	0.07864
V293	0.32034	0.0325	0.6255	0.02166
V294	0.14709	0.38376	0	0.46915
V295	0.05967	0.19491	0.22927	0.51616
V296	0.2104	0.13572	0.59574	0.05814
V297	0.16511	0	0.11644	0.71844
V298	0.31859	0.11185	0.56955	0
V299	0.13195	0.29166	0.0215	0.55488
V300	0.02598	0.04294	0.28184	0.64923
V301	0.15784	0.13077	0.62951	0.08188
V302	0.66914	0.3059	0.01463	0.01033
V303	0.01984	0.56889	0.41069	0.00057
V304	0.09486	0.05208	0.73147	0.12159
V305	0.15969	0.17252	0.47277	0.19502
V306	0.77921	0.07995	0.08729	0.05354
V307	0.07353	0.85283	0.06447	0.00916
V308	0.26439	0.23069	0.3167	0.18821
V309	0.38017	0.30779	0.03979	0.27225
V310	0.12426	0.32501	0.18178	0.36895
V311	0.53734	0.4215	0.04116	0
V312	0.1433	0.671	0.18571	0
V313	0.02905	0.13373	0.05144	0.78578
V314	0.05294	0.48429	0.14307	0.31969
V315	0.16843	0.59896	0.06481	0.16781
V316	0.33551	0.13898	0.39798	0.12752
V317	0.13429	0.66243	0.08274	0.12053
V318	0.08568	0.5555	0.03238	0.32644
V319	0.09546	0.09121	0.79111	0.02222
V320	0.11381	0.16201	0.63558	0.0886
V321	0.64729	0.31061	0.0421	0
V322	0.24532	0.32266	0.09277	0.33925
V323	0.13647	0.02045	0.13352	0.70956
V324	0.65612	0.22635	0.10646	0.01107
V325	0.33483	0.57142	0.09376	0
V326	0.01465	0.57114	0.13024	0.28397
V327	0.06887	0.16075	0.141	0.62938
V328	0.08488	0.05288	0.73235	0.12989
V329	0.22979	0.11875	0.2007	0.45077
V330	0.42046	0.00743	0.35487	0.21724
V331	0.40444	0.08442	0.06553	0.44561
V332	0.05675	0.06037	0.22613	0.65674
V333	0.43674	0.07753	0.39816	0.08757
V334	0.38868	0.00924	0.37621	0.22586
V335	0.05684	0.33512	0.52204	0.086
V336	0.22105	0.65455	0.05253	0.07187
V337	0.30978	0.3728	0.31742	0
V338	0.023	0.89771	0.06609	0.0132
V339	0.15876	0.02156	0.81968	0
V340	0.0891	0.23773	0.53321	0.13996
V341	0.09857	0.04342	0.11177	0.74623
V342	0.27629	0.00941	0.61237	0.10193
V343	0.88927	0.02307	0.05013	0.03752
V344	0.66199	0.13056	0.20745	0
V345	0.06571	0.06702	0.86727	0
V346	0.27298	0.11986	0.30727	0.29989
V347	0.11961	0.00658	0.17183	0.70199
V348	0.09529	0.61782	0.18337	0.10353
V349	0.36316	0.16626	0.39438	0.0762
V350	0.06496	0.72398	0.21105	0
V351	0.06402	0.04646	0.43013	0.4594
V352	0.08535	0.04786	0.81124	0.05555
V353	0.83515	0.01312	0.07506	0.07667
V354	0.08744	0.63924	0.26344	0.00988
V355	0.30249	0.08456	0.46786	0.1451
V356	0.10965	0.02382	0.14373	0.72279
V357	0.14906	0.33045	0.30551	0.21498
V358	0.56895	0.09637	0.07253	0.26215
V359	0.60307	0.04501	0.05545	0.29646
V360	0.5601	0.37908	0.05751	0.00331
V361	0.00968	0.43213	0.5582	0
V362	0.01408	0.89687	0.07918	0.00987
V363	0.20486	0.1298	0.47834	0.187
V364	0.18884	0.08363	0.66048	0.06706
V365	0.34158	0.01722	0.03023	0.61096
V366	0.1213	0.64343	0.12318	0.11209
V367	0.60142	0.13315	0.01165	0.25378
V368	0.13359	0.67786	0.12659	0.06196
V369	0.05023	0.37743	0.57234	0
V370	0.31837	0.26428	0.41736	0
V371	0.23001	0.6648	0.06512	0.04006
V372	0.23096	0.05479	0.15539	0.55886
V373	0.11802	0.15493	0.48707	0.23998
V374	0.75502	0.00802	0.23696	0
V375	0.10934	0.0455	0.1837	0.66146
V376	0.10697	0.03785	0.14063	0.71455
V377	0.78741	0	0.03459	0.178
V378	0.04833	0.04805	0.44256	0.46106
V379	0.3913	0.19704	0.01848	0.39318
V380	0.20889	0.07917	0.23251	0.47943
V381	0.72766	0	0.12616	0.14617
V382	0.11825	0.06416	0.8176	0
V383	0.80611	0	0.08359	0.11031
V384	0.56808	0.06984	0.16065	0.20142
V385	0.81341	0.00317	0.11614	0.06727
V386	0.35863	0.0027	0.18177	0.4569
V387	0.57675	0.13915	0.21737	0.06674
V388	0.39471	0.31266	0.17318	0.11945
V389	0.44289	0.47477	0.04067	0.04167
V390	0.30709	0.2412	0.4517	0
V391	0.46969	0.10158	0.02936	0.39937
V392	0.43935	0.21315	0.19151	0.15598
V393	0.3026	0.2267	0.36259	0.10812
V394	0.14738	0.23761	0.141	0.47401
V395	0.25301	0.37553	0.22926	0.1422
V396	0.06065	0.86977	0.05171	0.01787
V397	0.74561	0.07427	0.1392	0.04092
V398	0.4743	0.13195	0.12256	0.27119
V399	0.22797	0.51448	0.18704	0.07051
V400	0.02094	0.58768	0.0998	0.29158
V401	0.06587	0.17759	0.70534	0.0512
V402	0.7807	0.14311	0.0762	0
V403	0.09919	0.02943	0.12327	0.74812
V404	0.12358	0.20819	0.60473	0.06351
V405	0.28062	0.02922	0.20364	0.48652
V406	0.64228	0.22901	0.04207	0.08664
V407	0.023	0.89771	0.06609	0.0132
V408	0.12506	0.25247	0.418	0.20447
V409	0.03734	0.03933	0.10063	0.8227
V410	0.13781	0.78065	0.07709	0.00445
V411	0.50605	2e-05	0	0.49393
V412	0.19508	0.09081	0.50935	0.20476
V413	0.09505	0.47628	0.21516	0.21351
V414	0.06926	0.48698	0.35873	0.08503
V415	0.46883	0.02836	0.25874	0.24407
V416	0.04922	0.10488	0.84589	0
V417	0.40785	0.54983	0.04232	0
V418	0.13395	0.11482	0.17716	0.57406
V419	0.10579	0	0.10678	0.78744
V420	0.00992	0.85851	0.06437	0.0672
V421	0.18952	0.06262	0.66456	0.08329
V422	0.13915	0.08706	0.02078	0.75301
V423	0.11723	0.0496	0.81576	0.01741
V424	0.00989	0.08012	0.64968	0.26031
V425	0.08862	0.24827	0.59186	0.07125
V426	0.12645	0.07444	0.75164	0.04747
V427	0.10742	0.39661	0.22448	0.27148
V428	0.13496	0.7122	0.09795	0.0549
V429	0.0993	0	0.1138	0.7869
V430	0.73443	0.15054	0.04477	0.07026
V431	0.22098	0.0365	0.47171	0.2708
V432	0.18312	0.10276	0.07593	0.63819
V433	0.10512	0.72176	0.00695	0.16617
V434	0.39368	0.07536	0.07611	0.45485
V435	0.54055	0	0.15303	0.30642
V436	0.433	0	0.15017	0.41683
V437	0.29406	0.23624	0.00811	0.46159
V438	0.61853	0.15061	0.05401	0.17685
V439	0.11352	0.12177	0.01881	0.7459
V440	0.53001	0.02782	0.05587	0.3863
V441	0.10322	0.15028	0.59805	0.14845
V442	0.34526	0.32958	0.16285	0.16231
V443	0.73361	0	0.12135	0.14504
