Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V292	0.13632	0.00064	0.41771	0.05462	0.39071
V293	0.00528	0.10594	0.79304	0.03459	0.06116
V294	0.02654	0	0	0.09556	0.87789
V295	0.034	0.00473	0.33047	0.49842	0.13237
V296	0.85716	0.08693	0	0	0.05591
V297	0.02344	0.00217	0.7757	0.11437	0.08432
V298	0.31674	0	0	0.5281	0.15515
V299	0.28772	0	0.0047	0.64819	0.05939
V300	0.96707	0	0	0	0.03293
V301	0.95425	0	0.00147	0.00784	0.03644
V302	0.02896	0	7e-05	0.43193	0.53904
V303	0.12995	0.14715	0.21562	0.18551	0.32178
V304	0.19583	0.0168	0.73324	0	0.05413
V305	0.23143	0.28802	0.09351	0.11065	0.27639
V306	0.32521	0.60757	0.00701	0.00512	0.05509
V307	0.25712	0	0.26606	0.43044	0.04637
V308	0.24775	0	0.6561	0.05551	0.04065
V309	0.68161	0.03005	0.05068	0.10534	0.13232
V310	0.0521	0	0.00167	0.1613	0.78493
V311	0.03974	0	0.03735	0.83336	0.08955
V312	0.1047	0.2236	0.25003	0.0254	0.39626
V313	0.08683	0.27624	0.01524	0.31258	0.30911
V314	0.105	0	0	0.39884	0.49616
V315	0.9398	0	0.00813	0	0.05207
V316	0.1245	0.5167	0.23944	0.02318	0.09618
V317	0.4003	0.05386	0.49865	0	0.04719
V318	0.9022	0	0	0	0.0978
V319	0.10724	0.04799	0.80482	0	0.03995
V320	0.10402	0	0.00022	0.8107	0.08506
V321	0.15294	0.30262	0.30218	0.17909	0.06318
V322	0.01909	0.2394	0.5633	0.04336	0.13484
V323	0.26771	0.18277	0.43289	0.00946	0.10717
V324	0.06765	0.02105	0.04086	0.7869	0.08354
V325	0.65808	0.07176	0.0857	0.09878	0.08568
V326	0.06727	0	0.05125	0.18283	0.69865
V327	0.34013	0.4492	0.10879	0.01174	0.09015
V328	0.07089	0.26498	0.1628	0.43101	0.07032
V329	0.02233	0.02993	0.39009	0.4898	0.06784
V330	0.08286	0.01654	0.81841	0	0.08219
V331	0.15729	0	0.08797	0.13209	0.62265
V332	0.48542	0.01932	0.44293	0	0.05232
V333	0.43709	0	0.30963	0.14407	0.10921
V334	0.05198	0.25817	0.54348	0.06813	0.07824
V335	0.74905	0.02071	0.08309	0.02231	0.12484
V336	0.17092	0.53021	0.2485	0	0.05037
V337	0.0262	0	0.00749	0.21275	0.75356
V338	0.74152	0	0.14839	0.00338	0.10671
V339	0.2189	0.49504	0.18008	0	0.10599
V340	0.05309	0.14175	0.11227	0.09668	0.59621
V341	0.03461	0.45264	0.41859	0.00094	0.09321
V342	0.31367	0.1182	0.44556	0.08856	0.03401
V343	0.70163	0	0.27704	0	0.02133
V344	0.11581	0.70356	0.04629	0.02199	0.11235
V345	0.2482	0.01903	0.00195	0.3006	0.43023
V346	0.05384	0.28479	0.31411	0.26894	0.07832
V347	0.10482	0.48652	0.02873	0.29226	0.08767
V348	0.03124	0.11677	0.44912	0.23139	0.17148
V349	0.0741	0.2765	0.51959	0.0081	0.12171
V350	0.13206	0.38682	0.08711	0.22254	0.17147
V351	0.19944	0.00203	0.44128	0.29898	0.05828
V352	0.11806	0.50094	0.3349	0	0.04609
V353	0.27357	0.30005	0.03986	0.05757	0.32895
V354	0.57681	0	0.40003	0	0.02316
V355	0.10666	0	0.33715	0.49433	0.06186
V356	0.09624	0.01503	0.81319	0.00625	0.0693
V357	0.0541	0.01874	0.52216	0.0446	0.3604
V358	0.05762	0.01253	0.03261	0.81032	0.08692
V359	0.08233	0.09214	0.00702	0.74345	0.07506
V360	0.73787	0.01238	0.09214	0.12827	0.02934
V361	0.34777	0.44423	0.09078	0	0.11722
