B_cells	NK_cells	T_cells_CD4.	Monocytes
V307	0.074	0.84077	0.08214	0.00309
V308	0.26057	0.22644	0.33744	0.17555
V309	0.36998	0.31346	0.05359	0.26296
V310	0.11964	0.32387	0.2017	0.35479
V311	0.52284	0.42547	0.05169	0
V312	0.13743	0.66036	0.20221	0
V313	0.02804	0.14975	0.071	0.75121
V314	0.04873	0.48018	0.16268	0.30841
V315	0.15971	0.59996	0.07985	0.16048
V316	0.33076	0.13373	0.42069	0.11482
V317	0.12809	0.65907	0.09887	0.11398
V318	0.08169	0.55281	0.04972	0.31578
V319	0.10784	0.08149	0.80015	0.01052
V320	0.12088	0.15239	0.64969	0.07704
V321	0.63263	0.31385	0.05352	0
V322	0.23763	0.32742	0.10609	0.32885
V323	0.14045	0.02312	0.16265	0.67377
V324	0.64784	0.23206	0.1201	0
V325	0.32259	0.57007	0.10734	0
V326	0.01243	0.56453	0.15029	0.27275
V327	0.06888	0.16672	0.16387	0.60053
V328	0.09562	0.04441	0.74401	0.11597
V329	0.22518	0.11853	0.22324	0.43305
V330	0.41354	0.00251	0.38003	0.20392
V331	0.39482	0.08864	0.0822	0.43434
V332	0.06246	0.06345	0.2525	0.62159
V333	0.43075	0.07062	0.42388	0.07474
V334	0.38253	0.00437	0.40102	0.21207
V335	0.06411	0.32445	0.53647	0.07498
V336	0.21244	0.65571	0.06584	0.06601
V337	0.30125	0.36501	0.33373	0
V338	0.01947	0.88634	0.08722	0.00697
V339	0.16592	0.00318	0.8309	0
V340	0.09432	0.22908	0.54928	0.12732
V341	0.10181	0.05038	0.1399	0.70791
V342	0.2773	0	0.63369	0.08901
V343	0.89055	0.02873	0.05684	0.02388
V344	0.64853	0.12813	0.22334	0
V345	0.07831	0.0556	0.86609	0
V346	0.26875	0.1171	0.32938	0.28477
V347	0.12423	0.00747	0.20208	0.66622
V348	0.09162	0.61109	0.20085	0.09643
V349	0.35776	0.16131	0.41694	0.064
V350	0.06481	0.70831	0.22688	0
V351	0.07126	0.04392	0.45001	0.43481
V352	0.09857	0.0367	0.82132	0.04342
V353	0.83308	0.01352	0.08916	0.06424
V354	0.08615	0.62967	0.28068	0.00349
V355	0.30024	0.07755	0.49034	0.13187
V356	0.11412	0.02649	0.17425	0.68513
V357	0.14818	0.32503	0.32458	0.2022
V358	0.55979	0.09857	0.08843	0.25321
V359	0.59318	0.04687	0.07214	0.28781
V360	0.54711	0.38369	0.0692	0
V361	0.01956	0.41386	0.56658	0
V362	0.01797	0.87864	0.10107	0.00231
V363	0.20565	0.12358	0.49792	0.17285
V364	0.19357	0.0746	0.6768	0.05503
V365	0.3354	0.02329	0.04873	0.59259
V366	0.11622	0.63864	0.13981	0.10533
V367	0.59221	0.13789	0.02401	0.24589
V368	0.12894	0.67187	0.14353	0.05566
V369	0.05831	0.36101	0.58067	0
V370	0.31068	0.25487	0.43445	0
V371	0.22166	0.66684	0.07773	0.03377
V372	0.22707	0.05742	0.17888	0.53663
V373	0.12237	0.14918	0.50394	0.22452
V374	0.74183	0.00086	0.25731	0
V375	0.11282	0.04777	0.2111	0.6283
V376	0.11081	0.04136	0.17017	0.67766
V377	0.7788	0	0.05314	0.16806
V378	0.05681	0.04569	0.46189	0.43562
V379	0.3807	0.20373	0.03235	0.38322
V380	0.20593	0.07909	0.2558	0.45917
V381	0.72064	0	0.14417	0.1352
V382	0.12688	0.05114	0.82198	0
V383	0.80035	0	0.10058	0.09907
V384	0.55969	0.07001	0.17916	0.19113
V385	0.80953	0	0.1365	0.05397
V386	0.35108	0.00193	0.20537	0.44162
V387	0.5685	0.1388	0.23738	0.05532
V388	0.38696	0.31467	0.18844	0.10993
V389	0.43217	0.48093	0.05282	0.03408
V390	0.30068	0.2313	0.46802	0
V391	0.46003	0.10639	0.04252	0.39106
V392	0.43146	0.21519	0.20811	0.14524
V393	0.29813	0.22203	0.38334	0.0965
V394	0.14287	0.23994	0.16132	0.45587
V395	0.24776	0.37266	0.2478	0.13178
V396	0.05834	0.86076	0.06771	0.01319
V397	0.73945	0.07442	0.15863	0.02751
V398	0.46521	0.13566	0.13838	0.26076
V399	0.22229	0.51162	0.2036	0.06249
V400	0.01812	0.58043	0.1214	0.28005
V401	0.07704	0.16712	0.71612	0.03972
V402	0.76939	0.14544	0.08517	0
V403	0.10388	0.03368	0.15341	0.70903
V404	0.12965	0.19893	0.61912	0.05229
V405	0.27518	0.02853	0.22782	0.46847
V406	0.63443	0.23641	0.05197	0.07719
V407	0.01947	0.88634	0.08722	0.00697
V408	0.12721	0.24563	0.43626	0.1909
V409	0.04324	0.05043	0.1276	0.77873
V410	0.13548	0.77363	0.09088	0
V411	0.49954	0.01205	0	0.48841
V412	0.19641	0.08422	0.52905	0.19032
V413	0.09181	0.47204	0.23246	0.2037
V414	0.07158	0.47616	0.37659	0.07568
V415	0.46078	0.0243	0.28298	0.23194
V416	0.06165	0.09286	0.8455	0
V417	0.39424	0.55179	0.05396	0
V418	0.13336	0.11771	0.20073	0.5482
V419	0.11306	0	0.13756	0.74938
V420	0.01056	0.84417	0.08418	0.06109
V421	0.19433	0.05335	0.68125	0.07107
V422	0.13905	0.10148	0.03312	0.72634
