cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V187	0.94548	0.01938	0.02956	0.00559
V188	0.05755	0.2509	0.00523	0.68632
V189	0.83184	0.02329	0.01803	0.12684
V190	0.65031	0.0208	0.32372	0.00516
V191	0.18044	0.18579	0.6002	0.03357
V192	0.30843	0.47125	0.05465	0.16567
V193	0.61397	0.03049	0.24829	0.10725
V194	0.03524	0.93873	0.00736	0.01868
V195	0.01274	0.05135	0.92745	0.00847
V196	0.01489	0.11001	0.02143	0.85367
V197	0.42496	0.05045	0.0305	0.4941
V198	0.06018	0.49793	0.39131	0.05058
V199	0.16296	0.03317	0.19902	0.60484
V200	0.12646	0.58459	0.02097	0.26798
V201	0.09246	0.56529	0.20492	0.13733
V202	0.014	0.03036	0.80287	0.15277
V203	0.15898	0.41753	0.40554	0.01795
V204	0.00741	0.55862	0.00913	0.42484
V205	0.01758	0.06541	0.90306	0.01394
V206	0.04467	0.09614	0.85253	0.00666
V207	0.13154	0.19286	0.06234	0.61326
V208	0.24274	0.06339	0.68211	0.01176
V209	0.30854	0.47168	0.07383	0.14595
V210	0.08076	0.78583	0.09231	0.04111
V211	0.43243	0.02296	0.03968	0.50493
V212	0.503	0.03919	0.4402	0.0176
V213	0.65574	0.0293	0.11602	0.19894
V214	0.34015	0.14548	0.18325	0.33112
V215	0.29757	0.09773	0.02436	0.58034
V216	0.04816	0.02895	0.04043	0.88246
V217	0.03988	0.49458	0.25368	0.21186
V218	0.09363	0.44957	0.1871	0.2697
V219	0.10315	0.66141	0.01328	0.22217
V220	0.00749	0.85016	0.00697	0.13538
V221	0.82294	0.01329	0.00537	0.1584
V222	0.31852	0.11651	0.40007	0.1649
V223	0.00613	0.12359	0.80303	0.06725
V224	0.95302	0.01863	0.02787	0.00047
V225	0.05408	0.88414	0.05685	0.00493
V226	0.30037	0.07709	0.6111	0.01144
V227	0.7828	0.01154	0.19468	0.01097
V228	0.795	0.05929	0.06699	0.07872
V229	0.01826	0.0431	0.91745	0.02119
V230	0.01954	0.06461	0.03825	0.8776
V231	0.0145	0.28064	0.12488	0.57998
V232	0.04235	0.67884	0.00199	0.27682
V233	0.58351	0.07563	0.21206	0.1288
V234	0.03484	0.92306	0.03065	0.01145
V235	0.36955	0.0559	0.54939	0.02517
V236	0.03958	0.06353	0.83004	0.06685
V237	0.16148	0.02896	0.04175	0.76781
V238	0.12562	0.55588	0.27669	0.04182
