Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V154	0.54761	0.15208	0	0.02642	0	0.27389
V155	0.04597	0.33669	0.09265	0.02631	0.49535	0.00304
V156	0	0.42779	0	0.03783	0.53438	0
V157	0.02095	0.07584	0.05967	0.35885	0	0.4847
V158	0	0.07179	0.92821	0	0	0
V159	0.13736	0.22989	0.4303	0.18736	0.01508	0
V160	0.01459	0.01906	0.94568	0	0	0.02068
V161	0	0.48029	0.00718	0.41702	0.09552	0
V162	0	0.54544	0	0.19096	0.2636	0
V163	0.00693	0.03356	0.95951	0	0	0
V164	0	0.31325	0.48245	0.12693	0.07737	0
V165	0.06038	0	0	0.05022	0.86911	0.02029
V166	0.02163	0	0	0.20423	0.52107	0.25306
V167	0	0.0117	0.52468	0.46362	0	0
V168	0.74735	0.0203	0	0.23235	0	0
V169	0	0.03599	0.79135	0.17266	0	0
V170	0.48226	0.04341	0.11793	0.29509	0.06132	0
V171	0.095	0.45719	0.0174	0.04433	0	0.38607
V172	0.06538	0.07086	0.66538	0.15863	0	0.03975
V173	0.00108	0.02529	0.89874	0	0	0.07489
V174	0.6762	0.08846	0	0.01775	0.2176	0
V175	0.03969	0.65365	0.18732	0.06508	0.0531	0.00116
V176	0	0.01038	0.96246	0.01994	0.00722	0
V177	0.13303	0.05546	0.41262	0.04036	0.18136	0.17717
V178	0.01733	0.02469	0.00388	0.02629	0.9278	0
V179	0.0161	0.00072	0.08704	0.73857	0.07425	0.08333
V180	0.34322	0	0.2451	0.40139	0	0.0103
V181	0.69166	0.066	0.06143	0.09933	0.06252	0.01907
V182	0	0.0913	0.86463	0.04407	0	0
V183	0	0.0294	0.058	0.91259	0	0
V184	0.43638	0.36959	0	0.05695	0.13707	0
V185	0.07303	0.52946	0.0237	0.05895	0.15116	0.1637
V186	0	0.00691	0.70667	0.28643	0	0
V187	0.31088	0.46697	0	0.05406	0.16809	0
V188	0.05396	0.59511	0.0086	0.06807	0	0.27426
V189	0.02472	0.03524	0.20063	0.05061	0.63139	0.05741
V190	0.01463	0.13772	0	0.05217	0.69012	0.10537
V191	0	0.59281	0	0.06427	0	0.34292
V192	0.60486	0.19574	0.09619	0.04314	0.06007	0
V193	0.07077	0.04515	0.00834	0.06631	0	0.80943
V194	0.00061	0.01588	0.00094	0.14463	0.83794	0
V195	0	0.01455	0.79399	0.08578	0.10567	0
V196	0	0.01051	0.08486	0.90463	0	0
V197	0.22431	0	0	0.0208	0.75489	0
V198	0.09481	0.39845	0.04669	0.195	0.26505	0
V199	0	0.19943	0.11408	0.12992	0.55656	0
V200	0.05766	0.01869	0.69088	0.20673	0	0.02604
V201	0	0.02677	0.03811	0.93512	0	0
V202	0.0591	0.04199	0.54171	0.04639	0.13963	0.17118
V203	0.62438	0.04595	0.00041	0.32927	0	0
V204	0.13141	0	0.05626	0.2198	0	0.59254
V205	0	0.04532	0.94344	0.01125	0	0
V206	0	0.05005	0.18559	0.76436	0	0
V207	0.50003	0.16006	0.04983	0.29009	0	0
V208	0.39327	0.09025	0.43629	0.03608	0.04411	0
V209	0.31521	0.45881	0	0.07582	0	0.15016
V210	0.08559	0.04244	0.87197	0	0	0
V211	0.67439	0	0.10326	0.02895	0.16918	0.02422
V212	0	0.24907	0.29415	0.42729	0.02949	0
V213	0.01511	0.06926	0.30032	0.0324	0.58291	0
V214	0.86025	0.02416	0.01152	0.06464	0.03942	0
V215	0	0.6463	0	0.08332	0	0.27038
V216	0.10269	0.47797	0.39171	0.02762	0	0
V217	0.22228	0	0.03279	0.13428	0.30401	0.30665
V218	0	0.35347	0.03275	0.61378	0	0
V219	0.97131	0	0	0.02869	0	0
V220	0.06358	0.05857	0.05309	0.82477	0	0
V221	0.06282	0.72427	0.064	0.14138	0	0.00753
V222	0.0629	0.26685	0.03464	0.19623	0.43938	0
V223	0.00248	0.29038	0.37065	0.0211	0	0.31539
V224	0	0.00519	0.44614	0.00702	0.54165	0
V225	0.15947	0	0.01962	0.04662	0	0.77429
V226	0.30002	0.05294	0.25637	0.29021	0.10046	0
V227	0.76197	0	0	0.23803	0	0
V228	0.13086	0.22073	0.58355	0.05825	0.00661	0
V229	0.16901	0.02191	0.44361	0.24576	0.1197	0
V230	0.01591	0.15371	0.83037	0	0	0
V231	0	0.07339	0.05173	0.87488	0	0
V232	0.48031	0	0	0.31998	0	0.19971
V233	0.88175	0.01163	0.01289	0.07676	0.01697	0
V234	0.49935	0	0	0.02537	0.47528	0
V235	0.04144	0.0511	0.07037	0.83709	0	0
V236	0.04612	0	0.2134	0.03519	0.58344	0.12185
V237	0	0.02436	0.88472	0.09092	0	0
V238	0.75151	0	0.03841	0.11756	0.00773	0.08479
V239	0.59473	0.0228	0.11797	0.14214	0.12237	0
V240	0	0.18768	0	0.15381	0.65851	0
V241	0.61772	0.15029	0	0.19887	0.03313	0
V242	0.36357	0.00261	0.0491	0.25323	0.04166	0.28984
V243	0	0.35193	0.58114	0.05609	0.01083	0
V244	0.14918	0	0	0.02662	0.64741	0.17679
V245	0.88283	0	0	0.02894	0	0.08822
V246	0	0.03822	0.29209	0.38642	0.28328	0
V247	0.33824	0.02548	0	0.24462	0	0.39166
V248	0.28756	0.02044	0	0.2489	0.4431	0
