Tool-Reference	CellType	Sample	Prediction	Answer	Error	SqError
Cibersort-HPCA	T Cells	A	0.30842	0.388	0.07958	0.0063329764
Cibersort-HPCA	B Cells	B	0.02572	0.194	0.16828	0.0283181584
Cibersort-HPCA	Monocytes	B	0.44551	0.194	0.25151	0.0632572801
Cibersort-HPCA	NK	B	0.14938	0.194	0.04462	0.0019909444
Cibersort-HPCA	Neutrophils	B	0.01715	0.03	0.01285	0.0001651225
Cibersort-HPCA	T Cells	B	0.31021	0.388	0.07779	0.0060512841
Cibersort-HPCA	B Cells	C	0.0	0.005	0.005	2.5e-05
Cibersort-HPCA	Monocytes	C	0.11049	0.01	0.10049	0.0100982401
Cibersort-HPCA	NK	C	0.07759	0.051	0.02659	0.0007070281
Cibersort-HPCA	Neutrophils	C	0.0	0.004	0.004	1.6e-05
Cibersort-HPCA	T Cells	C	0.78476	0.93	0.14524	0.0210946576
Cibersort-HPCA	B Cells	D	0.00081	0.005	0.00419	1.75561e-05
Cibersort-HPCA	Monocytes	D	0.1192	0.01	0.1092	0.01192464
Cibersort-HPCA	NK	D	0.07035	0.051	0.01935	0.0003744225
Cibersort-HPCA	Neutrophils	D	0.0	0.004	0.004	1.6e-05
Cibersort-HPCA	T Cells	D	0.78347	0.93	0.14653	0.0214710409
Cibersort-HPCA	B Cells	E	0.0	0.01	0.01	0.0001
Cibersort-HPCA	Monocytes	E	0.16114	0.026	0.13514	0.0182628196
Cibersort-HPCA	NK	E	0.1991	0.104	0.0951	0.00904401
Cibersort-HPCA	Neutrophils	E	0.00759	0.008	0.00041	1.681e-07
Cibersort-HPCA	T Cells	E	0.57305	0.851	0.27795	0.0772562025
Cibersort-HPCA	B Cells	F	0.0	0.027	0.027	0.000729
Cibersort-HPCA	Monocytes	F	0.29296	0.055	0.23796	0.0566249616
Cibersort-HPCA	NK	F	0.3657	0.885	0.5193	0.26967249
Cibersort-HPCA	Neutrophils	F	0.01958	0.017	0.00258	6.6564e-06
Cibersort-HPCA	T Cells	F	0.2706	0.016	0.2546	0.06482116
Cibersort-HPCA	B Cells	G	0.0134	0.159	0.1456	0.02119936
Cibersort-HPCA	Monocytes	G	0.57818	0.319	0.25918	0.0671742724
Cibersort-HPCA	NK	G	0.101	0.016	0.085	0.007225
Cibersort-HPCA	Neutrophils	G	0.13752	0.395	0.25748	0.0662959504
Cibersort-HPCA	T Cells	G	0.13862	0.112	0.02662	0.0007086244
Cibersort-HPCA	B Cells	H	0.0	0.1	0.1	0.01
Cibersort-HPCA	Monocytes	H	0.75882	0.813	0.05418	0.0029354724
Cibersort-HPCA	NK	H	0.07018	0.01	0.06018	0.0036216324
Cibersort-HPCA	Neutrophils	H	0.00154	0.001	0.00054	2.916e-07
Cibersort-HPCA	T Cells	H	0.06567	0.075	0.00933	8.70489e-05
Cibersort-HPCA	B Cells	I	0.0	0.1	0.1	0.01
Cibersort-HPCA	Monocytes	I	0.76132	0.813	0.05168	0.0026708224
Cibersort-HPCA	NK	I	0.06663	0.01	0.05663	0.0032069569
Cibersort-HPCA	Neutrophils	I	0.0	0.001	0.001	1e-06
Cibersort-HPCA	T Cells	I	0.07591	0.075	0.00091	8.281e-07
Cibersort-HPCA	B Cells	J	0.01625	0.0	0.01625	0.0002640625
Cibersort-HPCA	Monocytes	J	0.03059	0.0	0.03059	0.0009357481
Cibersort-HPCA	NK	J	0.06919	0.0	0.06919	0.0047872561
Cibersort-HPCA	Neutrophils	J	0.0	0.0	0.0	0.0
