Neutrophils	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	NK_cells
V252	0.03685	0.07525	0.57511	0.14755	0.16523
V253	0.31815	0.54769	0.07568	0.03123	0.02724
V254	0.52213	0.38058	0	0.06395	0.03333
V255	0.80759	0.08222	0	0.01229	0.0979
V256	0.07897	0.7298	0.01812	0.01732	0.1558
V257	0.46259	0.28561	0.13608	0.02635	0.08938
V258	0.17931	0.32492	0.04595	0.39667	0.05315
V259	0.54913	0.25467	0.16606	0	0.03014
V260	0.26981	0.01021	0.10417	0.10749	0.50832
V261	0.01904	0	0.52518	0.28429	0.17149
V262	0.90696	0.02247	0.04726	0	0.02332
V263	0.79716	0.08357	0.00945	0.08632	0.0235
V264	0.1052	0.8343	0.0128	0.03153	0.01617
V265	0.82509	0.08051	0.07074	0.00154	0.02213
V266	0.00773	0	0.07481	0.09432	0.82313
V267	0.04336	0	0	0.19573	0.76091
V268	0.22437	0.4161	0.13408	0.15521	0.07024
V269	0.11432	0.30045	0.35661	0.17125	0.05736
V270	0.04113	0	0.03072	0.83327	0.09488
V271	0.24746	0.68692	0.00807	0.01613	0.04143
V272	0.13893	0.77543	0.02474	0.01239	0.04851
V273	0.30209	0	0.17591	0.31521	0.20679
V274	0.0929	0.02274	0.03492	0.22286	0.62657
V275	0.08384	0.67341	0.13935	0.07197	0.03143
V276	0.00552	0	0.71653	0.21908	0.05888
V277	0.38656	0	0.57452	0	0.03891
V278	0.00388	0.00251	0.3555	0.4495	0.18862
V279	0.14452	0	0.00888	0.71219	0.13442
V280	0.19759	0.00905	0.03511	0.59192	0.16633
V281	0.03184	0.22975	0.04053	0.62054	0.07733
V282	0.09925	0.86991	0.00814	0.00075	0.02195
V283	0.36437	0	0.10498	0.05265	0.47801
V284	0.0398	0.08326	0.5445	0.01836	0.31408
V285	0.51258	0.44849	0	0.01634	0.02259
V286	0.09337	0	0.85671	0.02608	0.02383
V287	0.25968	0.04409	0.16985	0.28209	0.24429
V288	0.21668	0	0.6297	0.00315	0.15047
V289	0.16924	0.22819	0.01944	0.5181	0.06502
V290	0.44109	0.42795	0.12238	0	0.00858
V291	0.42081	0.21253	0.00108	0.31764	0.04795
V292	0.12775	0	0.411	0.05695	0.40429
V293	0.01974	0.05625	0.84683	0.04067	0.03651
V294	0.00452	0	0.00315	0.09017	0.90216
V295	0.01091	0	0.34145	0.50432	0.14332
V296	0.83847	0.11357	0	0.00136	0.0466
V297	0.01767	0	0.79605	0.11824	0.06805
V298	0.29842	0	0	0.52373	0.17786
V299	0.27141	0	0.00592	0.64952	0.07315
V300	0.9582	0.01728	0	0	0.02452
V301	0.94801	0.00379	0.00419	0.01385	0.03016
