Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V98	0.01549	0.20145	0.03016	0.05571	0.30971	0.01324	0.02552	0.13525	0.13683	0.07664
V99	0.61309	0	0.00295	0.00352	0.01365	0.00933	0.05164	0.00955	0.29275	0.00353
V100	0.18801	0.002	0.03484	0.22758	0.0404	0.31505	0.04006	0	0.13987	0.0122
V101	0	0.01887	0.04823	0	0.12406	0.11196	0.11584	0.06121	0	0.51983
V102	0.04425	0.1708	0.00471	0	0.15726	0.33315	0.10354	0.17001	0	0.01628
V103	0.10636	0	0.02649	0.02823	0.04141	0	0.01217	0.00537	0.7795	0.00047
V104	0.0721	0	0.89883	0	0	0	0	0	0.02908	0
V105	0.29841	0	0.08096	2e-04	0	0.11773	0.00258	0.50012	0	0
V106	0.03614	0.53427	0.21822	0	0.19601	0.01111	0	0	0	0.00425
V107	0.26734	0.13098	0.01783	0.00454	0.39763	0.0114	0.00488	0.0528	0.11259	0
V108	0	0	0.03736	0.16531	0.0673	0.41958	0.03243	0.03184	0.01169	0.2345
V109	0.00154	0.01817	0.00216	0.01009	0.01867	0.82285	0.07418	0.00227	0.04555	0.00451
V110	0.00366	0.00041	0.02867	0	0.86732	0	0	0.09815	0	0.0018
V111	0	0.06371	0.03113	0.0099	0.10811	0.12935	0.58683	0.00597	0.04383	0.02116
V112	0.00283	0.06054	0.03964	0.00071	0.02469	0.10438	0.48087	0.00457	0.105	0.17678
V113	0.04983	0	0.03109	0.01696	0.05299	0.04865	0.02131	0.02877	0.6572	0.0932
V114	0.05781	0	0.0372	0.0214	0.0445	0	0.01345	0.00539	0.82025	0
V115	0.01959	0.69055	0.01485	0	0.25867	0	0.01001	0	0	0.00633
V116	0.38513	0.04688	0	0.00133	0.02007	0	0	0.54659	0	0
V117	0.01121	0.06919	0.02926	0.00211	0	0.14742	0.66354	0.00813	0.05789	0.01123
V118	0.02077	0	0.00013	0.00251	0	0.84322	0.07559	0.01433	0.03907	0.00438
V119	0	0.01803	0.05877	0.56864	0.02767	0.17657	0.04957	0	0.10076	0
V120	0.69165	0	0.21554	0	0	0.09243	0.00029	0	0	8e-05
V121	0.05284	0.10107	0.30313	0	0.04637	0.18209	0.23402	0.02389	0.01476	0.04184
V122	0.04149	0.01444	0.14024	0.0018	0.03826	0.06932	0.09568	0	0.59376	0.00501
V123	0.01284	0	0.00994	0.0157	0.3997	0	0	0.56094	0.00087	0
V124	0.66708	0.02284	0	0	7e-05	0	0	0.31001	0	0
V125	0.00846	0.10058	0.085	0.02018	0.05196	0.09733	0.01174	0.62475	0	0
V126	0.0075	0.04047	0.03122	0	0.84427	0	0	0.07654	0	0
V127	0.04464	0.01295	0.63326	0	0	0.03184	0.14937	0	0.12115	0.00678
V128	0.02829	0.1065	0.42915	0	0.39108	0.04273	0	0.00225	0	0
V129	0.03804	0.03801	0.07256	0.23073	0.13464	0.00397	0.01577	0	0.45715	0.00914
V130	0.02665	0	0.41695	0	0	0	0	0.5564	0	0
V131	0.05452	0.3162	0.4788	0.01789	0.1169	0.00375	0.00542	0	0.00651	0
V132	0.1128	0.04399	0.02799	0	0.06148	0.10126	0.46588	0.15295	0.02435	0.00931
V133	1e-05	0.01549	0.01137	0.18415	0.0138	0.0983	0.04321	0.63334	0	0.00034
V134	0.02187	0.02918	0.26826	0.02328	0.36155	0.02281	0.11686	0.00855	0.00374	0.1439
V135	0.04618	0.1289	0.17921	0	0.08402	0	0.01678	0	0.54491	0
V136	0.00822	0.48244	0.03353	0.15497	0.21658	0	0	0	0	0.10427
V137	0.00349	0.03989	0.02854	0.00938	0.01958	0.43236	0.34941	0.00354	0.10522	0.00859
V138	0.01451	0.0707	0.04976	0	0.06483	0.09111	0.42146	0.00346	0.07205	0.2121
V139	0.62035	0	0	0.00666	0.08785	0.0787	0.00496	0	0.20148	0
V140	0.02671	0.00061	0.34784	0.48126	0.05145	0.048	0.02513	0	0.0078	0.0112
V141	0	0.00874	0.06954	0.79435	0.03479	0.02006	0.02938	0	0.01797	0.02518
V142	0	0.0489	0.05314	0.26897	0	0.0987	0.46282	0.00322	0.04064	0.02361
V143	0.0182	0.66106	0.01883	0.04269	0.25756	0	0.00028	0	0	0.00138
V144	0	0.03385	0.01539	0.01136	0	0.45767	0.39715	0.03211	0.04451	0.00795
V145	0.02313	0.06229	0.05188	0.52681	0.04026	0.01541	0.01841	0.25508	0.00673	0
V146	0.02843	0	0.53087	0	0.04457	0.01576	0.02001	0.18297	0	0.17738
V147	0.03416	0	0.03736	0.02058	0.21625	0	0.00626	0.02813	0.53526	0.122
V148	0.05506	0.00595	0.02491	0.01973	0.04065	0.04407	0.03462	0	0.77501	0
V149	0	0.00856	0.05426	0.59705	0.02223	0	0.02196	0.13831	0.15414	0.0035
V150	0.0769	0	0.05714	0	0.30076	0.00425	0	0.00863	0.01714	0.53518
V151	0.01171	0.00136	0.09206	0	0.17664	0.07959	0	0	0	0.63864
V152	0.00361	0	0.00211	0.02319	0.02841	0	0	0.87523	0	0.06747
V153	0.00329	0	0.02671	0	0.83789	0	0	0.13211	0	0
V154	0.0821	0.00324	0.63829	0.24197	0.00697	0.01507	0.00997	0	0.00239	0
V155	0.04911	0	0.00409	0.01772	0.00346	0.07074	0.00475	0.65328	0.19277	0.00407
V156	0.11405	0.01171	0.17843	0	0.00772	0.47559	0.04587	0.05673	0.10287	0.00704
V157	0.00991	0.32628	0.02645	0.03504	0.36238	0.21599	0.01595	0	0	0.00799
V158	0.28636	0.44002	0.00393	0	0.21967	0	0.00147	0.04855	0	0
V159	0.03119	0.00914	0.27754	0.00819	0.42976	0.01804	0.0033	0.13055	0	0.09229
V160	0.03775	0.6927	0.00396	0	0.26061	0	0	0	0	0.00498
V161	0	0.00975	0.06563	0.81799	0.03114	0.00376	0.02942	0	0.0376	0.00472
V162	0.00272	0.00479	0.08973	0	0.21002	0	0	0	0	0.69273
V163	0.13839	0	0.81304	0	0.00011	0.01274	0	0.0272	0	0.00851
V164	0.05941	0	0.90931	0	0	0.01758	0.00719	0	0.00281	0.00371
V165	0.02095	0	0.39466	0	0.13703	0	0	0.01684	0	0.43051
V166	0.03522	0.07657	0.05572	0.5888	0.04578	0.00312	0.02995	0.09088	0.04977	0.02419
V167	0.92205	0	0	0	0.00815	0	0	0.00142	0.06838	0
V168	0.05742	0.00191	0.00364	0.01074	0.0106	0.23521	0.01979	0.48552	0.16411	0.01104
V169	0	0	0.06559	0.18384	0.11215	0.1919	0.01554	0.01941	0	0.41157
V170	0.05733	0	0.02771	0.02291	0.03806	0	0.01418	0	0.83982	0
V171	0.01594	0	0.24993	0.04293	0.02744	0.40767	0.05416	0.07023	0.12479	0.00691
V172	0.00156	0.06828	0.03476	3e-05	0	0.28182	0.49905	0.01942	0.08461	0.01048
V173	0.01218	0.04277	0.04301	0	0.04744	0.10762	0.40529	0.00366	0.06184	0.27621
V174	0.00201	0.05045	0.25697	0.38769	0.18819	0.01956	0.01841	0.01694	0	0.05979
V175	0.8704	0	0.10851	0	0.00125	0.00116	0.00747	0.01121	0	0
V176	0.17794	0	0	0	0.00575	0.69698	0.04939	0.00012	0.06166	0.00815
V177	0.73277	0	0	0.10905	0.03193	0	0	0.02011	0	0.10614
V178	0.19285	0	0.00134	0.02433	0.06839	0.62001	0.04576	0	0.00739	0.03994
V179	0.15486	0	0.02991	0	0.81352	0	0	0	0	0.00171
V180	0.46377	0.09361	0.02224	0.35555	0.04704	0.00382	0.01397	0	0	0
V181	0.04613	0.12521	0.68697	0	0.07262	0.01567	0.0489	0	0	0.00451
V182	0.00511	0	0.01202	0.03592	0.338	0.01311	0	0.56711	0.02473	0.00399
V183	0.0029	0.14133	0.05621	0.61153	0.05352	0.02072	0.1036	0	0.00917	0.00102
V184	0.18229	0	0.00407	0.01004	0.02505	0.58465	0.03625	0.0436	0.00312	0.11092
V185	0.61203	0	0	0.20007	0.00767	0	0.00226	0.12519	0.05069	0.00209
V186	0.86231	0.00083	0	0.10867	0.00883	4e-05	0.00767	0.01164	0	0
V187	0.79055	0	0.10865	0	0.00403	0	4e-05	0.0102	0.05814	0.02839
V188	0.07341	0.07198	0.02797	0.06257	0.73018	0	0.00908	0.01555	0	0.00925
V189	0.88699	0	0	0.07427	0	0.01276	0	0.01148	0	0.0145
V190	0.04157	0	0.02468	0.0171	0.10976	0.08098	0.01755	0	0.70836	0
V191	0.00671	0	0.09957	0.36721	0.45168	0.00158	0.04049	0.02865	0	0.0041
V192	0.00125	0	0.07269	0	0.41869	0.00146	0	0.01843	0	0.48748
V193	0.08176	0.01184	0.21157	0.31388	0.15048	0.01411	0.0959	0.09923	0.01518	0.00605
V194	0	0.00659	0.00534	0.01088	0	0.7487	0.16596	0.01545	0.04146	0.00562
V195	0.03564	0.072	0.02884	0	0.09382	0.2381	0.40891	0.07338	0.03294	0.01636
V196	0.7773	0.00143	0.00124	0.21056	0.00483	0	0.00237	0	0	0.00228
V197	0.0209	0	0.02143	0.18867	0.02777	0	0.01418	0.52829	0.19875	0
V198	0.00615	0	0.03904	0.00098	0.64633	0.23564	0.03205	0	0.0398	0
V199	0.02356	0.02006	0.10671	0.00455	0.42529	0.02542	0.09454	0	0	0.29988
V200	0.00118	0.00451	0.02559	0	0.51383	0.14303	0.16047	0.14317	0	0.00822
V201	0.24507	0.02739	0.01897	0.01171	0.03707	0.0112	0.07032	0.00745	0.5457	0.02513
