B_cells	NK_cells	T_cells_CD4.	Monocytes
V258	0.22146	0.25976	0.44933	0.06945
V259	0.08977	0.28327	0.62696	0
V260	0.02672	0.27254	0.70074	0
V261	0.62148	0.02428	0.24212	0.11212
V262	0.20855	0.08477	0.02506	0.68162
V263	0.09696	0.88361	0.01672	0.00271
V264	0.21836	0.04212	0.47056	0.26896
V265	0.11682	0	0.21164	0.67155
V266	0.6459	0.30881	0.04529	0
V267	0.0216	0.19618	0.35623	0.42599
V268	0.44102	0.01037	0.18969	0.35892
V269	0.05758	0.51355	0.42887	0
V270	0.6399	0.02149	0.28427	0.05433
V271	0.78573	0.06687	0.06492	0.08248
V272	0.11916	0.76732	0.06057	0.05295
V273	0.17092	0.03069	0.10104	0.69735
V274	0.69142	0	0.22933	0.07926
V275	0.03621	0.07249	0.8847	0.0066
V276	0.53524	0.32745	0.02957	0.10775
V277	0.08925	0.22591	0.21145	0.47338
V278	0.10222	0.06818	0.34955	0.48005
V279	0.68721	0.05298	0.15291	0.1069
V280	0.13169	0	0.11828	0.75003
V281	0.57021	0.02003	0.18692	0.22284
V282	0.11856	0.09497	0.76371	0.02277
V283	0.26091	0.5509	0.09762	0.09057
V284	0.09219	0.77136	0.13645	0
V285	0.13041	0.02095	0.84864	0
V286	0.29078	0.51244	0.15207	0.04471
V287	0.16231	0.78315	0.05454	0
V288	0.05946	0.28156	0.46869	0.19029
V289	0.31289	0.21755	0.44322	0.02634
V290	0.80201	0.13964	0.05835	0
V291	0.4818	0.0709	0.4473	0
V292	0.91786	0.01737	0	0.06478
V293	0.32629	0.03189	0.63864	0.00318
V294	0.1529	0.39011	0	0.45699
V295	0.06879	0.19413	0.24835	0.48873
V296	0.22064	0.13167	0.60871	0.03898
V297	0.18041	0	0.14271	0.67689
V298	0.31685	0.10558	0.57757	0
V299	0.13812	0.29836	0.0268	0.53672
V300	0.03587	0.04387	0.31207	0.60819
V301	0.17203	0.12677	0.63839	0.06281
V302	0.6754	0.3246	0	0
V303	0.03216	0.54473	0.42311	0
V304	0.11462	0.0487	0.73542	0.10126
V305	0.16851	0.16806	0.48951	0.17392
V306	0.78106	0.09393	0.08918	0.03583
V307	0.09235	0.82608	0.08157	0
V308	0.26866	0.22845	0.33452	0.16837
V309	0.38426	0.31832	0.03725	0.26017
V310	0.13042	0.32512	0.19374	0.35071
V311	0.52975	0.42768	0.04257	0
V312	0.14964	0.64927	0.20109	0
V313	0.03189	0.15001	0.07085	0.74725
V314	0.06207	0.47745	0.15924	0.30124
V315	0.17425	0.59799	0.0774	0.15036
V316	0.33717	0.13857	0.41588	0.10838
V317	0.14392	0.65539	0.09852	0.10217
V318	0.09953	0.54713	0.04671	0.30663
V319	0.12135	0.08912	0.78502	0.00452
V320	0.13031	0.15623	0.64427	0.06919
V321	0.63417	0.31575	0.05008	0
V322	0.25072	0.32696	0.0989	0.32342
V323	0.1497	0.0213	0.16419	0.66482
V324	0.65181	0.238	0.11019	0
V325	0.33191	0.56697	0.10113	0
V326	0.02119	0.55991	0.15453	0.26437
V327	0.07656	0.1663	0.16141	0.59573
V328	0.10595	0.05112	0.73329	0.10963
V329	0.2344	0.11794	0.2211	0.42656
V330	0.4189	0.00763	0.37361	0.19986
V331	0.40545	0.08952	0.07237	0.43267
V332	0.06649	0.06284	0.25438	0.61628
V333	0.43693	0.07777	0.41666	0.06864
V334	0.38639	0.00927	0.39522	0.20912
V335	0.07284	0.32641	0.53479	0.06596
V336	0.22709	0.65534	0.06297	0.05459
V337	0.30789	0.36375	0.32836	0
V338	0.02871	0.87087	0.10042	0
V339	0.17638	0.00678	0.81684	0
V340	0.10205	0.23038	0.54819	0.11938
V341	0.10884	0.05198	0.13178	0.7074
V342	0.28203	0.00096	0.63318	0.08383
V343	0.89566	0.04159	0.04355	0.0192
V344	0.64748	0.13316	0.21936	0
V345	0.09407	0.06152	0.84441	0
V346	0.27513	0.11831	0.32751	0.27906
V347	0.13154	0.00456	0.20661	0.65729
V348	0.10611	0.60581	0.20368	0.08441
V349	0.36372	0.16621	0.41396	0.0561
V350	0.07928	0.70034	0.22038	0
V351	0.08163	0.04574	0.44265	0.42998
V352	0.10984	0.04324	0.8093	0.03762
V353	0.83243	0.02207	0.08544	0.06007
V354	0.09898	0.62207	0.27895	0
V355	0.30795	0.08342	0.48116	0.12746
V356	0.12104	0.02534	0.17449	0.67914
V357	0.1587	0.32632	0.32039	0.19459
V358	0.56743	0.10191	0.08009	0.25058
V359	0.60537	0.05207	0.05303	0.28954
V360	0.55342	0.38664	0.05994	0
V361	0.02665	0.41062	0.56273	0
V362	0.03066	0.85707	0.11226	0
V363	0.21206	0.12638	0.49501	0.16654
V364	0.20124	0.08083	0.66938	0.04855
V365	0.35065	0.02469	0.02896	0.5957
V366	0.13185	0.63894	0.13517	0.09404
V367	0.60836	0.14467	0.00025	0.24672
V368	0.14473	0.66731	0.14447	0.04349
V369	0.06919	0.35964	0.57117	0
V370	0.31631	0.25683	0.42686	0
V371	0.23715	0.66943	0.07131	0.02211
V372	0.23787	0.05686	0.17541	0.52986
V373	0.12993	0.15203	0.49828	0.21976
V374	0.73916	0.00922	0.25162	0
V375	0.12052	0.04676	0.21194	0.62078
V376	0.11763	0.04011	0.1732	0.66905
V377	0.78911	0	0.04381	0.16708
V378	0.06646	0.0462	0.45988	0.42746
V379	0.39359	0.2064	0.01764	0.38237
V380	0.21549	0.07968	0.24926	0.45556
V381	0.72954	0	0.13742	0.13304
V382	0.13948	0.05837	0.80216	0
V383	0.8053	0	0.09816	0.09655
V384	0.56841	0.07499	0.16844	0.18816
V385	0.80979	0.00688	0.13376	0.04957
V386	0.35956	0.00137	0.20091	0.43817
V387	0.57662	0.14701	0.22799	0.04838
V388	0.39909	0.32138	0.17654	0.10299
V389	0.44591	0.48672	0.04419	0.02318
V390	0.30671	0.23328	0.46001	0
V391	0.4726	0.10877	0.02602	0.39262
V392	0.44001	0.21999	0.201	0.139
V393	0.30623	0.22653	0.37821	0.08903
V394	0.15494	0.23867	0.15653	0.44987
V395	0.25877	0.37332	0.24485	0.12306
V396	0.07756	0.849	0.07191	0.00152
V397	0.74494	0.08473	0.14927	0.02107
V398	0.47639	0.14077	0.12348	0.25937
V399	0.23567	0.51255	0.2004	0.05138
V400	0.02971	0.57468	0.12479	0.27082
V401	0.08687	0.17267	0.70796	0.0325
V402	0.77554	0.15484	0.06962	0
V403	0.11038	0.0328	0.1544	0.70242
V404	0.13949	0.20261	0.61376	0.04414
V405	0.28449	0.02821	0.22202	0.46528
V406	0.64357	0.24262	0.04353	0.07028
V407	0.02871	0.87087	0.10042	0
V408	0.13547	0.24927	0.43046	0.18481
V409	0.03223	0.05073	0.13728	0.77975
V410	0.15116	0.76816	0.08068	0
V411	0.50573	0.00845	0	0.48582
V412	0.20339	0.08813	0.52357	0.18492
V413	0.10427	0.47415	0.22489	0.19669
V414	0.08353	0.48094	0.36968	0.06585
V415	0.46596	0.02738	0.27899	0.22767
V416	0.07404	0.09998	0.82598	0
V417	0.40168	0.54801	0.05031	0
V418	0.14394	0.11771	0.19566	0.54269
V419	0.11846	0	0.13342	0.74812
V420	0.02498	0.83826	0.08888	0.04787
V421	0.20203	0.06021	0.67246	0.06529
V422	0.15808	0.10406	0.01138	0.72648
V423	0.14167	0.04543	0.8129	0
V424	0.02366	0.07858	0.65849	0.23928
V425	0.10452	0.2417	0.60216	0.05162
V426	0.14659	0.0713	0.75312	0.029
V427	0.11557	0.39394	0.2371	0.2534
V428	0.14726	0.6999	0.1162	0.03664
V429	0.11019	0	0.14621	0.7436
V430	0.7398	0.16576	0.03993	0.05451
V431	0.22808	0.03327	0.48791	0.25074
V432	0.19657	0.11229	0.08382	0.60733
V433	0.11862	0.72424	0.00646	0.15067
V434	0.39474	0.08048	0.08407	0.44072
V435	0.53867	0	0.1658	0.29553
V436	0.43167	0	0.16628	0.40205
V437	0.29984	0.24712	0.00257	0.45046
V438	0.62016	0.1615	0.05461	0.16372
V439	0.1232	0.14135	0.01046	0.72499
V440	0.52571	0.03243	0.06606	0.3758
V441	0.11784	0.14516	0.60923	0.12777
V442	0.3499	0.3351	0.16923	0.14578
V443	0.73565	0	0.13259	0.13176
V444	0.09407	0.06152	0.84441	0
V445	0.59539	0.02333	0.3772	0.00408
V446	0.09643	0.74787	0.12596	0.02974
V447	0.61191	0.09489	0.22451	0.06869
V448	0.07889	0.08056	0.26272	0.57783
V449	0.55681	0.04348	0.33477	0.06494
V450	0.1863	0.74637	0.06733	0
V451	0.90072	0.06689	0	0.03239
V452	0.13241	0.00899	0.15686	0.70174
V453	0.77135	0.07473	0.11068	0.04324
V454	0.03362	0.83128	0.1351	0
V455	0.58817	0.03644	0.34214	0.03324
V456	0.34753	0.12815	0.41552	0.10879
V457	0.03245	0.08753	0.08861	0.79141
V458	0.32907	0.24245	0.00922	0.41926
V459	0.06691	0.72893	0.16026	0.0439
V460	0.86892	0.00729	0.09872	0.02508
V461	0.18574	0.06703	0.01533	0.7319
V462	0.40099	0.25524	0	0.34377
V463	0.28908	0.44526	0.20385	0.06181
V464	0.55062	0.10268	0.01122	0.33548
V465	0.43162	0.40942	0.05576	0.10319
V466	0.60623	0.19129	0.01267	0.1898
V467	0.34847	0.52649	0.12504	0
V468	0.51386	0.38017	0.08888	0.01709
V469	0.06326	0.19427	0.33982	0.40266
V470	0.54304	0.12567	0.22379	0.1075
V471	0.33864	0.12051	0.04825	0.4926
V472	0.37533	0.33708	0	0.28759
V473	0.14457	0.48479	0.37064	0
V474	0.21043	0	0.16539	0.62418
V475	0.23423	0.39681	0.11221	0.25674
V476	0.25837	0.00894	0.10609	0.6266
V477	0.59753	0.03656	0.2457	0.12021
V478	0.18551	0.57296	0.03364	0.20789
V479	0.06757	0.11472	0.77431	0.0434
V480	0.14173	0.32544	0.0743	0.45854
V481	0.19112	0.04296	0.76592	0
V482	0.67258	0.16038	0.15748	0.00957
V483	0.20796	0.12621	0.11449	0.55134
V484	0.10729	0.10789	0.06708	0.71775
V485	0.17854	0.69334	0.05014	0.07798
V486	0.31102	0.26758	0.16722	0.25419
V487	0.16652	0.0587	0.13957	0.63521
V488	0.03341	0.02892	0.87723	0.06043
V489	0.24241	0.11567	0.64193	0
V490	0.37802	0.31495	0.09608	0.21095
V491	0.46677	0.4411	0.06849	0.02364
V492	0.0835	0.7268	0.1897	0
V493	0.19256	0	0	0.80744
V494	0.23097	0.16727	0.53049	0.07127
V495	0.25798	0.55486	0.18716	0
V496	0.32178	0.64789	0.02406	0.00627
V497	0.09404	0.01787	0.88457	0.00352
V498	0.37434	0.11436	0.07643	0.43487
V499	0.59248	0.2429	0.16462	0
V500	0.15575	0.14185	0.70239	0
V501	0.03601	0	0.1794	0.78459
V502	0.53957	0.26384	0.19659	0
V503	0.25181	0.10731	0.25128	0.3896
V504	0.27874	0.64743	0.05135	0.02247
V505	0.24262	0.22408	0.29032	0.24298
V506	0.13314	0.25816	0.47855	0.13016
V507	0.60602	0.10325	0.16359	0.12715
V508	0.7297	0.1647	0.07839	0.02722
V509	0.26429	0.07559	0.52685	0.13327
