Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V173	0.16054	0	0.83946	0	0	0
V174	0.81994	0	0.18006	0	0	0
V175	0.01006	0.84685	0.14309	0	0	0
V176	0	0	1	0	0	0
V177	0.40339	0	0.45801	0	0.06433	0.07428
V178	0.05498	0	0.28145	0	0.66357	0
V179	0.27357	0	0.1566	0.44415	0.1146	0.01108
V180	0.5248	0	0.31489	0.16031	0	0
V181	0.83158	0.02628	0.14215	0	0	0
V182	0.11636	0	0.88364	0	0	0
V183	0.10825	0	0.07597	0.77095	0.04483	0
V184	0.50779	0.41175	0.08046	0	0	0
V185	0.25175	0.61103	0.09638	0	0.00664	0.0342
V186	0.09404	0	0.79436	0.05089	0.0607	0
V187	0.35227	0.563	0.08047	0	0.00427	0
V188	0.07959	0.72561	0	0	0	0.1948
V189	0.21551	0	0.37669	0	0.4078	0
V190	0.30129	0.05058	0.19045	0	0.45769	0
V191	0	0.70371	0	0	0	0.29629
V192	0.72861	0.14022	0.13118	0	0	0
V193	0.06541	0	0	0	0	0.93459
V194	0.06851	0	0.25552	0	0.67596	0
V195	0.05759	0	0.90154	0	0.04086	0
V196	0.0991	0	0.10414	0.70936	0.0874	0
V197	0.26336	0	0.25455	0	0.48208	0
V198	0.20523	0.41386	0.14469	0	0.23623	0
V199	0.15137	0.10678	0.2903	0	0.45156	0
V200	0.25623	0	0.71953	0	0.02424	0
V201	0.13966	0	0.06293	0.76162	0.03579	0
V202	0.33739	0	0.56245	0	0.04535	0.05482
V203	0.80342	0	0.12932	0.06726	0	0
V204	0.24985	0	0.08915	0	0	0.661
V205	0.01297	0	0.98703	0	0	0
V206	0.1271	0	0.22677	0.57798	0.06814	0
V207	0.67613	0.13634	0.16748	0	0.02005	0
V208	0.53587	0	0.46413	0	0	0
V209	0.3668	0.57617	0	0	0	0.05703
V210	0.13359	0	0.86641	0	0	0
V211	0.76438	0	0.23562	0	0	0
V212	0.14379	0.23257	0.32201	0.18551	0.11611	0
V213	0.11532	0	0.47825	0	0.40643	0
V214	0.92279	0	0.07721	0	0	0
V215	0.0179	0.80063	0	0	0	0.18147
V216	0.14029	0.54996	0.30974	0	0	0
V217	0.38671	0	0.17295	0	0.1758	0.26455
V218	0.12017	0.37575	0.05534	0.39474	0.054	0
V219	0.99206	0	0.00794	0	0	0
V220	0.23847	0	0.10324	0.62998	0.0283	0
V221	0.00087	0.99913	0	0	0	0
V222	0.2251	0.21678	0.18717	0	0.37095	0
V223	0.21129	0.24941	0.25107	0	0	0.28823
V224	0.02483	0	0.61618	0	0.35899	0
V225	0.13897	0	0	0	0	0.86103
V226	0.4796	0	0.36087	0.0634	0.09614	0
V227	0.8814	0	0.1186	0	0	0
V228	0.30871	0.12588	0.56541	0	0	0
V229	0.32493	0	0.53059	0.01498	0.1295	0
V230	0.1829	0	0.8171	0	0	0
V231	0.16547	0	0.08804	0.68233	0.06417	0
V232	0.62378	0	0.0944	0.06414	0	0.21768
V233	0.93339	0	0.06661	0	0	0
