cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V236	0.03905	0.05986	0.83324	0.06785
V237	0.15747	0.02755	0.04152	0.77346
V238	0.12512	0.55198	0.27998	0.04292
V239	0.06239	0.40982	0.02398	0.50382
V240	0.48305	0.034	0.44222	0.04072
V241	0.01626	0.028	0.89632	0.05942
V242	0.12431	0.77136	0.09307	0.01126
V243	0.22842	0.03794	0.66661	0.06702
V244	0.19156	0.0185	0.71546	0.07449
V245	0.61494	0.28368	0.05225	0.04914
V246	0.05042	0.13443	0.79554	0.01962
V247	0.15866	0.03967	0.80045	0.00123
V248	0.02399	0.05875	0.06121	0.85606
V249	0.00081	0.04831	0.89122	0.05965
V250	0.75656	0.0119	0.22625	0.00529
V251	0.93725	0.0503	0.00662	0.00583
V252	0.01134	0.83504	0.15343	0.00019
V253	0.36604	0.06044	0.18115	0.39237
V254	0.00974	0.93455	0.05013	0.00559
V255	0.04373	0.92105	0.00076	0.03446
V256	0.16824	0.18824	0.56426	0.07926
V257	0.42898	0.08366	0.25844	0.22892
V258	0.17131	0.24011	0.46902	0.11956
V259	0.03062	0.26823	0.66651	0.03464
V260	0.00123	0.27112	0.72123	0.00642
V261	0.62556	0.02782	0.20942	0.1372
V262	0.09231	0.07495	0.02463	0.80811
V263	0.01886	0.96037	0.00089	0.01987
V264	0.15368	0.03306	0.47162	0.34165
V265	0.0308	0.02433	0.15933	0.78554
V266	0.63831	0.354	0.00752	0.00017
V267	0.00046	0.16384	0.31496	0.52074
V268	0.38283	0.02498	0.15711	0.43508
V269	0.00633	0.54367	0.40741	0.04259
V270	0.64717	0.0228	0.25722	0.07281
V271	0.81931	0.05824	0.03353	0.08892
V272	0.05085	0.84168	0.01293	0.09455
V273	0.05515	0.04589	0.04892	0.85004
V274	0.70526	0.00703	0.19092	0.09679
V275	0.00174	0.05285	0.93618	0.00923
V276	0.51832	0.32838	0.0113	0.142
V277	0.03154	0.19779	0.18016	0.5905
V278	0.03125	0.05587	0.32434	0.58853
V279	0.70721	0.04929	0.11623	0.12727
V280	0.02707	0.02898	0.04839	0.89557
V281	0.5512	0.0279	0.15117	0.26974
V282	0.04886	0.06128	0.83888	0.05097
V283	0.20776	0.58887	0.06513	0.13823
V284	0.02619	0.91043	0.058	0.00539
V285	0.07279	0.03763	0.88802	0.00156
V286	0.24351	0.55179	0.11581	0.08889
V287	0.09265	0.87502	0.01344	0.01889
V288	0.0126	0.25073	0.47062	0.26605
V289	0.27703	0.19641	0.45688	0.06967
V290	0.81512	0.16974	0.01489	0.00024
V291	0.48006	0.06104	0.44773	0.01117
V292	0.9373	0.01546	0	0.04724
V293	0.27994	0.02212	0.66441	0.03354
V294	0.08453	0.37568	0.00339	0.5364
V295	0.01404	0.16797	0.21362	0.60437
V296	0.16506	0.10189	0.65534	0.0777
V297	0.07259	0.02372	0.08708	0.81661
V298	0.2879	0.09042	0.61008	0.0116
V299	0.064	0.28102	0.01809	0.63688
V300	8e-04	0.04615	0.2587	0.69435
V301	0.10904	0.09259	0.69315	0.10522
V302	0.65031	0.33809	0	0.01161
V303	0.00103	0.58416	0.38839	0.02643
V304	0.0472	0.02846	0.77644	0.1479
V305	0.11129	0.13574	0.50838	0.24459
V306	0.82444	0.08497	0.05085	0.03973
V307	0.01783	0.95461	0.01519	0.01237
V308	0.22331	0.20672	0.33074	0.23924
V309	0.33374	0.30641	0.02883	0.33102
V310	0.07128	0.3047	0.16743	0.4566
V311	0.51322	0.47574	0.00596	0.00509
V312	0.09209	0.74568	0.14376	0.01847
V313	0.00118	0.13857	0.02874	0.83151
V314	0.01359	0.4764	0.12109	0.38893
V315	0.11385	0.63888	0.03779	0.20949
V316	0.30219	0.11405	0.42596	0.15781
V317	0.08071	0.716	0.04667	0.15661
V318	0.03204	0.56636	0.01496	0.38664
V319	0.05057	0.05857	0.86337	0.02749
V320	0.0672	0.12057	0.69691	0.11533
V321	0.62832	0.36403	0.0075	0.00015
V322	0.18809	0.31406	0.0791	0.41875
V323	0.04978	0.03919	0.10511	0.80591
V324	0.6686	0.24297	0.07074	0.01768
V325	0.30098	0.63884	0.05533	0.00485
V326	0.00093	0.56462	0.09776	0.33669
V327	0.0158	0.14645	0.1181	0.71965
V328	0.03825	0.02889	0.77613	0.15673
V329	0.16217	0.10161	0.18922	0.547
V330	0.37402	0.01318	0.36303	0.24977
V331	0.34163	0.08215	0.04909	0.52713
V332	0.00795	0.05852	0.20721	0.72632
V333	0.41497	0.06088	0.42021	0.10394
V334	0.33813	0.01385	0.38737	0.26065
V335	0.02084	0.30764	0.55419	0.11734
V336	0.16824	0.71594	0.0197	0.09612
V337	0.27622	0.38726	0.31058	0.02593
V338	0.00261	0.98127	0.00978	0.00634
V339	0.11501	0.02999	0.84788	0.00712
V340	0.04805	0.198	0.57505	0.1789
V341	0.02252	0.05492	0.0796	0.84297
V342	0.22512	0.01586	0.64012	0.11891
V343	0.95919	0.02755	0.00719	0.00607
V344	0.66869	0.14509	0.18595	0.00027
V345	0.01872	0.06133	0.9183	0.00165
V346	0.21993	0.09621	0.31569	0.36817
V347	0.03915	0.02959	0.14642	0.78484
V348	0.04948	0.66369	0.14876	0.13806
V349	0.33906	0.14305	0.42029	0.0976
V350	0.02797	0.79868	0.17317	0.00018
V351	0.01394	0.03539	0.43116	0.51951
V352	0.0402	0.02901	0.86355	0.06725
V353	0.88793	0.0233	0.03405	0.05472
V354	0.04072	0.69532	0.2298	0.03416
V355	0.26037	0.06157	0.50329	0.17477
V356	0.03045	0.04118	0.11722	0.81115
V357	0.10339	0.31134	0.30942	0.27584
V358	0.54826	0.0929	0.05375	0.30509
V359	0.57388	0.05128	0.03611	0.33873
V360	0.54631	0.42281	0.01978	0.0111
V361	0.00115	0.43371	0.55924	0.0059
V362	0.00266	0.97371	0.01749	0.00615
V363	0.15665	0.09692	0.51534	0.23109
V364	0.14034	0.0533	0.72096	0.0854
V365	0.25536	0.0374	0.01951	0.68774
V366	0.07011	0.69676	0.0853	0.14783
V367	0.57631	0.12991	0.00559	0.28819
V368	0.08056	0.74743	0.08442	0.08759
V369	0.0151	0.38202	0.59721	0.00566
V370	0.28664	0.25297	0.43443	0.02596
V371	0.17904	0.73351	0.02805	0.0594
V372	0.1501	0.05531	0.13503	0.65957
