Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V93	0.02306	0.07145	0.08322	0.01148	0	0.02548	0.14832	0.02413	0.61286	0
V94	0.90137	0	0	0	0	0.02762	0.01181	0.05481	0	0.00438
V95	0.00854	0.0622	0.0054	0.02288	0	0.05645	0.3031	0.51197	0.02528	0.00418
V96	0.00096	0.09357	0.37588	0.45888	0.01534	0.01679	0.00082	0.0201	0.01511	0.00255
V97	0.00713	0.11381	0.0429	0.0113	0	0.10481	0.55085	0.00965	0.07056	0.08899
V98	0.01678	0.19922	0.03327	0.06848	0.27354	0.01111	0.01845	0.15316	0.15687	0.06913
V99	0.61926	0.00428	0	0	0	0.00614	0.05078	0.00527	0.31354	0.00074
V100	0.18169	0.01144	0.02825	0.27431	0.01585	0.31389	0.02637	0	0.13694	0.01128
V101	0.00094	0.0203	0.05131	0	0.128	0.1073	0.10961	0.0732	0.01579	0.49355
V102	0.0502	0.17233	0.01248	0.00059	0.14086	0.3247	0.08932	0.1974	0	0.01212
V103	0.09076	0.01764	0.00853	0.02825	0	0	0.00696	0.00177	0.84124	0.00485
V104	0.00623	0	0.95288	0	0	0.00333	0.00397	0.00815	0.02544	0
V105	0.27862	0	0.06072	0.00345	0	0.10957	0	0.54764	0	0
V106	0.02328	0.53146	0.28781	0	0.14278	0.01189	0	0	0	0.00279
V107	0.27319	0.12879	0.01764	0.00414	0.37531	0.00926	0.00244	0.05929	0.12994	0
V108	0	0	0.03435	0.2022	0.06342	0.41644	0.02115	0.03737	0.01109	0.21396
V109	0.00249	0.01846	0.00392	0.01955	0.02079	0.83357	0.06647	0.00451	0.02882	0.00141
V110	0.02871	0	0.02022	0.00188	0.84443	0	0	0.10474	0	0
V111	0.01172	0.10938	0.03666	0.0241	0.111	0.10215	0.53012	0.00939	0.05188	0.01361
V112	0.00827	0.10034	0.04623	0.00835	0.01526	0.08423	0.44154	0.00677	0.12645	0.16256
V113	0.03519	0.01253	0.01431	0.01691	0	0.05098	0.01764	0.03274	0.72291	0.09679
V114	0.03901	0.01875	0.02209	0.0209	0	0	0.00815	0.00186	0.88367	0.00555
V115	0.02135	0.69149	0.07697	0	0.19133	0	0.01119	0	0	0.00767
V116	0.36784	0.03632	0	0	0	0	0	0.59583	0	0
V117	0.02038	0.12595	0.03728	0.01421	0	0.11473	0.60657	0.01069	0.06574	0.00446
V118	0.02242	0	0	0.00986	0.00324	0.85707	0.06803	0.01821	0.0199	0.00127
V119	0	0.03382	0.05717	0.63519	0	0.16822	0.02251	0	0.08236	0.00074
V120	0.68155	0	0.22178	0	0	0.09175	0.00491	0	0	0
V121	0.04119	0.11966	0.33505	0	0.03527	0.17341	0.212	0.03313	0.01802	0.03228
V122	0.02197	0.03965	0.13794	0.00607	0	0.0677	0.08736	0	0.63474	0.00456
V123	0.0215	0	0	0.01882	0.3706	0	0	0.58908	0	0
V124	0.6511	0.01133	0	0	0	0	0	0.33757	0	0
V125	0.00639	0.08831	0.07756	0.03138	0.02512	0.09031	0.00314	0.67779	0	0
V126	0.03071	0.02849	0.02585	0.0026	0.8233	0	0	0.08317	0.00588	0
V127	0.00274	0.02618	0.67672	0	0	0.02791	0.13877	0.00464	0.12305	0
V128	0.01126	0.09709	0.46066	0	0.38061	0.04169	0	0.00868	0	0
V129	0.02527	0.05712	0.06853	0.27265	0.08539	0.00629	0.00326	0	0.46932	0.01217
V130	0.00086	0	0.40638	0	0	0	0	0.59276	0	0
V131	0.02845	0.30445	0.5147	0.04739	0.07635	0.00502	0.00577	0	0.01786	0
V132	0.12321	0.07815	0.02563	0.00869	0.05845	0.0815	0.41555	0.17602	0.02913	0.00366
V133	0	0.01293	0	0.20825	0	0.08912	0.02374	0.6655	0	0.00046
V134	0.02052	0.0342	0.27092	0.0437	0.35903	0.0171	0.10321	0.01324	0.01492	0.12315
V135	0.02421	0.1497	0.19715	0	0.02432	0	0.0147	0	0.58992	0
V136	0.00848	0.46917	0.07816	0.18461	0.16101	0	0	0	0	0.09857
V137	0.0071	0.06952	0.03031	0.02129	0.01347	0.42097	0.32143	0.00668	0.10584	0.0034
V138	0.02013	0.10378	0.05978	0.00412	0.0582	0.07353	0.38548	0.00573	0.09467	0.19458
V139	0.6332	0.00059	0	0	0.06152	0.08015	0.00656	0	0.21799	0
