Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V98	0	0.19902	0.05145	0.0571	0.29106	0.02011	0.02906	0.12193	0.16354	0.06674
V99	0.54875	0.00911	0	0	0.0491	0.01209	0.0582	0.01491	0.30654	0.00129
V100	0.14808	0.00786	0.0543	0.2129	0.05887	0.30624	0.05522	0	0.14863	0.0079
V101	0	0.03681	0.06251	0	0.11864	0.11353	0.1246	0.06711	0.01457	0.46223
V102	0.03308	0.15456	0.01476	0.01739	0.15453	0.32257	0.12425	0.15631	0.01055	0.01198
V103	0.03762	0.00925	0.0415	0.01592	0.08699	0	0.01363	0	0.79508	0
V104	0.05259	0	0.89223	0	0.00552	0	0	0	0.04966	0
V105	0.29906	0	0.06955	0.02112	0.01149	0.13169	0.00129	0.46581	0	0
V106	0.03582	0.512	0.23394	0	0.20765	0.01059	0	0	0	0
V107	0.25005	0.14215	0.02675	0	0.37039	0.01694	0.00721	0.04973	0.13678	0
V108	0	0.00183	0.04947	0.16217	0.0756	0.39561	0.05161	0.03195	0.02378	0.20799
V109	0	0.00185	0	0.03541	0.03661	0.75797	0.11167	0.00318	0.04824	0.00507
V110	0.00437	0.03567	0.05403	0	0.815	0.00498	0	0.08595	0	0
V111	0	0.0775	0.03392	0	0.09228	0.13818	0.54974	0.05567	0.04975	0.00297
V112	0	0.07181	0.03748	0	0.03464	0.11423	0.45346	0.04538	0.11075	0.13227
V113	0	0.0034	0.04323	0.01132	0.09924	0.04586	0.02959	0.01759	0.6774	0.07239
V114	0	0.00918	0.04588	0.01047	0.08841	0	0.01312	0	0.83294	0
V115	0.02125	0.65673	0.03479	0	0.27235	0	0.01487	0	0	0
V116	0.38394	0.04897	0	0.01266	0.0373	0.00581	0	0.51132	0	0
V117	0	0.07828	0.02708	0	0	0.14882	0.61609	0.06692	0.06282	0
V118	0.00029	0	0	0.03216	0.01225	0.77961	0.11372	0.01397	0.04085	0.00714
V119	0	0.02598	0.08675	0.52589	0.02915	0.17729	0.05459	3e-04	0.10005	0
V120	0.68874	0	0.1937	0	0.01182	0.09243	0.00496	0.00053	0	0.00783
V121	0.02872	0.09756	0.28795	0	0.05745	0.18177	0.24352	0.04125	0.03042	0.03135
V122	0	0.02533	0.13838	0	0.07205	0.06604	0.1056	0	0.5926	0
V123	0.01358	0.00104	0.00785	0.05096	0.37781	0.00575	0	0.53493	0.00808	0
V124	0.64528	0.02874	0	0	0.02202	0	0	0.30395	0	0
V125	0.00311	0.09131	0.07739	0.06369	0.06433	0.10843	0.00861	0.58313	0	0
V126	0.00688	0.0734	0.05403	0	0.77648	0.00814	0.00019	0.06831	0.01257	0
V127	0.01723	0.01809	0.61071	0	0.01648	0.03364	0.15898	0.00027	0.14459	0
V128	0.02278	0.11705	0.44759	0	0.36537	0.04396	0.00324	0	0	0
V129	0	0.052	0.09966	0.20543	0.15312	0.00456	0.01418	0	0.47105	0
V130	0.0192	0	0.44487	0	0.00326	0	0	0.53267	0	0
V131	0.04054	0.29506	0.49803	0	0.12635	0.00274	0.00608	0	0.0312	0
V132	0.0816	0.05581	0.03483	0	0.06118	0.12168	0.44901	0.16761	0.02827	0
V133	0	0.01318	0.00034	0.22326	0.01959	0.1127	0.04082	0.5901	0	0
V134	0	0.0498	0.30031	0	0.3136	0.03304	0.12595	0.02073	0.02704	0.12954
V135	0	0.12837	0.1821	0	0.1172	0	0.01722	0	0.55511	0
V136	0	0.46358	0.0732	0.14597	0.22509	0	7e-04	0	0	0.09146
V137	0	0.04132	0.02594	0.01516	0.03194	0.39557	0.35415	0.03122	0.1047	0
V138	0	0.08158	0.05562	0	0.0681	0.10352	0.40295	0.03947	0.08395	0.16479
V139	0.5722	0.00751	0	0	0.11251	0.0793	0.00973	0	0.21876	0
V140	0	0.00952	0.41146	0.43928	0.04879	0.05402	0.02437	0.00016	0.01008	0.00232
V141	0	0.02211	0.12906	0.74668	0.0262	0.03025	0.02342	0.00165	0.00918	0.01146
V142	0	0.06205	0.06562	0.22059	0	0.11301	0.44476	0.04707	0.04179	0.00511
V143	0.0167	0.62079	0.04156	0.04063	0.26298	9e-04	0.00375	0	0.01267	0
V144	0	0.03741	0.01076	0.02059	0	0.41911	0.40174	0.06196	0.04845	0
V145	0	0.06825	0.08946	0.51522	0.04112	0.02809	0.01266	0.24091	0.0043	0
V146	0.00417	0	0.54128	0	0.06068	0.01843	0.02433	0.16825	0.01609	0.16677
V147	0	0.00832	0.05335	0.01	0.23946	0	0.00889	0.01536	0.56225	0.10236
V148	0	0.01742	0.03321	0.01106	0.08196	0.03774	0.03884	0	0.77977	0
V149	0	0.0201	0.08021	0.56969	0.02539	0.00432	0.01522	0.12861	0.15647	0
V150	0.04124	0.02314	0.08879	0	0.28231	0.00673	0.00173	0.00995	0.04754	0.49857
V151	0	0.02084	0.1139	0	0.17319	0.07654	0.00539	0.00016	0.01353	0.59646
V152	0	0	0	0.07625	0.03241	0.00122	0	0.83332	0	0.05679
V153	0.00493	0.02669	0.05265	0	0.79031	0.00514	0	0.12027	0	0
V154	0.05374	0.00571	0.70292	0.19468	0.01046	0.01488	0.00663	0	0.01097	0
V155	0.02348	0	0	0.05774	0.02461	0.08123	0.00093	0.60956	0.20246	0
V156	0.08451	0.00727	0.17945	0.00564	0.03172	0.45205	0.06898	0.05132	0.11287	0.00619
V157	0.00465	0.30735	0.05151	0.03784	0.33618	0.21182	0.03012	0	0.01616	0.00438
V158	0.28691	0.42706	0.01032	0	0.22639	0	0.00241	0.04692	0	0
V159	0.02087	0.02955	0.31529	0	0.38793	0.02566	0.00447	0.12292	0	0.0933
V160	0.03947	0.66113	0.02394	0	0.27545	0	0	0	0	0
V161	0	0.02333	0.12397	0.76868	0.02067	0.01376	0.02179	8e-04	0.02699	0
V162	0	0.02621	0.10584	0	0.2067	0	0	0	0.01842	0.64283
V163	0.1245	0	0.82653	0	0.01097	0.00583	0	0.01477	0.00862	0.00879
V164	0.04006	0	0.91776	0	0.00376	0.00681	0.00557	0	0.02481	0.00123
V165	0	0.00984	0.41072	0	0.14537	0	0	0.01183	0.01939	0.40285
V166	0	0.08553	0.11085	0.55637	0.04991	0.01465	0.02626	0.09119	0.0537	0.01154
V167	0.87648	0.00135	0	0	0.03965	0.00055	0	0.0072	0.07478	0
V168	0.03404	0	0	0.04672	0.03468	0.24	0.02755	0.43754	0.1733	0.00618
V169	0	0.01417	0.08986	0.16605	0.11174	0.18682	0.02548	0.02343	0.01118	0.37128
V170	0	0.00281	0.03606	0.01118	0.08513	0	0.01245	0	0.85237	0
V171	0	0	0.24476	0.04862	0.04368	0.38795	0.07409	0.06209	0.1346	0.0042
V172	0	0.07325	0.03068	0.00048	0.00457	0.26377	0.48053	0.05995	0.08676	0
V173	0	0.0579	0.04913	0	0.05376	0.11655	0.38902	0.03903	0.07543	0.21918
V174	0	0.06333	0.2958	0.35001	0.17156	0.02789	0.01769	0.0212	0.00169	0.05083
V175	0.86901	0	0.0802	0	0.02553	0.00116	0.0069	0.01558	0	0.00162
V176	0.1466	0	0	0.01389	0.02605	0.65482	0.08144	0.00011	0.06623	0.01085
V177	0.71177	0.00885	0.01059	0.07449	0.0539	0.00088	0	0.03138	0	0.10815
V178	0.16216	0	0.00963	0.03526	0.07911	0.58495	0.07431	0.00124	0.0126	0.04074
V179	0.15894	0.02184	0.0486	0	0.76706	0.00355	0	0	0	0
V180	0.4365	0.1024	0.05279	0.31766	0.05856	0.01176	0.01241	0.00792	0	0
V181	0.03149	0.12032	0.68585	0	0.08297	0.01319	0.0548	0	0.00965	0.00174
V182	0.00109	0	0.01198	0.07129	0.31844	0.02609	0	0.5365	0.03354	0.00107
V183	0	0.14441	0.09796	0.55146	0.05028	0.03313	0.10367	0.0106	0.00848	0
V184	0.1498	0	0.01298	0.02407	0.04413	0.55061	0.06314	0.04171	0.01074	0.10282
V185	0.5914	0.00494	0.00367	0.17803	0.02903	0.00374	0	0.1264	0.06057	0.00222
V186	0.85471	0.01252	0.00139	0.06896	0.02782	0.00424	0.00615	0.02369	0	0.00053
V187	0.76543	0.00109	0.08323	0	0.03235	3e-04	0	0.01505	0.07086	0.03167
V188	0.07285	0.10449	0.06574	0.04653	0.67005	0.00674	0.01065	0.01495	0	0.00799
V189	0.88268	0.00311	0	0.03432	0.02252	0.01611	0	0.02194	0	0.01931
V190	0	0.00739	0.02959	0.01082	0.14236	0.07311	0.02277	0	0.71396	0
V191	0	0.02417	0.14729	0.33938	0.40022	0.01391	0.04135	0.03367	0	0
V192	0	0.02507	0.09644	0	0.38854	0.00688	0	0.01745	0.00177	0.46386
V193	0.05247	0.02761	0.24521	0.28239	0.13778	0.02834	0.10046	0.10259	0.02314	0
V194	0	0	0	0.0335	0.01175	0.68362	0.19785	0.02467	0.04409	0.00452
V195	0.01364	0.07663	0.04148	0.00016	0.08785	0.23607	0.4036	0.09735	0.03901	0.00421
V196	0.76233	0.01342	0.01829	0.17016	0.02102	0.00129	0	0.00991	0	0.00357
V197	0	0.0041	0.02032	0.21721	0.04469	0.00481	0.00698	0.49068	0.21122	0
V198	0	0.01947	0.06363	0	0.57301	0.23858	0.04763	0	0.05736	0.00032
V199	0.00232	0.04688	0.1403	0	0.3718	0.03541	0.10487	0.00769	0.01484	0.27588
V200	0	0.02811	0.04538	0.00126	0.43555	0.1588	0.17885	0.1432	0.00137	0.00749
V201	0.1829	0.04142	0.0281	0	0.07777	0.01255	0.07978	0.00835	0.55502	0.01411
V202	0.03227	0.22781	0.51714	0	0.09534	0.00724	0.05691	0.00737	0.05593	0
V203	0	0.06138	0.44409	0.09535	0.05941	0.02289	0.07903	0	0.23527	0.00258
V204	0	0.14421	0.31434	0.25569	0.07369	0.08223	0.01701	0.08738	0.02545	0
V205	0.03618	0.09714	0.03851	0.00101	0.0222	0.12731	0.42099	0.12488	0.13179	0
V206	0.30816	0	0.61544	0	0.04396	0	0	0	0.00311	0.02933
V207	0	0.12459	0.09555	0.05431	0.20049	0	0.00733	0	0.23219	0.28553
V208	0	0	0.01274	0.07606	0.0272	0.6783	0.09232	0	0.10466	0.00871
V209	0.03826	0.02763	0.13424	0	0.78909	0.01078	0	0	0	0
V210	0.05691	0.02232	0.10284	0	0.61379	0.01551	0.00343	0.16705	0.00518	0.01297
V211	0.02923	0.0421	0.70817	0	0.04069	0.01204	0.04399	0.04376	0.0795	0.00052
V212	0.07108	0.04412	0.00217	0.04283	0.06096	1e-04	0.00138	0.43128	0.34608	0
V213	0.09162	0	0.0131	0.02415	0.16159	0.59013	0.08056	0.00979	0.01196	0.0171
V214	0	0.06215	0.03632	0	0.2918	0.13343	0.36418	0.03325	0.02466	0.05422
V215	0	0.07821	0.02171	0	0	0.15699	0.6127	0.066	0.0644	0
V216	0.01694	0.51214	0.0378	0	0.42339	0	9e-04	0.00883	0	0
V217	0.00944	0.14028	0.08071	0.08342	0.25817	0.24517	0.03208	0.06425	0.02236	0.06412
V218	0.0077	0.00479	0.01677	0.01709	0.02757	0.62063	0.2178	0.0165	0.03597	0.03518
V219	0	0	0	0.12924	0.00442	0.01616	0.02153	0.82865	0	0
V220	0	0.01617	0.06007	0.3437	0.04974	2e-05	0.01588	0.06373	0.45069	0
V221	0.14511	0.06931	0.33872	0	0.07976	0	0.01697	0.10617	0.19078	0.05318
V222	0.04018	0	0.76917	0	0.00097	0.15783	0.01592	0	0.01593	0
V223	0.0316	0	0.81241	0	0.00874	0.07784	0.05206	0	0.01735	0
V224	0.01834	0	0.70597	0	0.02036	0.00227	0	0.08834	0.16472	0
V225	0	0	0.36527	0.30473	0.00823	0.01861	0.00366	0.2995	0	0
V226	0.02648	0.53287	0.01449	0.01236	0.2224	0	0	0.19139	0	0
V227	0.03336	0	0.71298	0	0.23907	0	0	0	0.0146	0
V228	0.03479	0.44123	0.0848	0.01008	0.18861	0	0.00089	0.19496	0.04387	0.00076
V229	0.63407	0	0	0	0.01399	0.27351	0.04083	0.0376	0	0
V230	0	0.03256	0.10231	0.36109	0.07671	0.03142	0.09632	0.01022	0.03338	0.256
V231	0.01032	0.16746	0.03789	0.02218	0.1251	0.08268	0.0225	0	0.53187	0
V232	0.03896	0.27282	0.46551	0	0.12541	0	0	0.09668	0	0.00061
V233	0	0.01908	0.06331	0.01518	0.63412	0.01205	0.00626	0	0.25001	0
V234	0.00694	0.02097	0.01393	0.04066	0.20209	0.04348	0.13696	0.53456	0	0.00041
V235	0.02521	0	0.40296	0	0.0132	0.00088	0	0.5529	0	0.00485
V236	0	0.00162	0.25839	0.23272	0.02482	0.3762	0.06081	0	0.04544	0
V237	0.02415	0.01198	0.50152	0.0781	0.29642	0.03482	0.00616	0.04005	0.0068	0
V238	0.01296	0.01382	0.319	0.0088	0.04319	0	0	0.60223	0	0
V239	0	0.13024	0.10837	0.49493	0.10994	0.03378	0.04399	0.0045	0.01295	0.0613
V240	0.04103	0.0405	0.038	0	0.01105	0.36225	0.39943	0.03874	0.04881	0.02019
V241	0.13604	0.0163	0.11728	0.60589	0.02924	0.03774	0.01982	0.03657	0.00111	0
V242	0	0.00289	0.04946	0.04602	0.07995	0.00234	0.01451	0	0.80483	0
V243	0	0.00906	0.05583	0.12552	0.07761	0.0689	0.05387	0	0.56623	0.04298
V244	0.02333	0.03124	0.40001	0	0	0.08379	0.32732	0.08552	0.04879	0
V245	0.14671	0.08707	0.16618	0	0.05427	0.44754	0.05742	0.03012	0.00824	0.00244
V246	0	0.22769	0.02679	0	0.06394	0.11181	0.45137	0.04403	0.07437	0
V247	0.04355	0	0.91443	0	0.01785	0	0	0	0.02405	0.00012
V248	0.49459	0.05627	0	0	0.04894	0.04631	0.10084	0.25305	0	0
V249	0.03757	0	0.74462	0	0.11818	0	0	0	0.02696	0.07267
V250	0	0.02995	0.03205	0.30647	0.04292	0.25511	0.04435	0.2799	0.00204	0.00721
V251	0.58842	0.12786	0	0	0.15116	8e-04	0	0.09088	0.03602	0.00487
V252	0.06171	0.37895	0.0221	0.04929	0.15098	0.22809	0.03238	0.0724	0	0.00409
V253	0	0	0.33161	0	0.05256	0.06611	0.02137	0	0.52834	0
V254	0	0.03257	0.08551	0.01954	0.81102	0.01329	0	0	0	0.03808
V255	0.00246	0.02783	0.04603	0	0.91323	0.0079	0.00254	0	0	0
V256	0	0.02839	0.12022	0.75556	0.01266	0.04661	0.02578	0.00133	0.00944	0
V257	0.40928	0	0.41433	0	0.00732	0.14189	0.02396	0	0.00244	0.00079
V258	0	0.02767	0.06219	0	0.80843	0.00719	0.00804	0	0	0.08648
V259	0.04728	0	0.00117	0.14305	0.13922	0.00638	0.00066	0.66223	0	0
V260	0	0.11151	0	0.0721	0.05697	0	0	0.75941	0	0
V261	0.18106	0.03754	0.00924	0	0.02761	0.34151	0.27202	0.02532	0.09376	0.01193
V262	0.00424	0.32035	0.11998	0	0.14976	0.32119	0.04051	0.01919	0	0.02478
V263	0.43811	0.3297	0	0	0.16529	0.00933	0.02926	0.00195	0	0.02637
V264	0	0.02514	0.10711	0.5321	0.27285	0.02739	0.03384	0.00124	0.00033	0
V265	0	0.24906	0.08644	0.27899	0.11495	0.05226	0.11661	0.01329	0.01422	0.07418
V266	0.03095	0.53095	0.12822	0	0.21765	0	0.00464	0.02373	0.06387	0
V267	0	0.19162	0.10133	8e-05	0.20967	0.01017	0	0.00086	0.00155	0.48472
V268	0	0.22925	0.08122	0.10933	0.50952	0.00503	0.01478	0.01776	0.02619	0.00691
V269	0	0.01339	0.36037	0.55237	0.01843	0.0031	0.01456	0.01039	0.0274	0
V270	0.02282	0.02673	0.04569	0	0.89899	0.00578	0	0	0	0
V271	0.01058	0.00941	0.18793	0	0.1029	0.00543	0.03113	0	0.65263	0
V272	0.00313	0.11612	0.08284	0.02473	0.09904	0.14626	0.03298	0.22236	0.22709	0.04545
V273	0	0	0.03509	0.20684	0.07765	0.57588	0.07961	7e-04	0.02284	0.00139
V274	0.04568	0.02264	0.14257	0.00716	0.12633	0.16093	0.01644	0.06648	0.0396	0.37218
V275	0	0.10035	0.06349	0	0.64196	0.05751	0.00516	0.00029	0	0.13124
V276	0	0.10026	0.08369	0.38054	0.10493	0.02582	0.1061	0.03048	0.12638	0.0418
V277	0.01195	0.1709	0.53767	0.18122	0.08404	0	0.00413	0.00831	0.00179	0
V278	0.0939	0.04947	0.13078	0	0.17025	0	0	0.00101	0.00719	0.5474
V279	0	0.14394	0.07572	0.26269	0.26154	0.05541	0.17707	0.01686	0.00677	0
V280	0.06622	0.02759	0.04047	0.06915	0.14112	0.28795	0.21695	0.12428	0.02101	0.00525
V281	0	0.01296	0.02703	0.02575	0.06372	0.65647	0.0934	0.01037	0.03311	0.07719
V282	0	0.02836	0.11642	0.74872	0.01438	0.0053	0.01971	0.03365	0.03347	0
V283	0.05654	0.01232	0.07939	0.04946	0.48359	0.04343	0.01137	0.02307	0.24083	0
V284	0	0.02312	0.30097	0	0.15023	0	0	0.00572	0.01227	0.50769
V285	0	0.10893	0.04963	0.02278	0.11432	0.00949	0.03191	0.38524	0.02485	0.25285
V286	0	0.00034	0.11306	0.03959	0.09476	0.42686	0.05725	0.00083	0.01867	0.24866
V287	0	0.06083	0.05969	0	0.082	0.10335	0.33476	0.03363	0.04097	0.28476
V288	0.0067	0	0	0.07218	0.01757	0.22399	0.01794	0.66164	0	0
V289	0.03455	0.12567	0.68501	0	0.13237	0	0	0	0.00267	0.01973
V290	0	0.052	0.1739	0	0.00147	0.30045	0.38139	0.04618	0.03918	0.00541
V291	0.79518	0.00129	0.05169	0.02449	0.03871	0.06482	0.00753	0.01016	0	0.00613
V292	0.02355	0	0.54154	0	0.01168	0.3582	0.04334	0	0.02034	0.00135
V293	0.05927	0	0.86794	0	0.01534	0	0	0.0332	0.00972	0.01454
V294	0.03069	0.17332	0.19604	0.00107	0.11533	0.00494	0.05481	0.00396	0.41984	0
V295	0.03749	0.03569	0.73793	0	0.04092	0.0171	0.00176	0.07549	0.00631	0.04731
V296	0	0.02308	0.11331	0.13741	0.27622	0.01212	0.02318	0.11676	0.29791	0
V297	0.1962	0.07327	0.06435	0	0.19379	0.00825	0.04094	0.01761	0	0.4056
V298	0	0.02914	0.14901	0.72774	0.00954	0.01551	0.03096	0.01251	0.02558	0
V299	0.29401	0	0	0.00158	0.13258	0.4856	0.05595	0.00244	0.00482	0.02301
V300	0	0.00109	0.0316	0.25033	0.1729	0.01466	0.00732	0.5221	0	0
V301	0	0	0	0.09777	0	0.01193	0	0.89029	0	0
