Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V117	0.01727	0.01503	0	0	0	0.21099	0.75117	0.00553	0	0
V118	0.01575	0	0.01145	0	0	0.91164	0.04925	0	0.01191	0
V119	0	0.01957	0.07596	0.58135	0	0.19378	0.03668	0	0.09266	0
V120	0.66621	0	0.23143	0	0	0.0997	0	0.00265	0	0
V121	0.05642	0.0765	0.31647	0	0.02538	0.20507	0.262	0.02708	0	0.03108
V122	0.03711	0.00989	0.14284	0	0	0.07963	0.09283	0.00144	0.63625	0
V123	0.02998	0	0.04499	0	0.37748	0	0	0.54754	0	0
V124	0.65964	0.01233	0	0	0	0	0	0.32803	0	0
V125	0.03037	0.10316	0.13314	0	0.0349	0.07889	0	0.61953	0	0
V126	0.00582	0.04109	0.06608	0	0.80277	0	0	0.08424	0	0
V127	0.05623	0	0.62088	0	0	0.04217	0.16163	0.00744	0.11163	0
V128	0.03272	0.099	0.46415	0	0.34944	0.04096	0	0.01373	0	0
V129	0.03188	0.04466	0.09672	0.21984	0.0747	0.00746	0.004	3e-05	0.51782	0.00289
V130	0.05265	0	0.42991	0	0	0	0	0.51744	0	0
V131	0.05911	0.3042	0.5454	0	0.07394	0.0031	0.00655	0.00559	0.00211	0
V132	0.1128	0.01213	0.00781	0	0.05096	0.1408	0.5223	0.1532	0	0
V133	0.02191	0.01605	0.06128	0.15434	0	0.08642	0.01732	0.64269	0	0
V134	0.02535	0.0141	0.32021	0	0.32245	0.03023	0.12932	0.01549	0	0.14283
V135	0.04092	0.12563	0.19282	0	0.02583	0.00195	0.00814	0.00206	0.60264	0
V136	0	0.4871	0.04964	0.16962	0.17739	0	0	0	0	0.11625
V137	0.00693	0.01722	0.02343	0	0.00456	0.48165	0.38563	0	0.08058	0
V138	0.01629	0.03067	0.02714	0	0.05397	0.13344	0.48919	0.00388	0.02625	0.21917
V139	0.58358	0	0.01254	0	0.06254	0.08713	0	0.00266	0.25154	0
V140	0.03831	0.0086	0.41	0.45466	0.0099	0.05211	0.01795	0.0032	0	0.00527
V141	0.00151	0.01481	0.08723	0.81983	0	0.02669	0.02015	0	0.00342	0.02636
V142	0.00332	0.01319	0.04471	0.25717	0	0.14422	0.51922	0.00486	0	0.01331
V143	0.00858	0.67547	0.03331	0.0508	0.22419	0.00168	0.00535	0.00062	0	0
V144	0.00408	0.00352	0.00789	0	0	0.51587	0.43897	0.0252	0.00447	0
V145	0.03299	0.07187	0.09287	0.53098	0	0.0078	0	0.2635	0	0
V146	0.0437	0	0.55625	0	0.01769	0.00621	0.01298	0.18491	0	0.17826
V147	0.02605	0	0.05621	0	0.16275	0	0	0.03211	0.59652	0.12636
V148	0.04615	0.00772	0.03254	0.00022	0	0.05185	0.02286	0	0.83865	0
V149	0.00751	0.01118	0.07898	0.59804	0	0	0.00251	0.14424	0.15751	3e-05
V150	0.06114	0	0.05775	0	0.27725	0	0	0.00954	0	0.59431
V151	0.00212	0	0.08328	0	0.15397	0.07835	0	0	0	0.68227
V152	0.03282	0	0.02807	0	0.01904	0	0	0.85014	0	0.06993
V153	0.0063	0	0.06003	0	0.79504	0	0	0.13864	0	0
V154	0.09148	0	0.71182	0.17167	0	0.01369	0.00399	0.00735	0	0
V155	0.0673	0	0.03116	0	0	0.04314	0	0.6501	0.2083	0
V156	0.10762	0.00615	0.21254	0	0	0.48988	0.02989	0.05279	0.10111	0
V157	0.00217	0.33104	0.05724	0.03004	0.33167	0.23738	0.00857	0	0	0.0019
V158	0.27018	0.45448	0.01805	0	0.1959	0	0.00106	0.06033	0	0
V159	0.03775	0.00443	0.33278	0	0.3899	0.00818	0	0.13497	0	0.09199
V160	0.02771	0.7204	0.01358	0	0.23277	0	0	0.00027	0	0.00527
V161	0	0.01343	0.08139	0.84677	0	0.00956	0.02073	0	0.02415	0.00397
V162	0	0	0.06743	0	0.1868	0	0	0	0	0.74577
V163	0.14139	0	0.81071	0	0	0.00588	0	0.04202	0	0
V164	0.07557	0	0.89351	0	0	0.01388	0.00685	0.01018	0	0
V165	0.02387	0	0.40404	0	0.09994	0	0	0.02207	0	0.45008
V166	0.04051	0.08379	0.08386	0.6008	0.00081	0.00391	0.01883	0.09965	0.04317	0.02467
V167	0.9183	0	0	0	0	0	0	0.00451	0.07719	0
V168	0.06856	0.00144	0.02722	0	0	0.23352	0	0.48554	0.17784	0.00588
V169	0	0	0.08219	0.17296	0.08026	0.20108	0.00285	0.01607	0	0.44458
V170	0.04972	0	0.03512	0.00152	0	0.00367	0.00039	0.00034	0.90924	0
V171	0.0223	0	0.31458	0.00981	0.00016	0.41598	0.04006	0.06832	0.12878	0
V172	0.00939	0.02851	0.00967	0	0	0.33494	0.55514	0.01544	0.04691	0
V173	0.01327	0.00292	0.01954	0	0.04024	0.14995	0.47221	0.00297	0.00969	0.28921
V174	0.00986	0.05372	0.31116	0.36828	0.14349	0.0205	0.01106	0.02353	0	0.05839
V175	0.86257	0	0.11016	0	0	0.00303	0.00725	0.01698	0	0
V176	0.16213	0	0.00419	0	0	0.75294	0.02513	0	0.05251	0.00309
V177	0.74274	0	0.07627	0.01777	0.00921	0	0	0.0254	0	0.12861
V178	0.17569	0	0.03525	0	0.05291	0.6728	0.02383	0	0	0.03951
V179	0.14072	0	0.06223	0	0.79488	0	0	0.00216	0	0
V180	0.4407	0.10234	0.09059	0.3451	0.00355	0.00733	0.00821	0.00218	0	0
V181	0.05801	0.11016	0.69995	0	0.04841	0.01891	0.05716	0.00738	0	0
V182	0.02328	0	0.06712	0	0.32837	0	0	0.56651	0.01472	0
V183	0.00762	0.14049	0.06733	0.63191	0.00552	0.0348	0.11195	0.00039	0	0
V184	0.16524	0	0.02353	0	0.00908	0.63229	0.01317	0.03488	0	0.1218
V185	0.60664	0	0.07895	0.13365	0	0	0	0.13658	0.04419	0
V186	0.8859	0.00103	0.0817	0.00201	0	0.00305	0.00746	0.01885	0	0
V187	0.77418	0	0.11632	0	0	0	0	0.01544	0.06057	0.03348
V188	0.06553	0.07486	0.08288	0.03752	0.70126	0	0.00747	0.02417	0	0.00633
V189	0.89384	0	0.05231	0	0	0.01563	0	0.01753	0	0.02069
V190	0.03288	0.00434	0.0367	0	0.05237	0.08839	0.0021	0	0.78322	0
V191	0.0109	0.00274	0.1457	0.35659	0.40824	0.00395	0.03631	0.03557	0	0
V192	0	0	0.07142	0	0.38372	0	0	0.02	0	0.52486
V193	0.08638	0.01231	0.27423	0.28393	0.11391	0.01979	0.10141	0.10715	0.00091	0
V194	0	0	0.01514	0	0	0.81182	0.16037	0.00214	0.01052	0
V195	0.03942	0.0427	0.01628	0	0.08367	0.2818	0.45844	0.07234	0	0.00536
V196	0.78473	0	0.07541	0.13305	0	0	0	0.00466	0	0.00215
V197	0.03487	0.007	0.06952	0.15835	0	0	0	0.51758	0.21268	0
V198	0.00231	0	0.07026	0	0.61566	0.25129	0.02299	0	0.03749	0
V199	0.01861	0	0.12374	0	0.39867	0.0326	0.10779	0.00137	0	0.31721
V200	0.00697	0	0.03828	0	0.47344	0.15883	0.17804	0.14445	0	0
V201	0.21233	0.02202	0.02326	0	0	0.02016	0.06848	0.01155	0.62271	0.01948
