CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V201	0.07912	0.01597	0.01751	0.66673	0.15136	0.06931
V202	0.13924	0.04066	0.35991	0.07421	0.20549	0.18049
V203	0.42114	0.04808	0.06146	0.28131	0.09001	0.09801
V204	0.24693	0.02379	0.10032	0.16427	0.09501	0.36968
V205	0.05232	0.02393	0.70783	0.06148	0.08598	0.06846
V206	0.07099	0.05202	0.10802	0.55196	0.16804	0.04897
V207	0.31588	0.14846	0.08735	0.21207	0.1116	0.12464
V208	0.30239	0.07733	0.33362	0.08364	0.11845	0.08456
V209	0.27315	0.33722	0.069	0.07806	0.09213	0.15044
V210	0.12094	0.02534	0.65221	0.0477	0.07965	0.07416
V211	0.39578	0.03369	0.14256	0.05915	0.19623	0.17258
V212	0.09012	0.20786	0.18552	0.29861	0.16195	0.05594
V213	0.0909	0.05364	0.23773	0.07074	0.49508	0.05191
V214	0.55046	0.04629	0.09531	0.09556	0.09411	0.11827
V215	0.17723	0.4285	0.06691	0.07684	0.09277	0.15776
V216	0.16755	0.3581	0.26004	0.05827	0.10085	0.05519
V217	0.23687	0	0.09298	0.10984	0.30529	0.25501
V218	0.12142	0.24865	0.03937	0.40072	0.14498	0.04486
V219	0.5632	0.02527	0.09612	0.05765	0.06835	0.18941
V220	0.13327	0.02489	0.03531	0.6016	0.13951	0.06541
V221	0.1669	0.48973	0.08498	0.1051	0.10556	0.04772
V222	0.13096	0.20598	0.07564	0.15016	0.37425	0.06301
V223	0.1627	0.21988	0.24775	0.05484	0.10393	0.2109
V224	0.05715	0.00229	0.34149	0.05176	0.49691	0.0504
V225	0.30006	0	0.09656	0.05685	0.07625	0.47027
V226	0.23676	0.04949	0.19662	0.23767	0.18494	0.09452
V227	0.45582	0.02058	0.07077	0.20517	0.08681	0.16085
V228	0.15555	0.18121	0.37578	0.08693	0.11374	0.08679
V229	0.16818	0.01568	0.30938	0.21884	0.20284	0.0851
V230	0.0919	0.1292	0.56735	0.05373	0.08352	0.07429
V231	0.10125	0.03215	0.02632	0.6208	0.16614	0.05335
V232	0.34621	0.01243	0.05902	0.24665	0.09618	0.23952
V233	0.55624	0.03809	0.09586	0.10164	0.08031	0.12785
V234	0.35019	0.0134	0.06017	0.0672	0.41988	0.08915
V235	0.12069	0.01658	0.041	0.60176	0.1554	0.06458
V236	0.11777	0	0.18704	0.06275	0.48023	0.15221
V237	0.05211	0.0085	0.64379	0.12256	0.10619	0.06686
V238	0.45437	0.01292	0.1057	0.11279	0.10028	0.21394
V239	0.38551	0.04003	0.14057	0.14441	0.17492	0.11457
V240	0.08257	0.17768	0.04293	0.13118	0.52451	0.04113
V241	0.40153	0.14016	0.06811	0.17303	0.11824	0.09894
V242	0.2881	0.03564	0.09397	0.17083	0.1548	0.25666
V243	0.09687	0.28914	0.36526	0.08096	0.11729	0.05049
V244	0.18337	0.00541	0.0624	0.05158	0.51123	0.18602
V245	0.5279	0.01737	0.08951	0.05642	0.07706	0.23174
V246	0.07023	0.04377	0.20093	0.30009	0.32947	0.05551
V247	0.29836	0.05695	0.07065	0.17684	0.10113	0.29608
V248	0.22811	0.03034	0.04607	0.20115	0.40615	0.08818
V249	0.22442	0.13016	0.32353	0.10667	0.08232	0.1329
V250	0.0742	0.03214	0.02375	0.66327	0.15176	0.05488
V251	0.11898	0.40434	0.15123	0.16786	0.10951	0.04809
V252	0.0679	0.02278	0.0524	0.61485	0.18342	0.05864
V253	0.15283	0.03969	0.04966	0.31918	0.21572	0.22292
V254	0.11257	0.19237	0.09926	0.17662	0.34485	0.07433
V255	0.30122	0.22779	0.11396	0.0958	0.13056	0.13067
V256	0.13734	0.56063	0.06847	0.06496	0.11886	0.04974
V257	0.12656	0.29365	0.07599	0.07116	0.35831	0.07433
V258	0.09569	0.18835	0.13461	0.40166	0.12202	0.05766
V259	0.10794	0.3986	0.28009	0.06351	0.0921	0.05775
V260	0.15121	0.02578	0.06293	0.06531	0.58046	0.11431
V261	0.38133	0.02396	0.09263	0.07935	0.24467	0.17806
V262	0.09989	0.01682	0.62768	0.05576	0.13407	0.06578
V263	0.07059	0.05417	0.50438	0.19595	0.1054	0.06952
V264	0.43293	0.02833	0.14559	0.07939	0.12077	0.19299
V265	0.08599	0.00022	0.04567	0.07368	0.74543	0.04902
V266	0.30042	0.01179	0.09529	0.0581	0.08386	0.45054
V267	0.20651	0.46897	0.06466	0.10595	0.10336	0.05055
V268	0.60414	0.03272	0.08442	0.06539	0.06049	0.15284
V269	0.08419	0.0517	0.11663	0.53544	0.15756	0.05448
