Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V220	0	0.17893	0.07072	0.31387	0	0	0.03483	0	0.40165	0
V221	0.0125	0.19349	0.53699	0	0.03293	0	0.03949	0	0.18344	0.00117
V222	0	0	0.88531	0	0	0.03012	0.08456	0	0	0
V223	0	0.00817	0.87535	0	0	0	0.11648	0	0	0
V224	0	0.09837	0.77718	0	0	0	0.04927	0	0.07518	0
V225	0	0.05238	0.40287	0.37116	0	0	0.06975	0.10384	0	0
V226	0	0.78887	0.07458	0	0.03907	0	0.07484	0.02264	0	0
V227	0	0.04464	0.83304	0	0.12232	0	0	0	0	0
V228	0	0.67177	0.1528	0	0.06636	0	0.07803	0.03105	0	0
V229	0.71484	0	0	0	0	0.28516	0	0	0	0
V230	0	0.08255	0.08499	0.38155	0	0	0.15145	0	0	0.29946
V231	0	0.34172	0.03394	0	0	0	0.05395	0	0.57039	0
V232	0	0.39905	0.58846	0	0	0	0.01249	0	0	0
V233	0	0.16779	0.06792	0	0.73266	0	0.03163	0	0	0
V234	0	0.16942	0	0	0.0941	0.00029	0.32794	0.40824	0	0
V235	0	0.03659	0.50803	0	0	0	0.02154	0.43384	0	0
V236	0	0.01517	0.30521	0.22206	0	0.40834	0.04923	0	0	0
V237	0	0.12289	0.66606	0	0.14119	0	0.06986	0	0	0
V238	0	0.08163	0.40436	0	0	0	0.01386	0.50015	0	0
V239	0	0.22085	0.10225	0.61476	0	0	0.05126	0	0	0.01088
V240	0	0.08767	0	0	0	0.46552	0.44681	0	0	0
V241	0.1437	0.00028	0.0324	0.82362	0	0	0	0	0	0
V242	0	0.1388	0	0	0	0	0	0	0.8612	0
V243	0	0.12786	0.1103	0	0	0	0.12591	0	0.63594	0
V244	0	0.1293	0.32039	0	0	0.06521	0.4851	0	0	0
V245	0.07693	0.11863	0.28306	0	0	0.49507	0.0263	0	0	0
V246	0	0.30294	0	0	0	0.14977	0.5473	0	0	0
V247	0	0	1	0	0	0	0	0	0	0
V248	0.45758	0.1631	0.05173	0	0	0.02449	0.20653	0.09657	0	0
V249	0	0.00249	0.93416	0	0.06335	0	0	0	0	0
V250	0	0.08881	0.02847	0.34708	0	0.33079	0.07487	0.12998	0	0
V251	0.59872	0.28304	0.09859	0	0.01802	0	0.00162	0	0	0
V252	0.01835	0.52668	0.1302	0	0	0.25678	0.06798	0	0	0
V253	0	0.11081	0.33313	0	0	0	0.03463	0	0.52142	0
V254	0	0.09178	0.15976	0	0.74846	0	0	0	0	0
V255	0	0.08763	0.08495	0	0.82742	0	0	0	0	0
V256	0	0.00109	0	0.99891	0	0	0	0	0	0
V257	0.33665	0	0.57339	0	0	0.06532	0.02464	0	0	0
V258	0	0.05481	0.11855	0	0.82664	0	0	0	0	0
V259	0	0.13631	0.15829	0	0	0	0.08431	0.62109	0	0
V260	0	0.21318	0	0	0	0	0	0.78682	0	0
V261	0.09273	0.11271	0.01857	0	0	0.40989	0.32284	0	0.04325	0
V262	0	0.41857	0.16414	0	0.02738	0.33331	0.05659	0	0	0
V263	0.45178	0.45806	0.0712	0	0	0	0.01895	0	0	0
V264	0	0.1939	0.21248	0.5271	0	0	0.06652	0	0	0
V265	0	0.35993	0.10194	0.27821	0	0.01868	0.1993	0	0	0.04194
V266	0	0.72145	0.20615	0	0.06464	0	0.00775	0	0	0
V267	0	0.17431	0.09008	0	0.10121	0	0	0	0	0.6344
V268	0	0.38781	0.20812	0	0.35438	0	0.04969	0	0	0
V269	0	0	0.31334	0.68666	0	0	0	0	0	0
V270	0	0.07746	0.10178	0	0.82077	0	0	0	0	0
V271	0	0.15508	0.16573	0	0	0	0	0	0.67919	0
V272	0	0.25701	0.08937	0	0	0.10176	0.13843	0.09433	0.31359	0.00552
V273	0	0.00225	0.10647	0.13156	0	0.72921	0.03052	0	0	0
V274	0	0.02116	0.20559	0	0.09326	0.08042	0.07458	0	0.02757	0.49741
V275	0	0.14086	0.11024	0	0.63468	0	0.0314	0	0	0.08282
V276	0	0.26101	0.09748	0.39059	0	0	0.21596	0	0.03496	0
V277	0	0.2175	0.62309	0.15941	0	0	0	0	0	0
V278	0.0325	0	0.16527	0	0.03856	0	0	0	0	0.76367
V279	0	0.31947	0.14268	0.16255	0.02883	0.03003	0.31644	0	0	0
V280	0	0.1425	0.09891	0	0.06043	0.34351	0.33993	0.01471	0	0
V281	0	0	0.03078	0	0	0.83744	0.02606	0	0.04234	0.06339
V282	0	0.01831	0	0.98169	0	0	0	0	0	0
V283	0	0.16727	0.17504	0	0.52669	0	0.07228	0	0.05873	0
V284	0	0	0.2991	0	0.05883	0	0	0	0	0.64207
V285	0	0.19674	0.0216	0	0.05155	0	0.09449	0.26457	0.02989	0.34116
V286	0	0	0.14767	0	0.02767	0.45083	0.03724	0	0.01032	0.32626
V287	0	0.10048	0	0	0	0.09491	0.44819	0	0.06384	0.29258
V288	0	0.00563	0	0	0	0.28368	0.04164	0.66906	0	0
V289	0	0.18975	0.81025	0	0	0	0	0	0	0
V290	0	0.11349	0.05829	0	0	0.35922	0.46901	0	0	0
V291	0.85816	0.00737	0.08166	0.04796	0	0.00485	0	0	0	0
V292	0	0	0.62931	0	0	0.31727	0.05342	0	0	0
V293	0	0	1	0	0	0	0	0	0	0
V294	0	0.3466	0.21093	0	0	0	0.0509	0	0.39157	0
V295	0	0.07991	0.87833	0	0	0	0.04176	0	0	0
V296	0	0.21366	0.21545	0	0.14757	0	0.12329	0	0.30003	0
V297	0.12306	0.07659	0.13637	0	0.12041	0	0	0	0	0.54357
V298	0	0.0222	0.01117	0.96663	0	0	0	0	0	0
V299	0.27982	0	0.08113	0	0.08141	0.55764	0	0	0	0
V300	0	0.16896	0.16007	0.13545	0	0	0.12843	0.40709	0	0
V301	0	0	0	0	0	0	0	1	0	0
V302	0.145	0	0.19459	0	0	0	0	0.66041	0	0
V303	0	0.51495	0.19437	0	0.00858	0.23074	0.05136	0	0	0
V304	0	0	0.01241	0	0	0	0	0.98759	0	0
V305	0	0.05266	0.55291	0	0.35663	0	0.03779	0	0	0
V306	0	0.03848	0.02665	0.35885	0	0.52643	0.04958	0	0	0
V307	0	0.19148	0.09323	0	0.7153	0	0	0	0	0
V308	0	0.80866	0.13565	0	0.00829	0	0.0474	0	0	0
V309	0	0.24689	0.08222	0	0.67089	0	0	0	0	0
V310	0.14693	0.12721	0.19372	0	0.5086	0	0.02353	0	0	0
V311	1	0	0	0	0	0	0	0	0	0
V312	0	0.02558	0.17652	0	0.08684	0	0.02769	0.08632	0.05263	0.54442
V313	0	0	0	0	0	0.62714	0.01244	0.36041	0	0
V314	0.02487	0.3885	0.40237	0	0.18426	0	0	0	0	0
V315	0	0.10751	0.43377	0	0	0.02621	0.43251	0	0	0
V316	0	0	0	0	0	0.96063	0	0.03937	0	0
V317	0	0.07624	0.13776	0	0.0792	0	0.21167	0	4e-05	0.4951
V318	0	0.52583	0.39407	0	0	0	0.0801	0	0	0
V319	0	0.11173	0	0	0	0.18063	0.56558	0	0.04196	0.1001
V320	0	0.01541	0.66773	0.31686	0	0	0	0	0	0
V321	0	0.04486	0	0	0	0.48237	0.00596	0	0.46681	0
V322	0	0.03414	0.27077	0	0.02078	0.00254	0.14955	0	0.01937	0.50285
V323	0	0.02359	0.02577	0.82205	0	0.12858	0	0	0	0
V324	0.19041	0.06835	0.07553	0	0	0.28243	0.02578	0	0.3575	0
V325	0	0.12723	0	0	0	0.21744	0.63107	0.02426	0	0
V326	0	0	0.98775	0.01225	0	0	0	0	0	0
V327	0	0	0	0	0.03338	0.93377	0.02254	0	0.01031	0
V328	0	0.13986	0.22572	0	0	0	0	0.63441	0	0
V329	0	0.8215	0.08117	0	0.00019	0	0.09715	0	0	0
V330	0	0.02974	0.00916	0.05096	0	0.01033	0.06699	0.83282	0	0
V331	0	0.03891	0.00745	0	0.05901	0	0	0.20656	0.22418	0.46388
V332	0	0.13621	0.20622	0	0.60351	0	0.05405	0	0	0
V333	0	0.10469	0.30377	0	0.55776	0	0.03377	0	0	0
V334	0	0.17753	0.05546	0	0	0	0.23538	0	0.53164	0
V335	0	0.24012	0.40216	0	0.04221	0	0.00177	0	0	0.31374
V336	0	0.1419	0.07648	0	0	0	0.08406	0	0.69755	0
V337	0	0.07748	0.01154	0.75348	0	0.01097	0.14652	0	0	0
V338	0.2254	0.10783	0.24183	0	0	0	0.06623	0	0.34103	0.01768
V339	0	0.19282	0.20669	0	0.06233	0	0	0	0.53815	0
V340	0	0	0	0	0	0.04912	0	0.95088	0	0
V341	0.02484	0.18002	0.17664	0	0.55087	0	0.06763	0	0	0
V342	0	0	0.08475	0	0.62434	0	0	0	0	0.2909
V343	0	0.14823	0.15341	0	0	0	0.1849	0	0.51196	0.00149
V344	1	0	0	0	0	0	0	0	0	0
V345	0	0.82371	0.11933	0	0.05696	0	0	0	0	0
V346	0	0.08495	0.16912	0	0	0	0.01029	0.53685	0	0.19879
V347	0	0	0.08157	0	0.0929	0.04829	0.02638	0	0	0.75086
V348	0	0.06936	0.05798	0	0.62849	0.17892	0.06526	0	0	0
V349	0	0.73597	0.04726	0	0	0	0.21676	0	0	0
V350	0	0.17819	0.03146	0.09103	0	0.09422	0.4536	0	0.1515	0
V351	0	0.12637	0.11677	0	0	0.23632	0.49145	0	0.02909	0
V352	0	0.02675	0.07765	0	0.21114	0.25205	0.06368	0	0.13692	0.2318
V353	0	0	0	0	0	0.57555	0.0784	0.31061	0.00641	0.02903
V354	0	0.13333	0	0	0	0.09155	0.06078	0	0.71435	0
V355	1	0	0	0	0	0	0	0	0	0
V356	0	0.13089	0	0	0	0	0.04866	0.37571	0.44474	0
V357	0	0	0.01827	0	0.06505	0.91511	0.00158	0	0	0
V358	0	0.01541	0.86599	0	0	0	0.1186	0	0	0
V359	0.20279	0.06872	0.11818	0	0	0.19401	0.03226	0	0.38404	0
V360	0	0.13967	0.13887	0	0.72092	0	0.00054	0	0	0
V361	0	0	0	0	0	1	0	0	0	0
V362	0	0.09602	0.052	0	0.29399	0	0.04418	0.51381	0	0
V363	0.2659	0.10504	0.10042	0	0.00727	0.3487	0.04532	0.03417	0	0.09318
V364	0	0.82606	0.09971	0	0.024	0	0.05023	0	0	0
V365	0	0.11079	0	0	0.00066	0.16793	0.49502	0	0.06401	0.1616
V366	0	0.04139	0.94558	0	0.01303	0	0	0	0	0
V367	0.50431	0.03726	0.07057	0.09606	0	0.13519	0.05188	0	0	0.10473
V368	0.02374	0.00744	0.17077	0	0.15598	0	0	0	0	0.64206
V369	0.14189	0.17513	0.08284	0	0	0.13487	0.02798	0	0.4373	0
V370	0	0.38203	0	0	0.02343	0.10313	0.4914	0	0	0
V371	0	0.0368	0.00355	0.95965	0	0	0	0	0	0
V372	0.39926	0.07067	0.12668	0	0.40339	0	0	0	0	0
V373	0.52265	0.03134	0.05299	0	0	0	0	0	0	0.39302
V374	0	0.28991	0.61136	0	0	0	0.09873	0	0	0
V375	0	0.35915	0.18014	0.39131	0	0	0.00043	0	0	0.06897
V376	0.01537	0.84892	0.13572	0	0	0	0	0	0	0
V377	0	0.16877	0.12101	0	0.10117	0	0.00688	0.04975	0.18172	0.3707
V378	0.28724	0.33595	0.28832	0	0.02416	0	0.04176	0	0	0.02257
V379	0	0.29658	0.04301	0	0.05757	0.48916	0.03486	0	0	0.07882
V380	0.21466	0.1257	0.07542	0	0	0.11526	0.35384	0	0	0.11511
V381	0.04061	0	0.07867	0	0	0.85519	0.02553	0	0	0
V382	0	0.06397	0.18608	0	0.00722	0	0	0	0.63243	0.1103
V383	0.04582	0	0.06259	0	0	0.89159	0	0	0	0
V384	0	0.04629	0	0	0.03646	0.04905	0.2309	0.09629	0.04705	0.49396
V385	0	0.16228	0.03579	0.43257	0	0.07684	0.29252	0	0	0
V386	0.27305	0.03075	0.64675	0	0	0	0.01583	0.03361	0	0
V387	0	0.13982	0	0	0	0.25267	0.60751	0	0	0
V388	0.00417	0.02749	0.37037	0.12749	0	0	0.0346	0.43589	0	0
V389	0	0	0.54693	0	0.04525	0	0	0	0	0.40782
V390	0	0.16807	0	0	0	0.15609	0.56832	0	0.10751	0
V391	0	0.13506	0	0	0	0.2215	0.62393	0.01951	0	0
