Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V365	0.4319	0.43154	0	0.13656	0	0
V366	0.05812	0.28759	0.58156	0.0638	0.00894	0
V367	0	0.01366	0	0.70112	0.28522	0
V368	0	0.12321	0.04949	0.02405	0.09506	0.7082
V369	0	0.05042	0	0.09329	0.8309	0.02539
V370	0	0.10008	0.76046	0.13344	0	0.00601
V371	0	0.26192	0	0.60926	0	0.12883
V372	0	0.81795	0	0.02079	0.12472	0.03654
V373	0.91024	0.03746	0	0	0	0.0523
V374	0.16778	0.03731	0.2505	0.54442	0	0
V375	0.46891	0.04762	0.17747	0.05625	0.24975	0
V376	0	0.00254	0	0.14568	0	0.85178
V377	0.03966	0.03882	0.44729	0	0.47422	0
V378	0	0.04772	0.18796	0	0	0.76432
V379	0.42841	0.01077	0.0894	0	0	0.47141
V380	0	0.05111	0	0.04028	0.90861	0
V381	0.35365	0.05977	0.30623	0.28035	0	0
V382	0	0.03518	0	0.25174	0.71307	0
V383	0.18862	0.06511	0.43206	0.31421	0	0
V384	0.02773	0.04831	0.92396	0	0	0
V385	0	0	0	0	0	1
V386	0.6841	0.07067	0.24523	0	0	0
V387	0.21409	0.03703	0.02051	0.72837	0	0
V388	0.82854	0.07696	0.09451	0	0	0
V389	0.18671	0.06702	0	0	0	0.74627
V390	0	0.04628	0	0.88158	0	0.07214
V391	0	0.02973	0	0.7105	0.25978	0
V392	0	0.02076	0.55559	0.07684	0	0.34681
V393	0	0.17088	0.48367	0.06284	0.08274	0.19987
V394	0	0.00396	0.01689	0.95293	0.02622	0
V395	0	0.05678	0.94322	0	0	0
V396	0.5213	0.09388	0	0.38482	0	0
V397	0	0.14901	0	0	0	0.85099
V398	0	0.80158	0	0.02628	0.17214	0
V399	0	0.02419	0.95231	0.0235	0	0
V400	0	0	0	0.4582	0	0.5418
V401	0.16145	0.04817	0.74667	0	0.04371	0
V402	0.00807	0.03089	0	0.96104	0	0
V403	0	0	0	0.02809	0.36501	0.6069
V404	0	0.02795	0.97205	0	0	0
V405	0.40853	0.39744	0.0637	0.05583	0.0745	0
V406	0.02727	0.07664	0.19532	0.11261	0.14604	0.4421
V407	0.00053	0.02613	0.82075	0	0	0.15259
V408	0	0.11051	0.00016	0.84577	0	0.04356
V409	0.93625	0.06375	0	0	0	0
V410	0.94866	0.05134	0	0	0	0
V411	0	0	0	0.25795	0	0.74205
V412	0.64968	0.21725	0.01499	0.04263	0.07545	0
V413	0	0.10506	0.00263	0.89231	0	0
V414	0.05033	0.09315	0	0.71589	0.14063	0
V415	0	0.02448	0.3925	0.47317	0.05982	0.05004
V416	0	0.15704	0	0.33965	0.44436	0.05894
V417	0	0	0.03491	0.10708	0	0.85801
V418	0	0.09073	0.47818	0.15821	0.27287	0
V419	0	0	0	0	0	1
V420	0	0	0	0	0	1
V421	0.01215	0.077	0.01166	0.11025	0.78895	0
V422	0.1945	0.32824	0	0.0012	0.47606	0
V423	0	0.16064	0	0.83936	0	0
V424	0.84701	0.12306	0	0.02993	0	0
V425	0	0.10944	0	0.00917	0.88138	0
V426	0	0	0.15711	0	0	0.84289
V427	0.5875	0.15467	0.1208	0.13703	0	0
V428	0.25171	0.03608	0	0.71221	0	0
V429	0	0.01927	0.09075	0.68684	0.20314	0
V430	0.00049	0.10172	0.67809	0.2106	0	0.00909
V431	0	0.02418	0.97582	0	0	0
V432	0	0.44801	0	0.55199	0	0
V433	0	0.00029	0.02297	0.97674	0	0
V434	0	0.27594	0.16088	0.56319	0	0
V435	0	0.00376	0	0.00376	0.81911	0.17337
V436	0.87336	0.12664	0	0	0	0
V437	0.2561	0.32069	0.34753	0	0.0667	0.00898
V438	0	0.42738	0	0.07956	0.49306	0
V439	0	0.03429	0.06616	0.01627	0.88328	0
V440	0.13551	0.0758	0.48926	0.05404	0.17902	0.06637
V441	0	0.06703	0.5626	0.14373	0	0.22665
V442	0.53646	0.15628	0.17087	0.06137	0	0.07502
V443	0	0.00609	0.05343	0.94048	0	0
V444	0.85653	0.07294	0	0.01727	0.05327	0
V445	0.94987	0.05013	0	0	0	0
V446	0	0.64094	0.35906	0	0	0
V447	0	0.2485	0	0.24612	0	0.50537
V448	0.00638	0.048	0.94348	0	0.00214	0
V449	0.64265	0.06093	0	0.29642	0	0
V450	0.07736	0.03976	0.76088	0	0.122	0
V451	0.08254	0.06843	0.13334	0.19171	0.52398	0
V452	0	0.00661	0	0.5841	0	0.40929
V453	0.35749	0.0329	0.52408	0.08553	0	0
V454	0.17186	0.08304	0.08907	0.65603	0	0
V455	0.03851	0.94822	0.01327	0	0	0
V456	0.95252	0.04732	0	0	0.00016	0
V457	0	0	0	0	0.18291	0.81709
V458	0.03446	0.02264	0.4778	0.001	0.40122	0.06287
V459	0	0.02673	0.64411	0.32916	0	0
V460	0.43979	0.09109	0.25576	0.13831	0	0.07505
V461	0.30207	0.06751	0	0.53197	0.09844	0
V462	0	0.01773	0.98227	0	0	0
V463	0	0.03796	0	0.07315	0.88888	0
V464	0.00276	0.96864	0	0.02861	0	0
V465	0.43254	0.11929	0.44817	0	0	0
V466	0.03078	0.04442	0	0.87926	0.04553	0
V467	0.95817	0.04183	0	0	0	0
V468	0.3874	0.13487	0.05432	0.30049	0.12291	0
V469	0	0.14095	0.78938	0.06213	0	0.00754
V470	0.68565	0.0534	0	0.07608	0.18487	0
V471	0	0.2373	0.66995	0.04551	0	0.04723
V472	0	0.60868	0	0.03883	0.34061	0.01187
V473	0	1	0	0	0	0
V474	0.01148	0.02476	0.41387	0.54989	0	0
V475	0.01511	0.18072	0.31186	0.23165	0.26065	0
V476	0.51359	0.04244	0	0.22889	0	0.21508
V477	0	0.71056	0.03263	0.10353	0	0.15328
V478	0	0.02738	0.95305	0	0	0.01957
