CD14.pos.CD16.neg.classical.monocyte	mature.neutrophil	memory.B.cell	cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	macrophage
V239	0.3645	0.05024	0.15362	0.1341	0.18745	0.11009
V240	0.0911	0.17544	0.03015	0.1234	0.53826	0.04165
V241	0.37734	0.13877	0.08303	0.16618	0.13484	0.09984
V242	0.29268	0.05333	0.10584	0.15991	0.16856	0.21969
V243	0.12106	0.26888	0.36954	0.07357	0.12158	0.04536
V244	0.18986	0.02796	0.05464	0.03515	0.52609	0.1663
V245	0.50297	0.03538	0.1104	0.04065	0.09655	0.21405
V246	0.08537	0.04696	0.19917	0.29323	0.33013	0.04514
V247	0.30594	0.07335	0.08553	0.16637	0.11742	0.2514
V248	0.2191	0.04255	0.04638	0.19179	0.4175	0.08267
V249	0.23572	0.12892	0.33264	0.09713	0.08722	0.11837
V250	0.087	0.03008	0.04134	0.64394	0.15672	0.04093
V251	0.13489	0.37407	0.15454	0.16654	0.12151	0.04846
V252	0.08221	0.0229	0.06609	0.59797	0.18705	0.04377
V253	0.16969	0.0536	0.05817	0.30911	0.22391	0.18552
V254	0.12481	0.18615	0.09558	0.16947	0.35501	0.06898
V255	0.29774	0.21967	0.12299	0.08776	0.1464	0.12544
V256	0.15047	0.52897	0.06646	0.06126	0.13703	0.05581
V257	0.13853	0.27997	0.06918	0.0629	0.37623	0.0732
V258	0.11173	0.17195	0.14208	0.39776	0.12792	0.04856
V259	0.13034	0.37126	0.28509	0.05792	0.10056	0.05483
V260	0.15362	0.04312	0.05092	0.05001	0.59693	0.1054
V261	0.36465	0.04159	0.10141	0.06519	0.26116	0.16601
V262	0.12614	0.01635	0.64071	0.04088	0.12693	0.049
V263	0.10035	0.0512	0.50834	0.1883	0.10038	0.05144
V264	0.41536	0.0438	0.16138	0.06556	0.13564	0.17826
V265	0.08539	0.01537	0.02456	0.058	0.7693	0.04738
V266	0.32275	0.04086	0.10855	0.04149	0.10187	0.38448
V267	0.2095	0.43897	0.06775	0.1036	0.12121	0.05899
V268	0.56437	0.04472	0.10853	0.05078	0.0803	0.1513
