CD19B	CD56NK	CD4MemoryT	CD14
V247	0.15203	0.07241	0.71082	0.06473
V248	0.03727	0.0921	0.08599	0.78465
V249	0.00817	0.0952	0.75497	0.14166
V250	0.64624	0.0445	0.23897	0.0703
V251	0.8023	0.07804	0.04944	0.07023
V252	0.01065	0.7625	0.1522	0.07464
V253	0.29148	0.12321	0.17825	0.40706
V254	0.01035	0.83781	0.06723	0.08461
V255	0.04218	0.81876	0.02024	0.11882
V256	0.15515	0.24226	0.44647	0.15611
V257	0.33737	0.14802	0.23312	0.28149
V258	0.15374	0.28483	0.37105	0.19038
V259	0.04014	0.3093	0.53601	0.11456
V260	0.0076	0.30427	0.61095	0.07718
V261	0.49576	0.08125	0.21195	0.21104
V262	0.09163	0.11024	0.06396	0.73417
V263	0.01824	0.8597	0.01961	0.10245
V264	0.14806	0.09399	0.38135	0.37661
V265	0.04296	0.06929	0.15509	0.73266
V266	0.54121	0.35903	0.03617	0.06359
V267	0.01061	0.21792	0.26084	0.51063
V268	0.30709	0.07959	0.1654	0.44792
V269	0.00904	0.5232	0.34242	0.12535
V270	0.523	0.07399	0.252	0.15101
V271	0.6522	0.1063	0.07437	0.16712
V272	0.05041	0.73566	0.03533	0.1786
V273	0.0604	0.08324	0.08023	0.77614
V274	0.57375	0.04635	0.20426	0.17564
V275	0.01051	0.07992	0.83208	0.07749
V276	0.39932	0.34533	0.04302	0.21233
V277	0.04302	0.23767	0.17024	0.54907
V278	0.04483	0.11554	0.27328	0.56635
V279	0.55323	0.10349	0.14132	0.20196
V280	0.03214	0.07124	0.06836	0.82826
V281	0.43186	0.08147	0.16571	0.32096
V282	0.05954	0.11984	0.6894	0.13122
V283	0.17497	0.53337	0.08359	0.20807
V284	0.02775	0.81407	0.07429	0.08389
V285	0.07236	0.06856	0.79294	0.06614
V286	0.20119	0.51061	0.12304	0.16516
V287	0.08526	0.77976	0.03506	0.09992
V288	0.02097	0.29806	0.36885	0.31212
V289	0.23351	0.24755	0.37287	0.14606
V290	0.69643	0.1906	0.05018	0.06279
V291	0.40473	0.1122	0.4027	0.08036
V292	0.79046	0.04383	0.0432	0.12251
V293	0.25535	0.06599	0.56828	0.11039
V294	0.08245	0.36309	0.03526	0.51921
V295	0.02923	0.21459	0.19171	0.56447
V296	0.15676	0.16504	0.52252	0.15568
V297	0.0757	0.06863	0.10495	0.75072
V298	0.2545	0.14523	0.51726	0.08301
V299	0.06894	0.2885	0.05239	0.59018
V300	0.01682	0.09239	0.22632	0.66447
V301	0.11296	0.15841	0.54674	0.18189
V302	0.5395	0.34838	0.03062	0.08149
V303	0.00255	0.55639	0.33282	0.10824
V304	0.06018	0.08194	0.63119	0.22668
V305	0.11204	0.19902	0.39589	0.29305
V306	0.66204	0.13399	0.08851	0.11547
V307	0.0181	0.85318	0.03477	0.09394
V308	0.18905	0.25736	0.26999	0.2836
V309	0.26144	0.32356	0.05894	0.35605
V310	0.07389	0.3236	0.15891	0.44359
V311	0.42585	0.46563	0.03287	0.07565
V312	0.08573	0.67096	0.14512	0.09819
V313	0.02167	0.15403	0.06267	0.76164
V314	0.02226	0.44946	0.12662	0.40166
V315	0.10497	0.56819	0.05861	0.26823
V316	0.25151	0.17667	0.3485	0.22333
V317	0.07834	0.62911	0.06547	0.22708
V318	0.03834	0.5112	0.04171	0.40875
V319	0.06074	0.1101	0.72393	0.10523
V320	0.07678	0.18628	0.54571	0.19123
V321	0.53246	0.36797	0.03572	0.06385
V322	0.1606	0.32607	0.09781	0.41552
V323	0.05876	0.08288	0.11998	0.73838
V324	0.53641	0.27536	0.09775	0.09047
V325	0.25353	0.59296	0.07574	0.07777
V326	0.00527	0.5169	0.10943	0.3684
V327	0.03199	0.18448	0.12938	0.65415
V328	0.05154	0.08231	0.6309	0.23526
V329	0.1471	0.1597	0.17763	0.51556
V330	0.31252	0.06309	0.31695	0.30744
V331	0.26987	0.137	0.08273	0.5104
V332	0.02625	0.10814	0.18842	0.67719
V333	0.33961	0.12219	0.35916	0.17904
V334	0.28612	0.06489	0.33235	0.31664
V335	0.02957	0.34319	0.43474	0.1925
V336	0.14833	0.63367	0.04301	0.17498
V337	0.23117	0.39672	0.26864	0.10347
V338	0.00181	0.8851	0.02775	0.08534
V339	0.11661	0.0659	0.74229	0.0752
V340	0.0578	0.25473	0.44419	0.24328
V341	0.03676	0.09202	0.09884	0.77238
V342	0.2104	0.05894	0.53281	0.19785
V343	0.8276	0.0519	0.05026	0.07024
V344	0.55933	0.18344	0.1946	0.06262
V345	0.01815	0.07922	0.83451	0.06813
V346	0.19013	0.16192	0.26257	0.38538
V347	0.04984	0.07577	0.14822	0.72616
V348	0.05173	0.59126	0.14576	0.21126
V349	0.2774	0.20376	0.34749	0.17135
V350	0.0272	0.73093	0.16777	0.0741
V351	0.02866	0.09124	0.35281	0.52729
V352	0.05131	0.07667	0.72233	0.1497
V353	0.72468	0.06307	0.07919	0.13306
V354	0.04443	0.62933	0.20971	0.11653
V355	0.22628	0.12668	0.40683	0.24021
V356	0.04281	0.0834	0.127	0.74679
V357	0.10083	0.33607	0.25266	0.31044
V358	0.41842	0.15066	0.08575	0.34517
V359	0.44296	0.10657	0.07442	0.37605
V360	0.44535	0.42392	0.04811	0.08261
V361	0.00346	0.44071	0.4775	0.07833
V362	0.00208	0.87918	0.03366	0.08509
V363	0.14706	0.16364	0.40537	0.28393
V364	0.14025	0.11445	0.58097	0.16434
V365	0.21013	0.08362	0.05928	0.64696
V366	0.06883	0.61278	0.09928	0.21911
V367	0.44272	0.18024	0.04224	0.3348
V368	0.07752	0.6554	0.09879	0.16829
V369	0.02068	0.39727	0.50385	0.07821
V370	0.24176	0.29175	0.36389	0.1026
V371	0.15679	0.65321	0.04856	0.14144
V372	0.13947	0.11174	0.14214	0.60666
V373	0.07624	0.18447	0.40291	0.33639
V374	0.6557	0.05193	0.23111	0.06126
V375	0.04932	0.09853	0.161	0.69115
V376	0.04257	0.09152	0.12727	0.73864
V377	0.63819	0.04161	0.05472	0.26548
V378	0.02046	0.09108	0.36139	0.52707
V379	0.26047	0.22735	0.04964	0.46254
V380	0.13056	0.12891	0.20077	0.53976
V381	0.58457	0.06192	0.12719	0.22633
V382	0.07965	0.08464	0.75983	0.07589
V383	0.67624	0.04818	0.09244	0.18314
V384	0.43108	0.12619	0.15539	0.28734
V385	0.70446	0.05548	0.1168	0.12325
V386	0.23914	0.07427	0.16537	0.52121
V387	0.46109	0.18509	0.20146	0.15236
V388	0.29015	0.33726	0.15863	0.21396
V389	0.33	0.49475	0.03723	0.13803
V390	0.24498	0.27549	0.40737	0.07217
V391	0.31958	0.15186	0.05951	0.46905
V392	0.32678	0.24961	0.17571	0.2479
V393	0.22429	0.25602	0.3129	0.20679
V394	0.08572	0.25212	0.13112	0.53104
V395	0.17822	0.38624	0.19378	0.24176
V396	0.00982	0.86156	0.02595	0.10267
V397	0.63007	0.12805	0.13391	0.10797
V398	0.34239	0.17804	0.12354	0.35603
V399	0.15847	0.51303	0.15373	0.17477
V400	0.00557	0.53352	0.08383	0.37708
V401	0.03982	0.19731	0.61362	0.14925
V402	0.66421	0.20234	0.0715	0.06194
V403	0.03668	0.08559	0.10493	0.7728
V404	0.08467	0.22894	0.52077	0.16561
V405	0.18101	0.09259	0.17968	0.54671
V406	0.50592	0.27342	0.05161	0.16905
V407	0.00181	0.8851	0.02775	0.08534
V408	0.08403	0.26844	0.34551	0.30201
V409	0.02533	0.07907	0.06786	0.82773
V410	0.0775	0.77397	0.04823	0.1003
V411	0.34196	0.05911	0.04528	0.55366
V412	0.13945	0.13016	0.42938	0.301
V413	0.05454	0.45605	0.17753	0.31188
V414	0.03627	0.47678	0.29363	0.19332
V415	0.34585	0.08567	0.23608	0.3324
V416	0.01827	0.12299	0.79091	0.06783
V417	0.31212	0.58148	0.02923	0.07718
V418	0.07232	0.15282	0.15829	0.61656
V419	0.03215	0.07098	0.07447	0.82241
V420	0.00163	0.79411	0.03415	0.17011
V421	0.14093	0.09589	0.58189	0.18129
V422	0.05146	0.11316	0.05866	0.77672
V423	0.0788	0.07618	0.74881	0.09622
V424	0.00888	0.10889	0.528	0.35423
V425	0.05657	0.26431	0.50416	0.17497
V426	0.087	0.09918	0.67339	0.14043
V427	0.06429	0.38739	0.18662	0.3617
V428	0.0771	0.68729	0.07541	0.16021
V429	0.03156	0.07171	0.08048	0.81625
V430	0.60048	0.20174	0.05536	0.14242
V431	0.15696	0.08443	0.39821	0.36039
V432	0.09844	0.14307	0.08611	0.67239
V433	0.05184	0.6555	0.02391	0.26874
V434	0.26206	0.13003	0.08922	0.51868
V435	0.39417	0.06832	0.15012	0.38738
V436	0.29769	0.07137	0.14343	0.48752
V437	0.18602	0.25254	0.04291	0.51852
V438	0.47229	0.19841	0.06846	0.26084
V439	0.04329	0.14372	0.05712	0.75586
V440	0.37172	0.09212	0.07661	0.45956
V441	0.06743	0.17719	0.50361	0.25177
V442	0.24706	0.34638	0.14982	0.25674
V443	0.59314	0.05165	0.12899	0.22621
V444	0.01815	0.07922	0.83451	0.06813
V445	0.50023	0.06534	0.33501	0.09942
V446	0.0331	0.73845	0.07534	0.15312
V447	0.49583	0.14222	0.19298	0.16897
V448	0.03222	0.12463	0.19404	0.64911
V449	0.44597	0.08952	0.29485	0.16965
V450	0.12051	0.77108	0.03482	0.0736
V451	0.78339	0.08769	0.03966	0.08926
V452	0.04415	0.07877	0.10438	0.7727
V453	0.65508	0.11713	0.10423	0.12356
V454	0.00167	0.83695	0.06714	0.09424
V455	0.48115	0.08142	0.30233	0.1351
V456	0.26013	0.16795	0.34879	0.22313
V457	0.02514	0.08531	0.06188	0.82767
V458	0.21056	0.25292	0.04167	0.49486
V459	0.01714	0.70744	0.10565	0.16977
V460	0.80185	0.04436	0.07346	0.08033
V461	0.06059	0.09031	0.06048	0.78861
V462	0.26949	0.26838	0.03336	0.42876
V463	0.20263	0.45248	0.16291	0.18197
V464	0.38912	0.14947	0.04416	0.41725
V465	0.31353	0.41797	0.05463	0.21388
V466	0.45179	0.2218	0.0402	0.28622
V467	0.25345	0.53438	0.09902	0.11314
V468	0.39256	0.39972	0.07999	0.12774
V469	0.02684	0.21779	0.26137	0.49399
V470	0.42429	0.16987	0.19307	0.21276
V471	0.21169	0.15537	0.07506	0.55788
V472	0.25201	0.33711	0.03062	0.38026
V473	0.08816	0.51109	0.30324	0.09751
V474	0.10659	0.06487	0.13309	0.69545
V475	0.15106	0.3881	0.10222	0.35862
V476	0.13914	0.07975	0.09507	0.68604
V477	0.46979	0.089	0.22138	0.21983
V478	0.11329	0.53667	0.03292	0.31712
V479	0.02358	0.13772	0.68044	0.15826
V480	0.07568	0.31684	0.07716	0.53033
V481	0.13251	0.07312	0.70935	0.08501
V482	0.5543	0.19865	0.13881	0.10823
V483	0.11445	0.15785	0.10589	0.62181
V484	0.03626	0.1211	0.07256	0.77008
V485	0.10337	0.65911	0.03611	0.2014
V486	0.21324	0.28491	0.14282	0.35903
V487	0.07445	0.10428	0.11786	0.70341
V488	0.00712	0.07023	0.74713	0.17552
V489	0.18515	0.14817	0.5831	0.08358
V490	0.26308	0.32497	0.09637	0.31558
V491	0.34891	0.45378	0.05974	0.13756
V492	0.02666	0.75292	0.1372	0.08322
V493	0.0327	0.07089	0.05661	0.83981
V494	0.16411	0.19936	0.44672	0.18981
V495	0.18507	0.57261	0.14592	0.09639
V496	0.22466	0.63152	0.02142	0.1224
V497	0.01812	0.07192	0.83251	0.07745
V498	0.24558	0.15467	0.08815	0.5116
V499	0.49454	0.28813	0.14471	0.07262
V500	0.09334	0.17066	0.62307	0.11293
V501	0.0248	0.07176	0.08068	0.82276
V502	0.43318	0.29907	0.1671	0.10065
V503	0.16408	0.15203	0.20033	0.48356
V504	0.19084	0.63228	0.03599	0.14089
V505	0.16268	0.2486	0.23697	0.35175
V506	0.08355	0.27805	0.3872	0.2512
V507	0.47503	0.14988	0.14753	0.22756
V508	0.60299	0.20228	0.07879	0.11593
V509	0.19135	0.11957	0.43976	0.24932
V510	0.18742	0.4923	0.24352	0.07675
V511	0.04885	0.40325	0.07366	0.47424
V512	0.19564	0.10741	0.1137	0.58325
V513	0.06889	0.58828	0.19985	0.14297
V514	0.03087	0.1133	0.05415	0.80168
V515	0.60972	0.1089	0.08951	0.19186
V516	0.76878	0.12104	0.03933	0.07086
V517	0.04634	0.09159	0.2415	0.62058
V518	0.81817	0.06835	0.04291	0.07057
V519	0.02631	0.76745	0.02755	0.17868
V520	0.03565	0.06496	0.52853	0.37086
V521	0.45556	0.08981	0.35353	0.10109
V522	0.01378	0.17936	0.4857	0.32116
V523	0.2766	0.17593	0.2483	0.29918
V524	0.00855	0.69722	0.18494	0.1093
V525	0.20251	0.23764	0.06392	0.49593
V526	0.49868	0.13105	0.11007	0.2602
V527	0.17443	0.08358	0.3567	0.38528
V528	0.08526	0.76724	0.02065	0.12685
V529	0.06416	0.12326	0.21705	0.59553
V530	0.01319	0.24092	0.57055	0.17535
V531	0.01835	0.78743	0.11902	0.0752
V532	0.14332	0.33233	0.06013	0.46422
V533	0.22105	0.35583	0.14904	0.27408
V534	0.01641	0.075	0.60465	0.30394
V535	0.43002	0.04863	0.05578	0.46557
V536	0.1662	0.06099	0.33782	0.43498
V537	0.47007	0.28114	0.16893	0.07987
V538	0.34986	0.11016	0.11941	0.42058
V539	0.21166	0.41712	0.16367	0.20756
V540	0.16566	0.62726	0.09218	0.1149
V541	0.02289	0.47301	0.08619	0.41791
V542	0.1642	0.17826	0.23922	0.41832
V543	0.72378	0.0468	0.05428	0.17514
V544	0.09769	0.14517	0.17867	0.57847
V545	0.28104	0.18747	0.10037	0.43111
V546	0.04249	0.79147	0.08248	0.08356
V547	0.03618	0.58942	0.28516	0.08924
V548	0.1313	0.6902	0.09836	0.08014
V549	0.27378	0.08302	0.56081	0.08239
V550	0.45619	0.07993	0.04059	0.42329
V551	0.14902	0.66278	0.05536	0.13284
V552	0.0071	0.49149	0.03745	0.46397
V553	0.19262	0.19096	0.52337	0.09306
V554	0.05847	0.13567	0.07137	0.73449
V555	0.08364	0.25905	0.29548	0.36183
V556	0.00905	0.08658	0.79811	0.10627
V557	0.65672	0.07429	0.05277	0.21621
V558	0.06076	0.69528	0.04943	0.19453
V559	0.01052	0.73109	0.18399	0.0744
V560	0.56588	0.33057	0.03117	0.07238
V561	0.01051	0.07992	0.83208	0.07749
V562	0.62857	0.05038	0.15347	0.16758
V563	0.21335	0.06102	0.65216	0.07347
V564	0.0605	0.12918	0.72275	0.08757
V565	0.11107	0.28445	0.32829	0.27619
V566	0.54561	0.14508	0.04276	0.26655
V567	0.17572	0.42749	0.05579	0.34099
V568	0.19456	0.06935	0.0941	0.64199
V569	0.53529	0.07591	0.03959	0.34921
V570	0.03031	0.30894	0.51947	0.14128
V571	0.66564	0.166	0.03554	0.13282
V572	0.3588	0.06088	0.40982	0.17049
V573	0.06444	0.20709	0.04909	0.67937
V574	0.03607	0.70535	0.16747	0.0911
V575	0.03371	0.13802	0.14548	0.6828
V576	0.13146	0.72438	0.05536	0.0888
V577	0.04715	0.10775	0.21093	0.63418
V578	0.05889	0.12541	0.572	0.24369
V579	0.00965	0.7845	0.1042	0.10166
V580	0.1312	0.0725	0.13799	0.65831
V581	0.06617	0.12658	0.05131	0.75595
V582	0.44554	0.19039	0.06895	0.29512
V583	0.01665	0.10898	0.50307	0.3713
V584	0.40965	0.1976	0.28343	0.10932
V585	0.02039	0.07508	0.39311	0.51142
V586	0.20141	0.06713	0.56727	0.16418
V587	0.22938	0.06861	0.59968	0.10233
V588	0.48585	0.095	0.06883	0.35032
V589	0.0503	0.72185	0.08355	0.1443
V590	0.04483	0.6888	0.18462	0.08174
V591	0.01897	0.10043	0.20348	0.67713
V592	0.14338	0.08969	0.7021	0.06484
V593	0.45987	0.04979	0.20349	0.28686
V594	0.26745	0.30842	0.30419	0.11994
V595	0.03859	0.08496	0.06714	0.80931
V596	0.04107	0.30056	0.21305	0.44532
V597	0.00213	0.53754	0.3007	0.15963
V598	0.02356	0.16531	0.72214	0.08899
V599	0.49932	0.33673	0.06325	0.10071
V600	0.2791	0.45444	0.07708	0.18938
V601	0.13572	0.29285	0.10587	0.46556
V602	0.03889	0.0843	0.0619	0.81492
V603	0.0194	0.36493	0.04887	0.5668
V604	0.41066	0.16447	0.32419	0.10069
V605	0.06499	0.33942	0.34374	0.25185
V606	0.57368	0.19272	0.04943	0.18417
