Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V130	0.03621	0.01347	0.46991	0.03305	0.00669	0.01654	0.04276	0.33907	0.0308	0.0115
V131	0.05015	0.393	0.37763	0.09327	0.0038	0.00935	0.0153	0	0.04861	0.00888
V132	0.11557	0.00836	0.02345	0.00479	0.08656	0	0.65486	0.07102	0.00544	0.02995
V133	0.01778	0.03256	0.05639	0.14676	0.02556	0.14893	0.13038	0.41969	0.02196	0
V134	0.02767	0.08104	0.17525	0.05035	0.19479	0.00174	0.16983	0	0.02421	0.27512
V135	0.01637	0.21693	0.18806	0.01522	0.04295	0.00945	0.026	0	0.46169	0.02333
V136	0.00851	0.61295	0.02233	0.1283	0	0	0.01214	0	0.02493	0.19084
V137	0.00028	0.01122	0.02468	0.00598	0.0522	0.33694	0.50098	0	0.04819	0.01952
V138	0.01411	0.02701	0.00585	0.00646	0.00814	0	0.54866	0.00119	0.03693	0.35165
V139	0.58827	0.03692	0.06614	0.00111	0.07621	0.07668	0.012	0	0.14092	0.00173
V140	0.07648	0.02326	0.36222	0.38064	0.03687	0.05378	0.00965	0	0.02039	0.03671
V141	0.07064	0.02151	0.17783	0.60621	0.01812	0.02824	0	0	0.01939	0.05806
V142	0.01711	0	0.06938	0.18757	0.02143	0	0.63771	0	0.00985	0.05696
V143	0	0.84001	0.00439	0.06051	0.0155	0.00734	0.01609	0	0.05616	0
V144	0	0	0.01467	0.0063	0.02526	0.35153	0.5691	0.01292	0.00274	0.01748
V145	0.0811	0.11065	0.14065	0.41987	0.0215	0.03349	0.01834	0.1469	0.02749	0
V146	0.03315	0	0.41604	0.03519	0	0.02122	0.05843	0.08301	0.02506	0.32791
V147	0.00924	0.04136	0.01929	0	0.14721	0.01219	0.01194	0.01522	0.44524	0.29831
V148	0.02331	0.03702	0.04921	0	0.05402	0.06585	0.05023	0	0.69068	0.02966
V149	0.04978	0.02685	0.15437	0.48495	0.02016	0.00673	0.00822	0.08246	0.14525	0.02123
V150	0.06472	0.025	0	0	0.02598	0.01014	0.02146	0.00394	0.03409	0.81468
V151	0.01381	0	0	0	0	0.06899	0.02344	0	0.01025	0.88351
V152	0.00586	0	0	0	0.01452	0.02554	0.08834	0.64867	0.03109	0.18598
V153	0	0.17705	0	0	0.67551	0.00865	0.00845	0.06548	0.0149	0.04995
V154	0.10896	0.02646	0.54867	0.24964	0.00551	0.0194	0.00291	0	0.02287	0.0156
V155	0.06018	0	0.02055	0	0.02667	0.13387	0.06503	0.45114	0.225	0.01756
V156	0.12054	0.03131	0.17973	0.01396	0.01838	0.46217	0.06573	0.02433	0.07158	0.01227
V157	0	0.47087	0.01043	0.03863	0.18318	0.22014	0.02438	0	0.03213	0.02023
V158	0.28121	0.56562	0.02292	0.01802	0.04918	0.00078	0.02654	0.01855	0.01718	0
V159	0.04071	0.10089	0.20583	0.04295	0.27355	0.02999	0.01986	0.05899	0.01685	0.21039
V160	0.01321	0.89346	0	0.02205	0.00803	0	0.01771	0	0.04147	0.00405
V161	0.06078	0.0231	0.18906	0.64031	0.02337	0.01004	0	0	0.03452	0.01881
V162	0.00026	0	0	0	0	0.00397	0.02205	0.00024	0.01708	0.9564
V163	0.13269	0.02394	0.67793	0.06295	0.00025	0.02068	0.00921	0.00611	0.02385	0.04239
V164	0.05261	0.01537	0.74513	0.07722	0.00128	0.02045	0.01953	0	0.03169	0.03672
V165	0.02399	0	0.23638	0.02466	0	0.00471	0.01339	0.00572	0.02089	0.67027
V166	0.09527	0.12082	0.13794	0.44334	0.01014	0.01152	0.02152	0.04748	0.05626	0.05571
V167	0.81665	0.02265	0.07235	0.00441	0.01922	0.00299	0.00854	0.00246	0.05073	0
V168	0.06738	0.01917	0.01843	0	0.02404	0.31352	0.07142	0.29637	0.16268	0.027
V169	0.01642	0	0.02264	0.10964	0	0.17221	0.02476	0.00733	0.00551	0.64148
V170	0.02528	0.01687	0.0574	0	0.05853	0.01573	0.01095	0	0.78163	0.03361
V171	0.01992	0.00905	0.2378	0.05824	0.04075	0.40949	0.07888	0.03155	0.09334	0.02098
V172	0	0.01621	0.02157	0.00643	0.03834	0.15193	0.69661	0.0069	0.03334	0.02867
V173	0.01123	0	0	0.00256	0	0.00992	0.51723	0.00172	0.02668	0.43066
V174	0.04005	0.10774	0.2545	0.30157	0.10489	0.0271	0.01137	0.00218	0.01876	0.13186
V175	0.75893	0.02195	0.15629	0.0099	0.01645	0.00228	0.02518	0.00546	0.00354	0
V176	0.18968	0.0045	0.02373	0	0.02706	0.67291	0.0554	0	0.02462	0.00209
V177	0.65881	0.01729	0.06626	0.06829	0	0.00226	0.00856	0.01132	0.00498	0.16223
V178	0.20315	0.01328	0.02806	0.00779	0.05705	0.57338	0.05486	0	0	0.06244
V179	0.16371	0.15288	0	0.00288	0.60517	0.00568	0	0	0.01249	0.05718
V180	0.48452	0.13064	0.1101	0.22963	0.01546	0.00744	0.00953	0	0.01268	0
V181	0.0383	0.17217	0.56362	0.0568	0.02202	0.00975	0.08094	0	0.02459	0.0318
V182	0.00312	0.07631	0.00195	0.0116	0.34465	0.04612	0.04473	0.36301	0.06877	0.03973
V183	0.05379	0.18567	0.13272	0.4527	0.01382	0.0069	0.1296	0	0.01912	0.0057
V184	0.18803	0.00843	0.01924	0	0	0.53044	0.0507	0.01877	0	0.18437
V185	0.61363	0.01743	0.09591	0.12738	0.01741	0.00402	0.01112	0.06079	0.04742	0.00489
V186	0.76856	0.02878	0.08479	0.06926	0.01674	0.0018	0.01798	0.00616	0.00593	0
V187	0.69601	0.01818	0.14911	0.0134	0.00822	0.00306	0.01392	0.00563	0.04759	0.04488
V188	0.08113	0.24132	0.00015	0.05094	0.52018	0.00527	0.01559	0	0.0211	0.06431
V189	0.78339	0.02056	0.08126	0.04942	0.00984	0.01423	0.00936	0.00643	0.00594	0.01957
V190	0.00804	0.04096	0.03961	0	0.12105	0.11818	0.01599	0	0.62558	0.03059
V191	0.03956	0.09282	0.11796	0.27825	0.35269	0.00374	0.04529	0.00856	0.01682	0.04432
V192	0.00141	0.04543	0	0	0.11288	0.01127	0.01487	0.00762	0.01404	0.79249
V193	0.12298	0.04478	0.22198	0.24166	0.12126	0.00261	0.14046	0.04626	0.0271	0.03092
V194	0	0	0.01557	0	0.025	0.73102	0.2257	0.0027	0	0
V195	0.03585	0.05274	0.01751	0.0033	0.09676	0.13101	0.58037	0.03221	0.01101	0.03924
V196	0.7197	0.02828	0.0982	0.12879	0.01047	0.00169	0.00596	0.00124	0.00343	0.00224
V197	0.03569	0.01991	0.07274	0.15498	0.04444	0.0177	0.06036	0.3567	0.22853	0.00896
V198	0	0.1285	0.00306	0	0.49482	0.24483	0.03987	0	0.05026	0.03866
V199	0.0274	0.06983	0.02855	0.01372	0.1811	0.00917	0.13992	0	0.01548	0.51483
V200	0	0.08739	0	0	0.40146	0.11729	0.26517	0.06901	0.00694	0.05274
V201	0.25013	0.05302	0.04753	0	0.03275	0.00765	0.11291	0.00395	0.4179	0.07416
V202	0.04108	0.304	0.42203	0.06798	0.00525	0.00181	0.08496	0	0.05827	0.01463
V203	0.03677	0.08434	0.37417	0.14619	0.02226	0.01202	0.10545	0	0.17143	0.04737
V204	0.03669	0.22062	0.29282	0.23958	0.01607	0.0916	0.01665	0.0415	0.03875	0.00571
V205	0.06572	0.06178	0.02671	0.00629	0.03651	0.01115	0.63388	0.04983	0.0812	0.02692
V206	0.30265	0.01997	0.51248	0.04697	0.01753	0.00399	0.01208	0	0.01806	0.06627
V207	0.02286	0.15629	0.01495	0.04966	0.00103	0.005	0.01838	0	0.16151	0.57033
V208	0.00401	0.00341	0.0388	0.02992	0.03234	0.76624	0.06403	0	0.05337	0.00787
V209	0.03437	0.16979	0.06133	0.00503	0.635	0.01404	0	0	0.01685	0.06358
V210	0.06013	0.13958	0.04486	0	0.52908	0.01742	0.01872	0.08905	0.03312	0.06804
V211	0.04262	0.0778	0.60229	0.05573	0.01241	0.013	0.07343	0.0188	0.0694	0.03451
V212	0.11655	0.09421	0.03174	0	0.03276	0.01781	0.04982	0.30541	0.34246	0.00925
V213	0.12346	0.03071	0.01656	0	0.14465	0.5981	0.0618	0	0	0.02472
V214	0	0.06012	0	0	0.24654	0.02995	0.50684	0	0.00552	0.15103
V215	0	0	0.01172	0.01183	0.02859	0	0.89717	0.00217	0.01128	0.03724
V216	0	0.7287	0	0.01433	0.18501	0.00121	0.02153	0	0.02917	0.02006
V217	0.02906	0.23933	0.04141	0.06211	0.14943	0.25313	0.03007	0.02808	0.02634	0.14103
V218	0.03238	0	0.00998	0	0.02429	0.60995	0.25862	0	0	0.06477
V219	0.01192	0	0.02701	0.03998	0.02655	0.02665	0.16496	0.66821	0.03418	0.00055
V220	0.03539	0.02747	0.12069	0.29871	0.036	0.01031	0.00865	0.04686	0.39833	0.01759
V221	0.17214	0.10721	0.30433	0.02869	0.01076	0.00681	0.04111	0.05563	0.14581	0.1275
V222	0.05653	0.01188	0.65069	0.05771	0.00345	0.16461	0.01649	0	0.02063	0.01802
V223	0.04775	0.01306	0.6744	0.06199	0.01005	0.07528	0.07148	0	0.02259	0.0234
V224	0.04642	0.02222	0.5992	0.09286	0.01006	0.01665	0.01198	0.0463	0.13221	0.0221
V225	0.04909	0.01077	0.37716	0.28386	0.00801	0.02676	0.02249	0.1753	0.02496	0.0216
V226	0.00417	0.77861	0	0.01429	0.02033	0.00359	0.03607	0.11011	0.03283	0
V227	0.04072	0.05668	0.58861	0.06137	0.17975	0.00585	0.00281	0	0.03078	0.03343
V228	0.0241	0.6467	0.0614	0.02281	0.01331	0.00441	0.03367	0.10769	0.07534	0.01057
V229	0.63831	0.01723	0.0491	0	0.01011	0.22953	0.04028	0.01544	0	0
V230	0.02857	0	0.06371	0.25922	0	0.00753	0.12108	0	0.02195	0.49794
V231	0.03161	0.27694	0.03611	0.01142	0.03471	0.11647	0.02057	0	0.44377	0.0284
V232	0.03716	0.38995	0.39803	0.04385	0.00711	0.0117	0.01689	0.04763	0.02767	0.02
V233	0.00035	0.13851	0	0.02002	0.55226	0.01754	0.00096	0	0.20684	0.06354
V234	0.01311	0.05184	0.00511	0	0.22299	0.0116	0.29975	0.33892	0.01751	0.03917
V235	0.04451	0.02203	0.41751	0.02754	0.00508	0.01588	0.05756	0.34559	0.02882	0.03547
V236	0.03143	0.01942	0.25833	0.20487	0.0219	0.39601	0.03799	0	0.02666	0.00339
V237	0.05733	0.07634	0.37827	0.13824	0.23855	0.03847	0.00626	0.01214	0.02575	0.02866
V238	0.02687	0.0569	0.34522	0.02074	0.03006	0.01712	0.05544	0.39638	0.02964	0.02163
V239	0.06087	0.17512	0.11059	0.38564	0.02885	0.02467	0.03936	0	0.02281	0.15208
V240	0.07267	0	0.02425	8e-04	0.02758	0.26531	0.54559	0	0.00566	0.05815
V241	0.25628	0.02191	0.15684	0.46146	0.02661	0.03516	0.00261	0.0127	0.01401	0.01243
V242	0.02877	0.01662	0.07689	0.03116	0.05517	0.02535	0.01019	0	0.7246	0.03125
V243	0.03115	0.01093	0.06447	0.09633	0.02786	0.08835	0.06448	0	0.45678	0.15965
V244	0.04894	3e-05	0.35111	0.04118	0.01537	0	0.45945	0.02769	0.02612	0.03012
V245	0.16915	0.14158	0.16993	0.00684	0.01173	0.43935	0.04755	0.00979	0.00409	0
V246	0	0.22866	0.00513	0.01343	0.03188	0	0.65291	0	0.03981	0.02819
V247	0.05316	0.03388	0.75584	0.0744	0.00074	0.00555	0.00547	0	0.03381	0.03715
V248	0.52172	0.07133	0.06375	0	0.03074	0.01806	0.16373	0.12286	0.00779	0
V249	0.05307	0.02877	0.59996	0.05606	0.05446	0.00541	0.00566	0	0.03468	0.16194
V250	0.03597	0.05936	0.0768	0.22668	0.03007	0.30067	0.06067	0.1741	0.01229	0.02341
V251	0.57755	0.18037	0.04939	0.02034	0.07204	0.00347	0.01176	0.04025	0.03797	0.00685
V252	0.06566	0.54286	0.01483	0.0391	0.00581	0.23812	0.04147	0.03259	0.01642	0.00315
V253	0.02858	0.01322	0.3412	0.02857	0.03208	0.09516	0.02111	0	0.41467	0.02541
V254	0	0.16992	0	0.02775	0.63578	0.01379	0	0	0.01503	0.13774
V255	0	0.18547	0	0	0.73462	0.00596	0.00724	0	0.01296	0.05375
V256	0.0591	0.0306	0.18433	0.6261	0.0148	0.04856	0	0	0.01996	0.01655
V257	0.39967	0.01372	0.36637	0.0472	0.00697	0.12665	0.02639	0	0.00916	0.00386
V258	0	0.15213	0	0	0.59817	0.00503	0.01465	0	0.01084	0.21918
V259	0.0895	0.03363	0.0331	0.07081	0.1633	0.01801	0.08409	0.46143	0.02314	0.023
V260	0.00442	0.24297	0.01231	0	0.01354	0.02292	0.07459	0.58661	0.04264	0
V261	0.22263	0.01952	0.02578	0	0.02711	0.27072	0.35685	0	0.04229	0.0351
V262	0.00261	0.46154	0.08268	0.01697	0.01121	0.32939	0.03701	0.001	0.0151	0.04249
V263	0.42876	0.40625	0.02603	0.00909	0.0188	0.00572	0.05038	0	0.00867	0.0463
V264	0.05148	0.07082	0.11742	0.4262	0.24432	0.01976	0.0197	0	0.01649	0.0338
V265	0.04246	0.31241	0.06148	0.21985	0	0.022	0.15384	0	0.02164	0.16633
V266	0.01376	0.73019	0.0988	0.0268	0.00962	0.00123	0.02458	0.00562	0.0894	0
V267	0.00024	0.16741	0	0.01302	0	0.01417	0.01787	0	0.01243	0.77487
V268	0.00573	0.38856	0.02238	0.10179	0.35561	0.00368	0.0197	0	0.05016	0.05239
V269	0.08321	0.02171	0.3504	0.47586	0.01958	0.00298	0	0	0.03557	0.01069
V270	0.00492	0.183	0	0	0.72477	0.00619	0	0	0.01517	0.06595
V271	0.04617	0.03316	0.20357	0.00915	0.07497	0.02141	0.04191	0	0.53845	0.03122
V272	0.01962	0.19402	0.07096	0.00467	0.02	0.1759	0.06303	0.13631	0.19396	0.12153
V273	0.01355	0.01796	0.0633	0.14381	0.07875	0.63358	0.048	0	0.00106	0
