cytotoxic.CD56.dim.NK.cell	memory.CD4.pos.AB.T.cell	memory.B.cell	CD14.pos.CD16.neg.classical.monocyte
V338	0.00114	0.97977	0.01251	0.00657
V339	0.10829	0.03185	0.85271	0.00716
V340	0.04442	0.20347	0.56972	0.18239
V341	0.02142	0.03231	0.08454	0.86172
V342	0.21315	0.01554	0.64758	0.12373
V343	0.95489	0.03138	0.00737	0.00635
V344	0.65032	0.1567	0.19283	0.00016
V345	0.0179	0.06275	0.91795	0.00141
V346	0.20621	0.09584	0.31887	0.37907
V347	0.03697	0.01044	0.15055	0.80204
V348	0.04452	0.6686	0.14767	0.13921
V349	0.32057	0.15224	0.42529	0.1019
V350	0.02507	0.80199	0.17269	0.00026
V351	0.01311	0.0261	0.4308	0.52999
V352	0.0377	0.03009	0.8633	0.0689
V353	0.87853	0.02617	0.03608	0.05922
V354	0.03649	0.70158	0.22707	0.03486
V355	0.24597	0.06398	0.50834	0.18171
V356	0.02878	0.02057	0.12151	0.82914
V357	0.09517	0.3172	0.30761	0.28002
V358	0.52673	0.09546	0.0568	0.321
V359	0.55382	0.0497	0.03875	0.35773
V360	0.52247	0.4446	0.02112	0.0118
V361	0.00065	0.43999	0.55333	0.00603
V362	0.00127	0.97236	0.01999	0.00638
V363	0.14668	0.09945	0.516	0.23788
V364	0.13183	0.05625	0.72373	0.08819
V365	0.24235	0.02256	0.0225	0.71258
V366	0.06329	0.70177	0.08593	0.14901
V367	0.55458	0.13503	0.00671	0.30368
V368	0.07287	0.75352	0.08489	0.08873
V369	0.01354	0.38904	0.59162	0.00579
V370	0.26944	0.26609	0.43723	0.02723
V371	0.1644	0.74528	0.02956	0.06076
V372	0.1409	0.04349	0.13852	0.67709
V373	0.06306	0.11794	0.51609	0.3029
V374	0.74725	0.02469	0.22783	0.00023
V375	0.03397	0.03341	0.16693	0.76569
V376	0.02804	0.02861	0.11983	0.82352
V377	0.77742	0.0051	0.01351	0.20397
V378	0.0061	0.02716	0.44034	0.5264
V379	0.3121	0.1893	0.01619	0.4824
V380	0.12851	0.05954	0.22554	0.58642
V381	0.72181	0.01534	0.10076	0.16209
V382	0.06936	0.04779	0.8757	0.00715
V383	0.82413	0.01099	0.05301	0.11187
V384	0.53906	0.06785	0.14755	0.24554
V385	0.85018	0.01939	0.07992	0.05051
V386	0.27136	0.01264	0.16515	0.55085
V387	0.5702	0.1399	0.20945	0.08044
V388	0.35059	0.33117	0.16249	0.15575
V389	0.38736	0.53843	0.01303	0.06118
V390	0.26522	0.24942	0.48003	0.00533
V391	0.39234	0.09644	0.02411	0.4871
V392	0.40204	0.21318	0.18543	0.19935
V393	0.25316	0.21533	0.38637	0.14514
V394	0.07678	0.21442	0.12632	0.58248
V395	0.19635	0.39277	0.22165	0.18924
V396	0.00775	0.96223	0.00995	0.02006
V397	0.76953	0.08573	0.11006	0.03468
V398	0.42352	0.12538	0.10891	0.34219
V399	0.16941	0.56906	0.1599	0.10163
V400	0.00061	0.58556	0.06913	0.3447
V401	0.02738	0.14109	0.76144	0.0701
V402	0.77008	0.18967	0.04016	9e-05
V403	0.02193	0.02382	0.09544	0.85881
V404	0.07256	0.17627	0.66136	0.08982
V405	0.19343	0.02694	0.18994	0.5897
V406	0.62732	0.25445	0.01969	0.09854
V407	0.00114	0.97977	0.01251	0.00657
V408	0.07374	0.22368	0.43805	0.26453
V409	0.00143	0.03373	0.05451	0.91032
V410	0.07438	0.87526	0.03109	0.01927
V411	0.4146	0.00984	0.00538	0.57018
V412	0.13439	0.06394	0.54511	0.25656
V413	0.04498	0.48302	0.19764	0.27435
