Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V94	0.78512	0.0057	0.0805	0.00897	0.01259	0.02385	0.0449	0.02287	0.0046	0.01091
V95	0.00324	0.00512	0.01878	0.00386	0.0536	0.00417	0.62708	0.25079	0.02979	0.00358
V96	0.02191	0.12153	0.34892	0.37918	0.03061	0.02052	0.01749	0.01191	0.03217	0.01576
V97	0.0015	0	0.01479	0.00707	0.02266	0	0.77909	0	0.02695	0.14795
V98	0	0.30466	0.01965	0.05907	0.15409	0.01707	0.06323	0.07374	0.13148	0.17702
V99	0.58467	0.00531	0.06804	0.00739	0.02558	0.00101	0.10114	0.00275	0.19127	0.01283
V100	0.20551	0.01502	0.08758	0.19672	0.04352	0.2892	0.0392	0.00209	0.09609	0.02508
V101	0	0	0	0.01297	0	0.05787	0.16719	0.02034	0.01394	0.7277
V102	0.04367	0.23687	0.01554	0.00728	0.09744	0.29366	0.1702	0.09526	0.01017	0.0299
V103	0.0913	0.01747	0.06607	0.02049	0.03864	0.00462	0.02927	0	0.69293	0.0392
V104	0.03909	0.00908	0.7542	0.07729	0.03451	0.00591	0.01859	0	0.04438	0.01696
V105	0.36088	0	0.12463	0.01714	0.02294	0.13934	0.0379	0.28462	0.01254	0
V106	0.01351	0.67715	0.18878	0.03202	0.02776	0.02227	0.00959	0	0.00824	0.02069
V107	0.27332	0.23714	0.03782	0.0147	0.25174	0.01441	0.02975	0.0258	0.10364	0.01167
V108	0	0	0.03616	0.13797	0	0.3489	0.02719	0.01866	0.01266	0.41846
V109	0	0.02794	0.03171	0.0199	0.03724	0.82718	0.04174	0.00674	0.00755	0
V110	0	0.18329	0.00486	0.00681	0.67898	0	0.02738	0.0535	0.00617	0.03901
V111	4e-04	0.01178	0.01686	0.01226	0.12069	0	0.79246	0	0.01921	0.02636
V112	0.00176	0	0.01164	0.00892	0.00604	0	0.63727	0	0.05886	0.27551
V113	0.01551	0	0.04416	0.01217	0.00826	0.05686	0.04814	0.01493	0.54792	0.25206
V114	0.01814	0.01825	0.07485	0.01442	0.04196	0.00509	0.02993	0	0.75435	0.04302
V115	0	0.8661	0.01008	0.01988	0.03297	0	0.03073	0	0.01985	0.0204
V116	0.46139	0.08255	0.05225	0.0055	0.01933	0.01789	0.04976	0.30417	0.00716	0
V117	0.01429	0	0.02101	0.00582	0.04395	0	0.88195	0	0.02312	0.00987
V118	0.01927	0	0.03487	0.0119	0.02748	0.84818	0.04322	0.01426	0.00082	0
V119	0.00014	0.02652	0.13428	0.50036	0.03961	0.17748	0.04533	0.004	0.07228	0
V120	0.62502	0.00568	0.22278	0.0219	0.01662	0.07446	0.0246	0	0.00277	0.00616
V121	0.04186	0.09556	0.2337	0.03254	0.03958	0.10484	0.35025	0.00772	0.01667	0.07729
V122	0.00424	0.02467	0.15129	0.01855	0.04658	0.05688	0.17988	0	0.48123	0.03669
V123	0.01267	0.08556	0.01144	0.01111	0.38791	0.01359	0.04684	0.38006	0.04088	0.00994
V124	0.68517	0.04482	0.05268	0.00515	0.01087	0.00694	0.0376	0.15451	0.00226	0
V125	0.00372	0.1784	0.10725	0.03478	0.03984	0.1403	0.06044	0.4134	0.02187	0
V126	0	0.22498	0.00706	0.00759	0.63984	0	0.02546	0.03937	0.03055	0.02513
V127	0.01634	0.01024	0.51319	0.0502	0.03497	0.00105	0.25043	0	0.09457	0.02901
V128	0.00769	0.22075	0.36807	0.03993	0.27187	0.04665	0.01729	0	0.00894	0.01881
V129	0.01558	0.08825	0.11035	0.22555	0.10401	0.01215	0.02283	0	0.37621	0.04508
V130	0.0189	0.00938	0.45175	0.0426	0.02934	0.01879	0.04159	0.36143	0.02369	0.00253
V131	0.03293	0.38943	0.37147	0.10289	0.02964	0.01007	0.01981	0	0.03356	0.0102
V132	0.11239	0.00563	0.02866	0.00411	0.09232	0	0.67058	0.06418	0.01508	0.00704
V133	0.00274	0.02755	0.0568	0.18249	0.03396	0.13461	0.11803	0.42507	0.01875	0
V134	0.01519	0.06742	0.17546	0.0626	0.18971	0	0.19391	0	0.02318	0.27253
V135	0.00553	0.20888	0.19082	0.02616	0.04667	0.00307	0.03898	0	0.45923	0.02065
V136	0	0.58618	0.02827	0.14799	0.00602	0.00077	0.01326	0	0.00979	0.20773
V137	0	0.00806	0.03308	0.01486	0.06064	0.30331	0.5174	0	0.05532	0.00732
V138	0.01241	0.01769	0.01573	0.0103	0.01013	0	0.55879	0	0.04494	0.32999
V139	0.59739	0.02471	0.06631	0.01289	0.07073	0.06748	0.02493	0	0.13554	2e-05
V140	0.0335	0.01391	0.33597	0.43857	0.05597	0.05141	0.02688	0.00055	0.01553	0.02772
V141	0.01565	0.01115	0.1556	0.6646	0.03346	0.02965	0.02059	0.00494	0.01676	0.04759
V142	0.00175	0	0.06536	0.19714	0.03692	0	0.64721	0	0.01858	0.03304
V143	0	0.82659	0.01392	0.0651	0.03956	0.00812	0.00881	0	0.03067	0.00723
V144	0	0	0.02452	0.01418	0.03686	0.3127	0.58037	0.0133	0.01327	0.00479
V145	0.03896	0.09403	0.1244	0.47131	0.03499	0.03378	0.02741	0.15512	0.02001	0
V146	0.01384	0	0.4013	0.04384	0	0.01884	0.06784	0.08871	0.02275	0.34287
V147	0.00162	0.0284	0.03357	0.02045	0.12426	0.0022	0.03	0.01317	0.43818	0.30815
V148	0.01625	0.02779	0.05963	0.01149	0.04234	0.05263	0.0676	0	0.6983	0.02397
V149	0.00332	0.01707	0.13631	0.54304	0.03197	0.00923	0.02611	0.09055	0.13112	0.01128
V150	0.06676	0.0072	0.00064	0.01899	0.0029	0.00543	0.0362	0.00055	0.04036	0.82097
V151	0.00898	0	0.014	0.01985	0	0.05312	0.02987	0	0.01809	0.85609
V152	0.00728	0	0.01551	0.00636	0.01525	0.02799	0.07513	0.64128	0.0311	0.18011
V153	0	0.17259	0.00563	0.0064	0.67838	0	0.0291	0.07612	0.00667	0.0251
V154	0.07573	0.01763	0.52347	0.28776	0.03247	0.02045	0.01863	0	0.01726	0.00659
V155	0.05804	0	0.03507	0.00452	0.02544	0.12254	0.05418	0.47062	0.21709	0.01251
V156	0.11696	0.02533	0.18472	0.03355	0.02523	0.44319	0.04925	0.03413	0.0727	0.01494
V157	0	0.47083	0.02082	0.05229	0.19245	0.20654	0.01534	0	0.01852	0.02321
V158	0.28737	0.54505	0.02905	0.01803	0.06185	0.00072	0.02839	0.0246	0.00259	0.00233
V159	0.0275	0.08872	0.21077	0.05828	0.2692	0.02371	0.03312	0.06668	0.01009	0.21192
V160	0.01871	0.88071	0.00527	0.02001	0.032	0.00053	0.00887	0	0.01434	0.01955
V161	0.00464	0.01323	0.16448	0.69852	0.04042	0.01517	0.02064	0.00502	0.02993	0.00795
V162	0.00265	0	0.00555	0.02244	0	0	0.0331	0	0.02571	0.91055
V163	0.11419	0.01486	0.67018	0.06654	0.02785	0.01986	0.01982	0.01182	0.01772	0.03715
V164	0.02657	0.00725	0.74453	0.08168	0.03249	0.01993	0.03277	0	0.02616	0.02863
V165	0.0091	0	0.22887	0.03659	0	0.0012	0.02631	0.00395	0.02331	0.67068
V166	0.05044	0.10206	0.12157	0.4979	0.02381	0.0137	0.03693	0.05686	0.04759	0.04914
V167	0.80666	0.01012	0.06957	0.01427	0.02088	0.00208	0.02864	0	0.04778	0
V168	0.06672	0.01505	0.03302	0.00551	0.02368	0.29173	0.05315	0.3214	0.16222	0.02751
V169	0	0	0.03367	0.13824	0	0.1449	0.02652	0.00854	0.01158	0.63655
V170	0.01816	0.00754	0.06773	0.01425	0.04488	0.00515	0.0298	0	0.78562	0.02687
V171	0.00297	0.00271	0.24251	0.08502	0.05089	0.39092	0.0687	0.04248	0.09422	0.01957
V172	0	0.01361	0.02952	0.00688	0.05044	0.13304	0.71307	0.00305	0.04139	0.00899
V173	0.01103	0	0.00714	0.0099	0	0.00684	0.51988	0	0.03797	0.40724
V174	0.00502	0.09253	0.23753	0.34903	0.11209	0.02532	0.02713	0.01109	0.01333	0.12693
V175	0.75169	0.00979	0.14664	0.01594	0.0224	0.00204	0.04519	0.0032	0.00311	0
V176	0.20233	0	0.03849	0.00816	0.0268	0.65215	0.02764	0.00464	0.0303	0.00948
V177	0.63501	0.00385	0.06601	0.08362	0	0.0021	0.02602	0.00935	0.00867	0.16536
V178	0.21142	0.0067	0.03721	0.03234	0.05586	0.54651	0.0331	0.00357	0	0.07328
V179	0.17135	0.14333	0.02012	0.01387	0.58974	0	0.02351	0	0.00268	0.03539
V180	0.45473	0.11336	0.09798	0.26193	0.02538	0.00899	0.02663	0.00171	0.00929	0
V181	0.0168	0.1672	0.55984	0.05705	0.05053	0.00947	0.09756	0	0.01515	0.02639
V182	0.00027	0.06939	0.01789	0.03339	0.32981	0.03964	0.04678	0.38064	0.05983	0.02237
V183	0.01255	0.16321	0.11769	0.50128	0.03284	0.01035	0.14635	0.00221	0.01352	0
V184	0.19238	0	0.02932	0.02044	0	0.49758	0.02691	0.02606	0.00133	0.20598
V185	0.59124	0.00652	0.08742	0.15092	0.02155	0.00471	0.02728	0.06216	0.04538	0.00281
V186	0.74964	0.0159	0.07877	0.0842	0.02047	0.00215	0.03823	0.0049	0.00575	0
V187	0.69063	0.00611	0.14156	0.02068	0.01116	0.0021	0.03193	0.00332	0.04644	0.04607
V188	0.07858	0.2297	0.01865	0.06806	0.50839	0	0.0364	0.00455	0.00888	0.0468
V189	0.76834	0.00779	0.07594	0.0632	0.01291	0.01293	0.02802	0.00449	0.00595	0.02045
V190	0.00021	0.03225	0.05391	0.01112	0.10916	0.10268	0.02778	0	0.63882	0.02408
V191	0.01177	0.07995	0.11819	0.32588	0.34203	0.00084	0.07027	0.01694	0.00978	0.02436
V192	0.00317	0.027	0.00701	0.02016	0.08432	0.00542	0.03081	0.00496	0.01947	0.79767
V193	0.09267	0.03483	0.20664	0.27869	0.12928	0.00296	0.1616	0.05267	0.02346	0.0172
V194	0	0	0.02994	0.01766	0.03074	0.69679	0.20861	0.01181	0.00444	0
V195	0.03556	0.04633	0.02534	0.0055	0.10226	0.11501	0.59995	0.03027	0.01791	0.02187
V196	0.6916	0.01583	0.09092	0.1501	0.0167	0.00278	0.02597	0.00117	0.00343	0.00148
V197	0.01782	0.01399	0.07071	0.19408	0.04703	0.01741	0.06317	0.36317	0.21262	0
V198	0	0.12353	0.02326	0.01463	0.49753	0.22717	0.0481	0	0.04367	0.02211
V199	0.02122	0.05265	0.04254	0.02768	0.15778	0.00333	0.15874	0	0.01791	0.51813
V200	0	0.08182	0.01235	0.0046	0.39571	0.10203	0.28976	0.0752	0.00701	0.03151
V201	0.25071	0.04153	0.053	0.00885	0.02545	0.001	0.13729	0.00028	0.41013	0.07176
V202	0.02348	0.29949	0.41506	0.07191	0.03133	0.00217	0.09862	0	0.04629	0.01165
V203	0.01019	0.07474	0.35985	0.17202	0.0395	0.01036	0.12765	0	0.16525	0.04045
V204	0.00561	0.20803	0.27796	0.28128	0.03661	0.08636	0.01919	0.05391	0.02847	0.00257
V205	0.06409	0.05404	0.03115	0.00556	0.04699	0.01067	0.65193	0.04438	0.08257	0.00862
V206	0.29707	0.01034	0.49643	0.05043	0.03685	0.00374	0.02776	0	0.01336	0.06402
V207	0.01216	0.12731	0.02595	0.07104	0	0.00035	0.03137	0	0.15164	0.58017
V208	0	0	0.05041	0.06337	0.03435	0.74346	0.03075	0.00555	0.05812	0.01399
V209	0.03322	0.16313	0.08349	0.01423	0.63389	0.00402	0.02268	0	0.00516	0.04018
V210	0.05918	0.13052	0.06398	0.00989	0.52065	0.00824	0.03667	0.09928	0.02289	0.0487
V211	0.0191	0.07061	0.59729	0.05839	0.03864	0.01193	0.08901	0.02522	0.06266	0.02713
V212	0.1156	0.08583	0.04085	0.00661	0.03049	0.01436	0.05131	0.31982	0.33068	0.00445
V213	0.12839	0.02545	0.02969	0.01977	0.14453	0.57417	0.04189	0.00846	0	0.02766
V214	0	0.05225	0.00598	0.00593	0.23483	0.0233	0.53563	0	0.01287	0.12921
V215	0.00168	0	0.02126	0.00637	0.04495	0	0.89121	0	0.02439	0.01014
V216	0	0.71979	0.00702	0.01613	0.19905	0	0.01955	0.00663	0.00679	0.02503
V217	0.01954	0.22922	0.05052	0.08676	0.14859	0.23463	0.02259	0.03774	0.02085	0.14956
V218	0.03132	0	0.02581	0.0084	0.02682	0.5788	0.25129	0.003	0.00421	0.07036
V219	0.00752	0	0.03375	0.06539	0.03354	0.02957	0.14906	0.65032	0.03085	0
V220	0.00318	0.01735	0.11275	0.35513	0.03768	0.0075	0.02682	0.05264	0.37862	0.00834
V221	0.16208	0.09571	0.29539	0.03813	0.01935	0.00455	0.05308	0.06119	0.13816	0.13235
V222	0.03189	0.00451	0.66016	0.06568	0.03128	0.16053	0.01833	0	0.01489	0.01273
V223	0.02185	0.00572	0.67592	0.06626	0.03973	0.07227	0.08649	0	0.01722	0.01454
V224	0.01981	0.01452	0.59058	0.10749	0.03355	0.01547	0.02244	0.05563	0.127	0.01352
V225	0.01238	0.00404	0.34864	0.32727	0.02926	0.02801	0.03059	0.1881	0.01939	0.01232
V226	0.00843	0.76226	0.00454	0.01521	0.0421	0.0049	0.02506	0.12395	0.00915	0.00441
V227	0.01928	0.05006	0.59284	0.06714	0.20614	0.00334	0.01874	0	0.02263	0.01982
V228	0.02261	0.63248	0.06519	0.02464	0.03167	0.00484	0.02615	0.12078	0.05354	0.0181
V229	0.6539	0.00773	0.05283	0.00526	0.01132	0.2097	0.04234	0.01693	0	0
V230	0.00069	0	0.06377	0.29086	0	0.00653	0.13356	0	0.02592	0.47866
V231	0.02635	0.26978	0.04336	0.02747	0.0334	0.1046	0.02204	0.00115	0.4405	0.03136
V232	0.02261	0.38644	0.39272	0.04399	0.03236	0.01202	0.01639	0.0591	0.0122	0.02217
V233	0	0.12996	0.01924	0.03811	0.54049	0.00601	0.02428	0	0.19988	0.04204
V234	0.01371	0.04715	0.02035	0.00365	0.21546	0.00994	0.30836	0.34456	0.01751	0.01932
V235	0.02884	0.01715	0.39934	0.03756	0.02524	0.01793	0.05712	0.36629	0.02207	0.02846
V236	0.00307	0.01297	0.25578	0.25695	0.03712	0.37426	0.03028	0.00258	0.02566	0.00134
V237	0.03339	0.06746	0.37495	0.16539	0.25226	0.0339	0.02091	0.02036	0.01706	0.01432
V238	0.01372	0.05137	0.33131	0.03241	0.04737	0.01923	0.05221	0.41648	0.02214	0.01377
V239	0.02288	0.15242	0.10188	0.43783	0.03842	0.0243	0.05509	0.00168	0.01789	0.14761
V240	0.07154	0	0.03115	0.00651	0.03628	0.23453	0.55844	0	0.0162	0.04535
V241	0.20407	0.01147	0.13657	0.51425	0.0389	0.03437	0.02205	0.02222	0.01122	0.00487
V242	0.0179	0.00691	0.0823	0.05752	0.0432	0.01473	0.02827	0	0.72496	0.02423
V243	0.01486	0	0.06724	0.13204	0.01927	0.07457	0.08023	0	0.44945	0.16233
V244	0.03533	0	0.32984	0.03898	0.03723	0	0.49223	0.02665	0.02897	0.01077
V245	0.17195	0.13852	0.17462	0.02028	0.02282	0.4231	0.02865	0.01915	0.00091	0
V246	0	0.2075	0.01443	0.00784	0.04834	0	0.67094	0	0.04056	0.0104
V247	0.0275	0.02639	0.75575	0.07743	0.0326	0.00576	0.0179	0	0.02728	0.02939
V248	0.51731	0.05931	0.06209	0.00566	0.03432	0.01596	0.17379	0.1231	0.00848	0
V249	0.03175	0.01901	0.59327	0.06166	0.07448	0.00402	0.01958	0	0.02944	0.16679
V250	0.01176	0.05107	0.07637	0.27853	0.03886	0.27293	0.04907	0.18992	0.01026	0.02125
V251	0.57995	0.16258	0.05075	0.02831	0.07096	0.00238	0.02338	0.0418	0.03245	0.00743
V252	0.06442	0.5378	0.02081	0.05041	0.01991	0.22293	0.02361	0.04438	0.00218	0.01356
V253	0.01041	0.00413	0.34317	0.04399	0.03803	0.08576	0.03211	0	0.42247	0.01992
V254	0	0.16025	0.01196	0.04942	0.62397	0.00346	0.02342	0	0.00578	0.12174
V255	0	0.18321	0	0.00632	0.74355	0	0.03272	0	0.00644	0.02776
V256	0.00393	0.01984	0.16072	0.68665	0.03277	0.04696	0.02027	0.00531	0.01653	0.00702
V257	0.40284	0.0043	0.35332	0.05735	0.02275	0.11849	0.03429	0	0.00576	0.00091
V258	0	0.14204	0	0.01395	0.58412	0	0.03858	0	0.007	0.21431
V259	0.07987	0.0283	0.03872	0.09841	0.15716	0.0183	0.08302	0.46785	0.01828	0.01009
V260	0.00537	0.22708	0.02472	0.00744	0.02553	0.02639	0.0578	0.59362	0.03206	0
V261	0.22666	0.014	0.03267	0.00582	0.03305	0.24382	0.36647	0	0.04951	0.02801
V262	0	0.46256	0.08877	0.02557	0.02446	0.31313	0.01586	0.01128	0.00268	0.05568
V263	0.43422	0.38288	0.0296	0.01026	0.02629	0.00515	0.05826	0	0.00127	0.05208
V264	0.01196	0.05744	0.11187	0.48717	0.23888	0.01829	0.04429	0.00054	0.01177	0.01779
V265	0.02135	0.2892	0.05961	0.25168	0.00881	0.02111	0.16378	0	0.01626	0.1682
V266	0.01152	0.72145	0.10275	0.02456	0.03164	0.00137	0.01867	0.01391	0.06521	0.00893
