B_cells	NK_cells	T_cells_CD4.	Monocytes
V208	0.27173	0.07303	0.65523	0
V209	0.34398	0.43487	0.09655	0.1246
V210	0.12921	0.69391	0.15152	0.02536
V211	0.48252	0	0.06139	0.45609
V212	0.51152	0.03437	0.44305	0.01106
V213	0.65949	0.00186	0.1472	0.19144
V214	0.37416	0.14578	0.19837	0.28169
V215	0.365	0.08263	0.03039	0.52198
V216	0.13512	0	0.08958	0.77529
V217	0.0766	0.46911	0.28011	0.17419
V218	0.13693	0.42997	0.2085	0.2246
V219	0.15629	0.60838	0.04064	0.19469
V220	0.04892	0.78018	0.05855	0.11235
V221	0.81138	0	0.02961	0.15901
V222	0.34414	0.12401	0.39	0.14184
V223	0.02807	0.15462	0.76154	0.05577
V224	0.90437	0	0.09563	0
V225	0.09963	0.77493	0.12544	0
V226	0.32489	0.0856	0.58951	0
V227	0.76402	0	0.22301	0.01297
V228	0.76551	0.04421	0.10225	0.08804
V229	0.05833	0.04949	0.86304	0.02914
V230	0.08983	0.0347	0.09322	0.78224
V231	0.05363	0.28056	0.15373	0.51207
V232	0.09451	0.65038	0	0.25511
V233	0.57783	0.07027	0.23142	0.12048
V234	0.0848	0.81279	0.09932	0.00308
V235	0.39213	0.06105	0.53433	0.01249
V236	0.07619	0.08829	0.77823	0.05729
V237	0.23751	0	0.07239	0.6901
V238	0.16639	0.50848	0.30853	0.0166
V239	0.11994	0.39705	0.04146	0.44155
V240	0.49761	0.03166	0.43854	0.03219
V241	0.05313	0.02008	0.87185	0.05494
V242	0.16929	0.68067	0.15004	0
V243	0.26682	0.04704	0.63101	0.05513
V244	0.23779	0	0.69749	0.06472
V245	0.61428	0.2609	0.08195	0.04288
V246	0.08741	0.16251	0.74605	0.00402
V247	0.18448	0.03973	0.77579	0
V248	0.09667	0.02999	0.118	0.75534
V249	0	0.07431	0.86904	0.05665
V250	0.74505	0	0.24726	0.0077
V251	0.90123	0.038	0.04051	0.02026
V252	0.04122	0.74757	0.21121	0
V253	0.41287	0.04859	0.20027	0.33828
V254	0.05147	0.8208	0.12772	0
V255	0.09803	0.86648	0.00545	0.03004
V256	0.20515	0.20841	0.52838	0.05807
V257	0.45201	0.08423	0.26614	0.19762
V258	0.20764	0.25268	0.44611	0.09357
V259	0.06563	0.2879	0.63401	0.01247
V260	0.00388	0.28367	0.71245	0
V261	0.6282	0.00719	0.23327	0.13134
V262	0.18318	0.05704	0.03462	0.72515
V263	0.07292	0.89264	0.01233	0.02211
V264	0.20539	0.02776	0.46737	0.29949
V265	0.09511	0	0.19634	0.70855
V266	0.66188	0.2939	0.04422	0
V267	0.0077	0.18328	0.34271	0.46632
V268	0.4377	0	0.17954	0.38276
V269	0.0315	0.5205	0.43102	0.01698
V270	0.64514	0.00501	0.2765	0.07335
V271	0.79534	0.04505	0.06268	0.09693
V272	0.10116	0.77058	0.05296	0.0753
V273	0.14457	0.00604	0.10147	0.74792
V274	0.69704	0	0.20797	0.09499
V275	0.00714	0.06802	0.89927	0.02557
V276	0.53794	0.30529	0.02888	0.12788
V277	0.07599	0.20546	0.21034	0.50821
V278	0.08302	0.04965	0.34645	0.52088
V279	0.69408	0.03344	0.14799	0.1245
V280	0.10498	0	0.1138	0.78122
V281	0.57679	0.00137	0.17692	0.24492
V282	0.08774	0.08828	0.77985	0.04413
V283	0.25332	0.53833	0.09501	0.11334
V284	0.07112	0.79798	0.1309	0
V285	0.10047	0.02611	0.87342	0
V286	0.28257	0.50115	0.14883	0.06746
V287	0.14607	0.78718	0.05846	0.0083
V288	0.0394	0.27545	0.46474	0.22041
V289	0.30443	0.20836	0.43773	0.04948
V290	0.82372	0.12312	0.05315	0
V291	0.49199	0.06286	0.44514	0
V292	0.92325	0	0	0.07675
V293	0.31656	0.02176	0.63916	0.02252
V294	0.14441	0.36829	0	0.4873
V295	0.05307	0.17492	0.24468	0.52733
V296	0.20506	0.12471	0.60885	0.06137
V297	0.1542	0	0.12956	0.71624
V298	0.31482	0.10283	0.58235	0
V299	0.12791	0.27469	0.02672	0.57068
V300	0.01786	0.02268	0.30406	0.65541
V301	0.15184	0.1194	0.64239	0.08636
V302	0.68406	0.30442	0.00252	0.00901
V303	0.01375	0.55978	0.42484	0.00164
V304	0.08769	0.04002	0.74457	0.12772
V305	0.15372	0.15879	0.48468	0.20281
V306	0.78928	0.07176	0.08684	0.05211
V307	0.06877	0.84106	0.07885	0.01133
V308	0.26039	0.21665	0.32729	0.19566
V309	0.38105	0.29618	0.0392	0.28357
V310	0.11957	0.30786	0.19158	0.38098
V311	0.54128	0.41642	0.0423	0
V312	0.13879	0.6627	0.19851	0
V313	0.02298	0.12057	0.06381	0.79264
V314	0.04861	0.46649	0.15269	0.33221
V315	0.16596	0.58899	0.06853	0.17652
V316	0.33201	0.1255	0.41017	0.13232
V317	0.13093	0.6519	0.08997	0.1272
V318	0.08271	0.53795	0.03993	0.33941
V319	0.08842	0.08344	0.80273	0.02541
V320	0.10739	0.15106	0.64794	0.09361
V321	0.65253	0.30315	0.04431	0
V322	0.24355	0.31055	0.09248	0.35342
V323	0.12904	0	0.15633	0.71463
V324	0.66421	0.22099	0.10595	0.00884
V325	0.33391	0.56658	0.0995	0
V326	0.01016	0.55327	0.14173	0.29484
V327	0.06255	0.14253	0.15727	0.63764
V328	0.07773	0.04092	0.74513	0.13622
V329	0.22379	0.09897	0.21381	0.46343
V330	0.41598	0	0.36184	0.22218
V331	0.40276	0.06579	0.07015	0.4613
V332	0.04828	0.04072	0.24836	0.66263
V333	0.43546	0.06373	0.41032	0.0905
V334	0.38392	0	0.38445	0.23163
V335	0.05023	0.32466	0.53413	0.09097
V336	0.21939	0.64887	0.0552	0.07654
V337	0.30679	0.3654	0.32781	0
V338	0.01729	0.88261	0.08605	0.01404
V339	0.15412	0.00548	0.8404	0
V340	0.08254	0.22533	0.54555	0.14658
V341	0.09076	0.02596	0.13527	0.74802
V342	0.27135	0	0.62257	0.10608
V343	0.90115	0.01784	0.04702	0.03399
V344	0.66677	0.12141	0.21183	0
V345	0.05959	0.06173	0.87867	0
V346	0.26805	0.10294	0.31928	0.30973
V347	0.10984	0	0.18912	0.70104
V348	0.09076	0.60675	0.19308	0.10941
V349	0.36019	0.15456	0.40604	0.07921
V350	0.05992	0.71468	0.2254	0
V351	0.0563	0.0274	0.44591	0.47039
V352	0.07869	0.03717	0.82523	0.05891
V353	0.84615	0.00227	0.07694	0.07464
V354	0.08238	0.63077	0.27495	0.0119
V355	0.29857	0.07032	0.48013	0.15097
V356	0.10189	0.00188	0.16923	0.72701
V357	0.14397	0.31646	0.31613	0.22343
V358	0.57393	0.08064	0.07348	0.27194
V359	0.60765	0.02718	0.0581	0.30707
V360	0.56522	0.37435	0.05888	0.00155
V361	0.00354	0.42451	0.57195	0
V362	0.00799	0.88006	0.10158	0.01037
V363	0.1993	0.11554	0.49075	0.19441
V364	0.18298	0.07263	0.67372	0.07067
V365	0.33643	0	0.03632	0.62725
V366	0.11757	0.63276	0.13125	0.11842
V367	0.60874	0.11875	0.00881	0.26369
V368	0.12951	0.66833	0.13633	0.06583
V369	0.04454	0.36987	0.58559	0
V370	0.31477	0.25552	0.42971	0
V371	0.22848	0.66082	0.06738	0.04332
V372	0.2239	0.03446	0.17091	0.57073
V373	0.11153	0.14063	0.49881	0.24902
V374	0.75774	0	0.24226	0
V375	0.10167	0.02421	0.20589	0.66823
V376	0.09927	0.01723	0.16497	0.71854
V377	0.78671	0	0.03689	0.1764
V378	0.04087	0.02941	0.45826	0.47146
V379	0.39072	0.1823	0.0191	0.40788
V380	0.2022	0.05907	0.24717	0.49156
V381	0.73043	0	0.12343	0.14613
V382	0.11153	0.05713	0.83134	0
V383	0.80991	0	0.08274	0.10735
V384	0.57251	0.05518	0.16388	0.20842
V385	0.81817	0	0.1187	0.06313
V386	0.34999	0	0.18524	0.46477
V387	0.58077	0.12865	0.22248	0.06811
V388	0.39581	0.30427	0.17466	0.12527
V389	0.44611	0.47015	0.03993	0.0438
V390	0.30353	0.2327	0.46377	0
V391	0.47176	0.0842	0.02843	0.41561
V392	0.44078	0.20275	0.19429	0.16217
V393	0.29886	0.21494	0.3735	0.1127
V394	0.14216	0.21996	0.15152	0.48637
V395	0.2498	0.36454	0.23688	0.14877
V396	0.05626	0.8599	0.06314	0.0207
V397	0.75264	0.0644	0.14391	0.03904
V398	0.47593	0.11844	0.12443	0.28121
V399	0.22509	0.50631	0.19363	0.07498
V400	0.01653	0.56808	0.11347	0.30192
V401	0.05887	0.16899	0.71755	0.05459
V402	0.79	0.13646	0.07354	0
V403	0.09118	0.00911	0.14921	0.7505
V404	0.11722	0.19863	0.61674	0.06741
V405	0.27435	0.008	0.21777	0.49988
V406	0.65234	0.22205	0.0366	0.08901
V407	0.01729	0.88261	0.08605	0.01404
V408	0.11911	0.23828	0.42994	0.21267
V409	0.02838	0.025	0.1269	0.81972
V410	0.13404	0.77374	0.0853	0.00692
V411	0.49825	0	0	0.50175
V412	0.18929	0.076	0.52191	0.21281
V413	0.09121	0.46294	0.22237	0.22349
V414	0.0636	0.47524	0.3711	0.09006
V415	0.46848	0.01034	0.26876	0.25242
V416	0.04337	0.09977	0.85686	0
V417	0.40868	0.54547	0.04585	0
V418	0.12698	0.0953	0.19375	0.58397
V419	0.09501	0	0.1241	0.7809
V420	0.00469	0.84412	0.08102	0.07017
V421	0.18376	0.05085	0.67774	0.08764
V422	0.13485	0.07513	0.02106	0.76895
V423	0.11018	0.04048	0.82857	0.02076
V424	0.00245	0.06632	0.66145	0.26978
V425	0.08203	0.23867	0.60378	0.07553
V426	0.11981	0.06503	0.76482	0.05034
V427	0.10304	0.38139	0.23351	0.28206
V428	0.13117	0.70324	0.10711	0.05848
V429	0.0886	0	0.13211	0.77929
V430	0.74783	0.14366	0.03736	0.07115
V431	0.21521	0.01833	0.48608	0.28037
V432	0.17721	0.08613	0.08603	0.65063
V433	0.1038	0.71452	0.00498	0.1767
V434	0.39111	0.05679	0.0819	0.47021
V435	0.53734	0	0.15022	0.31243
V436	0.42598	0	0.1496	0.42442
V437	0.29087	0.22089	0.01114	0.4771
V438	0.62766	0.14023	0.04856	0.18355
V439	0.10928	0.1096	0.02054	0.76058
V440	0.53055	0.008	0.06209	0.39936
V441	0.09661	0.13779	0.61026	0.15534
V442	0.3457	0.32088	0.16302	0.1704
V443	0.73582	0	0.11974	0.14444
V444	0.05959	0.06173	0.87867	0
V445	0.60248	0.008	0.36816	0.02136
V446	0.0756	0.7557	0.11721	0.05149
V447	0.62102	0.07751	0.21312	0.08835
V448	0.06145	0.06006	0.25308	0.62541
V449	0.55973	0.02757	0.3271	0.08559
V450	0.17756	0.75532	0.06712	0
V451	0.90518	0.04601	0	0.04881
V452	0.1091	0	0.14678	0.74411
V453	0.7809	0.05359	0.10618	0.05933
V454	0.014	0.84458	0.13332	0.0081
V455	0.59282	0.02024	0.33407	0.05287
V456	0.3428	0.11538	0.40924	0.13258
V457	0.02733	0.05788	0.08151	0.83328
V458	0.32364	0.2187	0.0097	0.44795
V459	0.04734	0.73018	0.15644	0.06605
V460	0.87559	0	0.08609	0.03832
V461	0.15584	0.03956	0.02766	0.77694
V462	0.39909	0.23198	0	0.36893
V463	0.28102	0.43693	0.19713	0.08493
V464	0.55559	0.07874	0.00822	0.35745
V465	0.43257	0.39301	0.04843	0.12599
V466	0.61142	0.16721	0.01237	0.20901
V467	0.34446	0.51652	0.12474	0.01429
V468	0.51576	0.36147	0.08569	0.03708
V469	0.04761	0.17854	0.33538	0.43847
V470	0.54969	0.10852	0.21294	0.12885
V471	0.32936	0.0947	0.05391	0.52203
V472	0.37295	0.31503	0	0.31202
V473	0.13152	0.49581	0.37268	0
V474	0.18572	0	0.15248	0.6618
V475	0.22634	0.38203	0.10706	0.28457
V476	0.2347	0	0.1047	0.66059
V477	0.60026	0.01937	0.24118	0.13919
V478	0.17899	0.559	0.02781	0.23419
V479	0.03797	0.10934	0.78748	0.06522
V480	0.13162	0.30342	0.07482	0.49015
V481	0.17124	0.03868	0.78524	0.00483
V482	0.67956	0.14018	0.15105	0.02922
V483	0.19158	0.10173	0.11468	0.59201
V484	0.09212	0.07877	0.06969	0.75943
V485	0.1676	0.68566	0.04564	0.1011
V486	0.30623	0.25216	0.15873	0.28289
V487	0.1457	0.03254	0.14406	0.6777
V488	0.00671	0.02335	0.88723	0.08272
V489	0.23116	0.11203	0.65681	0
V490	0.37628	0.29843	0.08887	0.23642
V491	0.46711	0.4239	0.06472	0.04426
V492	0.0642	0.74026	0.19553	0
V493	0.14685	0	0	0.85315
V494	0.21689	0.15788	0.53052	0.09471
V495	0.2537	0.55807	0.18823	0
V496	0.3198	0.64132	0.01179	0.02709
V497	0.0604	0.01302	0.90382	0.02276
V498	0.36879	0.09012	0.07808	0.46301
V499	0.60797	0.23159	0.16044	0
V500	0.13029	0.13769	0.70992	0.0221
