Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V451	0	0.14995	0.35171	0	0.41381	0.08452
V452	0	0.07479	0	0	0	0.92521
V453	0	0.16592	0.61615	0	0	0.21793
V454	0	0.21783	0.3731	0.17659	0.02048	0.21199
V455	0	0.72573	0	0	0	0.27427
V456	0.21081	0.3074	0	0	0	0.48179
V457	0	0.05663	0	0	0	0.94337
V458	0	0.07157	0.33724	0	0.15752	0.43367
V459	0	0.12398	0.86395	0	0.00804	0.00403
V460	0	0.21767	0.24654	0	0	0.53579
V461	0	0.19923	0.26683	0	0.15754	0.3764
V462	0	0.05296	0.76248	0	0	0.18456
V463	0	0.10139	0.17822	0	0.7204	0
V464	0.02533	0.81962	0	0	0	0.15505
V465	0	0.26644	0.37416	0	0	0.35941
V466	0	0.17331	0.25067	0.30526	0.10475	0.16601
V467	0.3083	0.34193	0	0	0	0.34978
V468	0	0.28032	0.29915	0	0.12811	0.29242
V469	0	0.1612	0.48514	0	0	0.35366
V470	0.09745	0.25707	0.23687	0	0.06626	0.34235
V471	0	0.22405	0.39492	0	0.00019	0.38084
V472	0	0.48017	0.00179	0	0.22418	0.29387
V473	0	0.84254	0	0	0	0.15746
V474	0	0.13105	0.68473	0	0.11363	0.07059
V475	0	0.22427	0.40494	0	0.1788	0.19199
V476	0	0.18902	0.0311	0	0	0.77989
V477	0	0.49239	0	0	0	0.50761
V478	0	0.05881	0.62245	0	0	0.31873
V479	0	0.1895	0.67458	0	0	0.13593
V480	0	0.32064	0.09441	0	0.4942	0.09075
V481	0	0.25481	0.19703	0	0.17703	0.37113
V482	0	0.0997	0	0	0	0.9003
V483	0	0.85272	0	0	0	0.14728
V484	0.34585	0.3418	0	0	0	0.31235
V485	0	0.215	0.4326	0	0	0.35241
V486	0	0.10442	0.46769	0	0	0.42789
V487	0	0.36952	0.08358	0	0.39084	0.15606
V488	0.04749	0.64551	0	0	0	0.307
V489	0.34629	0.35122	0	0	0	0.30249
V490	0	0.0681	0	0	0	0.9319
V491	0	0.28989	0.30812	0	0.1124	0.28959
V492	0	0.06363	0	0	0	0.93637
V493	0.23871	0.40254	0	0	0	0.35875
V494	0	0.05162	0	0	0	0.94838
V495	0.16284	0.61613	0.0547	0	0	0.16632
V496	0	0.15732	0.20038	0	0.05302	0.58927
V497	0	0.26235	0.28764	0	0.37753	0.07249
V498	0	0.1866	0.41478	0	0.12977	0.26886
V499	0	0.63624	0.09064	0	0.04132	0.23181
V500	0.05132	0.32256	0.17829	0	0.03557	0.41226
V501	0	0.74826	0	0	0	0.25174
V502	0	0.10703	0.20795	0	0.63632	0.0487
V503	0	0.43791	0.2135	0.13842	0.04371	0.16647
V504	0.007	0.83549	0	0	0	0.15751
V505	0	0.09089	0.53159	0	0.12689	0.25064
V506	0	0.09456	0	0	0	0.90544
V507	0	0.04831	0	0	0	0.95169
V508	0	0.55965	0.0332	0	0.18221	0.22494
V509	0	0.17205	0.28533	0.4193	0.12332	0
V510	0.31101	0.34244	0	0	0	0.34655
V511	0	0.06704	0	0	0	0.93296
V512	0	0.24531	0.42828	0	0	0.32641
V513	0	0.10909	0.42487	0	0.44614	0.0199
V514	0	0.65573	0	0	0	0.34427
V515	0	0.4418	0.11822	0.03762	0.06673	0.33565
V516	0	0.10911	0.81376	0	0	0.07713
V517	0	0.09289	0.61933	0	0.27976	0.00802
V518	0.13919	0.45574	0	0	0	0.40507
V519	0	0.44223	0	0	0	0.55777
V520	0.19219	0.33682	0	0	0	0.47099
V521	0	0.10531	0.13501	0	0.61757	0.14212
V522	0	0.26003	0.06474	0	0.08866	0.58657
V523	0	0.24734	0.00807	0	0	0.74459
V524	0	0.08002	0.06801	0	0.3846	0.46737
V525	0	0.08151	0	0	0	0.91849
V526	0.02297	0.75127	0	0	0.08687	0.13889
V527	0	0.17224	0.59519	0	0	0.23257
V528	0.38086	0.35975	0	0	0	0.2594
V529	0	0.25005	0.32274	0.30155	0	0.12566
V530	0	0.22358	0.18044	0	0.05405	0.54193
V531	0.3082	0.34677	0	0	0	0.34502
V532	0	0.16486	0.31657	0.22474	0.16903	0.1248
V533	0	0.06016	0.09174	0	0.14186	0.70624
V534	0	0.07706	0.05053	0	0.13599	0.73642
V535	0.08606	0.27106	0.24752	0	0	0.39536
V536	0	0.06841	0.66505	0	0.01193	0.25461
V537	0.09709	0.6556	0	0	0.01936	0.22794
V538	0	0.05684	0	0	0	0.94316
V539	0	0.14685	0.3086	0.28044	0.17519	0.08892
V540	0	0.15086	0.3898	0	0.0604	0.39894
V541	0	0.34961	0.16376	0.14163	0.09457	0.25043
V542	0	0.59551	0.07838	0	0.10533	0.22078
V543	0	0.0721	0.80391	0	0.06953	0.05446
V544	0	0.0594	0	0	0	0.9406
V545	0	0.60114	0	0	0.19514	0.20372
V546	0.36006	0.30475	0.04525	0	0	0.28994
V547	0	0.16874	0.04343	0	0.34637	0.44146
V548	0	0.05395	0	0	0	0.94605
V549	0	0.0861	0.44184	0	0.0119	0.46016
V550	0	0.09391	0.51593	0	0.37424	0.01592
V551	0	0.07785	0	0	0	0.92215
