Neutrophils	T_cells_Gamma_Delta	Monocytes	Macrophages	T_cells_CD4.	Fibroblasts	Vascular_Endothelial_Cells	Keratinocytes	Blood_CD34._cells	Platelets
V121	0.04745	0.08693	0.30721	0	0.03549	0.20289	0.25442	0.02639	0.00856	0.03066
V122	0.02623	0.01744	0.14761	0	0.01327	0.08035	0.10173	0	0.61338	0
V123	0.02316	0	0.03781	0	0.40019	0	0	0.53885	0	0
V124	0.66938	0.01783	0	0	0	0	0	0.31279	0	0
V125	0.01935	0.10164	0.12485	0	0.04603	0.09002	0.00638	0.61175	0	0
V126	0.00579	0.03447	0.05864	0	0.82538	0	0	0.07571	0	0
V127	0.04313	0.00396	0.61945	0	0	0.04541	0.15956	0	0.12849	0
V128	0.02697	0.09893	0.45028	0	0.37911	0.04028	0	0.00443	0	0
V129	0.02538	0.04474	0.09368	0.22425	0.11051	0.00736	0.01335	0	0.47943	0.00132
V130	0.04124	0	0.43315	0	0	0	0	0.52561	0	0
V131	0.05181	0.30084	0.51719	0.00183	0.10157	0.00349	0.00579	0	0.01748	0
V132	0.10493	0.03167	0.0181	0	0.04741	0.14725	0.49784	0.15116	0.00162	0
V133	0.01185	0.01742	0.04095	0.16856	0	0.09551	0.04178	0.62393	0	0
V134	0.01881	0.02187	0.30706	0	0.34712	0.03356	0.12545	0.01347	0	0.13266
V135	0.03097	0.12917	0.19301	0	0.06076	0.00104	0.01473	0	0.57032	0
V136	0	0.46856	0.06201	0.15442	0.21481	0	0	0	0	0.10021
V137	0	0.02936	0.03448	0	0.00392	0.46073	0.37733	0.0049	0.08929	0
V138	0.00806	0.05318	0.04084	0	0.05598	0.13445	0.45173	0.01164	0.04555	0.19858
V139	0.59981	0	0.00361	0	0.07966	0.08407	0.00302	0	0.22983	0
V140	0.03236	0.00894	0.38061	0.46653	0.02524	0.05274	0.02643	0	0.00577	0.00139
V141	0	0.02053	0.0899	0.79927	0.00365	0.02885	0.03154	0.00203	0.0069	0.01733
V142	0	0.0317	0.05091	0.24431	0	0.14597	0.48958	0.0141	0.01408	0.00936
V143	0.0085	0.64208	0.04652	0.04226	0.25465	0.00066	0.00269	0.00265	0	0
V144	0	0.0152	0.01751	0	0	0.48831	0.42451	0.03145	0.02302	0
V145	0.02886	0.07119	0.08065	0.5227	0.01398	0.01445	0.0149	0.25328	0	0
V146	0.03215	0	0.55044	0	0.0391	0.01118	0.02117	0.17385	0	0.1721
V147	0.01766	0	0.05845	0.00651	0.20491	0	0.00418	0.02749	0.56091	0.11989
V148	0.03593	0.01456	0.03036	0.01473	0.01062	0.0508	0.03452	0	0.80848	0
V149	0.00145	0.0175	0.07458	0.5973	0	0	0.01964	0.14055	0.14899	0
V150	0.06047	0	0.07011	0	0.31115	0.00142	0.00109	0.00865	0	0.54711
V151	0	0	0.09934	0	0.18433	0.07648	0.00043	0	0	0.63942
V152	0.02069	0	0.02506	0	0.02438	0	0	0.86342	0	0.06645
V153	0.00498	0	0.05197	0	0.81607	0	0	0.12698	0	0
V154	0.08596	0.0026	0.66558	0.21678	0	0.0154	0.00896	0	0.00471	0
V155	0.05707	0	0.02739	0	0	0.06074	0	0.6517	0.2031	0
V156	0.10363	0.0081	0.2042	0	0	0.47699	0.05299	0.04841	0.10568	0
V157	0.00174	0.31169	0.06162	0.02817	0.36025	0.21782	0.0185	0	0	0.00022
V158	0.26993	0.43189	0.0214	0	0.22345	0	2e-05	0.05332	0	0
V159	0.03256	0.00536	0.31734	0	0.42179	0.01317	0.00109	0.12444	0	0.08425
V160	0.02695	0.68066	0.02797	0	0.26298	0	0	7e-04	0	0.00076
V161	0	0.02055	0.08307	0.82454	0	0.01246	0.0315	0.0019	0.02598	0
V162	0	0	0.08638	0	0.21768	0	0	0	0	0.69593
V163	0.13837	0	0.82121	0	0	0.00827	0	0.02673	0.00542	0
V164	0.06259	0	0.89884	0	0	0.01413	0.0075	0	0.01695	0
V165	0.01471	0	0.40696	0	0.13523	0	0	0.01441	0	0.42868
V166	0.03697	0.0846	0.07958	0.58541	0.02086	0.00796	0.02998	0.09551	0.04257	0.01656
V167	0.92252	0	0	0	0	0	0	0.00058	0.0769	0
V168	0.06006	0.00237	0.02579	0	0.00305	0.23746	0.01827	0.47626	0.17065	0.00608
V169	0	0	0.08551	0.17137	0.10647	0.19254	0.01736	0.01669	0	0.41006
V170	0.03886	0.00103	0.03141	0.01885	0.00934	0.00326	0.01198	0	0.88527	0
V171	0.01249	0	0.2874	0.03064	0.01197	0.4067	0.06109	0.06264	0.12707	0
V172	0	0.04639	0.02315	0	0	0.32141	0.52373	0.02319	0.06212	0
V173	0.00541	0.02734	0.03424	0	0.04183	0.14916	0.43625	0.01081	0.03289	0.26208
V174	0.00483	0.05395	0.29266	0.37047	0.16673	0.02213	0.01819	0.02083	0	0.0502
V175	0.87616	0	0.10217	0	0	0.00362	0.00679	0.01126	0	0
V176	0.16136	0	0.01026	0	0	0.71281	0.05588	0	0.05671	0.00298
V177	0.74448	0	0.0267	0.07012	0.02236	0	0	0.02278	0	0.11357
V178	0.17637	0	0.0314	0.00909	0.05959	0.63446	0.05282	0	0.00013	0.03614
V179	0.14349	0	0.0536	0	0.80292	0	0	0	0	0
V180	0.45237	0.10188	0.0543	0.34594	0.02196	0.00874	0.01285	0.00197	0	0
V181	0.04647	0.1179	0.69432	0	0.06415	0.01926	0.0546	0	0.00331	0
V182	0.01547	0	0.053	0.00809	0.34818	0	0	0.5594	0.01585	0
V183	0.00421	0.14297	0.07254	0.60327	0.02347	0.03664	0.11248	0.00441	0	0
V184	0.16617	0	0.02867	0	0.01821	0.5984	0.04329	0.03481	0	0.11046
V185	0.61697	0	0.02858	0.17353	0	0	0	0.12982	0.05109	0
V186	0.88095	0.00352	0.02347	0.06481	0	0.00414	0.00755	0.01556	0	0
V187	0.78692	0	0.10725	0	0	0	0	0.01016	0.06908	0.02659
V188	0.06716	0.06755	0.07214	0.03996	0.72301	0	0.00884	0.02042	0	0.00091
V189	0.9059	0	0.02339	0.02692	0	0.01666	0	0.01459	0	0.01253
V190	0.02348	0.00234	0.03503	0.01093	0.08602	0.08558	0.01514	0	0.74147	0
V191	0.00881	0.00106	0.13464	0.34612	0.42885	0.00658	0.04067	0.03326	0	0
