Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V185	0	0.6633	0	0	0.10072	0.23598
V186	0	0	0.67908	0.32092	0	0
V187	0.31308	0.56602	0	0	0.1209	0
V188	0	0.67945	0	0	0	0.32055
V189	0	0.07629	0.17864	0.01025	0.64103	0.09379
V190	0	0.18193	0	0	0.67962	0.13845
V191	0	0.63362	0	0	0	0.36638
V192	0.65112	0.25946	0.06921	0.00988	0.01033	0
V193	0	0.07612	0	0	0	0.92388
V194	0	0.02622	0	0.12932	0.84446	0
V195	0	0.00807	0.81729	0.08401	0.09063	0
V196	0	0	0.01897	0.95746	0.02357	0
V197	0.22561	0.02013	0	0	0.75425	0
V198	0.07337	0.46661	0.01291	0.19685	0.25026	0
V199	0	0.236	0.08542	0.11596	0.56262	0
V200	0.02853	0.02506	0.68511	0.22642	0	0.03488
V201	0	0	0	1	0	0
V202	0	0.08007	0.54263	0.00942	0.11594	0.25194
V203	0.60643	0.05882	0	0.33475	0	0
V204	0	0.0536	0	0.1512	0	0.7952
V205	0	0.02306	0.97694	0	0	0
V206	0	0.03547	0.12122	0.84331	0	0
V207	0.46762	0.21693	0.00838	0.28484	0	0.02223
V208	0.43505	0.11053	0.43345	0.02096	0	0
V209	0.23066	0.5608	0	0	0	0.20854
V210	0.08025	0.03	0.88975	0	0	0
V211	0.63824	0.06585	0.07493	0	0.12833	0.09266
V212	0	0.27122	0.24828	0.4805	0	0
V213	0.0061	0.08543	0.29451	0.0141	0.59986	0
V214	0.89993	0.06355	0	0.03652	0	0
V215	0	0.71976	0	0	0	0.28024
V216	0.07638	0.55101	0.3726	0	0	0
V217	0.13131	0.01849	0	0.09066	0.29519	0.46435
V218	0	0.3298	0	0.6702	0	0
V219	0.93405	0.04026	0	0	0	0.0257
V220	0.04426	0.02904	0.0075	0.91919	0	0
V221	0.02815	0.87993	0.01697	0.07495	0	0
V222	0.02943	0.32518	0.00579	0.19582	0.44379	0
V223	0	0.31386	0.30401	0	0	0.38213
V224	0	0.00891	0.4424	0	0.54869	0
V225	0	0.00834	0	0	0	0.99166
V226	0.29748	0.07651	0.22574	0.32329	0.07698	0
V227	0.73545	0.03533	0	0.22256	0	0.00666
V228	0.11327	0.26412	0.59825	0.02437	0	0
V229	0.1639	0.03076	0.42577	0.27694	0.10264	0
V230	0	0.15686	0.84314	0	0	0
V231	0	0.03314	0.00277	0.96304	0.00106	0
V232	0.36423	0.03107	0	0.29794	0	0.30676
V233	0.90679	0.05389	0	0.03932	0	0
V234	0.51291	0.03127	0	0	0.45582	0
V235	0.02569	0.02156	0.02302	0.92973	0	0
V236	0	0.01113	0.19439	0	0.59784	0.19665
V237	0	0.00753	0.91017	0.08229	0	0
V238	0.71718	0.03609	0.00264	0.07496	0	0.16913
V239	0.61853	0.0665	0.08786	0.13909	0.08802	0
V240	0	0.22431	0	0.12859	0.64709	0
V241	0.62223	0.18781	0	0.18996	0	0
V242	0.23406	0.07945	0.00342	0.21414	0.02072	0.4482
V243	0	0.4033	0.59067	0.00603	0	0
V244	0.06063	0.03255	0	0	0.62643	0.28039
V245	0.8023	0.03501	0	0	0	0.16269
V246	0	0.04236	0.24936	0.42751	0.28077	0
V247	0.16445	0.10297	0	0.1799	0	0.55269
V248	0.26596	0.0501	0	0.25362	0.43033	0
V249	0.24321	0.1882	0.461	0.03986	0	0.06772
V250	0	0.00963	0	0.99037	0	0
V251	0	0.63768	0.16396	0.19836	0	0
V252	0	0.00184	0.03902	0.94133	0.01781	0
V253	0	0.05143	0	0.50617	0.08033	0.36207
V254	0	0.29874	0.06119	0.25171	0.37906	0.0093
V255	0.43219	0.36497	0.05246	0.06543	0	0.08495
V256	0	1	0	0	0	0
V257	0	0.4957	0	0.01555	0.44987	0.03889
V258	0	0.225	0.14533	0.62966	0	0
V259	0	0.59308	0.40692	0	0	0
V260	0.08738	0.05692	0	0.00242	0.76337	0.0899
V261	0.59233	0.05444	0	0.01997	0.2106	0.12266
V262	0.05797	0.02973	0.89552	0	0.01678	0
V263	0	0.05753	0.74273	0.19975	0	0
V264	0.70241	0.06135	0.08021	0.01943	0.0119	0.12469
V265	0.01141	0.01696	0	0.02988	0.94174	0
V266	0	0.03961	0	0	0	0.96039
V267	0.13124	0.80525	0	0.06351	0	0
V268	0.95822	0.04178	0	0	0	0
V269	0	0.04427	0.13529	0.82044	0	0
V270	0.32352	0.58238	0	0.00227	0.09183	0
V271	0	0.11114	0.26129	0	0	0.62758
V272	0	0.01022	0	0.09472	0.86281	0.03225
V273	0.04766	0.01775	0.01395	0.1016	0.81804	0.001
V274	0	0	0.14493	0	0	0.85507
V275	0.78624	0.21376	0	0	0	0
V276	0	0.31473	0.05312	0.06723	0	0.56492
V277	0.46145	0.04849	0	0	0.08206	0.408
V278	0.11573	0.14339	0.08317	0.2984	0.3593	0
V279	0.01298	0.07049	0.21806	0.00469	0	0.69378
V280	0.063	0.02111	0	0.91589	0	0
V281	0	0.98322	0.01374	0.00304	0	0
V282	0	0.04438	0	0.07053	0.88509	0
V283	0	0.4628	0	0	0.5372	0
V284	0	0.11173	0.39491	0.41169	0	0.08168
V285	0	0.01011	0	0.98989	0	0
V286	0.7185	0.06584	0.04148	0.17418	0	0
V287	0	0.02563	0	0.10178	0.86626	0.00633
V288	0	0.32431	0	0	0.0437	0.63199
V289	0	0.07897	0.84363	0.0774	0	0
V290	0	0	0.24844	0.75156	0	0
V291	0	0.0269	0	0.9731	0	0
V292	0.10243	0.10905	0	0.69038	0.09813	0
V293	0	0.0504	0	0.00244	0.94715	0
V294	0.60603	0.0627	0	0	0.29205	0.03922
V295	0	0.00398	0	0	0	0.99602
V296	0	0.43575	0.08222	0.38581	0	0.09622
V297	0	0.02368	0	0	0	0.97632
V298	0	0.83432	0.16568	0	0	0
V299	0.12	0.08783	0.79216	0	0	0
V300	0.8401	0.13979	0	0	0	0.02011
V301	0.54447	0.44449	0.01104	0	0	0
V302	0	0.28669	0.0553	0.65801	0	0
V303	0	0.83893	0.05959	0.0041	0.09738	0
V304	0.01111	0.01765	0	0	0.97124	0
V305	0	0.00782	0.20332	0.53691	0.04893	0.20302
V306	0.28299	0.11252	0	0	0	0.6045
V307	0.18683	0.02876	0	0.00492	0.76094	0.01854
V308	0	0	0	1	0	0
V309	0	0.55681	0	0.44319	0	0
V310	0	0.42212	0.31159	0	0	0.26628
V311	0.43094	0.01485	0	0	0	0.5542
V312	0.10392	0.02764	0	0.41452	0.45392	0
V313	0.1211	0.02439	0	0	0	0.85451
V314	0.2273	0.03152	0	0.74118	0	0
V315	0.11817	0.85569	0	0	0	0.02613
V316	0.05026	0.02513	0	0.03682	0	0.88779
V317	0	0.01249	0	0.84473	0.00395	0.13883
V318	0	0	0.0259	0.9741	0	0
V319	0.39722	0.20766	0.26901	0.12611	0	0
V320	0.26002	0.22196	0.39746	0.0884	0	0.03216
V321	0	0.68262	0	0.31738	0	0
V322	0	0.01251	0.05912	0.00795	0.79769	0.12274
V323	0	0.29149	0	0.47446	0.23405	0
V324	0	0.05782	0.00089	0.27304	0.45071	0.21755
V325	0.02605	0.96905	0.0049	0	0	0
V326	0.13969	0.86031	0	0	0	0
V327	0.06436	0.01347	0.92217	0	0	0
V328	0.1632	0.23028	0.2006	0.16426	0.24166	0
V329	0	0.00924	0.63786	0	0.35289	0
V330	0	0.01185	0.98815	0	0	0
V331	0.81351	0.10866	0.01385	0.06397	0	0
V332	0	0.07477	0.14018	0	0.41168	0.37336
V333	0	0.02266	0.54423	0.38912	0.04398	0
V334	0	0.41346	0.50435	0.08219	0	0
V335	0.11068	0.03081	0.83474	0	0	0.02376
V336	0.35336	0.64664	0	0	0	0
V337	0.03274	0.20759	0.01996	0	0.73971	0
V338	0.82721	0.0449	0	0	0.12789	0
V339	0.0517	0.11181	0.4832	0.28835	0	0.06494
V340	0.69677	0.28808	0	0.01516	0	0
V341	0.2474	0.06414	0.02433	0.65988	0.00425	0
V342	0	0.01767	0	0.81117	0.01127	0.15989
V343	0	0.18006	0.09342	0	0	0.72652
V344	0	0.75586	0	0.009	0.1362	0.09895
V345	0	0.01396	0	0.01087	0.97517	0
V346	0.13644	0.0302	0	0.49769	0.33567	0
V347	0.53803	0.15949	0	0.07882	0.22366	0
V348	0.08818	0.14806	0.76376	0	0	0
V349	0.80965	0.10763	0.00042	0.0823	0	0
V350	0.4654	0.06864	0.11539	0.24322	0	0.10735
V351	0.05315	0.09036	0	0	0	0.85649
V352	0	0.35703	0	0	0.28174	0.36123
V353	0	0.14877	0.85123	0	0	0
V354	0.07489	0.06953	0.25558	0	0.30593	0.29406
V355	0	0.02785	0.97215	0	0	0
V356	0.59213	0.15258	0	0.25529	0	0
V357	0.33701	0.03459	0.44158	0	0.18683	0
V358	0	0	0.00685	0	0	0.99315
V359	0.10434	0.11063	0	0.74677	0.03826	0
V360	0.54894	0.03312	0	0.21942	0.19853	0
V361	0	1	0	0	0	0
V362	0	0.58284	0	0.41716	0	0
V363	0.84644	0.09945	0.00969	0	0.04443	0
V364	0	0.20704	0	0.01063	0.02687	0.75546
V365	0.4329	0.4326	0	0.1345	0	0
V366	0.04974	0.28361	0.59838	0.05384	0.01444	0
V367	0	0.0079	0	0.69241	0.29969	0
V368	0	0.14709	0.04521	0.012	0.08175	0.71395
V369	0	0.04001	0	0.06975	0.85632	0.03391
V370	0	0.09215	0.77823	0.12962	0	0
V371	0	0.26832	0	0.61237	0	0.11932
V372	0	0.82789	0	0.01553	0.11671	0.03987
V373	0.88646	0.04441	0	0	0	0.06914
V374	0.16415	0.02986	0.26741	0.53858	0	0
V375	0.47141	0.0406	0.1914	0.04117	0.25541	0
V376	0	0.02991	0	0.12813	0	0.84196
V377	0.03541	0.02496	0.4593	0	0.48033	0
V378	0	0.06807	0.18341	0	0	0.74852
V379	0.41269	0.02553	0.09357	0	0	0.46821
V380	0	0.04137	0	0.01549	0.94314	0
V381	0.35081	0.0523	0.32338	0.27351	0	0
V382	0	0.02594	0	0.23252	0.74154	0
V383	0.18329	0.05781	0.45023	0.30866	0	0
V384	0.02144	0.03883	0.93973	0	0	0
V385	0	0	0	0	0	1
V386	0.67976	0.06511	0.25514	0	0	0
V387	0.20985	0.03111	0.03703	0.72202	0	0
V388	0.823	0.07113	0.10587	0	0	0
V389	0.17333	0.09053	0	0	0	0.73614
V390	0	0.04968	0	0.88828	0	0.06204
V391	0	0.02443	0	0.70331	0.27226	0
V392	0	0.02731	0.5658	0.0706	0	0.3363
V393	0	0.173	0.49559	0.05147	0.08522	0.19472
V394	0	0	0.03056	0.93631	0.03313	0
V395	0	0.04413	0.95587	0	0	0
V396	0.52774	0.09025	0	0.38201	0	0
V397	0	0.17116	0	0	0	0.82884
V398	0	0.81216	0	0.02028	0.16756	0
V399	0	0.0135	0.96677	0.01973	0	0
V400	0	0.00442	0	0.45578	0	0.5398
V401	0.15053	0.04019	0.75686	0	0.05242	0
V402	0.00561	0.02834	0.0012	0.96485	0	0
V403	0	0	0	0.01188	0.36647	0.62165
V404	0	0.01544	0.98456	0	0	0
V405	0.41105	0.39827	0.07379	0.0474	0.06948	0
V406	0.02104	0.08743	0.20151	0.10035	0.14294	0.44674
V407	0	0.02447	0.83836	0	0	0.13717
V408	0	0.11163	0.01491	0.84535	0	0.02811
V409	0.93669	0.06331	0	0	0	0
V410	0.95074	0.04926	0	0	0	0
V411	0	0	0	0.25476	0	0.74524
V412	0.65536	0.21393	0.02539	0.03308	0.07223	0
V413	0	0.09926	0.01569	0.88505	0	0
V414	0.04947	0.08803	0	0.7132	0.1493	0
V415	0	0.02131	0.4074	0.46406	0.07067	0.03656
V416	0	0.15467	0	0.32837	0.45658	0.06038
V417	0	0.01231	0.03695	0.0971	0	0.85365
V418	0	0.08041	0.49219	0.14235	0.28505	0
V419	0	0	0	0	0	1
V420	0	0	0	0	0	1
V421	0.01372	0.0655	0.02423	0.08697	0.80958	0
V422	0.19793	0.32297	0	0	0.47909	0
V423	0	0.15709	0	0.84291	0	0
V424	0.85248	0.12086	0	0.02667	0	0
V425	0	0.09815	0	0	0.90185	0
V426	0	0.00591	0.15591	0	0	0.83818
V427	0.58196	0.15536	0.13202	0.13066	0	0
V428	0.25385	0.03145	0	0.71469	0	0
V429	0	0.01139	0.1035	0.67367	0.21144	0
V430	0	0.09517	0.69739	0.20744	0	0
V431	0	0.01237	0.98763	0	0	0
V432	0	0.44873	0	0.55127	0	0
V433	0	0	0.03849	0.96151	0	0
V434	0	0.26977	0.17263	0.5576	0	0
V435	0	0	0	0	0.81993	0.18007
V436	0.87626	0.12374	0	0	0	0
V437	0.24813	0.3213	0.35892	0	0.06251	0.00914
V438	0	0.4294	0	0.06443	0.50617	0
V439	0	0.02091	0.07915	0	0.89994	0
V440	0.13045	0.07283	0.50474	0.03987	0.18925	0.06287
V441	0	0.06958	0.57672	0.13824	0	0.21546
V442	0.52525	0.15997	0.17923	0.05292	0	0.08263
V443	0	0.00049	0.06643	0.92677	0.00631	0
V444	0.86021	0.07413	0	0.01105	0.05461	0
V445	0.95247	0.04753	0	0	0	0
V446	0	0.63524	0.36476	0	0	0
V447	0	0.26435	0	0.23565	0	0.5
V448	0	0.03586	0.94778	0	0.01636	0
V449	0.64346	0.061	0	0.29553	0	0
V450	0.07025	0.02753	0.77009	0	0.13213	0
V451	0.08397	0.0566	0.14777	0.17267	0.53899	0
V452	0	0.01869	0	0.5774	0	0.40391
V453	0.35454	0.02414	0.54213	0.07919	0	0
V454	0.16618	0.07797	0.10467	0.65118	0	0
V455	0.02828	0.95161	0.02011	0	0	0
V456	0.95172	0.04828	0	0	0	0
V457	0	0.00323	0	0	0.17123	0.82553
V458	0.02803	0.01457	0.48942	0	0.40769	0.0603
V459	0	0.01611	0.66033	0.32356	0	0
V460	0.43083	0.09292	0.26756	0.13142	0	0.07726
V461	0.30247	0.06509	0	0.52786	0.10459	0
V462	0	0.00586	0.99414	0	0	0
V463	0	0.02816	0	0.04843	0.92341	0
V464	0	0.9771	0	0.0229	0	0
V465	0.42606	0.11339	0.46055	0	0	0
V466	0.02575	0.04079	0.00727	0.87351	0.05268	0
V467	0.96015	0.03985	0	0	0	0
V468	0.38958	0.12931	0.06684	0.29091	0.12336	0
V469	0	0.13405	0.80729	0.05865	0	0
V470	0.69669	0.04844	0	0.06514	0.18972	0
V471	0	0.23569	0.68977	0.04034	0	0.0342
V472	0	0.61413	0	0.02738	0.34353	0.01496
V473	0	1	0	0	0	0
V474	0.00538	0.0172	0.43242	0.545	0	0
V475	0.00917	0.17438	0.32787	0.21869	0.2699	0
V476	0.50222	0.05113	0	0.22262	0	0.22403
V477	0	0.71905	0.03613	0.09616	0	0.14866
V478	0	0.0206	0.97382	0	0	0.00557
V479	0.00345	0.14162	0.85493	0	0	0
V480	0	0.22931	0	0.39092	0.37977	0
V481	0.48589	0.1239	0.08589	0.06901	0.23531	0
V482	0.49013	0.01907	0	0	0	0.4908
V483	0	0.9492	0.0508	0	0	0
V484	0.9172	0.0455	0.03218	0	0.00512	0
V485	0.27797	0.1408	0.54865	0.03259	0	0
V486	0.22981	0.0193	0.7509	0	0	0
V487	0	0.35752	0	0	0.64248	0
V488	0.27647	0.71556	0	0.00797	0	0
V489	0.8858	0.06309	0.04429	0	0.00681	0
V490	0	0.03592	0	0.00445	0	0.95962
V491	0.03674	0.30695	0.43051	0	0.2258	0
V492	0	0.0356	0.24631	0.08417	0.00734	0.62658
V493	0.8502	0.1498	0	0	0	0
V494	0	0.00121	0.36353	0	0	0.63526
V495	0.21783	0.57236	0.20981	0	0	0
V496	0.19206	0.14933	0.32859	0	0.18126	0.14876
V497	0	0.20218	0.1579	0.02425	0.61567	0
V498	0.03692	0.12208	0.42351	0.40369	0.0138	0
V499	0	0.75704	0.19391	0.04905	0	0
V500	0.58298	0.21853	0.02782	0.04723	0.12345	0
V501	0	0.98524	0	0	0	0.01476
V502	0	0.01081	0	0.29982	0.68937	0
V503	0.04009	0.35551	0.00975	0.59465	0	0
V504	0	0.96058	0.03942	0	0	0
V505	0	0.00255	0.56795	0.4295	0	0
V506	0.29009	0.03351	0	0.17937	0	0.49703
V507	0	0	0	0	0	1
V508	0	0.67002	0.02963	0.11385	0.1865	0
V509	0	0.01745	0	0.88384	0.09871	0
V510	0.95748	0.04252	0	0	0	0
V511	0	0.00317	0	0.24643	0	0.7504
V512	0.01976	0.23383	0.7325	0	0	0.01391
V513	0	0.02874	0.23405	0.05486	0.68236	0
V514	0	0.89801	0.04344	0	0	0.05855
V515	0	0.42541	0	0.57459	0	0
V516	0	0.04752	0.88731	0	0.06516	0
V517	0	0	0.43562	0.2492	0.31518	0
V518	0.40933	0.44177	0	0.12684	0	0.02206
V519	0	0.64733	0	0.05695	0	0.29572
V520	0.78385	0.1254	0	0.09075	0	0
V521	0.08497	0.01731	0	0.01207	0.88565	0
V522	0.42645	0.22116	0	0.00394	0.19301	0.15544
V523	0.4171	0.20663	0.02458	0.14884	0	0.20285
V524	0	0.01278	0.04087	0.21152	0.61623	0.11859
V525	0.35091	0.01603	0	0	0	0.63306
V526	0	0.84885	0.11371	0	0.03744	0
V527	0.37772	0.03434	0.58795	0	0	0
V528	0.8941	0.04031	0.06558	0	0	0
V529	0.01998	0.09689	0.0162	0.86693	0	0
V530	0	0.26208	0.43668	0.1425	0.00335	0.15539
V531	0.9516	0.0484	0	0	0	0
V532	0.07844	0.02159	0.06825	0.72508	0.10665	0
V533	0.00111	0.01268	0.31839	0.00414	0.31095	0.35273
V534	0	0	0	0.74471	0.05133	0.20396
V535	0.6057	0.07232	0.20001	0.12196	0	0
V536	0	0.00346	0.8311	0.16543	0	0
V537	0	0.67493	0	0.32507	0	0
V538	0	0	0	0.42487	0	0.57513
V539	0	0.00486	0.00266	0.85052	0.14196	0
V540	0.39156	0.03613	0.36637	0	0.20593	0
V541	0	0.2442	0	0.7558	0	0
V542	0	0.62278	0	0.37597	0.00125	0
V543	0	0.00473	0.71724	0.00845	0.26958	0
V544	0	0.00048	0	0	0	0.99952
V545	0	0.72086	0.06141	0.01359	0.20414	0
V546	0.6337	0.08991	0	0.27639	0	0
V547	0	0.104	0	0.52318	0.32783	0.04499
V548	0	0	0	0	0	1
V549	0.10105	0.01798	0.74246	0.07161	0	0.0669
V550	0	0.02031	0.38265	0	0.59704	0
V551	0	0.06321	0.01103	0.14751	0.0174	0.76085
V552	0	0.05631	0.16994	0.3716	0.40068	0.00146
