Neutrophils	T_cells_.gamma.delta.	Monocytes_CD14.CD16.	Macrophage	T_cells_.CD4..	Fibroblasts	Endothelial_cells	Keratinocytes	CD34.	Platelets
V149	0	0.03059	0.13823	0.48348	0	0.00121	0.09569	0.08861	0.16219	0
V150	0.05149	0.06446	0.02925	0.02923	0.01329	0	0.09384	0.01836	0	0.70007
V151	0.0168	0	0.00186	0.04945	0	0.03303	0.09075	0	0	0.80811
V152	0	0.02947	0	0.01095	0.01351	0.02576	0.17377	0.60723	0.06708	0.07223
V153	0	0.13621	0	0	0.54578	0	0.06134	0.08993	0.16674	0
V154	0.03739	0.01446	0.51657	0.33916	0	0.02035	0.04111	0	0.03095	0
V155	0	0.04443	0.0219	0.02183	0.02272	0.09407	0.15187	0.41742	0.22574	0
V156	0.04527	0.06999	0.16945	0.0737	0	0.35008	0.14146	0.04561	0.10444	0
V157	0	0.44144	0	0.05085	0.12063	0.16847	0.09204	0.00635	0.12022	0
V158	0.1903	0.57097	0.01409	0.03655	0.00487	0.00567	0.05561	0.02878	0.09316	0
V159	0	0.10616	0.19727	0.08566	0.20711	0.03084	0.07672	0.07666	0.11767	0.10192
V160	0	0.88179	0	0	0	0	0.0395	0	0.07872	0
V161	0	0.00559	0.19246	0.6714	0	0	0.07878	0	0.05177	0
V162	0.00768	0	0	0.02623	0	0	0.03738	0	0	0.92871
V163	0.07417	0.02435	0.6567	0.14318	0	0.03645	0.02934	0	0.03076	0.00506
V164	0.00766	0.01238	0.72134	0.15871	0	0.02985	0.03769	0	0.03017	0.00219
V165	0	0.01142	0.29575	0.08696	0	0	0.06433	0.0068	0	0.53474
V166	0.00415	0.10145	0.14918	0.48958	0	0.00437	0.09622	0.05575	0.09469	0.0046
V167	0.80055	0.03259	0.04475	0.07028	0	0.02051	0.0103	0	0.02101	0
V168	0	0.06234	0.02781	0.03023	0.01982	0.21719	0.15976	0.2982	0.18464	0
V169	0	0.01082	0.06207	0.18776	0	0.13748	0.11935	0.02327	0	0.45925
V170	0	0.06976	0.03751	0.01795	0.07308	0.00222	0.10604	0.04775	0.6457	0
V171	0	0.0433	0.19851	0.11475	0.0136	0.29616	0.15391	0.05411	0.12565	0
V172	0	0.04	0.02724	0.05988	0.04711	0.10458	0.61058	0.06164	0.04896	0
V173	0	0.03101	0.03257	0.05325	0.00952	0.00135	0.52034	0.05268	0.03698	0.26232
V174	0	0.10433	0.241	0.3572	0.0436	0.0196	0.07844	0.01201	0.08821	0.0556
V175	0.74294	0.0136	0.12513	0.08241	0	0.01987	0.01605	0	0	0
V176	0.11226	0.05279	0.04507	0.03706	0.01057	0.53283	0.14935	0.01765	0.04241	0
V177	0.6309	0.01309	0.0572	0.15716	0	0.01589	0.02827	0	0	0.09748
V178	0.13099	0.05193	0.04732	0.06555	0.04271	0.46762	0.14276	0.01433	0.03679	0
V179	0.08638	0.14282	0.00013	0.00639	0.53766	0.00893	0.0397	0.00342	0.17457	0
V180	0.36132	0.12345	0.104	0.32477	0	0.01455	0.04526	0	0.02665	0
V181	0	0.17013	0.52825	0.11885	0	0.01814	0.10426	0	0.06036	0
V182	0	0.07589	0	0.0236	0.23083	0.03615	0.12427	0.34978	0.15949	0
V183	0	0.14737	0.13106	0.48582	0	0	0.17706	0.00427	0.05442	0
V184	0.12376	0.05204	0.04324	0.05647	0	0.44101	0.13964	0.04092	0.0231	0.07981
V185	0.47968	0.02992	0.08492	0.21372	0	0.02263	0.04698	0.05977	0.06238	0
V186	0.72779	0.02325	0.05489	0.15702	0	0.01592	0.02113	0	0	0
V187	0.6602	0.02586	0.13548	0.08549	0	0.02478	0.02437	0	0.04176	0.00207
V188	0.01061	0.22666	0.0063	0.06822	0.43049	0.00323	0.06508	0.01857	0.17084	0
V189	0.76357	0.01186	0.04845	0.13777	0	0.02911	0.00924	0	0	0
V190	0	0.08122	0.02053	0.01889	0.10943	0.07278	0.11124	0.04117	0.54474	0
V191	0	0.07658	0.10919	0.31189	0.2425	0.00193	0.10515	0.02423	0.12852	0
V192	0	0.07593	0.0222	0.01938	0.10852	0	0.089	0.02766	0	0.65732
V193	0.03042	0.05537	0.21282	0.29599	0.06257	0.00678	0.17815	0.06149	0.09641	0
V194	0	0.03551	0.01686	0.03955	0.01798	0.54175	0.30258	0.03977	0.006	0
V195	0	0.06934	0.03186	0.0551	0.0868	0.09456	0.52624	0.0792	0.05691	0
V196	0.6582	0.01212	0.07437	0.23117	0	0.01071	0.01342	0	0	0
V197	0	0.04845	0.04902	0.17114	0.02197	0.01541	0.13952	0.31985	0.23463	0
V198	0	0.11922	0	0.00859	0.39196	0.18902	0.11253	0.01314	0.16553	0
V199	0	0.09031	0.0638	0.04505	0.16816	0	0.20579	0.02268	0.07354	0.33068
V200	0	0.08214	0	0.0192	0.30437	0.08642	0.29386	0.10284	0.11118	0
V201	0.1053	0.09951	0.06894	0.03912	0.04253	0.01022	0.16254	0.04179	0.42615	0.00389
V202	0	0.28215	0.37192	0.12654	0	0.00535	0.11383	0	0.10021	0
V203	0	0.09908	0.31857	0.20227	0	0.01166	0.15048	0.0112	0.20673	0
V204	0	0.18894	0.24157	0.28875	0	0.06944	0.07982	0.04847	0.08301	0
V205	0	0.08208	0.04822	0.06308	0.04143	0.00725	0.55116	0.09819	0.10859	0
V206	0.24221	0.02863	0.51443	0.12423	0	0.02076	0.02387	0	0.02068	0.02519
V207	0	0.18685	0.04306	0.08375	0.00462	0	0.09512	0.02208	0.19443	0.37011
V208	0	0.04424	0.03554	0.07419	0.01853	0.56656	0.17461	0.02379	0.06254	0
V209	0	0.15274	0.04536	0.00797	0.55184	0.01214	0.04612	0.00213	0.1817	0
V210	0	0.12981	0.04289	0.01463	0.4269	0.01955	0.07313	0.11522	0.17786	0
V211	0	0.08434	0.54184	0.12486	0	0.02331	0.10193	0.02348	0.10025	0
V212	0.0018	0.12641	0.04365	0.02536	0.02376	0.01584	0.12595	0.30192	0.33531	0
V213	0.05886	0.06477	0.03386	0.04336	0.11224	0.46646	0.15013	0.02273	0.04759	0
V214	0	0.06367	0	0.04221	0.21069	0.01649	0.48819	0.04425	0.07905	0.05543
V215	0	0.01591	0.02543	0.06401	0.05274	0	0.75088	0.06518	0.02584	0
V216	0	0.6974	0	0	0.11624	0	0.05305	0.01334	0.11997	0
V217	0	0.23513	0.04	0.10596	0.10713	0.19665	0.10717	0.05167	0.11707	0.03921
V218	0	0.03742	0.03471	0.04286	0.02859	0.47248	0.33027	0.03511	0.01856	0
V219	0	0.02721	0.00555	0.06649	0.00948	0.02633	0.21609	0.57777	0.07107	0
V220	0	0.05487	0.09722	0.29562	0.01667	0.00147	0.10018	0.07135	0.36263	0
V221	0.07889	0.1316	0.28041	0.08843	0	0.01589	0.0897	0.07152	0.19595	0.04761
V222	0.00652	0.01546	0.62	0.13316	0	0.14856	0.05105	0	0.02525	0
V223	0	0.01816	0.63812	0.13945	0	0.07543	0.09693	0	0.0319	0
V224	0	0.03447	0.52051	0.16115	0	0.02653	0.05506	0.05071	0.15157	0
V225	0	0.01024	0.31295	0.33505	0	0.02617	0.08795	0.17221	0.05545	0
V226	0	0.70518	0	0	0	0	0.07746	0.13427	0.0831	0
V227	0	0.06749	0.56418	0.116	0.10957	0.01776	0.02921	0	0.09579	0
V228	0	0.58117	0.02492	0.04002	0	0	0.08245	0.13072	0.14071	0
V229	0.54539	0.04295	0.03857	0.06159	0	0.22313	0.07675	0.01162	0	0
V230	0	0.00782	0.09977	0.34941	0	0	0.1911	0.01371	0.01596	0.32222
V231	0	0.27003	0.02002	0.0389	0.02845	0.07622	0.10069	0.03685	0.42885	0
V232	0	0.36169	0.34587	0.09595	0	0.01578	0.0514	0.05265	0.07667	0
V233	0	0.12409	0	0.01493	0.44326	0.00705	0.07077	0.01693	0.32296	0
V234	0	0.06053	0	0.02869	0.15863	0.01344	0.3084	0.33483	0.09547	0
V235	0	0.03735	0.33357	0.08553	0	0.02683	0.11324	0.33536	0.06812	0
V236	0	0.03691	0.22813	0.26296	0	0.28708	0.1219	0.00517	0.05783	0
V237	0	0.08003	0.34878	0.19124	0.15522	0.03781	0.05457	0.019	0.11336	0
V238	0	0.0746	0.25948	0.06916	0	0.02607	0.11615	0.3753	0.07925	0
V239	0	0.15847	0.12878	0.44784	0	0.01202	0.11145	0.00227	0.07289	0.06628
V240	0.0092	0.03016	0.0595	0.05831	0.03975	0.20021	0.52438	0.04756	0.03092	0
V241	0.13357	0.01706	0.16649	0.53083	0	0.02523	0.06995	0.014	0.04286	0
V242	0	0.06717	0.05341	0.05435	0.06374	0.00889	0.1046	0.04397	0.60386	0
V243	0	0.05614	0.06148	0.13268	0.03602	0.0551	0.14778	0.0365	0.42445	0.04986
V244	0	0.02705	0.3147	0.10611	0.00148	0.00277	0.42602	0.06129	0.06057	0
V245	0.09571	0.16024	0.15619	0.06312	0	0.35073	0.11624	0.02153	0.03626	0
V246	0	0.21142	0.00273	0.05789	0.03472	0	0.5737	0.04775	0.0718	0
V247	0.00816	0.02784	0.73841	0.1561	0	0.01784	0.01942	0	0.03011	0.00212
V248	0.36048	0.10046	0.06322	0.0539	0.00528	0.03601	0.18453	0.13949	0.05663	0
V249	0.0046	0.05166	0.60875	0.12171	0	0.01414	0.03468	0	0.06616	0.09829
V250	0	0.07297	0.07068	0.26008	0	0.20508	0.14664	0.17853	0.066	0
V251	0.46307	0.20722	0.04078	0.06803	0.02491	0.02037	0.0403	0.0439	0.09143	0
V252	0.00609	0.50642	0.0029	0.07717	0	0.18645	0.10302	0.05084	0.06711	0
V253	0	0.05946	0.27153	0.07305	0.01817	0.06856	0.09388	0.02069	0.39466	0
V254	0	0.14601	0	0.01882	0.54802	0.00735	0.05877	0.00595	0.17871	0.03637
