Monocytes	Neutrophils	B_cells	NK_cells	T_cells_CD4.	Macrophages
V182	0	0.10005	0.87145	0.0285	0	0
V183	0	0.00323	0	0.99677	0	0
V184	0.43978	0.45615	0	0.02071	0.08336	0
V185	0.00276	0.66307	0	0	0.1085	0.22567
V186	0	0.00149	0.65763	0.34088	0	0
V187	0.29944	0.57367	0	0.0094	0.11749	0
V188	0	0.68222	0	0	0	0.31778
V189	0	0.08426	0.16492	0.04183	0.61762	0.09137
V190	0	0.19123	0	0.02162	0.65872	0.12843
V191	0	0.63708	0	0	0	0.36292
V192	0.6456	0.26866	0.05331	0.02123	0.01121	0
V193	0	0.05863	0	0	0	0.94137
V194	0	0.03458	0	0.15898	0.80644	0
V195	0	0.01834	0.80587	0.1102	0.06559	0
V196	0	0	0	0.99034	0.00966	0
V197	0.21356	0.03503	0	0.02311	0.7283	0
V198	0.06928	0.47516	0	0.21487	0.24068	0
V199	0	0.24767	0.06952	0.14462	0.53819	0
V200	0.0241	0.02987	0.65383	0.23789	0	0.05431
V201	0	0.00109	0	0.99891	0	0
V202	0	0.08169	0.52256	0.03365	0.10228	0.25983
V203	0.59452	0.06851	0	0.33698	0	0
V204	0	0.03888	0	0.1616	0	0.79952
V205	0	0.0339	0.9661	0	0	0
V206	0	0.0438	0.09582	0.86037	0	0
V207	0.46975	0.22072	0	0.29134	0	0.01818
V208	0.43443	0.12219	0.40775	0.03563	0	0
V209	0.23446	0.5636	0	0	0	0.20194
V210	0.08438	0.04233	0.87329	0	0	0
V211	0.65667	0.06932	0.06272	0	0.13077	0.08053
V212	0	0.28086	0.22356	0.49558	0	0
V213	0	0.10094	0.27693	0.0452	0.57693	0
V214	0.88722	0.07191	0	0.04087	0	0
V215	0	0.72428	0	0	0	0.27572
V216	0.07746	0.57141	0.35113	0	0	0
V217	0.13841	0.01214	0	0.11096	0.28785	0.45063
V218	0	0.33407	0	0.66593	0	0
V219	0.95149	0.04002	0	0	0	0.00849
V220	0.04012	0.03715	0	0.92274	0	0
V221	0.02484	0.89217	0.00358	0.07941	0	0
V222	0.02513	0.33454	0	0.2181	0.42223	0
V223	0	0.31722	0.29326	0	0	0.38952
